FakeNN JSON Name,M,N,K,m,n,k,JSON Name,tileC_cc,Weight Matrix Tile Size,padding,Space Remaining,Npad,Mpad,Row Dim,Reduction Dim,Space Needed in L1,tileA_cc,tileA,tileC,m Dim,Original Name,tileB,tileB_cc,Kpad,SSR Config Count,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,Regular Loads,Total SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,Little K,m_tiles,n_tiles,k_tiles,L3 Loads
128x128x128w8-32-8,128,128,128,8,32,8,8-32-8,256,4096,000,105472,0,0,32,8,9216,64,512,2048,8,128x128x128w8-32-8,2048,2048,0,8192,1,4,8,8,1,2,4,8,8,2,262144.0,3145728.0,196608.0,1376256.0,196608.0,1572864.0,8,16,4,16,344064
128x128x128w8-32-16,128,128,128,8,32,16,8-32-16,256,8192,000,100352,0,0,32,16,14336,128,1024,2048,8,128x128x128w8-32-16,4096,4096,0,4096,1,4,16,8,1,2,4,16,8,2,131072.0,3670016.0,229376.0,1605632.0,229376.0,1835008.0,16,16,4,8,344064
128x128x128w8-32-32,128,128,128,8,32,32,8-32-32,256,16384,000,90112,0,0,32,32,24576,256,2048,2048,8,128x128x128w8-32-32,8192,8192,0,2048,1,4,32,8,1,2,4,32,8,2,65536.0,3932160.0,245760.0,1720320.0,245760.0,1966080.0,32,16,4,4,344064
128x128x128w8-64-8,128,128,128,8,64,8,8-64-8,512,8192,000,97280,0,0,64,8,17408,64,512,4096,8,128x128x128w8-64-8,4096,4096,0,4096,1,8,8,8,1,2,8,8,8,2,262144.0,3145728.0,196608.0,1376256.0,196608.0,1572864.0,8,16,2,16,311296
128x128x128w8-64-16,128,128,128,8,64,16,8-64-16,512,16384,000,88064,0,0,64,16,26624,128,1024,4096,8,128x128x128w8-64-16,8192,8192,0,2048,1,8,16,8,1,2,8,16,8,2,131072.0,3670016.0,229376.0,1605632.0,229376.0,1835008.0,16,16,2,8,311296
128x128x128w8-128-8,128,128,128,8,128,8,8-128-8,1024,16384,000,80896,0,0,128,8,33792,64,512,8192,8,128x128x128w8-128-8,8192,8192,0,2048,1,16,8,8,1,2,16,8,8,2,262144.0,3145728.0,196608.0,1376256.0,196608.0,1572864.0,8,16,1,16,294912
128x128x128w8-8-8,128,128,128,8,8,8,8-8-8,64,1024,000,111616,0,0,8,8,3072,64,512,512,8,128x128x128w8-8-8,512,512,0,32768,1,1,8,8,1,2,1,8,8,2,262144.0,3145728.0,196608.0,1376256.0,196608.0,1572864.0,8,16,16,16,540672
128x128x128w8-8-16,128,128,128,8,8,16,8-8-16,64,2048,000,109568,0,0,8,16,5120,128,1024,512,8,128x128x128w8-8-16,1024,1024,0,16384,1,1,16,8,1,2,1,16,8,2,131072.0,3670016.0,229376.0,1605632.0,229376.0,1835008.0,16,16,16,8,540672
128x128x128w8-8-32,128,128,128,8,8,32,8-8-32,64,4096,000,105472,0,0,8,32,9216,256,2048,512,8,128x128x128w8-8-32,2048,2048,0,8192,1,1,32,8,1,2,1,32,8,2,65536.0,3932160.0,245760.0,1720320.0,245760.0,1966080.0,32,16,16,4,540672
128x128x128w8-8-64,128,128,128,8,8,64,8-8-64,64,8192,000,97280,0,0,8,64,17408,512,4096,512,8,128x128x128w8-8-64,4096,4096,0,4096,1,1,64,8,1,2,1,64,8,2,32768.0,4063232.0,253952.0,1777664.0,253952.0,2031616.0,64,16,16,2,540672
128x128x128w8-8-128,128,128,128,8,8,128,8-8-128,64,16384,000,80896,0,0,8,128,33792,1024,8192,512,8,128x128x128w8-8-128,8192,8192,0,2048,1,1,128,8,1,2,1,128,8,2,16384.0,4128768.0,258048.0,1806336.0,258048.0,2064384.0,128,16,16,1,540672
128x128x128w8-16-8,128,128,128,8,16,8,8-16-8,128,2048,000,109568,0,0,16,8,5120,64,512,1024,8,128x128x128w8-16-8,1024,1024,0,16384,1,2,8,8,1,2,2,8,8,2,262144.0,3145728.0,196608.0,1376256.0,196608.0,1572864.0,8,16,8,16,409600
128x128x128w8-16-16,128,128,128,8,16,16,8-16-16,128,4096,000,106496,0,0,16,16,8192,128,1024,1024,8,128x128x128w8-16-16,2048,2048,0,8192,1,2,16,8,1,2,2,16,8,2,131072.0,3670016.0,229376.0,1605632.0,229376.0,1835008.0,16,16,8,8,409600
128x128x128w8-16-32,128,128,128,8,16,32,8-16-32,128,8192,000,100352,0,0,16,32,14336,256,2048,1024,8,128x128x128w8-16-32,4096,4096,0,4096,1,2,32,8,1,2,2,32,8,2,65536.0,3932160.0,245760.0,1720320.0,245760.0,1966080.0,32,16,8,4,409600
128x128x128w8-16-64,128,128,128,8,16,64,8-16-64,128,16384,000,88064,0,0,16,64,26624,512,4096,1024,8,128x128x128w8-16-64,8192,8192,0,2048,1,2,64,8,1,2,2,64,8,2,32768.0,4063232.0,253952.0,1777664.0,253952.0,2031616.0,64,16,8,2,409600
128x128x128w16-32-8,128,128,128,16,32,8,16-32-8,512,4096,000,100352,0,0,32,8,14336,128,1024,4096,16,128x128x128w16-32-8,2048,2048,0,4096,2,4,8,8,2,3,4,8,8,3,262144.0,3145728.0,196608.0,1376256.0,196608.0,1572864.0,8,8,4,16,212992
128x128x128w16-32-16,128,128,128,16,32,16,16-32-16,512,8192,000,94208,0,0,32,16,20480,256,2048,4096,16,128x128x128w16-32-16,4096,4096,0,2048,2,4,16,8,2,3,4,16,8,3,131072.0,3670016.0,229376.0,1605632.0,229376.0,1835008.0,16,8,4,8,212992
128x128x128w16-32-32,128,128,128,16,32,32,16-32-32,512,16384,000,81920,0,0,32,32,32768,512,4096,4096,16,128x128x128w16-32-32,8192,8192,0,1024,2,4,32,8,2,3,4,32,8,3,65536.0,3932160.0,245760.0,1720320.0,245760.0,1966080.0,32,8,4,4,212992
128x128x128w16-64-8,128,128,128,16,64,8,16-64-8,1024,8192,000,88064,0,0,64,8,26624,128,1024,8192,16,128x128x128w16-64-8,4096,4096,0,2048,2,8,8,8,2,3,8,8,8,3,262144.0,3145728.0,196608.0,1376256.0,196608.0,1572864.0,8,8,2,16,180224
128x128x128w16-64-16,128,128,128,16,64,16,16-64-16,1024,16384,000,77824,0,0,64,16,36864,256,2048,8192,16,128x128x128w16-64-16,8192,8192,0,1024,2,8,16,8,2,3,8,16,8,3,131072.0,3670016.0,229376.0,1605632.0,229376.0,1835008.0,16,8,2,8,180224
128x128x128w16-8-8,128,128,128,16,8,8,16-8-8,128,1024,000,109568,0,0,8,8,5120,128,1024,1024,16,128x128x128w16-8-8,512,512,0,16384,2,1,8,8,2,3,1,8,8,3,262144.0,3145728.0,196608.0,1376256.0,196608.0,1572864.0,8,8,16,16,409600
128x128x128w16-8-16,128,128,128,16,8,16,16-8-16,128,2048,000,106496,0,0,8,16,8192,256,2048,1024,16,128x128x128w16-8-16,1024,1024,0,8192,2,1,16,8,2,3,1,16,8,3,131072.0,3670016.0,229376.0,1605632.0,229376.0,1835008.0,16,8,16,8,409600
128x128x128w16-8-32,128,128,128,16,8,32,16-8-32,128,4096,000,100352,0,0,8,32,14336,512,4096,1024,16,128x128x128w16-8-32,2048,2048,0,4096,2,1,32,8,2,3,1,32,8,3,65536.0,3932160.0,245760.0,1720320.0,245760.0,1966080.0,32,8,16,4,409600
128x128x128w16-8-64,128,128,128,16,8,64,16-8-64,128,8192,000,88064,0,0,8,64,26624,1024,8192,1024,16,128x128x128w16-8-64,4096,4096,0,2048,2,1,64,8,2,3,1,64,8,3,32768.0,4063232.0,253952.0,1777664.0,253952.0,2031616.0,64,8,16,2,409600
128x128x128w16-16-8,128,128,128,16,16,8,16-16-8,256,2048,000,106496,0,0,16,8,8192,128,1024,2048,16,128x128x128w16-16-8,1024,1024,0,8192,2,2,8,8,2,3,2,8,8,3,262144.0,3145728.0,196608.0,1376256.0,196608.0,1572864.0,8,8,8,16,278528
