JSON Name,Kernel Name,Kernel Time,Total Time,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Total Streaming Loads,Start Reuse Streaming Loads,Reused Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters,Total Loads,Tile Shape
0-24-100,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,105051,1172888,24,100,39200,2400,32000,1,4800,960000,160000,320000,1,3,100,964800,wide
0-24-40,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,139659,1308333,24,40,15680,960,55520,1,12000,960000,160000,320000,1,3,40,972000,wide
0-24-50,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,139659,1308333,24,50,19600,1200,51600,1,9600,960000,160000,320000,1,3,50,969600,wide
0-24-8,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,351842,2158774,24,8,3136,192,68064,1,60000,960000,160000,320000,1,3,8,1020000,tall
0-24-80,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,120533,1231430,24,80,31360,1920,39840,1,6000,960000,160000,320000,1,3,80,966000,wide
0-40-100,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,89658,1110948,40,100,64800,4000,6400,1,4800,960000,96000,384000,1,5,100,964800,wide
0-40-40,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,108303,1183714,40,40,25920,1600,45280,1,12000,960000,96000,384000,1,5,40,972000,square
0-40-50,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,110811,1194951,40,50,32400,2000,38800,1,9600,960000,96000,384000,1,5,50,969600,wide
0-40-8,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,256068,1776377,40,8,5184,320,66016,1,60000,960000,96000,384000,1,5,8,1020000,tall
0-40-80,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,107160,1180624,40,80,51840,3200,19360,1,6000,960000,96000,384000,1,5,80,966000,wide
0-48-40,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,106206,1176438,48,40,31040,1920,40160,1,12000,960000,80000,400000,1,6,40,972000,tall
0-48-50,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,109639,1190676,48,50,38800,2400,32400,1,9600,960000,80000,400000,1,6,50,969600,wide
0-48-8,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,239465,1708958,48,8,6208,384,64992,1,60000,960000,80000,400000,1,6,8,1020000,tall
0-48-80,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,106720,1177628,48,80,62080,3840,9120,1,6000,960000,80000,400000,1,6,80,966000,wide
0-80-40,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,106157,1176118,80,40,51520,3200,19680,1,12000,960000,96000,384000,2,5,40,972000,tall
0-80-50,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,109169,1188538,80,50,64400,4000,6800,1,9600,960000,96000,384000,2,5,50,969600,tall
0-80-8,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,354369,2169751,80,8,10304,640,60896,1,60000,960000,96000,384000,2,5,8,1020000,tall
