JSON Name,Kernel Name,Kernel Time,Total Time,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Total Streaming Loads,Other Streaming Loads,Start Reuse Streaming Loads,Reused Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters,Actual HW Loop Runs,Total Loads,Tile Shape
0-24-104,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,109765,1151146,24,104,40768,2496,44832,2,3600,748800,374400,124800,249600,1,3,104,1200,752400,wide
0-24-112,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,134151,1175532,24,112,43904,2688,41696,2,3600,806400,403200,134400,268800,1,3,112,1200,810000,wide
0-24-128,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,121256,1161864,24,128,50176,3072,35424,2,3000,768000,384000,128000,256000,1,3,128,1000,771000,wide
0-24-136,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,117771,1157479,24,136,53312,3264,32288,2,3000,816000,408000,136000,272000,1,3,136,1000,819000,wide
0-24-144,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,124479,1164202,24,144,56448,3456,29152,2,3000,864000,432000,144000,288000,1,3,144,1000,867000,wide
0-24-152,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,98810,1138878,24,152,59584,3648,26016,2,2400,729600,364800,121600,243200,1,3,152,800,732000,wide
0-24-16,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,287527,1328554,24,16,6272,384,79328,2,22800,729600,364800,121600,243200,1,3,16,7600,752400,tall
0-24-160,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,113007,1153075,24,160,62720,3840,22880,2,2400,768000,384000,128000,256000,1,3,160,800,770400,wide
0-24-168,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,115977,1156029,24,168,65856,4032,19744,2,2400,806400,403200,134400,268800,1,3,168,800,808800,wide
0-24-176,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,121563,1161599,24,176,68992,4224,16608,2,2400,844800,422400,140800,281600,1,3,176,800,847200,wide
0-24-184,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,126018,1166054,24,184,72128,4416,13472,2,2400,883200,441600,147200,294400,1,3,184,800,885600,wide
0-24-192,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,132705,1171465,24,192,75264,4608,10336,2,2400,921600,460800,153600,307200,1,3,192,800,924000,wide
0-24-208,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,99032,1139284,24,208,81536,4992,4064,2,1800,748800,374400,124800,249600,1,3,208,600,750600,wide
0-24-216,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,100894,1141146,24,216,84672,5184,928,2,1800,777600,388800,129600,259200,1,3,216,600,779400,wide
0-24-32,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,224213,1263544,24,32,12544,768,73056,2,11400,729600,364800,121600,243200,1,3,32,3800,741000,wide
0-24-48,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,179036,1220109,24,48,18816,1152,66784,2,7800,748800,374400,124800,249600,1,3,48,2600,756600,wide
0-24-56,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,161788,1201559,24,56,21952,1344,63648,2,6600,739200,369600,123200,246400,1,3,56,2200,745800,wide
0-24-64,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,176112,1216464,24,64,25088,1536,60512,2,6000,768000,384000,128000,256000,1,3,64,2000,774000,wide
0-24-72,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,154947,1195820,24,72,28224,1728,57376,2,5400,777600,388800,129600,259200,1,3,72,1800,783000,wide
0-24-80,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,157295,1197742,24,80,31360,1920,54240,2,4800,768000,384000,128000,256000,1,3,80,1600,772800,wide
0-24-88,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,115001,1156337,24,88,34496,2112,51104,2,4200,739200,369600,123200,246400,1,3,88,1400,743400,wide
0-24-96,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,163048,1203343,24,96,37632,2304,47968,2,4200,806400,403200,134400,268800,1,3,96,1400,810600,wide
0-40-104,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,102441,1144325,40,104,67392,4160,18208,2,3600,748800,374400,74880,299520,1,5,104,720,752400,wide
0-40-112,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,129677,1170250,40,112,72576,4480,13024,2,3600,806400,403200,80640,322560,1,5,112,720,810000,wide
0-40-128,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,110867,1151688,40,128,82944,5120,2656,2,3000,768000,384000,76800,307200,1,5,128,600,771000,wide
0-40-16,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,230363,1271509,40,16,10368,640,75232,2,22800,729600,364800,72960,291840,1,5,16,4560,752400,tall
0-40-32,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,190282,1231428,40,32,20736,1280,64864,2,11400,729600,364800,72960,291840,1,5,32,2280,741000,tall
0-40-48,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,151657,1192577,40,48,31104,1920,54496,2,7800,748800,374400,74880,299520,1,5,48,1560,756600,wide
0-40-56,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,113118,1154263,40,56,36288,2240,49312,2,6600,739200,369600,73920,295680,1,5,56,1320,745800,wide
0-40-64,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,154903,1196590,40,64,41472,2560,44128,2,6000,768000,384000,76800,307200,1,5,64,1200,774000,wide
0-40-72,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,112895,1154786,40,72,46656,2880,38944,2,5400,777600,388800,77760,311040,1,5,72,1080,783000,wide
