JSON Name,Kernel Name,Kernel Time,Total Time,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Streaming Loads,Reuse Marked Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters,Total Loads,Tile Shape
0-120-25,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,67997,1131399,120,25,48200,3000,37400,1,9600,288000,48000,3,5,25,297600,tall
0-120-40,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,53171,1116304,120,40,77120,4800,8480,1,6000,288000,48000,3,5,40,294000,tall
0-200-25,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,69553,1131953,200,25,80200,5000,5400,1,9600,288000,48000,5,5,25,297600,tall
0-24-100,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,54441,1118477,24,100,39200,2400,46400,1,2400,320000,80000,1,3,100,322400,wide
0-24-200,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,49150,1112587,24,200,78400,4800,7200,1,1200,320000,80000,1,3,200,321200,wide
0-24-25,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,89734,1153158,24,25,9800,600,75800,1,9600,320000,80000,1,3,25,329600,wide
0-24-40,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,72175,1134625,24,40,15680,960,69920,1,6000,320000,80000,1,3,40,326000,wide
0-24-50,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,66757,1128811,24,50,19600,1200,66000,1,4800,320000,80000,1,3,50,324800,wide
0-24-80,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,61675,1123274,24,80,31360,1920,54240,1,3000,320000,80000,1,3,80,323000,wide
0-40-100,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,46812,1110948,40,100,64800,4000,20800,1,2400,288000,48000,1,5,100,290400,wide
0-40-25,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,71741,1133934,40,25,16200,1000,69400,1,9600,288000,48000,1,5,25,297600,tall
0-40-40,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,56816,1118816,40,40,25920,1600,59680,1,6000,288000,48000,1,5,40,294000,square
0-40-50,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,57551,1120483,40,50,32400,2000,53200,1,4800,288000,48000,1,5,50,292800,wide
0-40-80,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,55623,1119061,40,80,51840,3200,33760,1,3000,288000,48000,1,5,80,291000,wide
