JSON Name,Kernel Name,Kernel Time,Total Time,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters,Total Loads,Tile Shape
0-24-104,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,109765,1151146,24,104,40768,2496,44832,2,3600,499200,1,3,104,502800,wide
0-24-112,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,134151,1175532,24,112,43904,2688,41696,2,3600,537600,1,3,112,541200,wide
0-24-128,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,121256,1161864,24,128,50176,3072,35424,2,3000,512000,1,3,128,515000,wide
0-24-136,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,117771,1157479,24,136,53312,3264,32288,2,3000,544000,1,3,136,547000,wide
0-24-144,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,124479,1164202,24,144,56448,3456,29152,2,3000,576000,1,3,144,579000,wide
0-24-152,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,98810,1138878,24,152,59584,3648,26016,2,2400,486400,1,3,152,488800,wide
0-24-16,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,287527,1328554,24,16,6272,384,79328,2,22800,486400,1,3,16,509200,tall
0-24-160,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,113007,1153075,24,160,62720,3840,22880,2,2400,512000,1,3,160,514400,wide
0-24-168,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,115977,1156029,24,168,65856,4032,19744,2,2400,537600,1,3,168,540000,wide
0-24-176,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,121563,1161599,24,176,68992,4224,16608,2,2400,563200,1,3,176,565600,wide
0-24-184,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,126018,1166054,24,184,72128,4416,13472,2,2400,588800,1,3,184,591200,wide
0-24-192,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,132705,1171465,24,192,75264,4608,10336,2,2400,614400,1,3,192,616800,wide
0-24-208,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,99032,1139284,24,208,81536,4992,4064,2,1800,499200,1,3,208,501000,wide
0-24-216,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,100894,1141146,24,216,84672,5184,928,2,1800,518400,1,3,216,520200,wide
0-24-32,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,224213,1263544,24,32,12544,768,73056,2,11400,486400,1,3,32,497800,wide
0-24-48,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,179036,1220109,24,48,18816,1152,66784,2,7800,499200,1,3,48,507000,wide
0-24-56,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,161788,1201559,24,56,21952,1344,63648,2,6600,492800,1,3,56,499400,wide
0-24-64,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,176112,1216464,24,64,25088,1536,60512,2,6000,512000,1,3,64,518000,wide
0-24-72,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,154947,1195820,24,72,28224,1728,57376,2,5400,518400,1,3,72,523800,wide
0-24-80,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,157295,1197742,24,80,31360,1920,54240,2,4800,512000,1,3,80,516800,wide
0-24-88,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,115001,1156337,24,88,34496,2112,51104,2,4200,492800,1,3,88,497000,wide
0-24-96,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,163048,1203343,24,96,37632,2304,47968,2,4200,537600,1,3,96,541800,wide
0-40-104,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,102441,1144325,40,104,67392,4160,18208,2,3600,449280,1,5,104,452880,wide
0-40-112,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,129677,1170250,40,112,72576,4480,13024,2,3600,483840,1,5,112,487440,wide
0-40-128,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,110867,1151688,40,128,82944,5120,2656,2,3000,460800,1,5,128,463800,wide
0-40-16,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,230363,1271509,40,16,10368,640,75232,2,22800,437760,1,5,16,460560,tall
0-40-32,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,190282,1231428,40,32,20736,1280,64864,2,11400,437760,1,5,32,449160,tall
0-40-48,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,151657,1192577,40,48,31104,1920,54496,2,7800,449280,1,5,48,457080,wide
0-40-56,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,113118,1154263,40,56,36288,2240,49312,2,6600,443520,1,5,56,450120,wide
0-40-64,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,154903,1196590,40,64,41472,2560,44128,2,6000,460800,1,5,64,466800,wide
0-40-72,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,112895,1154786,40,72,46656,2880,38944,2,5400,466560,1,5,72,471960,wide
0-40-80,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,140450,1180955,40,80,51840,3200,33760,2,4800,460800,1,5,80,465600,wide
0-40-88,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,103232,1144011,40,88,57024,3520,28576,2,4200,443520,1,5,88,447720,wide
0-40-96,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,122001,1163885,40,96,62208,3840,23392,2,4200,483840,1,5,96,488040,wide
