JSON Name,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case
0-24-25,24,25,9800,600,61400,1
0-24-40,24,40,15680,960,55520,1
0-24-50,24,50,19600,1200,51600,1
0-24-80,24,80,31360,1920,39840,1
0-24-100,24,100,39200,2400,32000,1
0-40-25,40,25,16200,1000,55000,1
0-40-40,40,40,25920,1600,45280,1
0-40-50,40,50,32400,2000,38800,1
0-40-80,40,80,51840,3200,19360,1
0-40-100,40,100,64800,4000,6400,1
0-48-25,48,25,19400,1200,51800,1
0-48-40,48,40,31040,1920,40160,1
0-48-50,48,50,38800,2400,32400,1
0-48-80,48,80,62080,3840,9120,1
0-80-25,80,25,32200,2000,39000,1
0-80-40,80,40,51520,3200,19680,1
0-80-50,80,50,64400,4000,6800,1
0-120-25,120,25,48200,3000,23000,1
