,Unnamed: 0,JSON Name,FakeNN JSON Name,M,N,K,m,n,k,Space Remaining,tileA,tileB_cc,tileC_cc,tileA_cc,Space Needed in L1,tileB,tileC,Reduction Dim,m Dim,Row Dim,Weight Matrix Tile Size,SSR Config Count,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,Regular Loads,Total SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,Little K,m_tiles,n_tiles,k_tiles,L3 Loads,stage,myrtle,Kernel Time
0,0,128-8-8,512x512x512w128-8-8,512,512,512,128,8,8,80896,8192,512,1024,1024,33792,512,8192,8,128,8,1024,131072,16,1,8,8,16,17,1,8,8,17,16777216.0,201326592.0,12582912.0,88080384.0,12582912,100663296.0,8,4.0,64.0,64.0,18087936.0,-87,-1,23673126.0
1,1,16-16-16,512x512x512w16-16-16,512,512,512,16,16,16,102400,2048,2048,256,256,12288,2048,2048,16,16,16,4096,262144,2,2,16,8,2,3,2,16,8,3,8388608.0,234881024.0,14680064.0,102760448.0,14680064,117440512.0,16,32.0,32.0,32.0,17039360.0,-87,-1,26268131.0
2,2,16-16-32,512x512x512w16-16-32,512,512,512,16,16,32,94208,4096,4096,256,512,20480,4096,2048,32,16,16,8192,131072,2,2,32,8,2,3,2,32,8,3,4194304.0,251658240.0,15728640.0,110100480.0,15728640,125829120.0,32,32.0,32.0,16.0,17039360.0,-87,-1,22173465.0
3,3,16-16-64,512x512x512w16-16-64,512,512,512,16,16,64,77824,8192,8192,256,1024,36864,8192,2048,64,16,16,16384,65536,2,2,64,8,2,3,2,64,8,3,2097152.0,260046848.0,16252928.0,113770496.0,16252928,130023424.0,64,32.0,32.0,8.0,17039360.0,-87,-1,19971022.0
4,4,16-16-8,512x512x512w16-16-8,512,512,512,16,16,8,106496,1024,1024,256,128,8192,1024,2048,8,16,16,2048,524288,2,2,8,8,2,3,2,8,8,3,16777216.0,201326592.0,12582912.0,88080384.0,12582912,100663296.0,8,32.0,32.0,64.0,17039360.0,-87,-1,
5,5,16-32-16,512x512x512w16-32-16,512,512,512,16,32,16,94208,2048,4096,512,256,20480,4096,4096,16,16,32,8192,131072,2,4,16,8,2,3,4,16,8,3,8388608.0,234881024.0,14680064.0,102760448.0,14680064,117440512.0,16,32.0,16.0,32.0,12845056.0,-87,-1,24867658.0
6,6,16-32-32,512x512x512w16-32-32,512,512,512,16,32,32,81920,4096,8192,512,512,32768,8192,4096,32,16,32,16384,65536,2,4,32,8,2,3,4,32,8,3,4194304.0,251658240.0,15728640.0,110100480.0,15728640,125829120.0,32,32.0,16.0,16.0,12845056.0,-87,-1,22074810.0
7,7,16-32-8,512x512x512w16-32-8,512,512,512,16,32,8,100352,1024,2048,512,128,14336,2048,4096,8,16,32,4096,262144,2,4,8,8,2,3,4,8,8,3,16777216.0,201326592.0,12582912.0,88080384.0,12582912,100663296.0,8,32.0,16.0,64.0,12845056.0,-87,-1,29764144.0
8,8,16-64-16,512x512x512w16-64-16,512,512,512,16,64,16,77824,2048,8192,1024,256,36864,8192,8192,16,16,64,16384,65536,2,8,16,8,2,3,8,16,8,3,8388608.0,234881024.0,14680064.0,102760448.0,14680064,117440512.0,16,32.0,8.0,32.0,10747904.0,-87,-1,22604341.0
9,9,16-64-8,512x512x512w16-64-8,512,512,512,16,64,8,88064,1024,4096,1024,128,26624,4096,8192,8,16,64,8192,131072,2,8,8,8,2,3,8,8,8,3,16777216.0,201326592.0,12582912.0,88080384.0,12582912,100663296.0,8,32.0,8.0,64.0,10747904.0,-87,-1,25699317.0
