,JSON Name,FakeNN JSON Name,M,N,K,m,n,k,Space Remaining,tileA,tileB_cc,tileC_cc,tileA_cc,Space Needed in L1,tileB,tileC,Reduction Dim,m Dim,Row Dim,Weight Matrix Tile Size,SSR Config Count,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,Regular Loads,Total SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,Little K,m_tiles,n_tiles,k_tiles,L3 Loads,stage,myrtle,Kernel Time
9,32-24-32,768x384x384w32-24-32,768,384,384,32,24,32,73728,8192,6144,768,1024,40960,6144,6144,32,32,24,12288,36864,4,3,32,8,4,5,3,32,8,5,3538944.0,212336640.0,13271040.0,92897280.0,13271040,106168320.0,32,24.0,16.0,12.0,8552448.0,2,3,16366260
8,32-24-24,768x384x384w32-24-24,768,384,384,32,24,24,80896,6144,4608,768,768,33792,4608,6144,24,32,24,9216,49152,4,3,24,8,4,5,3,24,8,5,4718592.0,207618048.0,12976128.0,90832896.0,12976128,103809024.0,24,24.0,16.0,16.0,8552448.0,2,10,16774117
5,24-24-32,768x384x384w24-24-32,768,384,384,24,24,32,80896,6144,6144,576,768,33792,6144,4608,32,24,24,12288,49152,3,3,32,8,3,4,3,32,8,4,3538944.0,212336640.0,13271040.0,92897280.0,13271040,106168320.0,32,32.0,16.0,12.0,9732096.0,2,7,16779947
2,16-16-64,768x384x384w16-16-64,768,384,384,16,16,64,77824,8192,8192,256,1024,36864,8192,2048,64,16,16,16384,55296,2,2,64,8,2,3,2,64,8,3,1769472.0,219414528.0,13713408.0,95993856.0,13713408,109707264.0,64,48.0,24.0,6.0,14450688.0,2,1,17108410
13,64-16-16,768x384x384w64-16-16,768,384,384,64,16,16,77824,8192,2048,1024,1024,36864,2048,8192,16,64,16,4096,55296,8,2,16,8,8,9,2,16,8,9,7077888.0,198180864.0,12386304.0,86704128.0,12386304,99090432.0,16,12.0,24.0,24.0,9142272.0,2,19,17525524
12,32-32-32,768x384x384w32-32-32,768,384,384,32,32,32,65536,8192,8192,1024,1024,49152,8192,8192,32,32,32,16384,27648,4,4,32,8,4,5,4,32,8,5,3538944.0,212336640.0,13271040.0,92897280.0,13271040,106168320.0,32,24.0,12.0,12.0,7372800.0,2,2,17686304
7,24-32-32,768x384x384w24-32-32,768,384,384,24,32,32,73728,6144,8192,768,768,40960,8192,6144,32,24,32,16384,36864,3,4,32,8,3,4,4,32,8,4,3538944.0,212336640.0,13271040.0,92897280.0,13271040,106168320.0,32,32.0,12.0,12.0,8552448.0,2,4,17827299
11,32-32-24,768x384x384w32-32-24,768,384,384,32,32,24,73728,6144,6144,1024,768,40960,6144,8192,24,32,32,12288,36864,4,4,24,8,4,5,4,24,8,5,4718592.0,207618048.0,12976128.0,90832896.0,12976128,103809024.0,24,24.0,12.0,16.0,7372800.0,2,12,18283788
3,16-32-32,768x384x384w16-32-32,768,384,384,16,32,32,81920,4096,8192,512,512,32768,8192,4096,32,16,32,16384,55296,2,4,32,8,2,3,4,32,8,3,3538944.0,212336640.0,13271040.0,92897280.0,13271040,106168320.0,32,48.0,12.0,12.0,10911744.0,2,6,18584618
6,24-32-24,768x384x384w24-32-24,768,384,384,24,32,24,80896,4608,6144,768,576,33792,6144,6144,24,24,32,12288,49152,3,4,24,8,3,4,4,24,8,4,4718592.0,207618048.0,12976128.0,90832896.0,12976128,103809024.0,24,32.0,12.0,16.0,8552448.0,2,9,18773890
1,8-8-128,768x384x384w8-8-128,768,384,384,8,8,128,80896,8192,8192,64,1024,33792,8192,512,128,8,8,16384,110592,1,1,128,8,1,2,1,128,8,2,884736.0,222953472.0,13934592.0,97542144.0,13934592,111476736.0,128,96.0,48.0,3.0,28606464.0,3,400,18837400
4,16-64-16,768x384x384w16-64-16,768,384,384,16,64,16,77824,2048,8192,1024,256,36864,8192,8192,16,16,64,16384,55296,2,8,16,8,2,3,8,16,8,3,7077888.0,198180864.0,12386304.0,86704128.0,12386304,99090432.0,16,48.0,6.0,24.0,9142272.0,2,15,19290993
10,32-32-16,768x384x384w32-32-16,768,384,384,32,32,16,81920,4096,4096,1024,512,32768,4096,8192,16,32,32,8192,55296,4,4,16,8,4,5,4,16,8,5,7077888.0,198180864.0,12386304.0,86704128.0,12386304,99090432.0,16,24.0,12.0,24.0,7372800.0,2,16,19298945
14,128-8-8,768x384x384w128-8-8,768,384,384,128,8,8,80896,8192,512,1024,1024,33792,512,8192,8,128,8,1024,110592,16,1,8,8,16,17,1,8,8,17,14155776.0,169869312.0,10616832.0,74317824.0,10616832,84934656.0,8,6.0,48.0,48.0,15335424.0,0,400,20252126
0,8-128-8,768x384x384w8-128-8,768,384,384,8,128,8,80896,512,8192,1024,64,33792,8192,8192,8,8,128,16384,110592,1,16,8,8,1,2,16,8,8,2,14155776.0,169869312.0,10616832.0,74317824.0,10616832,84934656.0,8,96.0,3.0,48.0,15335424.0,2,400,22072423
15,32-16-32,768x384x384w32-16-32,768,384,384,32,16,32,81920,8192,4096,512,1024,32768,4096,4096,32,32,16,8192,55296,4,2,32,8,4,5,2,32,8,5,3538944.0,212336640.0,13271040.0,92897280.0,13271040,106168320.0,32,24.0,24.0,12.0,10911744.0,-87,-1,17206591
16,24-24-24,768x384x384w24-24-24,768,384,384,24,24,24,87040,4608,4608,576,576,27648,4608,4608,24,24,24,9216,65536,3,3,24,8,3,4,3,24,8,4,4718592.0,207618048.0,12976128.0,90832896.0,12976128,103809024.0,24,32.0,16.0,16.0,9732096.0,-87,-1,17188902
17,12-64-16,768x384x384w12-64-16,768,384,384,12,64,16,82944,1536,8192,512,128,31744,8192,6144,16,12,64,16384,73728,1,8,16,8,1,2,8,16,8,2,7077888.0,198180864.0,12386304.0,86704128.0,12386304,99090432.0,16,64.0,6.0,24.0,11501568.0,-87,-1,24256195
18,12-16-64,768x384x384w12-16-64,768,384,384,12,16,64,82944,6144,8192,128,512,31744,8192,1536,64,12,16,16384,73728,1,2,64,8,1,2,2,64,8,2,1769472.0,219414528.0,13713408.0,95993856.0,13713408,109707264.0,64,64.0,24.0,6.0,16809984.0,-87,-1,22329740.0
19,16-64-12,768x384x384w16-64-12,768,384,384,16,64,12,82944,1536,6144,1024,192,31744,6144,8192,12,16,64,12288,73728,2,8,12,8,2,3,8,12,8,3,9437184.0,188743680.0,11796480.0,82575360.0,11796480,94371840.0,12,48.0,6.0,32.0,9142272.0,-87,-1,19917480.0
20,12-32-32,768x384x384w12-32-32,768,384,384,12,32,32,86016,3072,8192,256,256,28672,8192,3072,32,12,32,16384,73728,1,4,32,8,1,2,4,32,8,2,3538944.0,212336640.0,13271040.0,92897280.0,13271040,106168320.0,32,64.0,12.0,12.0,13271040.0,-87,-1,23519877.0
