JSON Name,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Kernel Name,Kernel Time,Total Time
0-24-22,24,22,8624,528,76976,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,161762,1225886
0-24-33,24,33,12936,792,72664,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,140831,1203903
0-24-44,24,44,17248,1056,68352,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,126053,1190165
0-24-55,24,55,21560,1320,64040,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,117045,1179445
0-24-65,24,65,25480,1560,60120,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,114246,1177077
0-24-75,24,75,29400,1800,56200,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,103858,1167953
0-24-86,24,86,33712,2064,51888,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,80593,1144043
0-24-96,24,96,37632,2304,47968,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,116965,1180497
0-24-107,24,107,41944,2568,43656,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,79894,1143608
0-24-117,24,117,45864,2808,39736,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,85151,1147681
0-24-127,24,127,49784,3048,35816,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,91451,1153981
0-24-137,24,137,53704,3288,31896,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,68663,1131824
0-24-147,24,147,57624,3528,27976,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,71033,1134194
0-24-157,24,157,61544,3768,24056,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,85364,1147762
0-24-167,24,167,65464,4008,20136,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,89767,1152928
0-24-177,24,177,69384,4248,16216,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,95301,1158097
0-24-187,24,187,73304,4488,12296,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,99394,1163888
0-24-197,24,197,77224,4728,8376,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,104523,1167319
0-40-22,40,22,14256,880,71344,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,120672,1182193
0-40-33,40,33,21384,1320,64216,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,112161,1175801
0-40-44,40,44,28512,1760,57088,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,103664,1165185
0-40-55,40,55,35640,2200,49960,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,84042,1146926
0-40-65,40,65,42120,2600,43480,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,84394,1149077
0-40-75,40,75,48600,3000,37000,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,81960,1146638
0-40-86,40,86,55728,3440,29872,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,77634,1142317
0-40-96,40,96,62208,3840,23392,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,89566,1153034
0-40-107,40,107,69336,4280,16264,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,71827,1136510
0-40-117,40,117,75816,4680,9784,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,81756,1146434
0-40-127,40,127,82296,5080,3304,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,87309,1151987
0-120-22,120,22,42416,2640,43184,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,105501,1169813
0-120-33,120,33,63624,3960,21976,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,93178,1157490
0-120-44,120,44,84832,5280,768,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,87587,1152136
0-200-22,200,22,70576,4400,15024,2,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,111430,1179508
