JSON Name,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters
0-24-23,24,23,9016,552,76584,2,16200,496800,1,3,23
0-24-36,24,36,14112,864,71488,2,10200,489600,1,3,36
0-24-47,24,47,18424,1128,67176,2,7800,488800,1,3,47
0-24-58,24,58,22736,1392,62864,2,6600,510400,1,3,58
0-24-69,24,69,27048,1656,58552,2,5400,496800,1,3,69
0-24-80,24,80,31360,1920,54240,2,4800,512000,1,3,80
0-24-90,24,90,35280,2160,50320,2,4200,504000,1,3,90
0-24-101,24,101,39592,2424,46008,2,3600,484800,1,3,101
0-24-111,24,111,43512,2664,42088,2,3600,532800,1,3,111
0-24-122,24,122,47824,2928,37776,2,3000,488000,1,3,122
0-24-132,24,132,51744,3168,33856,2,3000,528000,1,3,132
0-24-142,24,142,55664,3408,29936,2,3000,568000,1,3,142
0-24-153,24,153,59976,3672,25624,2,2400,489600,1,3,153
0-24-163,24,163,63896,3912,21704,2,2400,521600,1,3,163
0-24-173,24,173,67816,4152,17784,2,2400,553600,1,3,173
0-24-183,24,183,71736,4392,13864,2,2400,585600,1,3,183
0-24-193,24,193,75656,4632,9944,2,2400,617600,1,3,193
0-24-204,24,204,79968,4896,5632,2,1800,489600,1,3,204
0-24-214,24,214,83888,5136,1712,2,1800,513600,1,3,214
0-40-23,40,23,14904,920,70696,2,16200,447120,1,5,23
0-40-36,40,36,23328,1440,62272,2,10200,440640,1,5,36
0-40-47,40,47,30456,1880,55144,2,7800,439920,1,5,47
0-40-58,40,58,37584,2320,48016,2,6600,459360,1,5,58
0-40-69,40,69,44712,2760,40888,2,5400,447120,1,5,69
0-40-80,40,80,51840,3200,33760,2,4800,460800,1,5,80
0-40-90,40,90,58320,3600,27280,2,4200,453600,1,5,90
0-40-101,40,101,65448,4040,20152,2,3600,436320,1,5,101
0-40-111,40,111,71928,4440,13672,2,3600,479520,1,5,111
0-40-122,40,122,79056,4880,6544,2,3000,439200,1,5,122
0-40-132,40,132,85536,5280,64,2,3000,475200,1,5,132
0-120-23,120,23,44344,2760,41256,2,16200,447120,3,5,23
0-120-36,120,36,69408,4320,16192,2,10200,440640,3,5,36
0-200-23,200,23,73784,4600,11816,2,16200,447120,5,5,23
