FakeNN JSON Name,Global Sim E2E_cc_0,Core Complex E2E_cc_0,Sum Region Cycles_cc_0,Before Computation_cc_0,After Computation_cc_0,core0,SSR Config Time_cc_0,Overlap Stall Time_cc_0,Raw Compute Time_cc_0,Sum Raw Compute + Overlap Stall_cc_0,Sum Compute+Stall+Pro+Epi_cc_0,Sum Compute + SSR Configs_cc_0,cc_tiles_cc_0,Global Sim E2E_cc_1,Core Complex E2E_cc_1,Sum Region Cycles_cc_1,Before Computation_cc_1,After Computation_cc_1,core1,SSR Config Time_cc_1,Overlap Stall Time_cc_1,Raw Compute Time_cc_1,Sum Raw Compute + Overlap Stall_cc_1,Sum Compute+Stall+Pro+Epi_cc_1,Sum Compute + SSR Configs_cc_1,cc_tiles_cc_1,Global Sim E2E_cc_2,Core Complex E2E_cc_2,Sum Region Cycles_cc_2,Before Computation_cc_2,After Computation_cc_2,core2,SSR Config Time_cc_2,Overlap Stall Time_cc_2,Raw Compute Time_cc_2,Sum Raw Compute + Overlap Stall_cc_2,Sum Compute+Stall+Pro+Epi_cc_2,Sum Compute + SSR Configs_cc_2,cc_tiles_cc_2,Global Sim E2E_cc_3,Core Complex E2E_cc_3,Sum Region Cycles_cc_3,Before Computation_cc_3,After Computation_cc_3,core3,SSR Config Time_cc_3,Overlap Stall Time_cc_3,Raw Compute Time_cc_3,Sum Raw Compute + Overlap Stall_cc_3,Sum Compute+Stall+Pro+Epi_cc_3,Sum Compute + SSR Configs_cc_3,cc_tiles_cc_3,Global Sim E2E_cc_4,Core Complex E2E_cc_4,Sum Region Cycles_cc_4,Before Computation_cc_4,After Computation_cc_4,core4,SSR Config Time_cc_4,Overlap Stall Time_cc_4,Raw Compute Time_cc_4,Sum Raw Compute + Overlap Stall_cc_4,Sum Compute+Stall+Pro+Epi_cc_4,Sum Compute + SSR Configs_cc_4,cc_tiles_cc_4,Global Sim E2E_cc_5,Core Complex E2E_cc_5,Sum Region Cycles_cc_5,Before Computation_cc_5,After Computation_cc_5,core5,SSR Config Time_cc_5,Overlap Stall Time_cc_5,Raw Compute Time_cc_5,Sum Raw Compute + Overlap Stall_cc_5,Sum Compute+Stall+Pro+Epi_cc_5,Sum Compute + SSR Configs_cc_5,cc_tiles_cc_5,Global Sim E2E_cc_6,Core Complex E2E_cc_6,Sum Region Cycles_cc_6,Before Computation_cc_6,After Computation_cc_6,core6,SSR Config Time_cc_6,Overlap Stall Time_cc_6,Raw Compute Time_cc_6,Sum Raw Compute + Overlap Stall_cc_6,Sum Compute+Stall+Pro+Epi_cc_6,Sum Compute + SSR Configs_cc_6,cc_tiles_cc_6,Global Sim E2E_cc_7,Core Complex E2E_cc_7,Sum Region Cycles_cc_7,Before Computation_cc_7,After Computation_cc_7,core7,SSR Config Time_cc_7,Overlap Stall Time_cc_7,Raw Compute Time_cc_7,Sum Raw Compute + Overlap Stall_cc_7,Sum Compute+Stall+Pro+Epi_cc_7,Sum Compute + SSR Configs_cc_7,cc_tiles_cc_7,Kernel Time,dma,Global Sim E2E_dma,dma cycle_q,Total CC Tiles,Overlap Stall Time Total,Raw Compute Time Total,SSR Config Time Total,Sum Compute + SSR Configs Total,Diff from dma E2E_cc_0,Sum Regions - Core Complex E2E_cc_0,Diff from dma E2E_cc_1,Sum Regions - Core Complex E2E_cc_1,Diff from dma E2E_cc_2,Sum Regions - Core Complex E2E_cc_2,Diff from dma E2E_cc_3,Sum Regions - Core Complex E2E_cc_3,Diff from dma E2E_cc_4,Sum Regions - Core Complex E2E_cc_4,Diff from dma E2E_cc_5,Sum Regions - Core Complex E2E_cc_5,Diff from dma E2E_cc_6,Sum Regions - Core Complex E2E_cc_6,Diff from dma E2E_cc_7,Sum Regions - Core Complex E2E_cc_7
128x128x128w22-64-65,338256,338256,338207,3896,497,333861,2801,5087,325926,331013,338207,328727,24,338246,338246,338197,3895,467,333882,2778,5645,325412,331057,338197,328190,24,338245,338245,338196,3894,4570,329779,2769,17988,308975,326963,338196,311744,24,338244,338244,338195,3893,4512,329837,2833,17232,309725,326957,338195,312558,24,338241,338241,338192,3890,4514,329835,2849,17241,309698,326939,338192,312547,24,338240,338240,338191,3889,4486,329863,2833,15537,311446,326983,338191,314279,24,338239,338239,338190,3888,4511,329838,2865,102106,224820,326926,338190,227685,24,338238,338238,338189,3887,4502,329847,2910,101883,225007,326890,338189,227917,24,333882,338235,338235,338254,192,282719,2341009,22638,2363647,21,21,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w22-64-66,337848,337848,337799,3955,496,333395,2792,4877,325679,330556,337799,328471,24,337838,337838,337789,3954,467,333415,2767,4986,325615,330601,337789,328382,24,337837,337837,337788,3953,4516,329366,2764,17709,308846,326555,337788,311610,24,337836,337836,337787,3952,4473,329409,2817,16983,309562,326545,337787,312379,24,337833,337833,337784,3949,4488,329394,2804,17296,309247,326543,337784,312051,24,337832,337832,337783,3948,4462,329420,2833,15651,310889,326540,337783,313722,24,337831,337831,337782,3947,4461,329421,2884,102074,224416,326490,337782,227300,24,337830,337830,337781,3946,4452,329430,2882,101819,224682,326501,337781,227564,24,333415,337827,337827,337846,192,281395,2338936,22543,2361479,21,21,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w23-64-64,323920,323920,323871,3871,439,319608,2934,3622,313005,316627,323871,315939,24,323902,323902,323853,3870,448,319582,2929,3758,312848,316606,323853,315777,24,323903,323903,323854,3869,443,319589,2890,4023,312629,316652,323854,315519,24,323901,323901,323852,3868,410,319621,2874,3027,313673,316700,323852,316547,24,323900,323900,323851,3865,400,319633,2869,3600,313117,316717,323851,315986,24,323900,323900,323851,3864,4638,315396,2872,15711,296766,312477,323851,299638,24,323900,323900,323851,3863,4633,315402,2934,15813,296608,312421,323851,299542,24,323900,323900,323851,3862,4637,315399,2884,103453,209015,312468,323851,211899,24,319633,323898,323898,323917,192,153007,2367661,23186,2390847,22,22,4,4,5,5,3,3,2,2,2,2,2,2,2,2
128x128x128w24-64-64,312089,312089,312040,3852,401,307834,2910,3735,301142,304877,312040,304052,24,312083,312083,312034,3851,386,307844,2910,4074,300813,304887,312034,303723,24,312082,312082,312033,3850,411,307819,2907,3841,301024,304865,312033,303931,24,312081,312081,312032,3849,369,307861,2910,3206,301698,304904,312032,304608,24,312078,312078,312029,3846,376,307854,2845,3280,301682,304962,312029,304527,24,312077,312077,312028,3845,407,307823,2852,2529,302395,304924,312028,305247,24,312076,312076,312027,3844,407,307823,2921,2773,302082,304855,312027,305003,24,312075,312075,312026,3843,406,307824,2864,3024,301889,304913,312026,304753,24,307861,312072,312072,312091,192,26462,2412725,23119,2435844,17,17,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w32-48-64,292914,292914,292865,3852,545,288515,2742,4287,281439,285726,292865,284181,24,292905,292905,292856,3851,579,288473,2749,4320,281357,285677,292856,284106,24,292904,292904,292855,3850,558,288494,2793,4482,281172,285654,292855,283965,24,292903,292903,292854,3849,508,288544,2774,3730,281993,285723,292854,284767,24,292900,292900,292851,3846,488,288564,2857,3695,281965,285660,292851,284822,24,292899,292899,292850,3845,487,288565,2827,3163,282528,285691,292850,285355,24,292898,292898,292849,3844,486,288566,2844,3114,282561,285675,292849,285405,24,292897,292897,292848,3843,485,288567,2764,3094,282662,285756,292848,285426,24,288567,292894,292894,292913,192,29885,2255677,22350,2278027,20,20,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w32-48-65,292689,292689,292640,3878,494,288315,2772,3888,281608,285496,292640,284380,24,292683,292683,292634,3877,509,288295,2803,4198,281247,285445,292634,284050,24,292682,292682,292633,3876,508,288296,2755,4245,281249,285494,292633,284004,24,292681,292681,292632,3875,504,288300,2797,3792,281664,285456,292632,284461,24,292678,292678,292629,3872,498,288306,2777,3770,281712,285482,292629,284489,24,292677,292677,292628,3871,471,288333,2784,3360,282142,285502,292628,284926,24,292676,292676,292627,3870,486,288318,2755,3472,282044,285516,292627,284799,24,292675,292675,292626,3869,485,288319,2801,3078,282393,285471,292626,285194,24,288333,292672,292672,292691,192,29803,2254059,22244,2276303,17,17,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w32-48-66,292740,292740,292691,3901,543,288294,2816,3976,281455,285431,292691,284271,24,292727,292727,292678,3900,563,288262,2738,4447,281030,285477,292678,283768,24,292727,292727,292678,3899,591,288235,2787,4079,281322,285401,292678,284109,24,292727,292727,292678,3898,530,288297,2768,3757,281725,285482,292678,284493,24,292725,292725,292676,3895,533,288295,2809,3824,281615,285439,292676,284424,24,292725,292725,292676,3894,480,288349,2786,3668,281848,285516,292676,284634,24,292725,292725,292676,3896,513,288314,2744,3566,281957,285523,292676,284701,24,292725,292725,292676,3895,506,288322,2864,2984,282427,285411,292676,285291,24,288349,292723,292723,292742,192,30301,2253379,22312,2275691,17,17,4,4,4,4,4,4,2,2,2,2,2,2,2,2
128x128x128w32-48-67,292978,292978,292929,3911,502,288563,2747,3522,282247,285769,292929,284994,24,292965,292965,292916,3910,491,288562,2736,3836,281943,285779,292916,284679,24,292965,292965,292916,3909,493,288561,2774,3792,281948,285740,292916,284722,24,292965,292965,292916,3908,498,288557,2763,3521,282226,285747,292916,284989,24,292963,292963,292914,3905,492,288564,2806,3575,282136,285711,292914,284942,24,292963,292963,292914,3904,490,288567,2787,3327,282406,285733,292914,285193,24,292963,292963,292914,3906,492,288563,2741,3578,282197,285775,292914,284938,24,292963,292963,292914,3905,483,288573,2857,3036,282633,285669,292914,285490,24,288576,292961,292961,292980,192,28187,2257736,22211,2279947,17,17,4,4,4,4,4,4,2,2,2,2,2,2,2,2
128x128x128w32-48-69,294075,294075,294026,3931,501,289641,2768,3714,283112,286826,294026,285880,24,294062,294062,294013,3930,490,289640,2753,4031,282809,286840,294013,285562,24,294062,294062,294013,3929,489,289642,2770,4123,282702,286825,294013,285472,24,294062,294062,294013,3928,497,289635,2767,3527,283294,286821,294013,286061,24,294060,294060,294011,3925,489,289644,2755,3615,283227,286842,294011,285982,24,294060,294060,294011,3924,488,289646,2811,3239,283549,286788,294011,286360,24,294060,294060,294011,3926,482,289650,2767,3367,283469,286836,294011,286236,24,294060,294060,294011,3925,489,289644,2845,3029,283723,286752,294011,286568,24,289653,294058,294058,294077,192,28645,2265885,22236,2288121,17,17,4,4,4,4,4,4,2,2,2,2,2,2,2,2
128x128x128w32-48-70,293655,293655,293606,3936,499,289218,2749,3706,282716,286422,293606,285465,24,293642,293642,293593,3935,547,289158,2699,4227,282185,286412,293593,284884,24,293642,293642,293593,3934,579,289127,2761,4132,282187,286319,293593,284948,24,293642,293642,293593,3933,539,289168,2764,3591,282766,286357,293593,285530,24,293640,293640,293591,3930,509,289199,2760,3712,282680,286392,293591,285440,24,293640,293640,293591,3929,497,289212,2827,3340,282998,286338,293591,285825,24,293640,293640,293591,3931,499,289208,2776,3510,282875,286385,293591,285651,24,293640,293640,293591,3930,482,289226,2830,3005,283344,286349,293591,286174,24,289229,293638,293638,293657,192,29223,2261751,22166,2283917,17,17,4,4,4,4,4,4,2,2,2,2,2,2,2,2
128x128x128w32-64-43,318040,318040,317991,3781,700,313557,2818,4116,306576,310692,317991,309394,24,318027,318027,317978,3780,724,313521,2821,4391,306262,310653,317978,309083,24,318027,318027,317978,3779,699,313547,2849,5474,305177,310651,317978,308026,24,318027,318027,317978,3778,591,313656,2838,3251,307520,310771,317978,310358,24,318025,318025,317976,3775,733,313515,2790,3961,306717,310678,317976,309507,24,318025,318025,317976,3774,625,313624,2763,3405,307409,310814,317976,310172,24,318025,318025,317976,3773,714,313536,2829,3434,307226,310660,317976,310055,24,318017,318017,317968,3772,641,313602,2811,3385,307359,310744,317968,310170,24,313656,318015,318015,318034,192,31417,2454246,22519,2476765,25,25,12,12,12,12,12,12,10,10,10,10,10,10,2,2
128x128x128w32-64-44,316247,316247,316198,3789,662,311794,2810,4330,304607,308937,316198,307417,24,316242,316242,316193,3788,896,311556,2793,6795,301921,308716,316193,304714,24,316241,316241,316192,3787,720,311732,2813,6075,302797,308872,316192,305610,24,316240,316240,316191,3786,664,311788,2801,3605,305335,308940,316191,308136,24,316237,316237,316188,3783,647,311805,2832,4437,304489,308926,316188,307321,24,316236,316236,316187,3782,619,311833,2834,3301,305651,308952,316187,308485,24,316235,316235,316186,3781,620,311832,2877,3613,305295,308908,316186,308172,24,316234,316234,316185,3780,627,311825,2822,3367,305589,308956,316185,308411,24,311833,316231,316231,316250,192,35523,2435684,22582,2458266,16,16,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w32-64-46,315233,315233,315184,3811,641,310779,2825,4669,303238,307907,315184,306063,24,315220,315220,315171,3810,688,310720,2825,5264,302584,307848,315171,305409,24,315220,315220,315171,3809,679,310730,2857,6821,301005,307826,315171,303862,24,315220,315220,315171,3808,630,310780,2861,4519,303353,307872,315171,306214,24,315218,315218,315169,3805,622,310789,2839,4403,303500,307903,315169,306339,24,315218,315218,315169,3804,620,310792,2865,3357,304523,307880,315169,307388,24,315218,315218,315169,3803,678,310735,2877,3759,304052,307811,315169,306929,24,315210,315210,315161,3802,623,310783,2856,3094,304786,307880,315161,307642,24,310792,315208,315208,315227,192,35886,2427041,22805,2449846,25,25,12,12,12,12,12,12,10,10,10,10,10,10,2,2
128x128x128w32-64-47,313917,313917,313868,3858,686,309371,2802,4948,301574,306522,313868,304376,24,313904,313904,313855,3857,726,309319,2815,5429,301028,306457,313855,303843,24,313904,313904,313855,3856,875,309171,2803,5839,300482,306321,313855,303285,24,313904,313904,313855,3855,621,309426,2808,3769,302802,306571,313855,305610,24,313902,313902,313853,3852,647,309401,2882,4029,302443,306472,313853,305325,24,313902,313902,313853,3851,617,309432,2899,3232,303254,306486,313853,306153,24,313902,313902,313853,3850,627,309423,2884,3843,302649,306492,313853,305533,24,313894,313894,313845,3849,651,309392,2858,3533,302954,306487,313845,305812,24,309432,313892,313892,313911,192,34622,2417186,22751,2439937,25,25,12,12,12,12,12,12,10,10,10,10,10,10,2,2
128x128x128w32-64-48,313768,313768,313719,3812,731,309223,2879,5344,300953,306297,313719,303832,24,313765,313765,313716,3811,758,309194,2906,7774,298467,306241,313716,301373,24,313764,313764,313715,3810,711,309241,2839,5964,300391,306355,313715,303230,24,313763,313763,313714,3809,657,309295,2893,4405,301950,306355,313714,304843,24,313760,313760,313711,3806,664,309288,2883,4849,301509,306358,313711,304392,24,313759,313759,313710,3805,628,309324,2892,3668,302717,306385,313710,305609,24,313758,313758,313709,3804,646,309306,2864,4149,302246,306395,313709,305110,24,313757,313757,313708,3803,644,309308,2886,4071,302304,306375,313708,305190,24,309324,313754,313754,313773,192,40224,2410537,23042,2433579,14,14,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w32-64-50,315725,315725,315676,3890,672,311161,2854,4140,304120,308260,315676,306974,24,315712,315712,315663,3889,726,311095,2862,5109,303077,308186,315663,305939,24,315712,315712,315663,3888,703,311119,2855,6753,301464,308217,315663,304319,24,315712,315712,315663,3887,622,311201,2822,3916,304416,308332,315663,307238,24,315710,315710,315661,3884,667,311157,2871,4193,304046,308239,315661,306917,24,315710,315710,315661,3883,619,311206,2833,3214,305112,308326,315661,307945,24,315710,315710,315661,3882,645,311181,2883,3555,304696,308251,315661,307579,24,315702,315702,315653,3881,688,311131,2830,3231,305023,308254,315653,307853,24,311206,315700,315700,315719,192,34111,2431954,22810,2454764,25,25,12,12,12,12,12,12,10,10,10,10,10,10,2,2
