FakeNN JSON Name,Global Sim E2E_cc_0,Core Complex E2E_cc_0,Sum Region Cycles_cc_0,Before Computation_cc_0,After Computation_cc_0,core0,SSR Config Time_cc_0,Overlap Stall Time_cc_0,Raw Compute Time_cc_0,Sum Raw Compute + Overlap Stall_cc_0,Sum Compute+Stall+Pro+Epi_cc_0,Sum Compute + SSR Configs_cc_0,cc_tiles_cc_0,Global Sim E2E_cc_1,Core Complex E2E_cc_1,Sum Region Cycles_cc_1,Before Computation_cc_1,After Computation_cc_1,core1,SSR Config Time_cc_1,Overlap Stall Time_cc_1,Raw Compute Time_cc_1,Sum Raw Compute + Overlap Stall_cc_1,Sum Compute+Stall+Pro+Epi_cc_1,Sum Compute + SSR Configs_cc_1,cc_tiles_cc_1,Global Sim E2E_cc_2,Core Complex E2E_cc_2,Sum Region Cycles_cc_2,Before Computation_cc_2,After Computation_cc_2,core2,SSR Config Time_cc_2,Overlap Stall Time_cc_2,Raw Compute Time_cc_2,Sum Raw Compute + Overlap Stall_cc_2,Sum Compute+Stall+Pro+Epi_cc_2,Sum Compute + SSR Configs_cc_2,cc_tiles_cc_2,Global Sim E2E_cc_3,Core Complex E2E_cc_3,Sum Region Cycles_cc_3,Before Computation_cc_3,After Computation_cc_3,core3,SSR Config Time_cc_3,Overlap Stall Time_cc_3,Raw Compute Time_cc_3,Sum Raw Compute + Overlap Stall_cc_3,Sum Compute+Stall+Pro+Epi_cc_3,Sum Compute + SSR Configs_cc_3,cc_tiles_cc_3,Global Sim E2E_cc_4,Core Complex E2E_cc_4,Sum Region Cycles_cc_4,Before Computation_cc_4,After Computation_cc_4,core4,SSR Config Time_cc_4,Overlap Stall Time_cc_4,Raw Compute Time_cc_4,Sum Raw Compute + Overlap Stall_cc_4,Sum Compute+Stall+Pro+Epi_cc_4,Sum Compute + SSR Configs_cc_4,cc_tiles_cc_4,Global Sim E2E_cc_5,Core Complex E2E_cc_5,Sum Region Cycles_cc_5,Before Computation_cc_5,After Computation_cc_5,core5,SSR Config Time_cc_5,Overlap Stall Time_cc_5,Raw Compute Time_cc_5,Sum Raw Compute + Overlap Stall_cc_5,Sum Compute+Stall+Pro+Epi_cc_5,Sum Compute + SSR Configs_cc_5,cc_tiles_cc_5,Global Sim E2E_cc_6,Core Complex E2E_cc_6,Sum Region Cycles_cc_6,Before Computation_cc_6,After Computation_cc_6,core6,SSR Config Time_cc_6,Overlap Stall Time_cc_6,Raw Compute Time_cc_6,Sum Raw Compute + Overlap Stall_cc_6,Sum Compute+Stall+Pro+Epi_cc_6,Sum Compute + SSR Configs_cc_6,cc_tiles_cc_6,Global Sim E2E_cc_7,Core Complex E2E_cc_7,Sum Region Cycles_cc_7,Before Computation_cc_7,After Computation_cc_7,core7,SSR Config Time_cc_7,Overlap Stall Time_cc_7,Raw Compute Time_cc_7,Sum Raw Compute + Overlap Stall_cc_7,Sum Compute+Stall+Pro+Epi_cc_7,Sum Compute + SSR Configs_cc_7,cc_tiles_cc_7,Kernel Time,dma,Global Sim E2E_dma,dma cycle_q,Total CC Tiles,Overlap Stall Time Total,Raw Compute Time Total,SSR Config Time Total,Sum Compute + SSR Configs Total,Diff from dma E2E_cc_0,Sum Regions - Core Complex E2E_cc_0,Diff from dma E2E_cc_1,Sum Regions - Core Complex E2E_cc_1,Diff from dma E2E_cc_2,Sum Regions - Core Complex E2E_cc_2,Diff from dma E2E_cc_3,Sum Regions - Core Complex E2E_cc_3,Diff from dma E2E_cc_4,Sum Regions - Core Complex E2E_cc_4,Diff from dma E2E_cc_5,Sum Regions - Core Complex E2E_cc_5,Diff from dma E2E_cc_6,Sum Regions - Core Complex E2E_cc_6,Diff from dma E2E_cc_7,Sum Regions - Core Complex E2E_cc_7
192x384x384w24-64-64,4145089.0,4145089.0,4144512.0,3846.0,609.0,4140632.0,29443.0,57489.0,4053125.0,4110614.0,4144512.0,4082568.0,288.0,4145075.0,4145075.0,4144498.0,3845.0,577.0,4140651.0,28477.0,57772.0,4053827.0,4111599.0,4144498.0,4082304.0,288.0,4145076.0,4145076.0,4144499.0,3844.0,596.0,4140634.0,28368.0,58188.0,4053503.0,4111691.0,4144499.0,4081871.0,288.0,4145074.0,4145074.0,4144497.0,3843.0,550.0,4140679.0,28799.0,43948.0,4067357.0,4111305.0,4144497.0,4096156.0,288.0,4145073.0,4145073.0,4144496.0,3840.0,603.0,4140628.0,29217.0,50772.0,4060064.0,4110836.0,4144496.0,4089281.0,288.0,4145073.0,4145073.0,4144496.0,3839.0,552.0,4140680.0,29161.0,37704.0,4073240.0,4110944.0,4144496.0,4102401.0,288.0,4145073.0,4145073.0,4144496.0,3838.0,603.0,4140630.0,29123.0,43119.0,4067813.0,4110932.0,4144496.0,4096936.0,288.0,4145073.0,4145073.0,4144496.0,3837.0,537.0,4140697.0,29005.0,39853.0,4071264.0,4111117.0,4144496.0,4100269.0,288.0,4140697.0,4145071.0,4145071.0,4145090.0,2304.0,388845.0,32500193.0,231593.0,32731786.0,18.0,18.0,4.0,4.0,5.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
192x384x384w27-48-77,4550280.0,4550280.0,4549639.0,3999.0,338.0,4545941.0,31844.0,46901.0,4466557.0,4513458.0,4549639.0,4498401.0,320.0,4550277.0,4550277.0,4549636.0,3998.0,324.0,4545953.0,31905.0,48217.0,4465192.0,4513409.0,4549636.0,4497097.0,320.0,4550276.0,4550276.0,4549635.0,3997.0,326.0,4545951.0,31665.0,51554.0,4462093.0,4513647.0,4549635.0,4493758.0,320.0,4550275.0,4550275.0,4549714.0,3996.0,166816.0,4379461.0,28390.0,1086486.0,3264026.0,4350512.0,4549714.0,3292416.0,280.0,4550272.0,4550272.0,4549711.0,3993.0,166831.0,4379446.0,28289.0,1086271.0,3264327.0,4350598.0,4549711.0,3292616.0,280.0,4550271.0,4550271.0,4549710.0,3992.0,166810.0,4379467.0,28482.0,1080897.0,3269529.0,4350426.0,4549710.0,3298011.0,280.0,4550270.0,4550270.0,4549709.0,3991.0,166827.0,4379450.0,28383.0,1082962.0,3267546.0,4350508.0,4549709.0,3295929.0,280.0,4550269.0,4550269.0,4549708.0,3990.0,166809.0,4379468.0,28278.0,1079432.0,3271199.0,4350631.0,4549708.0,3299477.0,280.0,4545953.0,4550266.0,4550266.0,4550285.0,2360.0,5562720.0,29730469.0,237236.0,29967705.0,14.0,14.0,11.0,11.0,10.0,10.0,9.0,9.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0
192x384x384w27-48-78,4552963.0,4552963.0,4552322.0,4053.0,356.0,4548552.0,31264.0,48847.0,4467802.0,4516649.0,4552322.0,4499066.0,320.0,4552949.0,4552949.0,4552308.0,4052.0,350.0,4548545.0,31061.0,52105.0,4464740.0,4516845.0,4552308.0,4495801.0,320.0,4552949.0,4552949.0,4552308.0,4051.0,348.0,4548548.0,31311.0,52231.0,4464367.0,4516598.0,4552308.0,4495678.0,320.0,4552949.0,4552949.0,4552388.0,4050.0,167118.0,4381779.0,27859.0,1089871.0,3263490.0,4353361.0,4552388.0,3291349.0,280.0,4552947.0,4552947.0,4552386.0,4047.0,167118.0,4381780.0,28274.0,1089527.0,3263420.0,4352947.0,4552386.0,3291694.0,280.0,4552947.0,4552947.0,4552386.0,4046.0,167110.0,4381789.0,27683.0,1086957.0,3266590.0,4353547.0,4552386.0,3294273.0,280.0,4552947.0,4552947.0,4552386.0,4045.0,167129.0,4381771.0,27677.0,1088762.0,3264773.0,4353535.0,4552386.0,3292450.0,280.0,4552939.0,4552939.0,4552378.0,4044.0,167087.0,4381806.0,27521.0,1084776.0,3268950.0,4353726.0,4552378.0,3296471.0,280.0,4548552.0,4552937.0,4552937.0,4552956.0,2360.0,5593076.0,29724132.0,232650.0,29956782.0,26.0,26.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0
192x384x384w28-56-64,4267978.0,4267978.0,4267389.0,3935.0,573.0,4263468.0,29077.0,64790.0,4169014.0,4233804.0,4267389.0,4198091.0,294.0,4267968.0,4267968.0,4267379.0,3934.0,563.0,4263469.0,29063.0,64075.0,4169744.0,4233819.0,4267379.0,4198807.0,294.0,4267967.0,4267967.0,4267378.0,3933.0,548.0,4263484.0,29531.0,63223.0,4170143.0,4233366.0,4267378.0,4199674.0,294.0,4267966.0,4267966.0,4267377.0,3932.0,506.0,4263526.0,28994.0,49605.0,4184340.0,4233945.0,4267377.0,4213334.0,294.0,4267963.0,4267963.0,4267374.0,3929.0,561.0,4263471.0,29197.0,960517.0,3273170.0,4233687.0,4267374.0,3302367.0,294.0,4267962.0,4267962.0,4267373.0,3928.0,519.0,4263513.0,29104.0,952488.0,3281334.0,4233822.0,4267373.0,3310438.0,294.0,4267961.0,4267961.0,4267372.0,3927.0,517.0,4263515.0,29312.0,952188.0,3281428.0,4233616.0,4267372.0,3310740.0,294.0,4267960.0,4267960.0,4267371.0,3926.0,504.0,4263528.0,28673.0,952522.0,3281746.0,4234268.0,4267371.0,3310419.0,294.0,4263528.0,4267957.0,4267957.0,4267976.0,2352.0,4059408.0,29810919.0,232951.0,30043870.0,21.0,21.0,11.0,11.0,10.0,10.0,9.0,9.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0
192x384x384w28-56-65,4272581.0,4272581.0,4271992.0,4080.0,574.0,4267925.0,29348.0,68152.0,4169838.0,4237990.0,4271992.0,4199186.0,294.0,4272572.0,4272572.0,4271983.0,4079.0,560.0,4267931.0,29297.0,67607.0,4170440.0,4238047.0,4271983.0,4199737.0,294.0,4272571.0,4272571.0,4271982.0,4078.0,581.0,4267910.0,28853.0,68144.0,4170326.0,4238470.0,4271982.0,4199179.0,294.0,4272570.0,4272570.0,4271981.0,4077.0,596.0,4267895.0,29235.0,58439.0,4179634.0,4238073.0,4271981.0,4208869.0,294.0,4272567.0,4272567.0,4271978.0,4074.0,577.0,4267914.0,29381.0,967538.0,3270408.0,4237946.0,4271978.0,3299789.0,294.0,4272566.0,4272566.0,4271977.0,4073.0,571.0,4267920.0,29025.0,961446.0,3276862.0,4238308.0,4271977.0,3305887.0,294.0,4272565.0,4272565.0,4271976.0,4072.0,573.0,4267918.0,28984.0,961130.0,3277217.0,4238347.0,4271976.0,3306201.0,294.0,4272564.0,4272564.0,4271975.0,4071.0,569.0,4267922.0,29351.0,957501.0,3280483.0,4237984.0,4271975.0,3309834.0,294.0,4267931.0,4272561.0,4272561.0,4272580.0,2352.0,4109957.0,29795208.0,233474.0,30028682.0,20.0,20.0,11.0,11.0,10.0,10.0,9.0,9.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0
192x384x384w28-56-66,4269252.0,4269252.0,4268663.0,4136.0,585.0,4264529.0,29142.0,65809.0,4168991.0,4234800.0,4268663.0,4198133.0,294.0,4269243.0,4269243.0,4268654.0,4135.0,570.0,4264536.0,29147.0,65026.0,4169776.0,4234802.0,4268654.0,4198923.0,294.0,4269242.0,4269242.0,4268653.0,4134.0,576.0,4264530.0,28243.0,66505.0,4169195.0,4235700.0,4268653.0,4197438.0,294.0,4269241.0,4269241.0,4268652.0,4133.0,574.0,4264532.0,29161.0,59300.0,4175484.0,4234784.0,4268652.0,4204645.0,294.0,4269238.0,4269238.0,4268649.0,4130.0,589.0,4264517.0,29000.0,969118.0,3265812.0,4234930.0,4268649.0,3294812.0,294.0,4269237.0,4269237.0,4268648.0,4129.0,563.0,4264543.0,29258.0,961567.0,3273131.0,4234698.0,4268648.0,3302389.0,294.0,4269236.0,4269236.0,4268647.0,4128.0,581.0,4264525.0,29276.0,964677.0,3269985.0,4234662.0,4268647.0,3299261.0,294.0,4269235.0,4269235.0,4268646.0,4127.0,580.0,4264526.0,29273.0,958187.0,3276479.0,4234666.0,4268646.0,3305752.0,294.0,4264543.0,4269232.0,4269232.0,4269251.0,2352.0,4110189.0,29768853.0,232500.0,30001353.0,20.0,20.0,11.0,11.0,10.0,10.0,9.0,9.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0
192x384x384w28-64-55,4627150.0,4627150.0,4626561.0,3881.0,573.0,4622694.0,29953.0,62371.0,4529783.0,4592154.0,4626561.0,4559736.0,294.0,4627137.0,4627137.0,4626548.0,3880.0,572.0,4622683.0,29779.0,67167.0,4525150.0,4592317.0,4626548.0,4554929.0,294.0,4627137.0,4627137.0,4626548.0,3879.0,591.0,4622665.0,29582.0,67605.0,4524891.0,4592496.0,4626548.0,4554473.0,294.0,4627137.0,4627137.0,4626548.0,3881.0,568.0,4622686.0,29500.0,48077.0,4544522.0,4592599.0,4626548.0,4574022.0,294.0,4627135.0,4627135.0,4626546.0,3878.0,576.0,4622679.0,29919.0,967106.0,3625067.0,4592173.0,4626546.0,3654986.0,294.0,4627135.0,4627135.0,4626546.0,3878.0,591.0,4622664.0,29672.0,959183.0,3633222.0,4592405.0,4626546.0,3662894.0,294.0,4627135.0,4627135.0,4626546.0,3878.0,626.0,4622629.0,29860.0,962868.0,3629314.0,4592182.0,4626546.0,3659174.0,294.0,4627127.0,4627127.0,4626538.0,3878.0,543.0,4622704.0,29679.0,957431.0,3635007.0,4592438.0,4626538.0,3664686.0,294.0,4622710.0,4627125.0,4627125.0,4627144.0,2352.0,4091808.0,32646956.0,237944.0,32884900.0,25.0,25.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0
192x384x384w28-64-56,4637959.0,4637959.0,4637370.0,4026.0,662.0,4633269.0,29474.0,73818.0,4529390.0,4603208.0,4637370.0,4558864.0,294.0,4637954.0,4637954.0,4637365.0,4025.0,691.0,4633236.0,29468.0,77799.0,4525382.0,4603181.0,4637365.0,4554850.0,294.0,4637953.0,4637953.0,4637364.0,4024.0,718.0,4633209.0,29586.0,82282.0,4520754.0,4603036.0,4637364.0,4550340.0,294.0,4637952.0,4637952.0,4637363.0,4023.0,641.0,4633286.0,29472.0,55409.0,4547818.0,4603227.0,4637363.0,4577290.0,294.0,4637949.0,4637949.0,4637360.0,4020.0,631.0,4633296.0,29747.0,980549.0,3622413.0,4602962.0,4637360.0,3652160.0,294.0,4637948.0,4637948.0,4637359.0,4019.0,596.0,4633331.0,28857.0,965493.0,3638394.0,4603887.0,4637359.0,3667251.0,294.0,4637947.0,4637947.0,4637358.0,4018.0,619.0,4633308.0,29407.0,968304.0,3635010.0,4603314.0,4637358.0,3664417.0,294.0,4637946.0,4637946.0,4637357.0,4017.0,603.0,4633324.0,29212.0,964040.0,3639485.0,4603525.0,4637357.0,3668697.0,294.0,4633331.0,4637943.0,4637943.0,4637962.0,2352.0,4167694.0,32658646.0,235223.0,32893869.0,16.0,16.0,11.0,11.0,10.0,10.0,9.0,9.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0
192x384x384w28-64-57,4639671.0,4639671.0,4639082.0,4025.0,627.0,4635017.0,29246.0,65004.0,4540180.0,4605184.0,4639082.0,4569426.0,294.0,4639666.0,4639666.0,4639077.0,4024.0,639.0,4635001.0,29165.0,75765.0,4529484.0,4605249.0,4639077.0,4558649.0,294.0,4639665.0,4639665.0,4639076.0,4023.0,649.0,4634991.0,29342.0,78028.0,4527034.0,4605062.0,4639076.0,4556376.0,294.0,4639664.0,4639664.0,4639075.0,4022.0,604.0,4635036.0,29206.0,56862.0,4548381.0,4605243.0,4639075.0,4577587.0,294.0,4639661.0,4639661.0,4639072.0,4019.0,664.0,4634976.0,29740.0,973098.0,3631551.0,4604649.0,4639072.0,3661291.0,294.0,4639660.0,4639660.0,4639071.0,4018.0,606.0,4635034.0,29304.0,968308.0,3636835.0,4605143.0,4639071.0,3666139.0,294.0,4639659.0,4639659.0,4639070.0,4017.0,661.0,4634979.0,29383.0,967922.0,3637087.0,4605009.0,4639070.0,3666470.0,294.0,4639658.0,4639658.0,4639069.0,4016.0,621.0,4635019.0,29212.0,962614.0,3642606.0,4605220.0,4639069.0,3671818.0,294.0,4635036.0,4639655.0,4639655.0,4639674.0,2352.0,4147601.0,32693158.0,234598.0,32927756.0,16.0,16.0,11.0,11.0,10.0,10.0,9.0,9.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0
192x384x384w28-64-58,4638471.0,4638471.0,4637882.0,4086.0,753.0,4633630.0,29056.0,63134.0,4540853.0,4603987.0,4637882.0,4569909.0,294.0,4638458.0,4638458.0,4637869.0,4085.0,689.0,4633682.0,29092.0,69521.0,4534482.0,4604003.0,4637869.0,4563574.0,294.0,4638458.0,4638458.0,4637869.0,4084.0,729.0,4633643.0,29118.0,74773.0,4529165.0,4603938.0,4637869.0,4558283.0,294.0,4638458.0,4638458.0,4637869.0,4083.0,596.0,4633777.0,29200.0,53634.0,4550356.0,4603990.0,4637869.0,4579556.0,294.0,4638456.0,4638456.0,4637867.0,4080.0,614.0,4633760.0,29773.0,967009.0,3636391.0,4603400.0,4637867.0,3666164.0,294.0,4638456.0,4638456.0,4637867.0,4079.0,619.0,4633756.0,30160.0,960484.0,3642525.0,4603009.0,4637867.0,3672685.0,294.0,4638456.0,4638456.0,4637867.0,4078.0,610.0,4633766.0,29539.0,965342.0,3638298.0,4603640.0,4637867.0,3667837.0,294.0,4638448.0,4638448.0,4637859.0,4077.0,597.0,4633772.0,29193.0,960915.0,3643077.0,4603992.0,4637859.0,3672270.0,294.0,4633777.0,4638446.0,4638446.0,4638465.0,2352.0,4114812.0,32715147.0,235131.0,32950278.0,25.0,25.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0
