FakeNN JSON Name,M,N,K,m,n,k,JSON Name,remainderTiles,tileB,tileC,tileA,tileA_cc,Reduction Dim,Weight Matrix Tile Size,tileB_cc,Space Remaining,Row Dim,Space Needed in L1,tileC_cc,m Dim,SSR Config Count
128x128x128w41-64-43,128,128,128,41,64,43,41-64-43,M0K,22016,20992,14104,1720,43,44032,22016,464,64,114224,2560,41,174
128x128x128w44-72-34,128,128,128,44,72,34,44-72-34,MNK,19584,25344,11968,1360,34,39168,19584,896,72,113792,2880,44,192
128x128x128w44-32-70,128,128,128,44,32,70,44-32-70,M0K,17920,11264,24640,2800,70,35840,17920,7040,32,107648,1280,44,192
128x128x128w33-64-46,128,128,128,33,64,46,33-64-46,M0K,23552,16896,12144,1472,46,47104,23552,9504,64,105184,2048,33,192
128x128x128w43-64-35,128,128,128,43,64,35,43-64-35,M0K,17920,22016,12040,1400,35,35840,17920,10736,64,103952,2560,43,192
128x128x128w72-32-43,128,128,128,72,32,43,72-32-43,M0K,11008,18432,24768,3096,43,22016,11008,6272,32,108416,2304,72,192
128x128x128w36-64-48,128,128,128,36,64,48,36-64-48,M0K,24576,18432,13824,1536,48,49152,24576,1024,64,113664,2048,36,192
128x128x128w32-48-68,128,128,128,32,48,68,32-48-68,0NK,26112,12288,17408,2176,68,52224,26112,3072,48,111616,1536,32,192
128x128x128w33-64-50,128,128,128,33,64,50,33-64-50,M0K,25600,16896,13200,1600,50,51200,25600,3296,64,111392,2048,33,192
128x128x128w47-32-67,128,128,128,47,32,67,47-32-67,M0K,17152,12032,25192,2680,67,34304,17152,5936,32,108752,1280,47,192
128x128x128w44-64-37,128,128,128,44,64,37,44-64-37,M0K,18944,22528,13024,1480,37,37888,18944,5696,64,108992,2560,44,192
128x128x128w66-32-48,128,128,128,66,32,48,66-32-48,M0K,12288,16896,25344,3072,48,24576,12288,5632,32,109056,2048,66,192
128x128x128w34-64-43,128,128,128,34,64,43,34-64-43,M0K,22016,17408,11696,1376,43,44032,22016,12448,64,102240,2048,34,192
128x128x128w52-32-64,128,128,128,52,32,64,52-32-64,M00,16384,13312,26624,3072,64,32768,16384,2048,32,112640,1536,52,192
128x128x128w47-32-69,128,128,128,47,32,69,47-32-69,M0K,17664,12032,25944,2760,69,35328,17664,3408,32,111280,1280,47,192
128x128x128w64-32-49,128,128,128,64,32,49,64-32-49,00K,12544,16384,25088,3136,49,25088,12544,6656,32,108032,2048,64,192
128x128x128w67-32-50,128,128,128,67,32,50,67-32-50,M0K,12800,17152,26800,3200,50,25600,12800,1184,32,113504,2048,67,192
128x128x128w64-32-45,128,128,128,64,32,45,64-32-45,00K,11520,16384,23040,2880,45,23040,11520,12800,32,101888,2048,64,192
