FakeNN JSON Name,Global Sim E2E_cc_0,Core Complex E2E_cc_0,Sum Region Cycles_cc_0,Before Computation_cc_0,After Computation_cc_0,core0,SSR Config Time_cc_0,Overlap Stall Time_cc_0,Raw Compute Time_cc_0,Sum Raw Compute + Overlap Stall_cc_0,Sum Compute+Stall+Pro+Epi_cc_0,Sum Compute + SSR Configs_cc_0,cc_tiles_cc_0,Global Sim E2E_cc_1,Core Complex E2E_cc_1,Sum Region Cycles_cc_1,Before Computation_cc_1,After Computation_cc_1,core1,SSR Config Time_cc_1,Overlap Stall Time_cc_1,Raw Compute Time_cc_1,Sum Raw Compute + Overlap Stall_cc_1,Sum Compute+Stall+Pro+Epi_cc_1,Sum Compute + SSR Configs_cc_1,cc_tiles_cc_1,Global Sim E2E_cc_2,Core Complex E2E_cc_2,Sum Region Cycles_cc_2,Before Computation_cc_2,After Computation_cc_2,core2,SSR Config Time_cc_2,Overlap Stall Time_cc_2,Raw Compute Time_cc_2,Sum Raw Compute + Overlap Stall_cc_2,Sum Compute+Stall+Pro+Epi_cc_2,Sum Compute + SSR Configs_cc_2,cc_tiles_cc_2,Global Sim E2E_cc_3,Core Complex E2E_cc_3,Sum Region Cycles_cc_3,Before Computation_cc_3,After Computation_cc_3,core3,SSR Config Time_cc_3,Overlap Stall Time_cc_3,Raw Compute Time_cc_3,Sum Raw Compute + Overlap Stall_cc_3,Sum Compute+Stall+Pro+Epi_cc_3,Sum Compute + SSR Configs_cc_3,cc_tiles_cc_3,Global Sim E2E_cc_4,Core Complex E2E_cc_4,Sum Region Cycles_cc_4,Before Computation_cc_4,After Computation_cc_4,core4,SSR Config Time_cc_4,Overlap Stall Time_cc_4,Raw Compute Time_cc_4,Sum Raw Compute + Overlap Stall_cc_4,Sum Compute+Stall+Pro+Epi_cc_4,Sum Compute + SSR Configs_cc_4,cc_tiles_cc_4,Global Sim E2E_cc_5,Core Complex E2E_cc_5,Sum Region Cycles_cc_5,Before Computation_cc_5,After Computation_cc_5,core5,SSR Config Time_cc_5,Overlap Stall Time_cc_5,Raw Compute Time_cc_5,Sum Raw Compute + Overlap Stall_cc_5,Sum Compute+Stall+Pro+Epi_cc_5,Sum Compute + SSR Configs_cc_5,cc_tiles_cc_5,Global Sim E2E_cc_6,Core Complex E2E_cc_6,Sum Region Cycles_cc_6,Before Computation_cc_6,After Computation_cc_6,core6,SSR Config Time_cc_6,Overlap Stall Time_cc_6,Raw Compute Time_cc_6,Sum Raw Compute + Overlap Stall_cc_6,Sum Compute+Stall+Pro+Epi_cc_6,Sum Compute + SSR Configs_cc_6,cc_tiles_cc_6,Global Sim E2E_cc_7,Core Complex E2E_cc_7,Sum Region Cycles_cc_7,Before Computation_cc_7,After Computation_cc_7,core7,SSR Config Time_cc_7,Overlap Stall Time_cc_7,Raw Compute Time_cc_7,Sum Raw Compute + Overlap Stall_cc_7,Sum Compute+Stall+Pro+Epi_cc_7,Sum Compute + SSR Configs_cc_7,cc_tiles_cc_7,Kernel Time,dma,Global Sim E2E_dma,dma cycle_q,Total CC Tiles,Overlap Stall Time Total,Raw Compute Time Total,SSR Config Time Total,Sum Compute + SSR Configs Total,Diff from dma E2E_cc_0,Sum Regions - Core Complex E2E_cc_0,Diff from dma E2E_cc_1,Sum Regions - Core Complex E2E_cc_1,Diff from dma E2E_cc_2,Sum Regions - Core Complex E2E_cc_2,Diff from dma E2E_cc_3,Sum Regions - Core Complex E2E_cc_3,Diff from dma E2E_cc_4,Sum Regions - Core Complex E2E_cc_4,Diff from dma E2E_cc_5,Sum Regions - Core Complex E2E_cc_5,Diff from dma E2E_cc_6,Sum Regions - Core Complex E2E_cc_6,Diff from dma E2E_cc_7,Sum Regions - Core Complex E2E_cc_7
128x128x128w16-16-64,316884,316884,316627,3133,365,313384,12564,16783,283782,300565,316627,296346,128,316888,316888,316631,3132,371,313383,12713,16995,283420,300415,316631,296133,128,316887,316887,316630,3131,367,313387,13108,16679,283345,300024,316630,296453,128,316886,316886,316629,3130,362,313392,13196,16352,283589,299941,316629,296785,128,316883,316883,316626,3127,351,313403,13088,15083,284977,300060,316626,298065,128,316882,316882,316625,3126,348,313406,12947,14748,285456,300204,316625,298403,128,316881,316881,316624,3125,341,313413,12538,13515,287105,300620,316624,299643,128,316880,316880,316623,3124,374,313380,12685,15914,284526,300440,316623,297211,128,313413,316877,316877,316896,1024,126069,2276200,102839,2379039,7,7,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w16-32-32,345263,345263,345007,3019,391,341851,12983,17400,311214,328614,345007,324197,128,345260,345260,345004,3018,352,341888,13048,16624,311962,328586,345004,325010,128,345259,345259,345003,3017,376,341864,13150,16338,312122,328460,345003,325272,128,345258,345258,345002,3016,366,341874,12888,14237,314495,328732,345002,327383,128,345255,345255,344999,3013,365,341875,12987,14720,313914,328634,344999,326901,128,345254,345254,344998,3012,356,341884,12637,13543,315450,328993,344998,328087,128,345253,345253,344997,3011,355,341885,12873,13612,315146,328758,344997,328019,128,345252,345252,344996,3010,354,341886,12640,16920,312072,328992,344996,324712,128,341888,345249,345249,345268,1024,123394,2506375,103206,2609581,14,14,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w16-64-16,356954,356954,356698,2982,476,353494,12717,22279,318244,340523,356698,330961,128,356949,356949,356693,2981,482,353484,12861,21473,318896,340369,356693,331757,128,356948,356948,356692,2980,481,353485,12972,21285,318974,340259,356692,331946,128,356947,356947,356691,2979,424,353542,13120,16513,323655,340168,356691,336775,128,356944,356944,356688,2976,489,353477,12910,19251,321062,340313,356688,333972,128,356943,356943,356687,2975,455,353511,13203,15683,324371,340054,356687,337574,128,356942,356942,356686,2974,469,353497,12978,16683,323582,340265,356686,336560,128,356941,356941,356685,2973,460,353506,12713,17125,323414,340539,356685,336127,128,353542,356938,356938,356957,1024,150292,2572198,103474,2675672,16,16,11,11,10,10,9,9,6,6,5,5,4,4,3,3
128x128x128w17-32-32,459737,459737,459481,3056,335,456344,13407,13697,428986,442683,459481,442393,128,459722,459722,459466,3055,1358,455307,12486,145968,296599,442567,459466,309085,128,459722,459722,459466,3054,1368,455298,13056,147496,294492,441988,459466,307548,128,459722,459722,459466,3053,1368,455299,13005,147072,294968,442040,459466,307973,128,459720,459720,459464,3050,1368,455300,13092,146436,295518,441954,459464,308610,128,459720,459720,459464,3049,1368,455301,13150,145538,296359,441897,459464,309509,128,459720,459720,459464,3048,1368,455302,13141,145668,296239,441907,459464,309380,128,459720,459720,459464,3047,1360,455311,13142,145365,296550,441915,459464,309692,128,456344,459710,459710,459729,1024,1037240,2499711,104479,2604190,27,27,12,12,12,12,12,12,10,10,10,10,10,10,10,10
128x128x128w18-32-32,441045,441045,440789,3075,297,437671,12718,16234,408465,424699,440789,421183,128,441030,441030,440774,3074,276,437678,12880,14763,409781,424544,440774,422661,128,441030,441030,440806,3073,21846,416109,11540,132390,271957,404347,440806,283497,112,441030,441030,440806,3072,21826,416130,11344,131340,273224,404564,440806,284568,112,441028,441028,440804,3069,21843,416114,11405,131043,273444,404487,440804,284849,112,441028,441028,440804,3068,21808,416150,11451,130064,274413,404477,440804,285864,112,441028,441028,440804,3067,21820,416139,11418,130030,274469,404499,440804,285887,112,441028,441028,440804,3066,21817,416143,11406,130131,274384,404515,440804,285790,112,437678,441018,441018,441037,928,815995,2460137,94162,2554299,27,27,12,12,12,12,12,12,10,10,10,10,10,10,10,10
128x128x128w19-32-32,402436,402436,402212,3144,384,398906,11149,13543,373992,387535,402212,385141,112,402418,402418,402194,3143,358,398915,10859,14889,372945,387834,402194,383804,112,402419,402419,402195,3142,396,398879,11204,14233,373220,387453,402195,384424,112,402417,402417,402193,3141,349,398925,11135,114926,272642,387568,402193,283777,112,402416,402416,402192,3138,353,398923,11322,115527,271852,387379,402192,283174,112,402416,402416,402192,3137,364,398913,11082,113828,273781,387609,402192,284863,112,402416,402416,402192,3136,1486,397792,11388,131242,254940,386182,402192,266328,112,402416,402416,402192,3135,1496,397783,11466,130754,255341,386095,402192,266807,112,398925,402414,402414,402433,896,648942,2448713,89605,2538318,22,22,4,4,5,5,3,3,2,2,2,2,2,2,2,2
128x128x128w20-32-32,386258,386258,386034,3142,344,382770,11641,13253,357654,370907,386034,369295,112,386240,386240,386016,3141,318,382779,11313,13455,357789,371244,386016,369102,112,386241,386241,386017,3140,342,382757,11317,13134,358084,371218,386017,369401,112,386239,386239,386015,3139,340,382758,11039,12623,358874,371497,386015,369913,112,386238,386238,386014,3136,343,382757,11269,116399,254867,371266,386014,266136,112,386238,386238,386014,3135,342,382759,11298,114846,256393,371239,386014,267691,112,386238,386238,386014,3134,334,382768,11672,115147,255727,370874,386014,267399,112,386238,386238,386014,3133,334,382769,11515,114549,256483,371032,386014,267998,112,382779,386236,386236,386255,896,513406,2455871,91064,2546935,22,22,4,4,5,5,3,3,2,2,2,2,2,2,2,2
128x128x128w21-32-26,406463,406463,406183,3199,340,402922,13756,23839,365049,388888,406183,378805,140,406445,406445,406165,3198,318,402927,13681,25440,363528,388968,406165,377209,140,406446,406446,406206,3197,22786,380461,11877,22087,346259,368346,406206,358136,120,406444,406444,406204,3196,22780,380466,11945,19731,348552,368283,406204,360497,120,406443,406443,406203,3193,22808,380440,11967,21148,347087,368235,406203,359054,120,406443,406443,406203,3192,23615,379634,11824,122594,244978,367572,406203,256802,120,406443,406443,406203,3191,23615,379635,11837,122847,244713,367560,406203,256550,120,406443,406443,406203,3190,23615,379636,11899,122677,244822,367499,406203,256721,120,402927,406441,406441,406460,1000,480363,2504988,98786,2603774,22,22,4,4,5,5,3,3,2,2,2,2,2,2,2,2
128x128x128w21-32-27,401989,401989,401709,3199,329,398459,13694,23788,360699,384487,401709,374393,140,401979,401979,401699,3198,318,398461,13666,24795,359722,384517,401699,373388,140,401980,401980,401740,3197,22773,376008,11827,21745,342198,363943,401740,354025,120,401978,401978,401738,3196,22724,376056,12012,20106,343700,363806,401738,355712,120,401977,401977,401737,3193,22741,376041,12024,20270,343509,363779,401737,355533,120,401977,401977,401737,3192,23410,375373,11880,122744,240511,363255,401737,252391,120,401977,401977,401737,3191,23421,375363,11957,123122,240046,363168,401737,252003,120,401977,401977,401737,3190,23421,375364,11857,123071,240198,363269,401737,252055,120,398461,401975,401975,401994,1000,479641,2470583,98917,2569500,14,14,4,4,5,5,3,3,2,2,2,2,2,2,2,2
128x128x128w21-32-28,398042,398042,397762,3214,342,394484,13660,23862,356684,380546,397762,370344,140,398024,398024,397744,3213,318,394491,13595,24317,356301,380618,397744,369896,140,398025,398025,397785,3212,22719,372092,11929,21223,338702,359925,397785,350631,120,398023,398023,397783,3211,22668,372142,11938,19894,340072,359966,397783,352010,120,398022,398022,397782,3208,22686,372126,12084,20407,339397,359804,397782,351481,120,398022,398022,397782,3207,23250,371563,11977,123345,236003,359348,397782,247980,120,398022,398022,397782,3206,23243,371571,11926,123358,236049,359407,397782,247975,120,398022,398022,397782,3205,23261,371554,11971,122500,236845,359345,397782,248816,120,394491,398020,398020,398039,1000,478906,2440053,99080,2539133,22,22,4,4,5,5,3,3,2,2,2,2,2,2,2,2
