FakeNN JSON Name_x,M,N,K,m,n,k,JSON Name,UnrollAndJam Loop Iters,SSR Config Count,Row Dim,Space Remaining,Total SSR Loads,A SSR Start Reuse Loads,Space Needed in L1,HW Loop Iters,m Dim,Weight Matrix Tile Size,B SSR Loads,Regular Loads,HW Loop Body Size,Reduction Dim,A SSR Reuse Loads,Little VecMat Runs,Little K,Little N Prime,FakeNN JSON Name_y,Kernel Name,Kernel Time,Total Time
120x40x20w8-40-8,120,40,20,8,40,8,8-40-8,1,360,40,17248,230400,23040,5632,8,8,5120,115200,14400,5,8,92160,8,8,5,120x40x20w8-40-8,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,72486,586141
120x40x20w8-40-9,120,40,20,8,40,9,8-40-9,1,360,40,16544,259200,25920,6336,9,8,5760,129600,14400,5,9,103680,8,9,5,120x40x20w8-40-9,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,72423,586408
120x40x20w8-40-10,120,40,20,8,40,10,8-40-10,1,240,40,15840,192000,19200,7040,10,8,6400,96000,9600,5,10,76800,8,10,5,120x40x20w8-40-10,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,47085,560794
120x40x20w8-40-11,120,40,20,8,40,11,8-40-11,1,240,40,15136,211200,21120,7744,11,8,7040,105600,9600,5,11,84480,8,11,5,120x40x20w8-40-11,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,49630,563723
120x40x20w10-40-8,120,40,20,10,40,8,10-40-8,1,288,40,17120,230400,23040,5760,8,10,5120,115200,14400,5,8,92160,10,8,5,120x40x20w10-40-8,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,71364,584893
120x40x20w10-40-9,120,40,20,10,40,9,10-40-9,1,288,40,16400,259200,25920,6480,9,10,5760,129600,14400,5,9,103680,10,9,5,120x40x20w10-40-9,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,71257,585032
120x40x20w10-40-10,120,40,20,10,40,10,10-40-10,1,192,40,15680,192000,19200,7200,10,10,6400,96000,9600,5,10,76800,10,10,5,120x40x20w10-40-10,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,46393,560054
120x40x20w10-40-11,120,40,20,10,40,11,10-40-11,1,192,40,14960,211200,21120,7920,11,10,7040,105600,9600,5,11,84480,10,11,5,120x40x20w10-40-11,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,48655,562662
120x40x20w12-40-8,120,40,20,12,40,8,12-40-8,1,240,40,16992,230400,23040,5888,8,12,5120,115200,14400,5,8,92160,12,8,5,120x40x20w12-40-8,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,70328,584129
120x40x20w12-40-9,120,40,20,12,40,9,12-40-9,1,240,40,16256,259200,25920,6624,9,12,5760,129600,14400,5,9,103680,12,9,5,120x40x20w12-40-9,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,70349,583971
120x40x20w12-40-10,120,40,20,12,40,10,12-40-10,1,160,40,15520,192000,19200,7360,10,12,6400,96000,9600,5,10,76800,12,10,5,120x40x20w12-40-10,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,46120,560198
120x40x20w12-40-11,120,40,20,12,40,11,12-40-11,1,160,40,14784,211200,21120,8096,11,12,7040,105600,9600,5,11,84480,12,11,5,120x40x20w12-40-11,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,48168,562303
120x40x20w15-40-8,120,40,20,15,40,8,15-40-8,1,192,40,16800,230400,23040,6080,8,15,5120,115200,14400,5,8,92160,15,8,5,120x40x20w15-40-8,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,68644,581103
120x40x20w15-40-9,120,40,20,15,40,9,15-40-9,1,192,40,16040,259200,25920,6840,9,15,5760,129600,14400,5,9,103680,15,9,5,120x40x20w15-40-9,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,68722,582300
120x40x20w15-40-10,120,40,20,15,40,10,15-40-10,1,128,40,15280,192000,19200,7600,10,15,6400,96000,9600,5,10,76800,15,10,5,120x40x20w15-40-10,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,45571,559355
120x40x20w15-40-11,120,40,20,15,40,11,15-40-11,1,128,40,14520,211200,21120,8360,11,15,7040,105600,9600,5,11,84480,15,11,5,120x40x20w15-40-11,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,47236,560991
120x40x20w20-40-8,120,40,20,20,40,8,20-40-8,1,144,40,16480,230400,23040,6400,8,20,5120,115200,14400,5,8,92160,20,8,5,120x40x20w20-40-8,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,67823,581727
120x40x20w20-40-9,120,40,20,20,40,9,20-40-9,1,144,40,15680,259200,25920,7200,9,20,5760,129600,14400,5,9,103680,20,9,5,120x40x20w20-40-9,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,67715,581050
120x40x20w20-40-10,120,40,20,20,40,10,20-40-10,1,96,40,14880,192000,19200,8000,10,20,6400,96000,9600,5,10,76800,20,10,5,120x40x20w20-40-10,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,45287,558004
120x40x20w20-40-11,120,40,20,20,40,11,20-40-11,1,96,40,14080,211200,21120,8800,11,20,7040,105600,9600,5,11,84480,20,11,5,120x40x20w20-40-11,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,46363,560153
120x40x20w24-40-8,120,40,20,24,40,8,24-40-8,1,120,40,16224,230400,23040,6656,8,24,5120,115200,14400,5,8,92160,24,8,5,120x40x20w24-40-8,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,67334,581976
120x40x20w24-40-9,120,40,20,24,40,9,24-40-9,1,120,40,15392,259200,25920,7488,9,24,5760,129600,14400,5,9,103680,24,9,5,120x40x20w24-40-9,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,67271,581156
120x40x20w24-40-10,120,40,20,24,40,10,24-40-10,1,80,40,14560,192000,19200,8320,10,24,6400,96000,9600,5,10,76800,24,10,5,120x40x20w24-40-10,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,44880,559663
120x40x20w24-40-11,120,40,20,24,40,11,24-40-11,1,80,40,13728,211200,21120,9152,11,24,7040,105600,9600,5,11,84480,24,11,5,120x40x20w24-40-11,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,45987,560626
120x40x20w30-40-8,120,40,20,30,40,8,30-40-8,1,96,40,15840,230400,23040,7040,8,30,5120,115200,14400,5,8,92160,30,8,5,120x40x20w30-40-8,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,66899,580975
120x40x20w30-40-9,120,40,20,30,40,9,30-40-9,1,96,40,14960,259200,25920,7920,9,30,5760,129600,14400,5,9,103680,30,9,5,120x40x20w30-40-9,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,66762,580773
120x40x20w30-40-10,120,40,20,30,40,10,30-40-10,1,64,40,14080,192000,19200,8800,10,30,6400,96000,9600,5,10,76800,30,10,5,120x40x20w30-40-10,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,44748,558338
120x40x20w30-40-11,120,40,20,30,40,11,30-40-11,1,64,40,13200,211200,21120,9680,11,30,7040,105600,9600,5,11,84480,30,11,5,120x40x20w30-40-11,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,45743,559353
120x40x20w40-40-8,120,40,20,40,40,8,40-40-8,1,72,40,15200,230400,23040,7680,8,40,5120,115200,14400,5,8,92160,40,8,5,120x40x20w40-40-8,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,94328,609125
120x40x20w40-40-9,120,40,20,40,40,9,40-40-9,1,72,40,14240,259200,25920,8640,9,40,5760,129600,14400,5,9,103680,40,9,5,120x40x20w40-40-9,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,94208,608093
120x40x20w40-40-10,120,40,20,40,40,10,40-40-10,1,48,40,13280,192000,19200,9600,10,40,6400,96000,9600,5,10,76800,40,10,5,120x40x20w40-40-10,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,63263,576983
120x40x20w40-40-11,120,40,20,40,40,11,40-40-11,1,48,40,12320,211200,21120,10560,11,40,7040,105600,9600,5,11,84480,40,11,5,120x40x20w40-40-11,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,63816,576711
120x40x20w60-40-8,120,40,20,60,40,8,60-40-8,1,48,40,13920,230400,23040,8960,8,60,5120,115200,14400,5,8,92160,60,8,5,120x40x20w60-40-8,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,63816,576711
120x40x20w60-40-9,120,40,20,60,40,9,60-40-9,1,48,40,12800,259200,25920,10080,9,60,5760,129600,14400,5,9,103680,60,9,5,120x40x20w60-40-9,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,63816,576711
120x40x20w60-40-10,120,40,20,60,40,10,60-40-10,1,32,40,11680,192000,19200,11200,10,60,6400,96000,9600,5,10,76800,60,10,5,120x40x20w60-40-10,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,63816,576711
120x40x20w60-40-11,120,40,20,60,40,11,60-40-11,1,32,40,10560,211200,21120,12320,11,60,7040,105600,9600,5,11,84480,60,11,5,120x40x20w60-40-11,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,63816,576711
120x40x20w120-40-8,120,40,20,120,40,8,120-40-8,1,24,40,10080,230400,23040,12800,8,120,5120,115200,14400,5,8,92160,120,8,5,120x40x20w120-40-8,main$async_dispatch_0_matmul_transpose_b_120x40x20_f64,92995,606509
