JSON Name,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Total Streaming Loads,Other Streaming Loads,Start Reuse Streaming Loads,Reused Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters,Microkernel Count,Microkernel Row Dim,Microkernel Reduction Dim,Kernel Name,Kernel Time,Total Time
0-24-8,24,8,3136,192,82464,1,30000,480000,240000,80000,160000,1,3,8,10000,3,8,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,182693,1251170
0-24-10,24,10,3920,240,81680,1,24000,480000,240000,80000,160000,1,3,10,8000,3,10,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,155677,1224154
0-24-16,24,16,6272,384,79328,1,15000,480000,240000,80000,160000,1,3,16,5000,3,16,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,121377,1188876
0-24-20,24,20,7840,480,77760,1,12000,480000,240000,80000,160000,1,3,20,4000,3,20,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,100733,1169240
0-24-25,24,25,9800,600,75800,1,9600,480000,240000,80000,160000,1,3,25,3200,3,25,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,90199,1156963
0-24-40,24,40,15680,960,69920,1,6000,480000,240000,80000,160000,1,3,40,2000,3,40,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,72214,1137646
0-24-50,24,50,19600,1200,66000,1,4800,480000,240000,80000,160000,1,3,50,1600,3,50,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,66700,1131602
0-24-80,24,80,31360,1920,54240,1,3000,480000,240000,80000,160000,1,3,80,1000,3,80,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,61698,1127611
0-24-100,24,100,39200,2400,46400,1,2400,480000,240000,80000,160000,1,3,100,800,3,100,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,54425,1120160
0-24-200,24,200,78400,4800,7200,1,1200,480000,240000,80000,160000,1,3,200,400,3,200,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,49157,1118206
0-40-8,40,8,5184,320,80416,1,30000,480000,240000,48000,192000,1,5,8,6000,5,8,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,137909,1203365
0-40-10,40,10,6480,400,79120,1,24000,480000,240000,48000,192000,1,5,10,4800,5,10,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,116911,1183515
0-40-16,40,16,10368,640,75232,1,15000,480000,240000,48000,192000,1,5,16,3000,5,16,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,101435,1166873
0-40-20,40,20,12960,800,72640,1,12000,480000,240000,48000,192000,1,5,20,2400,5,20,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,80643,1147247
0-40-25,40,25,16200,1000,69400,1,9600,480000,240000,48000,192000,1,5,25,1920,5,25,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,72071,1138687
0-40-40,40,40,25920,1600,59680,1,6000,480000,240000,48000,192000,1,5,40,1200,5,40,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,56839,1123443
0-40-50,40,50,32400,2000,53200,1,4800,480000,240000,48000,192000,1,5,50,960,5,50,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,57841,1123279
0-40-80,40,80,51840,3200,33760,1,3000,480000,240000,48000,192000,1,5,80,600,5,80,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,55704,1120404
0-40-100,40,100,64800,4000,20800,1,2400,480000,240000,48000,192000,1,5,100,480,5,100,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,47182,1112609
0-120-8,120,8,15424,960,70176,1,30000,480000,240000,48000,192000,3,5,8,2000,15,8,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,176869,1241106
0-120-10,120,10,19280,1200,66320,1,24000,480000,240000,48000,192000,3,5,10,1600,15,10,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,144604,1209487
0-120-16,120,16,30848,1920,54752,1,15000,480000,240000,48000,192000,3,5,16,1000,15,16,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,93118,1156326
0-120-20,120,20,38560,2400,47040,1,12000,480000,240000,48000,192000,3,5,20,800,15,20,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,76843,1141970
0-120-25,120,25,48200,3000,37400,1,9600,480000,240000,48000,192000,3,5,25,640,15,25,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,68129,1132361
0-120-40,120,40,77120,4800,8480,1,6000,480000,240000,48000,192000,3,5,40,400,15,40,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,53235,1116277
0-200-8,200,8,25664,1600,59936,1,30000,480000,240000,48000,192000,5,5,8,1200,25,8,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,182166,1247325
0-200-10,200,10,32080,2000,53520,1,24000,480000,240000,48000,192000,5,5,10,960,25,10,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,150544,1215582
0-200-16,200,16,51328,3200,34272,1,15000,480000,240000,48000,192000,5,5,16,600,25,16,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,93733,1158589
0-200-20,200,20,64160,4000,21440,1,12000,480000,240000,48000,192000,5,5,20,480,25,20,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,79381,1144249
0-200-25,200,25,80200,5000,5400,1,9600,480000,240000,48000,192000,5,5,25,384,25,25,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,69417,1134743
0-600-8,600,8,76864,4800,8736,1,30000,480000,240000,48000,192000,15,5,8,400,75,8,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,133893,1198268
