FakeNN JSON Name_x,M,N,K,m,n,k,JSON Name,m Dim,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,SSR Config Count,Little VecMat Runs,UnrollAndJam Loop Iters,HW Loop Iters,HW Loop Body Size,Regular Loads,Total SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,Little N Prime,Little K,FakeNN JSON Name_y,Kernel Name,Kernel Time,Total Time
40x120x20w8-24-10,40,120,20,8,24,10,8-24-10,8,24,10,4480,240,17760,400,8,1,10,3,9600,192000,64000,32000,96000,3,10,40x120x20w8-24-10,main$async_dispatch_0_matmul_transpose_b_40x120x20_f64,50385,563485
40x120x20w8-40-10,40,120,20,8,40,10,8-40-10,8,40,10,7040,400,15200,240,8,1,10,5,9600,192000,76800,19200,96000,5,10,40x120x20w8-40-10,main$async_dispatch_0_matmul_transpose_b_40x120x20_f64,49093,561300
40x120x20w8-120-10,40,120,20,8,120,10,8-120-10,8,120,10,19840,1200,2400,80,8,3,10,5,9600,192000,76800,19200,96000,15,10,40x120x20w8-120-10,main$async_dispatch_0_matmul_transpose_b_40x120x20_f64,63941,576881
40x120x20w10-24-10,40,120,20,10,24,10,10-24-10,10,24,10,4640,240,17600,320,10,1,10,3,9600,192000,64000,32000,96000,3,10,40x120x20w10-24-10,main$async_dispatch_0_matmul_transpose_b_40x120x20_f64,49120,563324
40x120x20w10-40-10,40,120,20,10,40,10,10-40-10,10,40,10,7200,400,15040,192,10,1,10,5,9600,192000,76800,19200,96000,5,10,40x120x20w10-40-10,main$async_dispatch_0_matmul_transpose_b_40x120x20_f64,48182,561859
40x120x20w10-120-10,40,120,20,10,120,10,10-120-10,10,120,10,20000,1200,2240,64,10,3,10,5,9600,192000,76800,19200,96000,15,10,40x120x20w10-120-10,main$async_dispatch_0_matmul_transpose_b_40x120x20_f64,63538,576644
40x120x20w20-24-10,40,120,20,20,24,10,20-24-10,20,24,10,5440,240,16800,160,20,1,10,3,9600,192000,64000,32000,96000,3,10,40x120x20w20-24-10,main$async_dispatch_0_matmul_transpose_b_40x120x20_f64,46531,560327
40x120x20w20-40-10,40,120,20,20,40,10,20-40-10,20,40,10,8000,400,14240,96,20,1,10,5,9600,192000,76800,19200,96000,5,10,40x120x20w20-40-10,main$async_dispatch_0_matmul_transpose_b_40x120x20_f64,46047,559185
40x120x20w20-120-10,40,120,20,20,120,10,20-120-10,20,120,10,20800,1200,1440,32,20,3,10,5,9600,192000,76800,19200,96000,15,10,40x120x20w20-120-10,main$async_dispatch_0_matmul_transpose_b_40x120x20_f64,63329,577596
40x120x20w40-24-10,40,120,20,40,24,10,40-24-10,40,24,10,7040,240,15200,80,40,1,10,3,9600,192000,64000,32000,96000,3,10,40x120x20w40-24-10,main$async_dispatch_0_matmul_transpose_b_40x120x20_f64,63693,576836
40x120x20w40-40-10,40,120,20,40,40,10,40-40-10,40,40,10,9600,400,12640,48,40,1,10,5,9600,192000,76800,19200,96000,5,10,40x120x20w40-40-10,main$async_dispatch_0_matmul_transpose_b_40x120x20_f64,62899,575921
