FakeNN JSON Name_x,M,N,K,m,n,k,JSON Name,Weight Matrix Tile Size,Little N Prime,Total SSR Loads,m Dim,SSR Config Count,Row Dim,Space Needed in L1,A SSR Start Reuse Loads,HW Loop Iters,HW Loop Body Size,Reduction Dim,Regular Loads,Little K,UnrollAndJam Loop Iters,Little VecMat Runs,B SSR Loads,Space Remaining,A SSR Reuse Loads,FakeNN JSON Name_y,Kernel Name,Kernel Time,Total Time
40x120x20w10-120-10,40,120,20,10,120,10,10-120-10,19200,15,192000,10,64,120,97760,19200,10,5,10,9600,10,3,10,96000,2240,76800,40x120x20w10-120-10,main$async_dispatch_0_matmul_transpose_b_40x120x20_f64,63538,576644
40x120x20w10-24-10,40,120,20,10,24,10,10-24-10,3840,3,192000,10,320,24,82400,32000,10,3,10,9600,10,1,10,96000,17600,64000,40x120x20w10-24-10,main$async_dispatch_0_matmul_transpose_b_40x120x20_f64,49120,563324
40x120x20w10-40-10,40,120,20,10,40,10,10-40-10,6400,5,192000,10,192,40,84960,19200,10,5,10,9600,10,1,10,96000,15040,76800,40x120x20w10-40-10,main$async_dispatch_0_matmul_transpose_b_40x120x20_f64,48182,561859
40x120x20w20-120-10,40,120,20,20,120,10,20-120-10,19200,15,192000,20,32,120,90560,19200,10,5,10,9600,10,3,20,96000,1440,76800,40x120x20w20-120-10,main$async_dispatch_0_matmul_transpose_b_40x120x20_f64,63329,577596
40x120x20w20-24-10,40,120,20,20,24,10,20-24-10,3840,3,192000,20,160,24,83200,32000,10,3,10,9600,10,1,20,96000,16800,64000,40x120x20w20-24-10,main$async_dispatch_0_matmul_transpose_b_40x120x20_f64,46531,560327
40x120x20w20-40-10,40,120,20,20,40,10,20-40-10,6400,5,192000,20,96,40,85760,19200,10,5,10,9600,10,1,20,96000,14240,76800,40x120x20w20-40-10,main$async_dispatch_0_matmul_transpose_b_40x120x20_f64,46047,559185
40x120x20w40-24-10,40,120,20,40,24,10,40-24-10,3840,3,192000,40,80,24,84800,32000,10,3,10,9600,10,1,40,96000,15200,64000,40x120x20w40-24-10,main$async_dispatch_0_matmul_transpose_b_40x120x20_f64,63693,576836
40x120x20w40-40-10,40,120,20,40,40,10,40-40-10,6400,5,192000,40,48,40,87360,19200,10,5,10,9600,10,1,40,96000,12640,76800,40x120x20w40-40-10,main$async_dispatch_0_matmul_transpose_b_40x120x20_f64,62899,575921
40x120x20w8-120-10,40,120,20,8,120,10,8-120-10,19200,15,192000,8,80,120,97600,19200,10,5,10,9600,10,3,8,96000,2400,76800,40x120x20w8-120-10,main$async_dispatch_0_matmul_transpose_b_40x120x20_f64,63941,576881
40x120x20w8-24-10,40,120,20,8,24,10,8-24-10,3840,3,192000,8,400,24,82240,32000,10,3,10,9600,10,1,8,96000,17760,64000,40x120x20w8-24-10,main$async_dispatch_0_matmul_transpose_b_40x120x20_f64,50385,563485
40x120x20w8-40-10,40,120,20,8,40,10,8-40-10,6400,5,192000,8,240,40,84800,19200,10,5,10,9600,10,1,8,96000,15200,76800,40x120x20w8-40-10,main$async_dispatch_0_matmul_transpose_b_40x120x20_f64,49093,561300
