FakeNN JSON Name_x,M,N,K,m,n,k,JSON Name,Space Needed in L1,Little N Prime,HW Loop Iters,Reduction Dim,Total SSR Loads,HW Loop Body Size,m Dim,Weight Matrix Tile Size,Row Dim,B SSR Loads,Little VecMat Runs,Regular Loads,SSR Config Count,Space Remaining,A SSR Reuse Loads,UnrollAndJam Loop Iters,Little K,A SSR Start Reuse Loads,FakeNN JSON Name_y,Kernel Name,Kernel Time,Total Time
56x56x56w8-24-8,56,56,56,8,24,8,8-24-8,3584,3,8,8,451584,3,8,3072,24,225792,8,28224,1176,6240,150528,1,8,75264,56x56x56w8-24-8,main$async_dispatch_0_matmul_transpose_b_56x56x56_f64,144344,579485
56x56x56w8-24-14,56,56,56,8,24,14,8-24-14,6272,3,14,14,451584,3,8,5376,24,225792,8,16128,672,3552,150528,1,14,75264,56x56x56w8-24-14,main$async_dispatch_0_matmul_transpose_b_56x56x56_f64,84767,520031
56x56x56w8-32-8,56,56,56,8,32,8,8-32-8,4608,4,8,8,401408,4,8,4096,32,200704,8,25088,784,12448,150528,1,8,50176,56x56x56w8-32-8,main$async_dispatch_0_matmul_transpose_b_56x56x56_f64,128156,564764
56x56x56w8-32-14,56,56,56,8,32,14,8-32-14,8064,4,14,14,401408,4,8,7168,32,200704,8,14336,448,8992,150528,1,14,50176,56x56x56w8-32-14,main$async_dispatch_0_matmul_transpose_b_56x56x56_f64,75462,512598
56x56x56w8-32-28,56,56,56,8,32,28,8-32-28,16128,4,28,28,401408,4,8,14336,32,200704,8,7168,224,928,150528,1,28,50176,56x56x56w8-32-28,main$async_dispatch_0_matmul_transpose_b_56x56x56_f64,40810,477066
56x56x56w8-56-8,56,56,56,8,56,8,8-56-8,7680,7,8,8,351232,7,8,7168,56,175616,8,21952,392,41696,150528,1,8,25088,56x56x56w8-56-8,main$async_dispatch_0_matmul_transpose_b_56x56x56_f64,100533,536004
56x56x56w8-56-14,56,56,56,8,56,14,8-56-14,13440,7,14,14,351232,7,8,12544,56,175616,8,12544,224,35936,150528,1,14,25088,56x56x56w8-56-14,main$async_dispatch_0_matmul_transpose_b_56x56x56_f64,58739,495964
56x56x56w8-56-28,56,56,56,8,56,28,8-56-28,26880,7,28,28,351232,7,8,25088,56,175616,8,6272,112,22496,150528,1,28,25088,56x56x56w8-56-28,main$async_dispatch_0_matmul_transpose_b_56x56x56_f64,36635,472806
56x56x56w14-24-8,56,56,56,14,24,8,14-24-8,3968,3,8,8,451584,3,14,3072,24,225792,14,28224,672,5856,150528,1,8,75264,56x56x56w14-24-8,main$async_dispatch_0_matmul_transpose_b_56x56x56_f64,135570,571063
56x56x56w14-24-14,56,56,56,14,24,14,14-24-14,6944,3,14,14,451584,3,14,5376,24,225792,14,16128,384,2880,150528,1,14,75264,56x56x56w14-24-14,main$async_dispatch_0_matmul_transpose_b_56x56x56_f64,79260,515609
56x56x56w14-32-8,56,56,56,14,32,8,14-32-8,4992,4,8,8,401408,4,14,4096,32,200704,14,25088,448,12064,150528,1,8,50176,56x56x56w14-32-8,main$async_dispatch_0_matmul_transpose_b_56x56x56_f64,120907,557278
56x56x56w14-32-14,56,56,56,14,32,14,14-32-14,8736,4,14,14,401408,4,14,7168,32,200704,14,14336,256,8320,150528,1,14,50176,56x56x56w14-32-14,main$async_dispatch_0_matmul_transpose_b_56x56x56_f64,71071,507098
56x56x56w14-56-8,56,56,56,14,56,8,14-56-8,8064,7,8,8,351232,7,14,7168,56,175616,14,21952,224,41312,150528,1,8,25088,56x56x56w14-56-8,main$async_dispatch_0_matmul_transpose_b_56x56x56_f64,98465,534289
56x56x56w14-56-14,56,56,56,14,56,14,14-56-14,14112,7,14,14,351232,7,14,12544,56,175616,14,12544,128,35264,150528,1,14,25088,56x56x56w14-56-14,main$async_dispatch_0_matmul_transpose_b_56x56x56_f64,57579,492972
56x56x56w14-56-28,56,56,56,14,56,28,14-56-28,28224,7,28,28,351232,7,14,25088,56,175616,14,6272,64,21152,150528,1,28,25088,56x56x56w14-56-28,main$async_dispatch_0_matmul_transpose_b_56x56x56_f64,35768,472173
