JSON Name,Kernel Name,Kernel Time,Total Time,M,N,K,m,n,k
1x32x80w1-32-80,main$async_dispatch_0_matmul_transpose_b_1x32x80_f64,1345,294031,1,32,80,1,32,80
1x32x240w1-32-80,main$async_dispatch_0_matmul_transpose_b_1x32x240_f64,2563,295160,1,32,240,1,32,80
1x32x400w1-32-80,main$async_dispatch_0_matmul_transpose_b_1x32x400_f64,3777,295445,1,32,400,1,32,80
1x32x560w1-32-80,main$async_dispatch_0_matmul_transpose_b_1x32x560_f64,5110,297083,1,32,560,1,32,80
1x32x720w1-32-80,main$async_dispatch_0_matmul_transpose_b_1x32x720_f64,6309,297692,1,32,720,1,32,80
1x64x80w1-32-80,main$async_dispatch_0_matmul_transpose_b_1x64x80_f64,2088,295097,1,64,80,1,32,80
1x64x240w1-32-80,main$async_dispatch_0_matmul_transpose_b_1x64x240_f64,4925,299007,1,64,240,1,32,80
1x64x400w1-32-80,main$async_dispatch_0_matmul_transpose_b_1x64x400_f64,7818,301366,1,64,400,1,32,80
1x64x560w1-32-80,main$async_dispatch_0_matmul_transpose_b_1x64x560_f64,10825,304723,1,64,560,1,32,80
1x64x720w1-32-80,main$async_dispatch_0_matmul_transpose_b_1x64x720_f64,13695,307018,1,64,720,1,32,80
1x96x80w1-32-80,main$async_dispatch_0_matmul_transpose_b_1x96x80_f64,2843,298572,1,96,80,1,32,80
1x96x240w1-32-80,main$async_dispatch_0_matmul_transpose_b_1x96x240_f64,6734,300830,1,96,240,1,32,80
1x96x400w1-32-80,main$async_dispatch_0_matmul_transpose_b_1x96x400_f64,10859,305797,1,96,400,1,32,80
1x96x560w1-32-80,main$async_dispatch_0_matmul_transpose_b_1x96x560_f64,14925,310968,1,96,560,1,32,80
1x96x720w1-32-80,main$async_dispatch_0_matmul_transpose_b_1x96x720_f64,18954,314808,1,96,720,1,32,80
1x128x80w1-32-80,main$async_dispatch_0_matmul_transpose_b_1x128x80_f64,3614,301500,1,128,80,1,32,80
1x128x240w1-32-80,main$async_dispatch_0_matmul_transpose_b_1x128x240_f64,8578,304789,1,128,240,1,32,80
1x128x400w1-32-80,main$async_dispatch_0_matmul_transpose_b_1x128x400_f64,13738,310214,1,128,400,1,32,80
1x128x560w1-32-80,main$async_dispatch_0_matmul_transpose_b_1x128x560_f64,19049,316741,1,128,560,1,32,80
1x128x720w1-32-80,main$async_dispatch_0_matmul_transpose_b_1x128x720_f64,24248,321930,1,128,720,1,32,80
1x160x80w1-32-80,main$async_dispatch_0_matmul_transpose_b_1x160x80_f64,4130,301688,1,160,80,1,32,80
1x160x240w1-32-80,main$async_dispatch_0_matmul_transpose_b_1x160x240_f64,10278,308923,1,160,240,1,32,80
1x160x400w1-32-80,main$async_dispatch_0_matmul_transpose_b_1x160x400_f64,16663,315316,1,160,400,1,32,80
1x160x560w1-32-80,main$async_dispatch_0_matmul_transpose_b_1x160x560_f64,22992,322188,1,160,560,1,32,80
