FakeNN JSON Name,M,N,K,m,n,k,JSON Name,Space Needed in L1,Total Time,Other Streaming Loads,Reused Streaming Loads,Microkernel Reduction Dim,Kernel Name,Reduction Dim,Kernel Time,Microkernel Count,HW Loop Iters,Microkernel Row Dim,Total Streaming Loads,Case,Start Reuse Streaming Loads,Row Dim,HW Loop Body,Regular Loads,Outer Loop Iters,Weight Matrix Tile Size,Space Remaining
1x1200x400w1-24-8,1,1200,400,1,24,8,0-24-8,3136,2159580,480000,320000,8,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,8,351746,20000,8,3,960000,1,160000,24,3,60000,1,192,68064
1x1200x400w1-24-10,1,1200,400,1,24,10,0-24-10,3920,1939937,480000,320000,10,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,10,296436,16000,10,3,960000,1,160000,24,3,48000,1,240,67280
1x1200x400w1-24-16,1,1200,400,1,24,16,0-24-16,6272,1695221,480000,320000,16,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,16,235256,10000,16,3,960000,1,160000,24,3,30000,1,384,64928
1x1200x400w1-24-20,1,1200,400,1,24,20,0-24-20,7840,1525728,480000,320000,20,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,20,193220,8000,20,3,960000,1,160000,24,3,24000,1,480,63360
1x1200x400w1-24-25,1,1200,400,1,24,25,0-24-25,9800,1440270,480000,320000,25,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,25,172108,6400,25,3,960000,1,160000,24,3,19200,1,600,61400
1x1200x400w1-24-40,1,1200,400,1,24,40,0-24-40,15680,1311816,480000,320000,40,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,40,139684,4000,40,3,960000,1,160000,24,3,12000,1,960,55520
1x1200x400w1-24-50,1,1200,400,1,24,50,0-24-50,19600,1270253,480000,320000,50,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,50,128852,3200,50,3,960000,1,160000,24,3,9600,1,1200,51600
1x1200x400w1-24-80,1,1200,400,1,24,80,0-24-80,31360,1234774,480000,320000,80,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,80,120518,2000,80,3,960000,1,160000,24,3,6000,1,1920,39840
1x1200x400w1-24-100,1,1200,400,1,24,100,0-24-100,39200,1177301,480000,320000,100,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,100,105983,1600,100,3,960000,1,160000,24,3,4800,1,2400,32000
1x1200x400w1-40-8,1,1200,400,1,40,8,0-40-8,5184,1779260,480000,384000,8,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,8,256567,12000,8,5,960000,1,96000,40,5,60000,1,320,66016
1x1200x400w1-40-10,1,1200,400,1,40,10,0-40-10,6480,1641755,480000,384000,10,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,10,222185,9600,10,5,960000,1,96000,40,5,48000,1,400,64720
1x1200x400w1-40-16,1,1200,400,1,40,16,0-40-16,10368,1524820,480000,384000,16,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,16,192945,6000,16,5,960000,1,96000,40,5,30000,1,640,60832
1x1200x400w1-40-20,1,1200,400,1,40,20,0-40-20,12960,1364685,480000,384000,20,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,20,153163,4800,20,5,960000,1,96000,40,5,24000,1,800,58240
1x1200x400w1-40-25,1,1200,400,1,40,25,0-40-25,16200,1305768,480000,384000,25,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,25,138454,3840,25,5,960000,1,96000,40,5,19200,1,1000,55000
1x1200x400w1-40-40,1,1200,400,1,40,40,0-40-40,25920,1183929,480000,384000,40,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,40,108224,2400,40,5,960000,1,96000,40,5,12000,1,1600,45280
1x1200x400w1-40-50,1,1200,400,1,40,50,0-40-50,32400,1194245,480000,384000,50,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,50,110773,1920,50,5,960000,1,96000,40,5,9600,1,2000,38800
1x1200x400w1-40-80,1,1200,400,1,40,80,0-40-80,51840,1181864,480000,384000,80,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,80,107165,1200,80,5,960000,1,96000,40,5,6000,1,3200,19360
1x1200x400w1-40-100,1,1200,400,1,40,100,0-40-100,64800,1112609,480000,384000,100,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,100,89889,960,100,5,960000,1,96000,40,5,4800,1,4000,6400
1x1200x400w1-48-8,1,1200,400,1,48,8,0-48-8,6208,1713466,480000,400000,8,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,8,240509,10000,8,6,960000,1,80000,48,6,60000,1,384,64992
1x1200x400w1-48-16,1,1200,400,1,48,16,0-48-16,12416,1499149,480000,400000,16,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,16,186667,5000,16,6,960000,1,80000,48,6,30000,1,768,58784
