JSON Name,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Total Streaming Loads,Other Streaming Loads,Start Reuse Streaming Loads,Reused Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters,Microkernel Count,Microkernel Row Dim,Microkernel Reduction Dim,Kernel Name,Kernel Time,Total Time
0-24-8,24,8,3136,192,68064,1,60000,960000,480000,160000,320000,1,3,8,20000,3,8,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,352490,2162791
0-24-10,24,10,3920,240,67280,1,48000,960000,480000,160000,320000,1,3,10,16000,3,10,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,297450,1940589
0-24-16,24,16,6272,384,64928,1,30000,960000,480000,160000,320000,1,3,16,10000,3,16,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,235366,1695104
0-24-20,24,20,7840,480,63360,1,24000,960000,480000,160000,320000,1,3,20,8000,3,20,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,193627,1526480
0-24-25,24,25,9800,600,61400,1,19200,960000,480000,160000,320000,1,3,25,6400,3,25,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,172486,1441904
0-24-40,24,40,15680,960,55520,1,12000,960000,480000,160000,320000,1,3,40,4000,3,40,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,139631,1310807
0-24-50,24,50,19600,1200,51600,1,9600,960000,480000,160000,320000,1,3,50,3200,3,50,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,128962,1268178
0-24-80,24,80,31360,1920,39840,1,6000,960000,480000,160000,320000,1,3,80,2000,3,80,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,120108,1233181
0-24-100,24,100,39200,2400,32000,1,4800,960000,480000,160000,320000,1,3,100,1600,3,100,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,105934,1178348
0-40-8,40,8,5184,320,66016,1,60000,960000,480000,96000,384000,1,5,8,12000,5,8,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,256089,1778007
0-40-10,40,10,6480,400,64720,1,48000,960000,480000,96000,384000,1,5,10,9600,5,10,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,221806,1640892
0-40-16,40,16,10368,640,60832,1,30000,960000,480000,96000,384000,1,5,16,6000,5,16,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,192875,1525120
0-40-20,40,20,12960,800,58240,1,24000,960000,480000,96000,384000,1,5,20,4800,5,20,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,153091,1366126
0-40-25,40,25,16200,1000,55000,1,19200,960000,480000,96000,384000,1,5,25,3840,5,25,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,138354,1307151
0-40-40,40,40,25920,1600,45280,1,12000,960000,480000,96000,384000,1,5,40,2400,5,40,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,108216,1184379
0-40-50,40,50,32400,2000,38800,1,9600,960000,480000,96000,384000,1,5,50,1920,5,50,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,110769,1196184
0-40-80,40,80,51840,3200,19360,1,6000,960000,480000,96000,384000,1,5,80,1200,5,80,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,107146,1180489
0-40-100,40,100,64800,4000,6400,1,4800,960000,480000,96000,384000,1,5,100,960,5,100,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,89720,1111478
0-48-8,48,8,6208,384,64992,1,60000,960000,480000,80000,400000,1,6,8,10000,6,8,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,240836,1714663
0-48-10,48,10,7760,480,63440,1,48000,960000,480000,80000,400000,1,6,10,8000,6,10,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,204027,1576709
0-48-16,48,16,12416,768,58784,1,30000,960000,480000,80000,400000,1,6,16,5000,6,16,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,186784,1500582
0-48-20,48,20,15520,960,55680,1,24000,960000,480000,80000,400000,1,6,20,4000,6,20,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,141453,1317217
0-48-25,48,25,19400,1200,51800,1,19200,960000,480000,80000,400000,1,6,25,3200,6,25,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,129862,1270904
0-48-40,48,40,31040,1920,40160,1,12000,960000,480000,80000,400000,1,6,40,2000,6,40,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,106211,1176321
0-48-50,48,50,38800,2400,32400,1,9600,960000,480000,80000,400000,1,6,50,1600,6,50,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,109976,1191954
0-48-80,48,80,62080,3840,9120,1,6000,960000,480000,80000,400000,1,6,80,1000,6,80,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,106735,1177052
0-80-8,80,8,10304,640,60896,1,60000,960000,480000,96000,384000,2,5,8,6000,10,8,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,354364,2169091
0-80-10,80,10,12880,800,58320,1,48000,960000,480000,96000,384000,2,5,10,4800,10,10,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,285619,1896981
0-80-16,80,16,20608,1280,50592,1,30000,960000,480000,96000,384000,2,5,16,3000,10,16,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,190237,1512510
