FakeNN JSON Name,M,N,K,m,n,k,JSON Name,Kernel Time,Row Dim,Total Streaming Loads,HW Loop Body,Space Remaining,Space Needed in L1,Kernel Name,Microkernel Count,Start Reuse Streaming Loads,Microkernel Reduction Dim,Other Streaming Loads,Weight Matrix Tile Size,Reduction Dim,Outer Loop Iters,Case,Microkernel Row Dim,HW Loop Iters,Reused Streaming Loads,Regular Loads,Total Time
1x400x161w1-40-8,1,400,161,1,40,8,0-40-8,93043,40,134400,5,85216,5184,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,1680,13440,8,67200,320,8,1,1,5,8,53760,8400,1190509
1x400x161w1-40-12,1,400,161,1,40,12,0-40-12,69861,40,134400,5,82624,7776,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,1120,13440,12,67200,480,12,1,1,5,12,53760,5600,1167510
1x400x161w1-40-16,1,400,161,1,40,16,0-40-16,64007,40,140800,5,80032,10368,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,880,14080,16,70400,640,16,1,1,5,16,56320,4400,1162271
1x400x161w1-40-20,1,400,161,1,40,20,0-40-20,53469,40,144000,5,77440,12960,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,720,14400,20,72000,800,20,1,1,5,20,57600,3600,1150928
1x400x161w1-40-23,1,400,161,1,40,23,0-40-23,31449,40,128800,5,75496,14904,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,560,12880,23,64400,920,23,1,1,5,23,51520,2800,1128826
1x400x161w1-40-24,1,400,161,1,40,24,0-40-24,46509,40,134400,5,74848,15552,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,560,13440,24,67200,960,24,1,1,5,24,53760,2800,1144725
1x400x161w1-40-28,1,400,161,1,40,28,0-40-28,42434,40,134400,5,72256,18144,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,480,13440,28,67200,1120,28,1,1,5,28,53760,2400,1140690
1x400x161w1-40-32,1,400,161,1,40,32,0-40-32,52650,40,153600,5,69664,20736,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,480,15360,32,76800,1280,32,1,1,5,32,61440,2400,1150906
1x400x161w1-40-36,1,400,161,1,40,36,0-40-36,40600,40,144000,5,67072,23328,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,400,14400,36,72000,1440,36,1,1,5,36,57600,2000,1135438
1x400x161w1-40-40,1,400,161,1,40,40,0-40-40,44429,40,160000,5,64480,25920,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,400,16000,40,80000,1600,40,1,1,5,40,64000,2000,1141895
1x400x161w1-40-44,1,400,161,1,40,44,0-40-44,37610,40,140800,5,61888,28512,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,320,14080,44,70400,1760,44,1,1,5,44,56320,1600,1135921
1x400x161w1-40-48,1,400,161,1,40,48,0-40-48,41589,40,153600,5,59296,31104,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,320,15360,48,76800,1920,48,1,1,5,48,61440,1600,1138319
1x400x161w1-40-52,1,400,161,1,40,52,0-40-52,41147,40,166400,5,56704,33696,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,320,16640,52,83200,2080,52,1,1,5,52,66560,1600,1136858
1x400x161w1-40-56,1,400,161,1,40,56,0-40-56,34902,40,134400,5,54112,36288,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,240,13440,56,67200,2240,56,1,1,5,56,53760,1200,1130631
1x400x161w1-40-60,1,400,161,1,40,60,0-40-60,35197,40,144000,5,51520,38880,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,240,14400,60,72000,2400,60,1,1,5,60,57600,1200,1132122
1x400x161w1-40-64,1,400,161,1,40,64,0-40-64,40208,40,153600,5,48928,41472,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,240,15360,64,76800,2560,64,1,1,5,64,61440,1200,1135881
1x400x161w1-40-68,1,400,161,1,40,68,0-40-68,37488,40,163200,5,46336,44064,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,240,16320,68,81600,2720,68,1,1,5,68,65280,1200,1132918
1x400x161w1-40-72,1,400,161,1,40,72,0-40-72,39654,40,172800,5,43744,46656,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,240,17280,72,86400,2880,72,1,1,5,72,69120,1200,1133270
1x400x161w1-40-76,1,400,161,1,40,76,0-40-76,40655,40,182400,5,41152,49248,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,240,18240,76,91200,3040,76,1,1,5,76,72960,1200,1133028
1x400x161w1-40-80,1,400,161,1,40,80,0-40-80,44582,40,192000,5,38560,51840,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,240,19200,80,96000,3200,80,1,1,5,80,76800,1200,1140012
1x400x161w1-80-8,1,400,161,1,80,8,0-80-8,99742,80,134400,5,80096,10304,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,840,13440,8,67200,640,8,2,1,10,8,53760,8400,1193655
1x400x161w1-80-12,1,400,161,1,80,12,0-80-12,71700,80,134400,5,74944,15456,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,560,13440,12,67200,960,12,2,1,10,12,53760,5600,1165487
1x400x161w1-80-16,1,400,161,1,80,16,0-80-16,61645,80,140800,5,69792,20608,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,440,14080,16,70400,1280,16,2,1,10,16,56320,4400,1155558
1x400x161w1-80-20,1,400,161,1,80,20,0-80-20,51584,80,144000,5,64640,25760,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,360,14400,20,72000,1600,20,2,1,10,20,57600,3600,1147257
1x400x161w1-80-23,1,400,161,1,80,23,0-80-23,32851,80,128800,5,60776,29624,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,280,12880,23,64400,1840,23,2,1,10,23,51520,2800,1127653
1x400x161w1-80-24,1,400,161,1,80,24,0-80-24,43810,80,134400,5,59488,30912,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,280,13440,24,67200,1920,24,2,1,10,24,53760,2800,1137597
1x400x161w1-80-28,1,400,161,1,80,28,0-80-28,40125,80,134400,5,54336,36064,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,240,13440,28,67200,2240,28,2,1,10,28,53760,2400,1135351
1x400x161w1-80-32,1,400,161,1,80,32,0-80-32,46048,80,153600,5,49184,41216,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,240,15360,32,76800,2560,32,2,1,10,32,61440,2400,1142067
1x400x161w1-80-36,1,400,161,1,80,36,0-80-36,38704,80,144000,5,44032,46368,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,200,14400,36,72000,2880,36,2,1,10,36,57600,2000,1134346
1x400x161w1-80-40,1,400,161,1,80,40,0-80-40,42895,80,160000,5,38880,51520,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,200,16000,40,80000,3200,40,2,1,10,40,64000,2000,1139279
1x400x161w1-80-44,1,400,161,1,80,44,0-80-44,35704,80,140800,5,33728,56672,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,160,14080,44,70400,3520,44,2,1,10,44,56320,1600,1132083
1x400x161w1-80-48,1,400,161,1,80,48,0-80-48,38998,80,153600,5,28576,61824,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,160,15360,48,76800,3840,48,2,1,10,48,61440,1600,1135365
1x400x161w1-80-52,1,400,161,1,80,52,0-80-52,39501,80,166400,5,23424,66976,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,160,16640,52,83200,4160,52,2,1,10,52,66560,1600,1135880
1x400x161w1-80-56,1,400,161,1,80,56,0-80-56,33921,80,134400,5,18272,72128,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,120,13440,56,67200,4480,56,2,1,10,56,53760,1200,1127483
1x400x161w1-80-60,1,400,161,1,80,60,0-80-60,33787,80,144000,5,13120,77280,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,120,14400,60,72000,4800,60,2,1,10,60,57600,1200,1129657
