JSON Name,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Total Streaming Loads,Other Streaming Loads,Start Reuse Streaming Loads,Reused Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters,Microkernel Count,Microkernel Row Dim,Microkernel Reduction Dim,Kernel Name,Kernel Time,Total Time
0-40-8,40,8,5184,320,85216,1,8400,134400,67200,13440,53760,1,5,8,1680,5,8,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,93043,1190509
0-40-12,40,12,7776,480,82624,1,5600,134400,67200,13440,53760,1,5,12,1120,5,12,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,69861,1167510
0-40-16,40,16,10368,640,80032,1,4400,140800,70400,14080,56320,1,5,16,880,5,16,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,64007,1162271
0-40-20,40,20,12960,800,77440,1,3600,144000,72000,14400,57600,1,5,20,720,5,20,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,53469,1150928
0-40-23,40,23,14904,920,75496,1,2800,128800,64400,12880,51520,1,5,23,560,5,23,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,31449,1128826
0-40-24,40,24,15552,960,74848,1,2800,134400,67200,13440,53760,1,5,24,560,5,24,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,46509,1144725
0-40-28,40,28,18144,1120,72256,1,2400,134400,67200,13440,53760,1,5,28,480,5,28,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,42434,1140690
0-40-32,40,32,20736,1280,69664,1,2400,153600,76800,15360,61440,1,5,32,480,5,32,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,52650,1150906
0-40-36,40,36,23328,1440,67072,1,2000,144000,72000,14400,57600,1,5,36,400,5,36,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,40600,1135438
0-40-40,40,40,25920,1600,64480,1,2000,160000,80000,16000,64000,1,5,40,400,5,40,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,44429,1141895
0-40-44,40,44,28512,1760,61888,1,1600,140800,70400,14080,56320,1,5,44,320,5,44,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,37610,1135921
0-40-48,40,48,31104,1920,59296,1,1600,153600,76800,15360,61440,1,5,48,320,5,48,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,41589,1138319
0-40-52,40,52,33696,2080,56704,1,1600,166400,83200,16640,66560,1,5,52,320,5,52,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,41147,1136858
0-40-56,40,56,36288,2240,54112,1,1200,134400,67200,13440,53760,1,5,56,240,5,56,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,34902,1130631
0-40-60,40,60,38880,2400,51520,1,1200,144000,72000,14400,57600,1,5,60,240,5,60,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,35197,1132122
0-40-64,40,64,41472,2560,48928,1,1200,153600,76800,15360,61440,1,5,64,240,5,64,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,40208,1135881
0-40-68,40,68,44064,2720,46336,1,1200,163200,81600,16320,65280,1,5,68,240,5,68,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,37488,1132918
0-40-72,40,72,46656,2880,43744,1,1200,172800,86400,17280,69120,1,5,72,240,5,72,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,39654,1133270
0-40-76,40,76,49248,3040,41152,1,1200,182400,91200,18240,72960,1,5,76,240,5,76,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,40655,1133028
0-40-80,40,80,51840,3200,38560,1,1200,192000,96000,19200,76800,1,5,80,240,5,80,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,44582,1140012
0-80-8,80,8,10304,640,80096,1,8400,134400,67200,13440,53760,2,5,8,840,10,8,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,99742,1193655
0-80-12,80,12,15456,960,74944,1,5600,134400,67200,13440,53760,2,5,12,560,10,12,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,71700,1165487
0-80-16,80,16,20608,1280,69792,1,4400,140800,70400,14080,56320,2,5,16,440,10,16,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,61645,1155558
0-80-20,80,20,25760,1600,64640,1,3600,144000,72000,14400,57600,2,5,20,360,10,20,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,51584,1147257
0-80-23,80,23,29624,1840,60776,1,2800,128800,64400,12880,51520,2,5,23,280,10,23,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,32851,1127653
0-80-24,80,24,30912,1920,59488,1,2800,134400,67200,13440,53760,2,5,24,280,10,24,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,43810,1137597
0-80-28,80,28,36064,2240,54336,1,2400,134400,67200,13440,53760,2,5,28,240,10,28,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,40125,1135351
0-80-32,80,32,41216,2560,49184,1,2400,153600,76800,15360,61440,2,5,32,240,10,32,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,46048,1142067
0-80-36,80,36,46368,2880,44032,1,2000,144000,72000,14400,57600,2,5,36,200,10,36,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,38704,1134346
0-80-40,80,40,51520,3200,38880,1,2000,160000,80000,16000,64000,2,5,40,200,10,40,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,42895,1139279
0-80-44,80,44,56672,3520,33728,1,1600,140800,70400,14080,56320,2,5,44,160,10,44,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,35704,1132083
0-80-48,80,48,61824,3840,28576,1,1600,153600,76800,15360,61440,2,5,48,160,10,48,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,38998,1135365
0-80-52,80,52,66976,4160,23424,1,1600,166400,83200,16640,66560,2,5,52,160,10,52,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,39501,1135880
0-80-56,80,56,72128,4480,18272,1,1200,134400,67200,13440,53760,2,5,56,120,10,56,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,33921,1127483
0-80-60,80,60,77280,4800,13120,1,1200,144000,72000,14400,57600,2,5,60,120,10,60,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,33787,1129657
0-80-64,80,64,82432,5120,7968,1,1200,153600,76800,15360,61440,2,5,64,120,10,64,main$async_dispatch_0_matmul_transpose_b_1x400x161_f64,36812,1131499
