FakeNN JSON Name,M,N,K,m,n,k,JSON Name,Kernel Name,Reused Streaming Loads,HW Loop Iters,Weight Matrix Tile Size,Case,Microkernel Count,Regular Loads,Reduction Dim,Microkernel Row Dim,Space Remaining,Total Streaming Loads,Outer Loop Iters,Total Time,Kernel Time,HW Loop Body,Microkernel Reduction Dim,Other Streaming Loads,Start Reuse Streaming Loads,Space Needed in L1,Row Dim
1x600x400w1-24-8,1,600,400,1,24,8,0-24-8,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,160000,8,192,1,10000,30000,8,3,82464,480000,1,1251170,182693,3,8,240000,80000,3136,24
1x600x400w1-24-10,1,600,400,1,24,10,0-24-10,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,160000,10,240,1,8000,24000,10,3,81680,480000,1,1224154,155677,3,10,240000,80000,3920,24
1x600x400w1-24-16,1,600,400,1,24,16,0-24-16,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,160000,16,384,1,5000,15000,16,3,79328,480000,1,1188876,121377,3,16,240000,80000,6272,24
1x600x400w1-24-20,1,600,400,1,24,20,0-24-20,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,160000,20,480,1,4000,12000,20,3,77760,480000,1,1169240,100733,3,20,240000,80000,7840,24
1x600x400w1-24-25,1,600,400,1,24,25,0-24-25,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,160000,25,600,1,3200,9600,25,3,75800,480000,1,1156963,90199,3,25,240000,80000,9800,24
1x600x400w1-24-40,1,600,400,1,24,40,0-24-40,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,160000,40,960,1,2000,6000,40,3,69920,480000,1,1137646,72214,3,40,240000,80000,15680,24
1x600x400w1-24-50,1,600,400,1,24,50,0-24-50,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,160000,50,1200,1,1600,4800,50,3,66000,480000,1,1131602,66700,3,50,240000,80000,19600,24
1x600x400w1-24-80,1,600,400,1,24,80,0-24-80,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,160000,80,1920,1,1000,3000,80,3,54240,480000,1,1127611,61698,3,80,240000,80000,31360,24
1x600x400w1-24-100,1,600,400,1,24,100,0-24-100,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,160000,100,2400,1,800,2400,100,3,46400,480000,1,1120160,54425,3,100,240000,80000,39200,24
1x600x400w1-24-200,1,600,400,1,24,200,0-24-200,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,160000,200,4800,1,400,1200,200,3,7200,480000,1,1118206,49157,3,200,240000,80000,78400,24
