FakeNN JSON Name,M,N,K,m,n,k,JSON Name,Other Streaming Loads,Reused Streaming Loads,Start Reuse Streaming Loads,Microkernel Row Dim,Kernel Name,Row Dim,Outer Loop Iters,Case,Weight Matrix Tile Size,Space Needed in L1,HW Loop Iters,Total Time,HW Loop Body,Regular Loads,Reduction Dim,Space Remaining,Microkernel Reduction Dim,Kernel Time,Microkernel Count,Total Streaming Loads
1x600x600w1-24-8,1,600,600,1,24,8,0-24-8,360000,240000,120000,3,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,24,1,1,192,3136,8,1314457,3,45000,8,82464,8,270985,15000,720000
1x600x600w1-24-10,1,600,600,1,24,10,0-24-10,360000,240000,120000,3,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,24,1,1,240,3920,10,1274746,3,36000,10,81680,10,231267,12000,720000
1x600x600w1-24-12,1,600,600,1,24,12,0-24-12,360000,240000,120000,3,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,24,1,1,288,4704,12,1248894,3,30000,12,80896,12,204491,10000,720000
1x600x600w1-24-15,1,600,600,1,24,15,0-24-15,360000,240000,120000,3,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,24,1,1,360,5880,15,1222349,3,24000,15,79720,15,177946,8000,720000
1x600x600w1-24-20,1,600,600,1,24,20,0-24-20,360000,240000,120000,3,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,24,1,1,480,7840,20,1194270,3,18000,20,77760,20,149867,6000,720000
1x600x600w1-24-24,1,600,600,1,24,24,0-24-24,360000,240000,120000,3,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,24,1,1,576,9408,24,1177220,3,15000,24,76192,24,133853,5000,720000
1x600x600w1-24-25,1,600,600,1,24,25,0-24-25,360000,240000,120000,3,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,24,1,1,600,9800,25,1178385,3,14400,25,75800,25,135236,4800,720000
1x600x600w1-24-30,1,600,600,1,24,30,0-24-30,360000,240000,120000,3,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,24,1,1,720,11760,30,1167183,3,12000,30,73840,30,122776,4000,720000
1x600x600w1-24-40,1,600,600,1,24,40,0-24-40,360000,240000,120000,3,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,24,1,1,960,15680,40,1147720,3,9000,40,69920,40,106704,3000,720000
1x600x600w1-24-50,1,600,600,1,24,50,0-24-50,360000,240000,120000,3,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,24,1,1,1200,19600,50,1144935,3,7200,50,66000,50,100528,2400,720000
