FakeNN JSON Name,M,N,K,m,n,k,JSON Name,Case,Start Reuse Streaming Loads,Microkernel Count,Total Streaming Loads,Weight Matrix Tile Size,HW Loop Body,Total Loads,Kernel Time,Total Time,Microkernel Row Dim,Reduction Dim,Space Needed in L1,Microkernel Reduction Dim,Tile Shape,HW Loop Iters,Kernel Name,Row Dim,Other Streaming Loads,Outer Loop Iters,Regular Loads,Space Remaining,Reused Streaming Loads
1x1200x400w1-24-100,1,1200,400,1,24,100,0-24-100,1,160000,1600,960000,2400,3,964800,105051,1172888,3,100,39200,100,wide,100,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,24,480000,1,4800,32000,320000
1x1200x400w1-24-40,1,1200,400,1,24,40,0-24-40,1,160000,4000,960000,960,3,972000,139659,1308333,3,40,15680,40,wide,40,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,24,480000,1,12000,55520,320000
1x1200x400w1-24-50,1,1200,400,1,24,50,0-24-50,1,160000,3200,960000,1200,3,969600,139659,1308333,3,50,19600,50,wide,50,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,24,480000,1,9600,51600,320000
1x1200x400w1-24-8,1,1200,400,1,24,8,0-24-8,1,160000,20000,960000,192,3,1020000,351842,2158774,3,8,3136,8,tall,8,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,24,480000,1,60000,68064,320000
1x1200x400w1-24-80,1,1200,400,1,24,80,0-24-80,1,160000,2000,960000,1920,3,966000,120533,1231430,3,80,31360,80,wide,80,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,24,480000,1,6000,39840,320000
1x1200x400w1-40-100,1,1200,400,1,40,100,0-40-100,1,96000,960,960000,4000,5,964800,89658,1110948,5,100,64800,100,wide,100,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,40,480000,1,4800,6400,384000
1x1200x400w1-40-40,1,1200,400,1,40,40,0-40-40,1,96000,2400,960000,1600,5,972000,108303,1183714,5,40,25920,40,square,40,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,40,480000,1,12000,45280,384000
1x1200x400w1-40-50,1,1200,400,1,40,50,0-40-50,1,96000,1920,960000,2000,5,969600,110811,1194951,5,50,32400,50,wide,50,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,40,480000,1,9600,38800,384000
1x1200x400w1-40-8,1,1200,400,1,40,8,0-40-8,1,96000,12000,960000,320,5,1020000,256068,1776377,5,8,5184,8,tall,8,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,40,480000,1,60000,66016,384000
1x1200x400w1-40-80,1,1200,400,1,40,80,0-40-80,1,96000,1200,960000,3200,5,966000,107160,1180624,5,80,51840,80,wide,80,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,40,480000,1,6000,19360,384000
1x1200x400w1-48-40,1,1200,400,1,48,40,0-48-40,1,80000,2000,960000,1920,6,972000,106206,1176438,6,40,31040,40,tall,40,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,48,480000,1,12000,40160,400000
1x1200x400w1-48-50,1,1200,400,1,48,50,0-48-50,1,80000,1600,960000,2400,6,969600,109639,1190676,6,50,38800,50,wide,50,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,48,480000,1,9600,32400,400000
1x1200x400w1-48-8,1,1200,400,1,48,8,0-48-8,1,80000,10000,960000,384,6,1020000,239465,1708958,6,8,6208,8,tall,8,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,48,480000,1,60000,64992,400000
1x1200x400w1-48-80,1,1200,400,1,48,80,0-48-80,1,80000,1000,960000,3840,6,966000,106720,1177628,6,80,62080,80,wide,80,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,48,480000,1,6000,9120,400000
1x1200x400w1-80-40,1,1200,400,1,80,40,0-80-40,1,96000,1200,960000,3200,5,972000,106157,1176118,10,40,51520,40,tall,40,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,80,480000,2,12000,19680,384000
1x1200x400w1-80-50,1,1200,400,1,80,50,0-80-50,1,96000,960,960000,4000,5,969600,109169,1188538,10,50,64400,50,tall,50,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,80,480000,2,9600,6800,384000
1x1200x400w1-80-8,1,1200,400,1,80,8,0-80-8,1,96000,6000,960000,640,5,1020000,354369,2169751,10,8,10304,8,tall,8,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,80,480000,2,60000,60896,384000
