FakeNN JSON Name,M,N,K,m,n,k,JSON Name,Total Time,Microkernel Row Dim,Kernel Name,Kernel Time,Space Remaining,Case,Other Streaming Loads,Total Loads,HW Loop Body,Microkernel Reduction Dim,Total Streaming Loads,Row Dim,Space Needed in L1,Microkernel Count,Weight Matrix Tile Size,Start Reuse Streaming Loads,Reduction Dim,Tile Shape,HW Loop Iters,Regular Loads,Outer Loop Iters,Reused Streaming Loads
1x1200x400w1-24-104,1,1200,400,1,24,104,0-24-104,1284223,3,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,133167,30432,2,499200,1003200,3,104,998400,24,40768,1600,2496,166400,104,wide,104,4800,1,332800
1x1200x400w1-24-112,1,1200,400,1,24,112,0-24-112,1398894,3,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,158363,27296,2,537600,1080000,3,112,1075200,24,43904,1600,2688,179200,112,wide,112,4800,1,358400
1x1200x400w1-24-120,1,1200,400,1,24,120,0-24-120,1419104,3,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,167288,24160,2,576000,1156800,3,120,1152000,24,47040,1600,2880,192000,120,wide,120,4800,1,384000
1x1200x400w1-24-128,1,1200,400,1,24,128,0-24-128,1490723,3,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,180448,21024,2,614400,1233600,3,128,1228800,24,50176,1600,3072,204800,128,wide,128,4800,1,409600
1x1200x400w1-24-136,1,1200,400,1,24,136,0-24-136,1271622,3,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,129958,17888,2,489600,982800,3,136,979200,24,53312,1200,3264,163200,136,wide,136,3600,1,326400
1x1200x400w1-24-144,1,1200,400,1,24,144,0-24-144,1351389,3,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,149984,14752,2,518400,1040400,3,144,1036800,24,56448,1200,3456,172800,144,wide,144,3600,1,345600
1x1200x400w1-24-152,1,1200,400,1,24,152,0-24-152,1391286,3,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,160151,11616,2,547200,1098000,3,152,1094400,24,59584,1200,3648,182400,152,wide,152,3600,1,364800
1x1200x400w1-24-16,1,1200,400,1,24,16,0-24-16,1965176,3,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,305685,64928,2,480000,990000,3,16,960000,24,6272,10000,384,160000,16,tall,16,30000,1,320000
1x1200x400w1-24-160,1,1200,400,1,24,160,0-24-160,1438302,3,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,171613,8480,2,576000,1155600,3,160,1152000,24,62720,1200,3840,192000,160,wide,160,3600,1,384000
1x1200x400w1-24-168,1,1200,400,1,24,168,0-24-168,1450470,3,main$async_dispatch_1_matmul_transpose_b_1x1200x400_f64,174951,5344,2,604800,1213200,3,168,1209600,24,65856,1200,4032,201600,168,wide,168,3600,1,403200
