FakeNN JSON Name,M,N,K,m,n,k,JSON Name,HW Loop Iters,Reused Streaming Loads,Kernel Time,Weight Matrix Tile Size,Space Needed in L1,Microkernel Row Dim,Microkernel Count,HW Loop Body,Other Streaming Loads,Reduction Dim,Tile Shape,Total Time,Total Streaming Loads,Case,Row Dim,Regular Loads,Kernel Name,Start Reuse Streaming Loads,Space Remaining,Microkernel Reduction Dim,Outer Loop Iters,Total Loads
1x600x400w1-120-25,1,600,400,1,120,25,0-120-25,25,192000,67997,3000,48200,15,640,5,240000,25,tall,1131399,480000,1,120,9600,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,48000,37400,25,3,489600
1x600x400w1-120-40,1,600,400,1,120,40,0-120-40,40,192000,53171,4800,77120,15,400,5,240000,40,tall,1116304,480000,1,120,6000,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,48000,8480,40,3,486000
1x600x400w1-200-25,1,600,400,1,200,25,0-200-25,25,192000,69553,5000,80200,25,384,5,240000,25,tall,1131953,480000,1,200,9600,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,48000,5400,25,5,489600
1x600x400w1-24-100,1,600,400,1,24,100,0-24-100,100,160000,54441,2400,39200,3,800,3,240000,100,wide,1118477,480000,1,24,2400,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,80000,46400,100,1,482400
1x600x400w1-24-200,1,600,400,1,24,200,0-24-200,200,160000,49150,4800,78400,3,400,3,240000,200,wide,1112587,480000,1,24,1200,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,80000,7200,200,1,481200
1x600x400w1-24-25,1,600,400,1,24,25,0-24-25,25,160000,89734,600,9800,3,3200,3,240000,25,wide,1153158,480000,1,24,9600,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,80000,75800,25,1,489600
1x600x400w1-24-40,1,600,400,1,24,40,0-24-40,40,160000,72175,960,15680,3,2000,3,240000,40,wide,1134625,480000,1,24,6000,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,80000,69920,40,1,486000
1x600x400w1-24-50,1,600,400,1,24,50,0-24-50,50,160000,66757,1200,19600,3,1600,3,240000,50,wide,1128811,480000,1,24,4800,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,80000,66000,50,1,484800
1x600x400w1-24-80,1,600,400,1,24,80,0-24-80,80,160000,61675,1920,31360,3,1000,3,240000,80,wide,1123274,480000,1,24,3000,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,80000,54240,80,1,483000
1x600x400w1-40-100,1,600,400,1,40,100,0-40-100,100,192000,46812,4000,64800,5,480,5,240000,100,wide,1110948,480000,1,40,2400,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,48000,20800,100,1,482400
1x600x400w1-40-25,1,600,400,1,40,25,0-40-25,25,192000,71741,1000,16200,5,1920,5,240000,25,tall,1133934,480000,1,40,9600,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,48000,69400,25,1,489600
1x600x400w1-40-40,1,600,400,1,40,40,0-40-40,40,192000,56816,1600,25920,5,1200,5,240000,40,square,1118816,480000,1,40,6000,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,48000,59680,40,1,486000
1x600x400w1-40-50,1,600,400,1,40,50,0-40-50,50,192000,57551,2000,32400,5,960,5,240000,50,wide,1120483,480000,1,40,4800,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,48000,53200,50,1,484800
1x600x400w1-40-80,1,600,400,1,40,80,0-40-80,80,192000,55623,3200,51840,5,600,5,240000,80,wide,1119061,480000,1,40,3000,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,48000,33760,80,1,483000
