FakeNN JSON Name,M,N,K,m,n,k,JSON Name,Space Needed in L1,Weight Matrix Tile Size,Total Streaming Loads,Tile Shape,Regular Loads,Case,Microkernel Count,Start Reuse Streaming Loads,Kernel Name,HW Loop Body,Total Time,Row Dim,Space Remaining,Total Loads,HW Loop Iters,Microkernel Reduction Dim,Other Streaming Loads,Reused Streaming Loads,Outer Loop Iters,Reduction Dim,Microkernel Row Dim,Kernel Time
1x600x400w1-120-22,1,600,400,1,120,22,0-120-22,42416,2640,501600,tall,11400,2,760,50160,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,5,1169813,120,43184,513000,22,22,250800,200640,3,22,15,105501
1x600x400w1-120-33,1,600,400,1,120,33,0-120-33,63624,3960,514800,tall,7800,2,520,51480,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,5,1157490,120,21976,522600,33,33,257400,205920,3,33,15,93178
1x600x400w1-120-44,1,600,400,1,120,44,0-120-44,84832,5280,528000,tall,6000,2,400,52800,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,5,1152136,120,768,534000,44,44,264000,211200,3,44,15,87587
1x600x400w1-200-22,1,600,400,1,200,22,0-200-22,70576,4400,501600,tall,11400,2,456,50160,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,5,1179508,200,15024,513000,22,22,250800,200640,5,22,25,111430
1x600x400w1-24-107,1,600,400,1,24,107,0-24-107,41944,2568,513600,wide,2400,2,800,85600,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,3,1143608,24,43656,516000,107,107,256800,171200,1,107,3,79894
1x600x400w1-24-117,1,600,400,1,24,117,0-24-117,45864,2808,561600,wide,2400,2,800,93600,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,3,1147681,24,39736,564000,117,117,280800,187200,1,117,3,85151
1x600x400w1-24-127,1,600,400,1,24,127,0-24-127,49784,3048,609600,wide,2400,2,800,101600,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,3,1153981,24,35816,612000,127,127,304800,203200,1,127,3,91451
1x600x400w1-24-137,1,600,400,1,24,137,0-24-137,53704,3288,493200,wide,1800,2,600,82200,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,3,1131824,24,31896,495000,137,137,246600,164400,1,137,3,68663
1x600x400w1-24-147,1,600,400,1,24,147,0-24-147,57624,3528,529200,wide,1800,2,600,88200,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,3,1134194,24,27976,531000,147,147,264600,176400,1,147,3,71033
1x600x400w1-24-157,1,600,400,1,24,157,0-24-157,61544,3768,565200,wide,1800,2,600,94200,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,3,1147762,24,24056,567000,157,157,282600,188400,1,157,3,85364
1x600x400w1-24-167,1,600,400,1,24,167,0-24-167,65464,4008,601200,wide,1800,2,600,100200,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,3,1152928,24,20136,603000,167,167,300600,200400,1,167,3,89767
1x600x400w1-24-177,1,600,400,1,24,177,0-24-177,69384,4248,637200,wide,1800,2,600,106200,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,3,1158097,24,16216,639000,177,177,318600,212400,1,177,3,95301
1x600x400w1-24-187,1,600,400,1,24,187,0-24-187,73304,4488,673200,wide,1800,2,600,112200,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,3,1163888,24,12296,675000,187,187,336600,224400,1,187,3,99394
1x600x400w1-24-197,1,600,400,1,24,197,0-24-197,77224,4728,709200,wide,1800,2,600,118200,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,3,1167319,24,8376,711000,197,197,354600,236400,1,197,3,104523
1x600x400w1-24-22,1,600,400,1,24,22,0-24-22,8624,528,501600,tall,11400,2,3800,83600,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,3,1225886,24,76976,513000,22,22,250800,167200,1,22,3,161762
1x600x400w1-24-33,1,600,400,1,24,33,0-24-33,12936,792,514800,wide,7800,2,2600,85800,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,3,1203903,24,72664,522600,33,33,257400,171600,1,33,3,140831
