FakeNN JSON Name,M,N,K,m,n,k,JSON Name,Kernel Time,Reduction Dim,Space Needed in L1,Total Time,HW Loop Body,Microkernel Count,Reused Streaming Loads,HW Loop Iters,Total Loads,Kernel Name,Tile Shape,Space Remaining,Regular Loads,Microkernel Reduction Dim,Start Reuse Streaming Loads,Total Streaming Loads,Other Streaming Loads,Outer Loop Iters,Row Dim,Microkernel Row Dim,Weight Matrix Tile Size,Case
1x600x600w1-24-10,1,600,600,1,24,10,0-24-10,243499,10,3920,1284237,3,12000,240000,10,756000,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,tall,81680,36000,10,120000,720000,360000,1,24,3,240,1
1x600x600w1-24-100,1,600,600,1,24,100,0-24-100,80994,100,39200,1122125,3,1200,240000,100,723600,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,wide,46400,3600,100,120000,720000,360000,1,24,3,2400,1
1x600x600w1-24-12,1,600,600,1,24,12,0-24-12,217262,12,4704,1258257,3,10000,240000,12,750000,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,tall,80896,30000,12,120000,720000,360000,1,24,3,288,1
1x600x600w1-24-120,1,600,600,1,24,120,0-24-120,79292,120,47040,1119386,3,1000,240000,120,723000,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,wide,38560,3000,120,120000,720000,360000,1,24,3,2880,1
1x600x600w1-24-15,1,600,600,1,24,15,0-24-15,191694,15,5880,1232673,3,8000,240000,15,744000,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,tall,79720,24000,15,120000,720000,360000,1,24,3,360,1
1x600x600w1-24-150,1,600,600,1,24,150,0-24-150,76490,150,58800,1118136,3,800,240000,150,722400,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,wide,26800,2400,150,120000,720000,360000,1,24,3,3600,1
1x600x600w1-24-20,1,600,600,1,24,20,0-24-20,148969,20,7840,1190920,3,6000,240000,20,738000,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,tall,77760,18000,20,120000,720000,360000,1,24,3,480,1
1x600x600w1-24-200,1,600,600,1,24,200,0-24-200,72988,200,78400,1112697,3,600,240000,200,721800,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,wide,7200,1800,200,120000,720000,360000,1,24,3,4800,1
1x600x600w1-24-24,1,600,600,1,24,24,0-24-24,134705,24,9408,1174568,3,5000,240000,24,735000,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,square,76192,15000,24,120000,720000,360000,1,24,3,576,1
1x600x600w1-24-25,1,600,600,1,24,25,0-24-25,144643,25,9800,1185966,3,4800,240000,25,734400,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,wide,75800,14400,25,120000,720000,360000,1,24,3,600,1
1x600x600w1-24-30,1,600,600,1,24,30,0-24-30,130217,30,11760,1171196,3,4000,240000,30,732000,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,wide,73840,12000,30,120000,720000,360000,1,24,3,720,1
1x600x600w1-24-40,1,600,600,1,24,40,0-24-40,117565,40,15680,1159445,3,3000,240000,40,729000,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,wide,69920,9000,40,120000,720000,360000,1,24,3,960,1
1x600x600w1-24-50,1,600,600,1,24,50,0-24-50,105382,50,19600,1146377,3,2400,240000,50,727200,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,wide,66000,7200,50,120000,720000,360000,1,24,3,1200,1
1x600x600w1-24-60,1,600,600,1,24,60,0-24-60,93493,60,23520,1133403,3,2000,240000,60,726000,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,wide,62080,6000,60,120000,720000,360000,1,24,3,1440,1
1x600x600w1-24-75,1,600,600,1,24,75,0-24-75,88898,75,29400,1129237,3,1600,240000,75,724800,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,wide,56200,4800,75,120000,720000,360000,1,24,3,1800,1
1x600x600w1-24-8,1,600,600,1,24,8,0-24-8,310238,8,3136,1353027,3,15000,240000,8,765000,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,tall,82464,45000,8,120000,720000,360000,1,24,3,192,1
1x600x600w1-40-10,1,600,600,1,40,10,0-40-10,174619,10,6480,1214935,5,7200,288000,10,756000,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,tall,79120,36000,10,72000,720000,360000,1,40,5,400,1
1x600x600w1-40-100,1,600,600,1,40,100,0-40-100,69121,100,64800,1110948,5,720,288000,100,723600,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,wide,20800,3600,100,72000,720000,360000,1,40,5,4000,1
1x600x600w1-40-12,1,600,600,1,40,12,0-40-12,152380,12,7776,1192216,5,6000,288000,12,750000,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,tall,77824,30000,12,72000,720000,360000,1,40,5,480,1
1x600x600w1-40-120,1,600,600,1,40,120,0-40-120,70917,120,77760,1111317,5,600,288000,120,723000,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,wide,7840,3000,120,72000,720000,360000,1,40,5,4800,1
1x600x600w1-40-15,1,600,600,1,40,15,0-40-15,137285,15,9720,1178124,5,4800,288000,15,744000,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,tall,75880,24000,15,72000,720000,360000,1,40,5,600,1
1x600x600w1-40-20,1,600,600,1,40,20,0-40-20,119287,20,12960,1159603,5,3600,288000,20,738000,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,tall,72640,18000,20,72000,720000,360000,1,40,5,800,1
1x600x600w1-40-24,1,600,600,1,40,24,0-40-24,108786,24,15552,1148622,5,3000,288000,24,735000,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,tall,70048,15000,24,72000,720000,360000,1,40,5,960,1
1x600x600w1-40-25,1,600,600,1,40,25,0-40-25,107000,25,16200,1147316,5,2880,288000,25,734400,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,tall,69400,14400,25,72000,720000,360000,1,40,5,1000,1
1x600x600w1-40-30,1,600,600,1,40,30,0-40-30,98109,30,19440,1138425,5,2400,288000,30,732000,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,tall,66160,12000,30,72000,720000,360000,1,40,5,1200,1
1x600x600w1-40-40,1,600,600,1,40,40,0-40-40,84547,40,25920,1123932,5,1800,288000,40,729000,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,square,59680,9000,40,72000,720000,360000,1,40,5,1600,1
1x600x600w1-40-50,1,600,600,1,40,50,0-40-50,85386,50,32400,1126892,5,1440,288000,50,727200,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,wide,53200,7200,50,72000,720000,360000,1,40,5,2000,1
1x600x600w1-40-60,1,600,600,1,40,60,0-40-60,80221,60,38880,1120055,5,1200,288000,60,726000,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,wide,46720,6000,60,72000,720000,360000,1,40,5,2400,1
1x600x600w1-40-75,1,600,600,1,40,75,0-40-75,76421,75,48600,1117436,5,960,288000,75,724800,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,wide,37000,4800,75,72000,720000,360000,1,40,5,3000,1
1x600x600w1-40-8,1,600,600,1,40,8,0-40-8,204744,8,5184,1246250,5,9000,288000,8,765000,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,tall,80416,45000,8,72000,720000,360000,1,40,5,320,1
