FakeNN JSON Name,M,N,K,m,n,k,JSON Name,Total Loads,Row Dim,Reduction Dim,Space Remaining,Regular Loads,Total Time,Kernel Name,HW Loop Iters,HW Loop Body,Weight Matrix Tile Size,Start Reuse Streaming Loads,Tile Shape,Outer Loop Iters,Total Streaming Loads,Kernel Time,Case,Space Needed in L1,Microkernel Count,Reused Streaming Loads,Microkernel Reduction Dim,Microkernel Row Dim,Other Streaming Loads
1x600x600w1-24-104,1,600,600,1,24,104,0-24-104,752400,24,104,44832,3600,1151146,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,104,3,2496,124800,wide,1,748800,109765,2,40768,1200,249600,104,3,374400
1x600x600w1-24-112,1,600,600,1,24,112,0-24-112,810000,24,112,41696,3600,1175532,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,112,3,2688,134400,wide,1,806400,134151,2,43904,1200,268800,112,3,403200
1x600x600w1-24-128,1,600,600,1,24,128,0-24-128,771000,24,128,35424,3000,1161864,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,128,3,3072,128000,wide,1,768000,121256,2,50176,1000,256000,128,3,384000
1x600x600w1-24-136,1,600,600,1,24,136,0-24-136,819000,24,136,32288,3000,1157479,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,136,3,3264,136000,wide,1,816000,117771,2,53312,1000,272000,136,3,408000
1x600x600w1-24-144,1,600,600,1,24,144,0-24-144,867000,24,144,29152,3000,1164202,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,144,3,3456,144000,wide,1,864000,124479,2,56448,1000,288000,144,3,432000
1x600x600w1-24-152,1,600,600,1,24,152,0-24-152,732000,24,152,26016,2400,1138878,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,152,3,3648,121600,wide,1,729600,98810,2,59584,800,243200,152,3,364800
1x600x600w1-24-16,1,600,600,1,24,16,0-24-16,752400,24,16,79328,22800,1328554,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,16,3,384,121600,tall,1,729600,287527,2,6272,7600,243200,16,3,364800
1x600x600w1-24-160,1,600,600,1,24,160,0-24-160,770400,24,160,22880,2400,1153075,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,160,3,3840,128000,wide,1,768000,113007,2,62720,800,256000,160,3,384000
1x600x600w1-24-168,1,600,600,1,24,168,0-24-168,808800,24,168,19744,2400,1156029,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,168,3,4032,134400,wide,1,806400,115977,2,65856,800,268800,168,3,403200
1x600x600w1-24-176,1,600,600,1,24,176,0-24-176,847200,24,176,16608,2400,1161599,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,176,3,4224,140800,wide,1,844800,121563,2,68992,800,281600,176,3,422400
1x600x600w1-24-184,1,600,600,1,24,184,0-24-184,885600,24,184,13472,2400,1166054,main$async_dispatch_8_matmul_transpose_b_1x600x600_f64,184,3,4416,147200,wide,1,883200,126018,2,72128,800,294400,184,3,441600
