JSON Name,Row Dim,Reduction Dim,Space Needed in L1,Weight Matrix Tile Size,Space Remaining,Case,Regular Loads,Total Streaming Loads,Other Streaming Loads,Start Reuse Streaming Loads,Reused Streaming Loads,Outer Loop Iters,HW Loop Body,HW Loop Iters,Microkernel Count,Microkernel Row Dim,Microkernel Reduction Dim,Kernel Name,Kernel Time,Total Time
0-120-25,120,25,48200,3000,37400,1,9600,480000,240000,48000,192000,3,5,25,640,15,25,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,89827,1131593
0-120-40,120,40,77120,4800,8480,1,6000,480000,240000,48000,192000,3,5,40,400,15,40,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,89769,1115850
0-200-25,200,25,80200,5000,5400,1,9600,480000,240000,48000,192000,5,5,25,384,25,25,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,89798,1131647
0-24-100,24,100,39200,2400,46400,1,2400,480000,240000,80000,160000,1,3,100,800,3,100,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,90083,1119527
0-24-200,24,200,78400,4800,7200,1,1200,480000,240000,80000,160000,1,3,200,400,3,200,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,90229,1116857
0-24-25,24,25,9800,600,75800,1,9600,480000,240000,80000,160000,1,3,25,3200,3,25,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,90645,1155783
0-24-40,24,40,15680,960,69920,1,6000,480000,240000,80000,160000,1,3,40,2000,3,40,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,90059,1136797
0-24-50,24,50,19600,1200,66000,1,4800,480000,240000,80000,160000,1,3,50,1600,3,50,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,90019,1132357
0-24-80,24,80,31360,1920,54240,1,3000,480000,240000,80000,160000,1,3,80,1000,3,80,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,90100,1125616
0-40-100,40,100,64800,4000,20800,1,2400,480000,240000,48000,192000,1,5,100,480,5,100,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,89871,1111783
0-40-25,40,25,16200,1000,69400,1,9600,480000,240000,48000,192000,1,5,25,1920,5,25,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,89640,1135778
0-40-40,40,40,25920,1600,59680,1,6000,480000,240000,48000,192000,1,5,40,1200,5,40,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,89802,1118890
0-40-50,40,50,32400,2000,53200,1,4800,480000,240000,48000,192000,1,5,50,960,5,50,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,89802,1119675
0-40-80,40,80,51840,3200,33760,1,3000,480000,240000,48000,192000,1,5,80,600,5,80,main$async_dispatch_7_matmul_transpose_b_1x600x400_f64,89871,1121462
