,FakeNN JSON Name,M,N,K,m,n,k,JSON Name,Space Needed in L1,tileC_cc,tileB,tileA_cc,tileA,tileB_cc,Reduction Dim,Space Remaining,tileC,m Dim,Weight Matrix Tile Size,Row Dim,SSR Config Count,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,Regular Loads,Total SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,Little K,m_tiles,n_tiles,k_tiles,L3 Loads,stage,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time
0,128x128x128w128-8-8,128,128,128,128,8,8,128-8-8,33792,1024,512,1024,8192,512,8,80896,8192,128,1024,8,2048,16,1,8,8,16,17,1,8,8,17,262144.0,3145728.0,196608.0,1376256.0,196608,1572864.0,8,1.0,16.0,16.0,294912.0,0,367892,367888,367884,367891,367867,367883,367885,367885,372097,367898
1,128x128x128w16-16-64,128,128,128,16,16,64,16-16-64,36864,256,8192,1024,8192,8192,64,77824,2048,16,16384,16,1024,2,2,64,8,2,3,2,64,8,3,32768.0,4063232.0,253952.0,1777664.0,253952,2031616.0,64,8.0,8.0,2.0,278528.0,2,311279,311270,311287,311279,311276,311280,311297,311269,315015,311298
2,128x128x128w16-32-32,128,128,128,16,32,32,16-32-32,32768,512,8192,512,4096,8192,32,81920,4096,16,16384,32,1024,2,4,32,8,2,3,4,32,8,3,65536.0,3932160.0,245760.0,1720320.0,245760,1966080.0,32,8.0,4.0,4.0,212992.0,2,340406,340393,340413,340433,340421,340450,340451,340425,344121,340453
3,128x128x128w16-64-16,128,128,128,16,64,16,16-64-16,36864,1024,8192,256,2048,8192,16,77824,8192,16,16384,64,1024,2,8,16,8,2,3,8,16,8,3,131072.0,3670016.0,229376.0,1605632.0,229376,1835008.0,16,8.0,2.0,8.0,180224.0,2,352442,352418,352439,352477,352466,352501,352468,352484,356142,352502
4,128x128x128w32-16-32,128,128,128,32,16,32,32-16-32,32768,512,4096,1024,8192,4096,32,81920,4096,32,8192,16,1024,4,2,32,8,4,5,2,32,8,5,65536.0,3932160.0,245760.0,1720320.0,245760,1966080.0,32,4.0,8.0,4.0,212992.0,2,315112,315110,315138,315130,315128,315110,315127,315124,318872,315143
5,128x128x128w32-32-16,128,128,128,32,32,16,32-32-16,32768,1024,4096,512,4096,4096,16,81920,8192,32,8192,32,1024,4,4,16,8,4,5,4,16,8,5,131072.0,3670016.0,229376.0,1605632.0,229376,1835008.0,16,4.0,4.0,8.0,147456.0,1,352706,352656,352684,352696,352676,352702,352687,352660,356371,352710
6,128x128x128w32-32-32,128,128,128,32,32,32,32-32-32,49152,1024,8192,1024,8192,8192,32,65536,8192,32,16384,32,512,4,4,32,8,4,5,4,32,8,5,65536.0,3932160.0,245760.0,1720320.0,245760,1966080.0,32,4.0,4.0,4.0,147456.0,2,322678,322695,322645,322679,322685,322720,322710,322719,326677,322728
7,128x128x128w64-16-16,128,128,128,64,16,16,64-16-16,36864,1024,2048,1024,8192,2048,16,77824,8192,64,4096,16,1024,8,2,16,8,8,9,2,16,8,9,131072.0,3670016.0,229376.0,1605632.0,229376,1835008.0,16,2.0,8.0,8.0,180224.0,2,320720,320722,320722,320734,320726,320740,320763,320719,324667,320764
8,128x128x128w8-128-8,128,128,128,8,128,8,8-128-8,33792,1024,8192,64,512,8192,8,80896,8192,8,16384,128,2048,1,16,8,8,1,2,16,8,8,2,262144.0,3145728.0,196608.0,1376256.0,196608,1572864.0,8,16.0,1.0,16.0,294912.0,0,405849,405848,405832,405839,405832,405858,405871,405863,409414,405872
9,128x128x128w8-8-128,128,128,128,8,8,128,8-8-128,33792,64,8192,1024,8192,8192,128,80896,512,8,16384,8,2048,1,1,128,8,1,2,1,128,8,2,16384.0,4128768.0,258048.0,1806336.0,258048,2064384.0,128,16.0,16.0,1.0,540672.0,3,312661,312662,312664,312672,312649,312656,312655,312659,316141,312673
