FakeNN JSON Name,M,N,K,m,n,k,JSON Name,tileA_cc,Space Needed in L1,Weight Matrix Tile Size,tileB_cc,tileC,tileB,Row Dim,Reduction Dim,tileC_cc,tileA,Space Remaining,m Dim,SSR Config Count,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,Regular Loads,Total SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,Little K,m_tiles,n_tiles,k_tiles,L3 Loads,stage
128x128x96w32-32-32,128,128,96,32,32,32,32-32-32,1024,49152,16384,8192,8192,8192,32,32,1024,8192,65536,32,384,4,4,32,8,4,5,4,32,8,5,49152.0,2949120.0,184320.0,1290240.0,184320,1474560.0,32,4.0,4.0,3.0,114688.0,3
128x128x96w32-32-24,128,128,96,32,32,24,32-32-24,768,40960,12288,6144,8192,6144,32,24,1024,6144,73728,32,512,4,4,24,8,4,5,4,24,8,5,65536.0,2883584.0,180224.0,1261568.0,180224,1441792.0,24,4.0,4.0,4.0,114688.0,2
128x128x96w16-64-16,128,128,96,16,64,16,16-64-16,256,36864,16384,8192,8192,8192,64,16,1024,2048,77824,16,768,2,8,16,8,2,3,8,16,8,3,98304.0,2752512.0,172032.0,1204224.0,172032,1376256.0,16,8.0,2.0,6.0,139264.0,2
128x128x96w64-16-16,128,128,96,64,16,16,64-16-16,1024,36864,4096,2048,8192,2048,16,16,1024,8192,77824,64,768,8,2,16,8,8,9,2,16,8,9,98304.0,2752512.0,172032.0,1204224.0,172032,1376256.0,16,2.0,8.0,6.0,139264.0,2
128x128x96w128-8-8,128,128,96,128,8,8,128-8-8,1024,33792,1024,512,8192,512,8,8,1024,8192,80896,128,1536,16,1,8,8,16,17,1,8,8,17,196608.0,2359296.0,147456.0,1032192.0,147456,1179648.0,8,1.0,16.0,12.0,225280.0,2
128x128x96w8-128-8,128,128,96,8,128,8,8-128-8,64,33792,16384,8192,8192,8192,128,8,1024,512,80896,8,1536,1,16,8,8,1,2,16,8,8,2,196608.0,2359296.0,147456.0,1032192.0,147456,1179648.0,8,16.0,1.0,12.0,225280.0,2
128x128x96w16-32-32,128,128,96,16,32,32,16-32-32,512,32768,16384,8192,4096,8192,32,32,512,4096,81920,16,768,2,4,32,8,2,3,4,32,8,3,49152.0,2949120.0,184320.0,1290240.0,184320,1474560.0,32,8.0,4.0,3.0,163840.0,2
128x128x96w32-32-16,128,128,96,32,32,16,32-32-16,512,32768,8192,4096,8192,4096,32,16,1024,4096,81920,32,768,4,4,16,8,4,5,4,16,8,5,98304.0,2752512.0,172032.0,1204224.0,172032,1376256.0,16,4.0,4.0,6.0,114688.0,2
128x128x96w32-16-32,128,128,96,32,16,32,32-16-32,1024,32768,8192,4096,4096,4096,16,32,512,8192,81920,32,768,4,2,32,8,4,5,2,32,8,5,49152.0,2949120.0,184320.0,1290240.0,184320,1474560.0,32,4.0,8.0,3.0,163840.0,2
128x128x96w64-16-12,128,128,96,64,16,12,64-16-12,768,31744,3072,1536,8192,1536,16,12,1024,6144,82944,64,1024,8,2,12,8,8,9,2,12,8,9,131072.0,2621440.0,163840.0,1146880.0,163840,1310720.0,12,2.0,8.0,8.0,139264.0,1
128x128x96w16-64-12,128,128,96,16,64,12,16-64-12,192,31744,12288,6144,8192,6144,64,12,1024,1536,82944,16,1024,2,8,12,8,2,3,8,12,8,3,131072.0,2621440.0,163840.0,1146880.0,163840,1310720.0,12,8.0,2.0,8.0,139264.0,2
128x128x96w16-16-48,128,128,96,16,16,48,16-16-48,768,28672,12288,6144,2048,6144,16,48,256,6144,86016,16,1024,2,2,48,8,2,3,2,48,8,3,32768.0,3014656.0,188416.0,1318912.0,188416,1507328.0,48,8.0,8.0,2.0,212992.0,1
128x128x96w32-32-12,128,128,96,32,32,12,32-32-12,384,28672,6144,3072,8192,3072,32,12,1024,3072,86016,32,1024,4,4,12,8,4,5,4,12,8,5,131072.0,2621440.0,163840.0,1146880.0,163840,1310720.0,12,4.0,4.0,8.0,114688.0,1
128x128x96w16-32-24,128,128,96,16,32,24,16-32-24,384,26624,12288,6144,4096,6144,32,24,512,3072,88064,16,1024,2,4,24,8,2,3,4,24,8,3,65536.0,2883584.0,180224.0,1261568.0,180224,1441792.0,24,8.0,4.0,4.0,163840.0,1
128x128x96w16-64-8,128,128,96,16,64,8,16-64-8,128,26624,8192,4096,8192,4096,64,8,1024,1024,88064,16,1536,2,8,8,8,2,3,8,8,8,3,196608.0,2359296.0,147456.0,1032192.0,147456,1179648.0,8,8.0,2.0,12.0,139264.0,0
128x128x96w8-64-16,128,128,96,8,64,16,8-64-16,128,26624,16384,8192,4096,8192,64,16,512,1024,88064,8,1536,1,8,16,8,1,2,8,16,8,2,98304.0,2752512.0,172032.0,1204224.0,172032,1376256.0,16,16.0,2.0,6.0,237568.0,1
128x128x96w32-16-24,128,128,96,32,16,24,32-16-24,768,26624,6144,3072,4096,3072,16,24,512,6144,88064,32,1024,4,2,24,8,4,5,2,24,8,5,65536.0,2883584.0,180224.0,1261568.0,180224,1441792.0,24,4.0,8.0,4.0,163840.0,1
128x128x96w64-8-16,128,128,96,64,8,16,64-8-16,1024,26624,2048,1024,4096,1024,8,16,512,8192,88064,64,1536,8,1,16,8,8,9,1,16,8,9,98304.0,2752512.0,172032.0,1204224.0,172032,1376256.0,16,2.0,16.0,6.0,237568.0,1
128x128x96w64-16-8,128,128,96,64,16,8,64-16-8,512,26624,2048,1024,8192,1024,16,8,1024,4096,88064,64,1536,8,2,8,8,8,9,2,8,8,9,196608.0,2359296.0,147456.0,1032192.0,147456,1179648.0,8,2.0,8.0,12.0,139264.0,1
128x128x96w8-8-96,128,128,96,8,8,96,8-8-96,768,25600,12288,6144,512,6144,8,96,64,6144,89088,8,2048,1,1,96,8,1,2,1,96,8,2,16384.0,3080192.0,192512.0,1347584.0,192512,1540096.0,96,16.0,16.0,1.0,409600.0,0
128x128x96w8-32-32,128,128,96,8,32,32,8-32-32,256,24576,16384,8192,2048,8192,32,32,256,2048,90112,8,1536,1,4,32,8,1,2,4,32,8,2,49152.0,2949120.0,184320.0,1290240.0,184320,1474560.0,32,16.0,4.0,3.0,262144.0,1
128x128x96w32-8-32,128,128,96,32,8,32,32-8-32,1024,24576,4096,2048,2048,2048,8,32,256,8192,90112,32,1536,4,1,32,8,4,5,1,32,8,5,49152.0,2949120.0,184320.0,1290240.0,184320,1474560.0,32,4.0,16.0,3.0,262144.0,0
128x128x96w32-32-8,128,128,96,32,32,8,32-32-8,256,24576,4096,2048,8192,2048,32,8,1024,2048,90112,32,1536,4,4,8,8,4,5,4,8,8,5,196608.0,2359296.0,147456.0,1032192.0,147456,1179648.0,8,4.0,4.0,12.0,114688.0,1
128x128x96w64-8-12,128,128,96,64,8,12,64-8-12,768,22016,1536,768,4096,768,8,12,512,6144,92672,64,2048,8,1,12,8,8,9,1,12,8,9,131072.0,2621440.0,163840.0,1146880.0,163840,1310720.0,12,2.0,16.0,8.0,237568.0,0
128x128x96w8-64-12,128,128,96,8,64,12,8-64-12,96,22016,12288,6144,4096,6144,64,12,512,768,92672,8,2048,1,8,12,8,1,2,8,12,8,2,131072.0,2621440.0,163840.0,1146880.0,163840,1310720.0,12,16.0,2.0,8.0,237568.0,0
128x128x96w16-8-48,128,128,96,16,8,48,16-8-48,768,20480,6144,3072,1024,3072,8,48,128,6144,94208,16,2048,2,1,48,8,2,3,1,48,8,3,32768.0,3014656.0,188416.0,1318912.0,188416,1507328.0,48,8.0,16.0,2.0,311296.0,0
128x128x96w8-16-48,128,128,96,8,16,48,8-16-48,384,20480,12288,6144,1024,6144,16,48,128,3072,94208,8,2048,1,2,48,8,1,2,2,48,8,2,32768.0,3014656.0,188416.0,1318912.0,188416,1507328.0,48,16.0,8.0,2.0,311296.0,0
128x128x96w16-32-16,128,128,96,16,32,16,16-32-16,256,20480,8192,4096,4096,4096,32,16,512,2048,94208,16,1536,2,4,16,8,2,3,4,16,8,3,98304.0,2752512.0,172032.0,1204224.0,172032,1376256.0,16,8.0,4.0,6.0,163840.0,0
128x128x96w32-16-16,128,128,96,32,16,16,32-16-16,512,20480,4096,2048,4096,2048,16,16,512,4096,94208,32,1536,4,2,16,8,4,5,2,16,8,5,98304.0,2752512.0,172032.0,1204224.0,172032,1376256.0,16,4.0,8.0,6.0,163840.0,0
128x128x96w16-16-32,128,128,96,16,16,32,16-16-32,512,20480,8192,4096,2048,4096,16,32,256,4096,94208,16,1536,2,2,32,8,2,3,2,32,8,3,49152.0,2949120.0,184320.0,1290240.0,184320,1474560.0,32,8.0,8.0,3.0,212992.0,1
128x128x96w8-32-24,128,128,96,8,32,24,8-32-24,192,19456,12288,6144,2048,6144,32,24,256,1536,95232,8,2048,1,4,24,8,1,2,4,24,8,2,65536.0,2883584.0,180224.0,1261568.0,180224,1441792.0,24,16.0,4.0,4.0,262144.0,0
128x128x96w32-8-24,128,128,96,32,8,24,32-8-24,768,19456,3072,1536,2048,1536,8,24,256,6144,95232,32,2048,4,1,24,8,4,5,1,24,8,5,65536.0,2883584.0,180224.0,1261568.0,180224,1441792.0,24,4.0,16.0,4.0,262144.0,0
128x128x96w64-8-8,128,128,96,64,8,8,64-8-8,512,17408,1024,512,4096,512,8,8,512,4096,97280,64,3072,8,1,8,8,8,9,1,8,8,9,196608.0,2359296.0,147456.0,1032192.0,147456,1179648.0,8,2.0,16.0,12.0,237568.0,0
128x128x96w8-64-8,128,128,96,8,64,8,8-64-8,64,17408,8192,4096,4096,4096,64,8,512,512,97280,8,3072,1,8,8,8,1,2,8,8,8,2,196608.0,2359296.0,147456.0,1032192.0,147456,1179648.0,8,16.0,2.0,12.0,237568.0,0
128x128x96w16-32-12,128,128,96,16,32,12,16-32-12,192,17408,6144,3072,4096,3072,32,12,512,1536,97280,16,2048,2,4,12,8,2,3,4,12,8,3,131072.0,2621440.0,163840.0,1146880.0,163840,1310720.0,12,8.0,4.0,8.0,163840.0,0
128x128x96w32-16-12,128,128,96,32,16,12,32-16-12,384,17408,3072,1536,4096,1536,16,12,512,3072,97280,32,2048,4,2,12,8,4,5,2,12,8,5,131072.0,2621440.0,163840.0,1146880.0,163840,1310720.0,12,4.0,8.0,8.0,163840.0,0
128x128x96w16-16-24,128,128,96,16,16,24,16-16-24,384,16384,6144,3072,2048,3072,16,24,256,3072,98304,16,2048,2,2,24,8,2,3,2,24,8,3,65536.0,2883584.0,180224.0,1261568.0,180224,1441792.0,24,8.0,8.0,4.0,212992.0,0
128x128x96w8-32-16,128,128,96,8,32,16,8-32-16,128,14336,8192,4096,2048,4096,32,16,256,1024,100352,8,3072,1,4,16,8,1,2,4,16,8,2,98304.0,2752512.0,172032.0,1204224.0,172032,1376256.0,16,16.0,4.0,6.0,262144.0,0
128x128x96w16-8-32,128,128,96,16,8,32,16-8-32,512,14336,4096,2048,1024,2048,8,32,128,4096,100352,16,3072,2,1,32,8,2,3,1,32,8,3,49152.0,2949120.0,184320.0,1290240.0,184320,1474560.0,32,8.0,16.0,3.0,311296.0,0
128x128x96w32-8-16,128,128,96,32,8,16,32-8-16,512,14336,2048,1024,2048,1024,8,16,256,4096,100352,32,3072,4,1,16,8,4,5,1,16,8,5,98304.0,2752512.0,172032.0,1204224.0,172032,1376256.0,16,4.0,16.0,6.0,262144.0,0
128x128x96w32-16-8,128,128,96,32,16,8,32-16-8,256,14336,2048,1024,4096,1024,16,8,512,2048,100352,32,3072,4,2,8,8,4,5,2,8,8,5,196608.0,2359296.0,147456.0,1032192.0,147456,1179648.0,8,4.0,8.0,12.0,163840.0,0
128x128x96w8-16-32,128,128,96,8,16,32,8-16-32,256,14336,8192,4096,1024,4096,16,32,128,2048,100352,8,3072,1,2,32,8,1,2,2,32,8,2,49152.0,2949120.0,184320.0,1290240.0,184320,1474560.0,32,16.0,8.0,3.0,311296.0,0
128x128x96w16-32-8,128,128,96,16,32,8,16-32-8,128,14336,4096,2048,4096,2048,32,8,512,1024,100352,16,3072,2,4,8,8,2,3,4,8,8,3,196608.0,2359296.0,147456.0,1032192.0,147456,1179648.0,8,8.0,4.0,12.0,163840.0,0
128x128x96w8-8-48,128,128,96,8,8,48,8-8-48,384,13312,6144,3072,512,3072,8,48,64,3072,101376,8,4096,1,1,48,8,1,2,1,48,8,2,32768.0,3014656.0,188416.0,1318912.0,188416,1507328.0,48,16.0,16.0,2.0,409600.0,0
128x128x96w16-16-16,128,128,96,16,16,16,16-16-16,256,12288,4096,2048,2048,2048,16,16,256,2048,102400,16,3072,2,2,16,8,2,3,2,16,8,3,98304.0,2752512.0,172032.0,1204224.0,172032,1376256.0,16,8.0,8.0,6.0,212992.0,0
128x128x96w8-32-12,128,128,96,8,32,12,8-32-12,96,11776,6144,3072,2048,3072,32,12,256,768,102912,8,4096,1,4,12,8,1,2,4,12,8,2,131072.0,2621440.0,163840.0,1146880.0,163840,1310720.0,12,16.0,4.0,8.0,262144.0,0
128x128x96w32-8-12,128,128,96,32,8,12,32-8-12,384,11776,1536,768,2048,768,8,12,256,3072,102912,32,4096,4,1,12,8,4,5,1,12,8,5,131072.0,2621440.0,163840.0,1146880.0,163840,1310720.0,12,4.0,16.0,8.0,262144.0,0
128x128x96w8-16-24,128,128,96,8,16,24,8-16-24,192,11264,6144,3072,1024,3072,16,24,128,1536,103424,8,4096,1,2,24,8,1,2,2,24,8,2,65536.0,2883584.0,180224.0,1261568.0,180224,1441792.0,24,16.0,8.0,4.0,311296.0,0
128x128x96w16-8-24,128,128,96,16,8,24,16-8-24,384,11264,3072,1536,1024,1536,8,24,128,3072,103424,16,4096,2,1,24,8,2,3,1,24,8,3,65536.0,2883584.0,180224.0,1261568.0,180224,1441792.0,24,8.0,16.0,4.0,311296.0,0
128x128x96w16-16-12,128,128,96,16,16,12,16-16-12,192,10240,3072,1536,2048,1536,16,12,256,1536,104448,16,4096,2,2,12,8,2,3,2,12,8,3,131072.0,2621440.0,163840.0,1146880.0,163840,1310720.0,12,8.0,8.0,8.0,212992.0,0
128x128x96w8-32-8,128,128,96,8,32,8,8-32-8,64,9216,4096,2048,2048,2048,32,8,256,512,105472,8,6144,1,4,8,8,1,2,4,8,8,2,196608.0,2359296.0,147456.0,1032192.0,147456,1179648.0,8,16.0,4.0,12.0,262144.0,0
128x128x96w8-8-32,128,128,96,8,8,32,8-8-32,256,9216,4096,2048,512,2048,8,32,64,2048,105472,8,6144,1,1,32,8,1,2,1,32,8,2,49152.0,2949120.0,184320.0,1290240.0,184320,1474560.0,32,16.0,16.0,3.0,409600.0,0
128x128x96w32-8-8,128,128,96,32,8,8,32-8-8,256,9216,1024,512,2048,512,8,8,256,2048,105472,32,6144,4,1,8,8,4,5,1,8,8,5,196608.0,2359296.0,147456.0,1032192.0,147456,1179648.0,8,4.0,16.0,12.0,262144.0,0
128x128x96w8-16-16,128,128,96,8,16,16,8-16-16,128,8192,4096,2048,1024,2048,16,16,128,1024,106496,8,6144,1,2,16,8,1,2,2,16,8,2,98304.0,2752512.0,172032.0,1204224.0,172032,1376256.0,16,16.0,8.0,6.0,311296.0,0
128x128x96w16-8-16,128,128,96,16,8,16,16-8-16,256,8192,2048,1024,1024,1024,8,16,128,2048,106496,16,6144,2,1,16,8,2,3,1,16,8,3,98304.0,2752512.0,172032.0,1204224.0,172032,1376256.0,16,8.0,16.0,6.0,311296.0,0
128x128x96w16-16-8,128,128,96,16,16,8,16-16-8,128,8192,2048,1024,2048,1024,16,8,256,1024,106496,16,6144,2,2,8,8,2,3,2,8,8,3,196608.0,2359296.0,147456.0,1032192.0,147456,1179648.0,8,8.0,8.0,12.0,212992.0,0
128x128x96w8-8-24,128,128,96,8,8,24,8-8-24,192,7168,3072,1536,512,1536,8,24,64,1536,107520,8,8192,1,1,24,8,1,2,1,24,8,2,65536.0,2883584.0,180224.0,1261568.0,180224,1441792.0,24,16.0,16.0,4.0,409600.0,0
128x128x96w16-8-12,128,128,96,16,8,12,16-8-12,192,6656,1536,768,1024,768,8,12,128,1536,108032,16,8192,2,1,12,8,2,3,1,12,8,3,131072.0,2621440.0,163840.0,1146880.0,163840,1310720.0,12,8.0,16.0,8.0,311296.0,0
128x128x96w8-16-12,128,128,96,8,16,12,8-16-12,96,6656,3072,1536,1024,1536,16,12,128,768,108032,8,8192,1,2,12,8,1,2,2,12,8,2,131072.0,2621440.0,163840.0,1146880.0,163840,1310720.0,12,16.0,8.0,8.0,311296.0,0
128x128x96w8-8-16,128,128,96,8,8,16,8-8-16,128,5120,2048,1024,512,1024,8,16,64,1024,109568,8,12288,1,1,16,8,1,2,1,16,8,2,98304.0,2752512.0,172032.0,1204224.0,172032,1376256.0,16,16.0,16.0,6.0,409600.0,0
128x128x96w16-8-8,128,128,96,16,8,8,16-8-8,128,5120,1024,512,1024,512,8,8,128,1024,109568,16,12288,2,1,8,8,2,3,1,8,8,3,196608.0,2359296.0,147456.0,1032192.0,147456,1179648.0,8,8.0,16.0,12.0,311296.0,0
128x128x96w8-16-8,128,128,96,8,16,8,8-16-8,64,5120,2048,1024,1024,1024,16,8,128,512,109568,8,12288,1,2,8,8,1,2,2,8,8,2,196608.0,2359296.0,147456.0,1032192.0,147456,1179648.0,8,16.0,8.0,12.0,311296.0,0
128x128x96w8-8-12,128,128,96,8,8,12,8-8-12,96,4096,1536,768,512,768,8,12,64,768,110592,8,16384,1,1,12,8,1,2,1,12,8,2,131072.0,2621440.0,163840.0,1146880.0,163840,1310720.0,12,16.0,16.0,8.0,409600.0,0
