FakeNN JSON Name,M,N,K,m,n,k,JSON Name,tileC_cc,Weight Matrix Tile Size,Space Remaining,tileB_cc,tileC,Space Needed in L1,tileA_cc,tileB,tileA,Row Dim,m Dim,Reduction Dim,SSR Config Count,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,Regular Loads,Total SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,Little K,m_tiles,n_tiles,k_tiles,L3 Loads,stage
128x32x128w32-32-32,128,32,128,32,32,32,32-32-32,1024,16384,65536,8192,8192,49152,1024,8192,8192,32,32,32,128,4,4,32,8,4,5,4,32,8,5,16384.0,983040.0,61440.0,430080.0,61440,491520.0,32,4.0,1.0,4.0,36864.0,2
128x32x128w16-16-64,128,32,128,16,16,64,16-16-64,256,16384,77824,8192,2048,36864,1024,8192,8192,16,16,64,256,2,2,64,8,2,3,2,64,8,3,8192.0,1015808.0,63488.0,444416.0,63488,507904.0,64,8.0,2.0,2.0,69632.0,2
128x32x128w64-16-16,128,32,128,64,16,16,64-16-16,1024,4096,77824,2048,8192,36864,1024,2048,8192,16,64,16,256,8,2,16,8,8,9,2,16,8,9,32768.0,917504.0,57344.0,401408.0,57344,458752.0,16,2.0,2.0,8.0,45056.0,2
128x32x128w128-8-8,128,32,128,128,8,8,128-8-8,1024,1024,80896,512,8192,33792,1024,512,8192,8,128,8,512,16,1,8,8,16,17,1,8,8,17,65536.0,786432.0,49152.0,344064.0,49152,393216.0,8,1.0,4.0,16.0,73728.0,0
128x32x128w8-8-128,128,32,128,8,8,128,8-8-128,64,16384,80896,8192,512,33792,1024,8192,8192,8,8,128,512,1,1,128,8,1,2,1,128,8,2,4096.0,1032192.0,64512.0,451584.0,64512,516096.0,128,16.0,4.0,1.0,135168.0,3
128x32x128w16-32-32,128,32,128,16,32,32,16-32-32,512,16384,81920,8192,4096,32768,512,8192,4096,32,16,32,256,2,4,32,8,2,3,4,32,8,3,16384.0,983040.0,61440.0,430080.0,61440,491520.0,32,8.0,1.0,4.0,53248.0,2
128x32x128w32-32-16,128,32,128,32,32,16,32-32-16,1024,8192,81920,4096,8192,32768,512,4096,4096,32,32,16,256,4,4,16,8,4,5,4,16,8,5,32768.0,917504.0,57344.0,401408.0,57344,458752.0,16,4.0,1.0,8.0,36864.0,1
128x32x128w32-16-32,128,32,128,32,16,32,32-16-32,512,8192,81920,4096,4096,32768,1024,4096,8192,16,32,32,256,4,2,32,8,4,5,2,32,8,5,16384.0,983040.0,61440.0,430080.0,61440,491520.0,32,4.0,2.0,4.0,53248.0,2
128x32x128w8-16-64,128,32,128,8,16,64,8-16-64,128,16384,88064,8192,1024,26624,512,8192,4096,16,8,64,512,1,2,64,8,1,2,2,64,8,2,8192.0,1015808.0,63488.0,444416.0,63488,507904.0,64,16.0,2.0,2.0,102400.0,1
128x32x128w64-16-8,128,32,128,64,16,8,64-16-8,1024,2048,88064,1024,8192,26624,512,1024,4096,16,64,8,512,8,2,8,8,8,9,2,8,8,9,65536.0,786432.0,49152.0,344064.0,49152,393216.0,8,2.0,2.0,16.0,45056.0,0
128x32x128w64-8-16,128,32,128,64,8,16,64-8-16,512,2048,88064,1024,4096,26624,1024,1024,8192,8,64,16,512,8,1,16,8,8,9,1,16,8,9,32768.0,917504.0,57344.0,401408.0,57344,458752.0,16,2.0,4.0,8.0,77824.0,0
128x32x128w16-8-64,128,32,128,16,8,64,16-8-64,128,8192,88064,4096,1024,26624,1024,4096,8192,8,16,64,512,2,1,64,8,2,3,1,64,8,3,8192.0,1015808.0,63488.0,444416.0,63488,507904.0,64,8.0,4.0,2.0,102400.0,0
128x32x128w8-32-32,128,32,128,8,32,32,8-32-32,256,16384,90112,8192,2048,24576,256,8192,2048,32,8,32,512,1,4,32,8,1,2,4,32,8,2,16384.0,983040.0,61440.0,430080.0,61440,491520.0,32,16.0,1.0,4.0,86016.0,1
128x32x128w32-8-32,128,32,128,32,8,32,32-8-32,256,4096,90112,2048,2048,24576,1024,2048,8192,8,32,32,512,4,1,32,8,4,5,1,32,8,5,16384.0,983040.0,61440.0,430080.0,61440,491520.0,32,4.0,4.0,4.0,86016.0,1
128x32x128w32-32-8,128,32,128,32,32,8,32-32-8,1024,4096,90112,2048,8192,24576,256,2048,2048,32,32,8,512,4,4,8,8,4,5,4,8,8,5,65536.0,786432.0,49152.0,344064.0,49152,393216.0,8,4.0,1.0,16.0,36864.0,0
128x32x128w16-16-32,128,32,128,16,16,32,16-16-32,256,8192,94208,4096,2048,20480,512,4096,4096,16,16,32,512,2,2,32,8,2,3,2,32,8,3,16384.0,983040.0,61440.0,430080.0,61440,491520.0,32,8.0,2.0,4.0,69632.0,1
128x32x128w16-32-16,128,32,128,16,32,16,16-32-16,512,8192,94208,4096,4096,20480,256,4096,2048,32,16,16,512,2,4,16,8,2,3,4,16,8,3,32768.0,917504.0,57344.0,401408.0,57344,458752.0,16,8.0,1.0,8.0,53248.0,1
128x32x128w32-16-16,128,32,128,32,16,16,32-16-16,512,4096,94208,2048,4096,20480,512,2048,4096,16,32,16,512,4,2,16,8,4,5,2,16,8,5,32768.0,917504.0,57344.0,401408.0,57344,458752.0,16,4.0,2.0,8.0,53248.0,0
