FakeNN JSON Name,M,N,K,m,n,k,JSON Name,tileA,tileA_cc,Reduction Dim,tileB_cc,tileB,Space Remaining,tileC_cc,Space Needed in L1,m Dim,tileC,Row Dim,Weight Matrix Tile Size,SSR Config Count,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,Regular Loads,Total SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,Little K,m_tiles,n_tiles,k_tiles,L3 Loads,stage
32x128x128w32-32-32,32,128,128,32,32,32,32-32-32,8192,1024,32,8192,8192,65536,1024,49152,32,8192,32,16384,128,4,4,32,8,4,5,4,32,8,5,16384.0,983040.0,61440.0,430080.0,61440,491520.0,32,1.0,4.0,4.0,36864.0,2
32x128x128w16-64-16,32,128,128,16,64,16,16-64-16,2048,256,16,8192,8192,77824,1024,36864,16,8192,64,16384,256,2,8,16,8,2,3,8,16,8,3,32768.0,917504.0,57344.0,401408.0,57344,458752.0,16,2.0,2.0,8.0,45056.0,2
32x128x128w16-16-64,32,128,128,16,16,64,16-16-64,8192,1024,64,8192,8192,77824,256,36864,16,2048,16,16384,256,2,2,64,8,2,3,2,64,8,3,8192.0,1015808.0,63488.0,444416.0,63488,507904.0,64,2.0,8.0,2.0,69632.0,2
32x128x128w8-128-8,32,128,128,8,128,8,8-128-8,512,64,8,8192,8192,80896,1024,33792,8,8192,128,16384,512,1,16,8,8,1,2,16,8,8,2,65536.0,786432.0,49152.0,344064.0,49152,393216.0,8,4.0,1.0,16.0,73728.0,2
32x128x128w8-8-128,32,128,128,8,8,128,8-8-128,8192,1024,128,8192,8192,80896,64,33792,8,512,8,16384,512,1,1,128,8,1,2,1,128,8,2,4096.0,1032192.0,64512.0,451584.0,64512,516096.0,128,4.0,16.0,1.0,135168.0,3
32x128x128w32-16-32,32,128,128,32,16,32,32-16-32,8192,1024,32,4096,4096,81920,512,32768,32,4096,16,8192,256,4,2,32,8,4,5,2,32,8,5,16384.0,983040.0,61440.0,430080.0,61440,491520.0,32,1.0,8.0,4.0,53248.0,1
32x128x128w32-32-16,32,128,128,32,32,16,32-32-16,4096,512,16,4096,4096,81920,1024,32768,32,8192,32,8192,256,4,4,16,8,4,5,4,16,8,5,32768.0,917504.0,57344.0,401408.0,57344,458752.0,16,1.0,4.0,8.0,36864.0,1
32x128x128w16-32-32,32,128,128,16,32,32,16-32-32,4096,512,32,8192,8192,81920,512,32768,16,4096,32,16384,256,2,4,32,8,2,3,4,32,8,3,16384.0,983040.0,61440.0,430080.0,61440,491520.0,32,2.0,4.0,4.0,53248.0,2
32x128x128w16-64-8,32,128,128,16,64,8,16-64-8,1024,128,8,4096,4096,88064,1024,26624,16,8192,64,8192,512,2,8,8,8,2,3,8,8,8,3,65536.0,786432.0,49152.0,344064.0,49152,393216.0,8,2.0,2.0,16.0,45056.0,1
32x128x128w8-64-16,32,128,128,8,64,16,8-64-16,1024,128,16,8192,8192,88064,512,26624,8,4096,64,16384,512,1,8,16,8,1,2,8,16,8,2,32768.0,917504.0,57344.0,401408.0,57344,458752.0,16,4.0,2.0,8.0,77824.0,0
32x128x128w8-16-64,32,128,128,8,16,64,8-16-64,4096,512,64,8192,8192,88064,128,26624,8,1024,16,16384,512,1,2,64,8,1,2,2,64,8,2,8192.0,1015808.0,63488.0,444416.0,63488,507904.0,64,4.0,8.0,2.0,102400.0,0
32x128x128w16-8-64,32,128,128,16,8,64,16-8-64,8192,1024,64,4096,4096,88064,128,26624,16,1024,8,8192,512,2,1,64,8,2,3,1,64,8,3,8192.0,1015808.0,63488.0,444416.0,63488,507904.0,64,2.0,16.0,2.0,102400.0,1
32x128x128w8-32-32,32,128,128,8,32,32,8-32-32,2048,256,32,8192,8192,90112,256,24576,8,2048,32,16384,512,1,4,32,8,1,2,4,32,8,2,16384.0,983040.0,61440.0,430080.0,61440,491520.0,32,4.0,4.0,4.0,86016.0,1
32x128x128w32-32-8,32,128,128,32,32,8,32-32-8,2048,256,8,2048,2048,90112,1024,24576,32,8192,32,4096,512,4,4,8,8,4,5,4,8,8,5,65536.0,786432.0,49152.0,344064.0,49152,393216.0,8,1.0,4.0,16.0,36864.0,0
32x128x128w32-8-32,32,128,128,32,8,32,32-8-32,8192,1024,32,2048,2048,90112,256,24576,32,2048,8,4096,512,4,1,32,8,4,5,1,32,8,5,16384.0,983040.0,61440.0,430080.0,61440,491520.0,32,1.0,16.0,4.0,86016.0,0
32x128x128w16-32-16,32,128,128,16,32,16,16-32-16,2048,256,16,4096,4096,94208,512,20480,16,4096,32,8192,512,2,4,16,8,2,3,4,16,8,3,32768.0,917504.0,57344.0,401408.0,57344,458752.0,16,2.0,4.0,8.0,53248.0,1
32x128x128w16-16-32,32,128,128,16,16,32,16-16-32,4096,512,32,4096,4096,94208,256,20480,16,2048,16,8192,512,2,2,32,8,2,3,2,32,8,3,16384.0,983040.0,61440.0,430080.0,61440,491520.0,32,2.0,8.0,4.0,69632.0,0
32x128x128w32-16-16,32,128,128,32,16,16,32-16-16,4096,512,16,2048,2048,94208,512,20480,32,4096,16,4096,512,4,2,16,8,4,5,2,16,8,5,32768.0,917504.0,57344.0,401408.0,57344,458752.0,16,1.0,8.0,8.0,53248.0,0
32x128x128w8-8-64,32,128,128,8,8,64,8-8-64,4096,512,64,4096,4096,97280,64,17408,8,512,8,8192,1024,1,1,64,8,1,2,1,64,8,2,8192.0,1015808.0,63488.0,444416.0,63488,507904.0,64,4.0,16.0,2.0,135168.0,0
32x128x128w8-64-8,32,128,128,8,64,8,8-64-8,512,64,8,4096,4096,97280,512,17408,8,4096,64,8192,1024,1,8,8,8,1,2,8,8,8,2,65536.0,786432.0,49152.0,344064.0,49152,393216.0,8,4.0,2.0,16.0,77824.0,0
32x128x128w8-32-16,32,128,128,8,32,16,8-32-16,1024,128,16,4096,4096,100352,256,14336,8,2048,32,8192,1024,1,4,16,8,1,2,4,16,8,2,32768.0,917504.0,57344.0,401408.0,57344,458752.0,16,4.0,4.0,8.0,86016.0,0
32x128x128w8-16-32,32,128,128,8,16,32,8-16-32,2048,256,32,4096,4096,100352,128,14336,8,1024,16,8192,1024,1,2,32,8,1,2,2,32,8,2,16384.0,983040.0,61440.0,430080.0,61440,491520.0,32,4.0,8.0,4.0,102400.0,0
32x128x128w32-8-16,32,128,128,32,8,16,32-8-16,4096,512,16,1024,1024,100352,256,14336,32,2048,8,2048,1024,4,1,16,8,4,5,1,16,8,5,32768.0,917504.0,57344.0,401408.0,57344,458752.0,16,1.0,16.0,8.0,86016.0,0
32x128x128w32-16-8,32,128,128,32,16,8,32-16-8,2048,256,8,1024,1024,100352,512,14336,32,4096,16,2048,1024,4,2,8,8,4,5,2,8,8,5,65536.0,786432.0,49152.0,344064.0,49152,393216.0,8,1.0,8.0,16.0,53248.0,0
32x128x128w16-8-32,32,128,128,16,8,32,16-8-32,4096,512,32,2048,2048,100352,128,14336,16,1024,8,4096,1024,2,1,32,8,2,3,1,32,8,3,16384.0,983040.0,61440.0,430080.0,61440,491520.0,32,2.0,16.0,4.0,102400.0,0
32x128x128w16-32-8,32,128,128,16,32,8,16-32-8,1024,128,8,2048,2048,100352,512,14336,16,4096,32,4096,1024,2,4,8,8,2,3,4,8,8,3,65536.0,786432.0,49152.0,344064.0,49152,393216.0,8,2.0,4.0,16.0,53248.0,0
32x128x128w16-16-16,32,128,128,16,16,16,16-16-16,2048,256,16,2048,2048,102400,256,12288,16,2048,16,4096,1024,2,2,16,8,2,3,2,16,8,3,32768.0,917504.0,57344.0,401408.0,57344,458752.0,16,2.0,8.0,8.0,69632.0,0
32x128x128w8-32-8,32,128,128,8,32,8,8-32-8,512,64,8,2048,2048,105472,256,9216,8,2048,32,4096,2048,1,4,8,8,1,2,4,8,8,2,65536.0,786432.0,49152.0,344064.0,49152,393216.0,8,4.0,4.0,16.0,86016.0,0
32x128x128w8-8-32,32,128,128,8,8,32,8-8-32,2048,256,32,2048,2048,105472,64,9216,8,512,8,4096,2048,1,1,32,8,1,2,1,32,8,2,16384.0,983040.0,61440.0,430080.0,61440,491520.0,32,4.0,16.0,4.0,135168.0,0
32x128x128w32-8-8,32,128,128,32,8,8,32-8-8,2048,256,8,512,512,105472,256,9216,32,2048,8,1024,2048,4,1,8,8,4,5,1,8,8,5,65536.0,786432.0,49152.0,344064.0,49152,393216.0,8,1.0,16.0,16.0,86016.0,0
32x128x128w8-16-16,32,128,128,8,16,16,8-16-16,1024,128,16,2048,2048,106496,128,8192,8,1024,16,4096,2048,1,2,16,8,1,2,2,16,8,2,32768.0,917504.0,57344.0,401408.0,57344,458752.0,16,4.0,8.0,8.0,102400.0,0
32x128x128w16-8-16,32,128,128,16,8,16,16-8-16,2048,256,16,1024,1024,106496,128,8192,16,1024,8,2048,2048,2,1,16,8,2,3,1,16,8,3,32768.0,917504.0,57344.0,401408.0,57344,458752.0,16,2.0,16.0,8.0,102400.0,0
32x128x128w16-16-8,32,128,128,16,16,8,16-16-8,1024,128,8,1024,1024,106496,256,8192,16,2048,16,2048,2048,2,2,8,8,2,3,2,8,8,3,65536.0,786432.0,49152.0,344064.0,49152,393216.0,8,2.0,8.0,16.0,69632.0,0
32x128x128w8-16-8,32,128,128,8,16,8,8-16-8,512,64,8,1024,1024,109568,128,5120,8,1024,16,2048,4096,1,2,8,8,1,2,2,8,8,2,65536.0,786432.0,49152.0,344064.0,49152,393216.0,8,4.0,8.0,16.0,102400.0,0
