,FakeNN JSON Name,M,N,K,m,n,k,tileB_cc,Space Remaining,tileA,m Dim,Space Needed in L1,Row Dim,Weight Matrix Tile Size,tileA_cc,tileC,tileC_cc,Reduction Dim,tileB,SSR Config Count,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,Regular Loads,Total SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,Little K,m_tiles,n_tiles,k_tiles,L3 Loads,stage,myrtle,JSON Name,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time
0,512x512x512w128-8-8,512,512,512,128,8,8,512,80896,8192,128,33792,8,1024,1024,8192,1024,8,512,131072,16,1,8,8,16,17,1,8,8,17,16777216.0,201326592.0,12582912.0,88080384.0,12582912,100663296.0,8,4.0,64.0,64.0,18087936.0,0,300,128-8-8,23673121.0,23673108.0,23673108.0,23673110.0,23673118.0,23673100.0,23673107.0,23673105.0,23677370.0,23673126.0
1,512x512x512w16-16-16,512,512,512,16,16,16,2048,102400,2048,16,12288,16,4096,256,2048,256,16,2048,262144,2,2,16,8,2,3,2,16,8,3,8388608.0,234881024.0,14680064.0,102760448.0,14680064,117440512.0,16,32.0,32.0,32.0,17039360.0,0,300,16-16-16,26268120.0,26268117.0,26268117.0,26268122.0,26268123.0,26268117.0,26268115.0,26268118.0,26271390.0,26268131.0
2,512x512x512w16-16-32,512,512,512,16,16,32,4096,94208,4096,16,20480,16,8192,512,2048,256,32,4096,131072,2,2,32,8,2,3,2,32,8,3,4194304.0,251658240.0,15728640.0,110100480.0,15728640,125829120.0,32,32.0,32.0,16.0,17039360.0,1,300,16-16-32,22173454.0,22173452.0,22173454.0,22173459.0,22173443.0,22173446.0,22173462.0,22173450.0,22176918.0,22173465.0
3,512x512x512w16-16-64,512,512,512,16,16,64,8192,77824,8192,16,36864,16,16384,1024,2048,256,64,8192,65536,2,2,64,8,2,3,2,64,8,3,2097152.0,260046848.0,16252928.0,113770496.0,16252928,130023424.0,64,32.0,32.0,8.0,17039360.0,2,1,16-16-64,19970987.0,19970968.0,19970981.0,19971002.0,19970995.0,19971014.0,19970996.0,19970979.0,19974730.0,19971022.0
4,512x512x512w16-16-8,512,512,512,16,16,8,1024,106496,1024,16,8192,16,2048,128,2048,256,8,1024,524288,2,2,8,8,2,3,2,8,8,3,16777216.0,201326592.0,12582912.0,88080384.0,12582912,100663296.0,8,32.0,32.0,64.0,17039360.0,0,300,16-16-8,,,,,,,,,,
5,512x512x512w16-32-16,512,512,512,16,32,16,4096,94208,2048,16,20480,32,8192,256,4096,512,16,4096,131072,2,4,16,8,2,3,4,16,8,3,8388608.0,234881024.0,14680064.0,102760448.0,14680064,117440512.0,16,32.0,16.0,32.0,12845056.0,1,300,16-32-16,24867655.0,24867625.0,24867634.0,24867636.0,24867633.0,24867645.0,24867636.0,24867628.0,24871055.0,24867658.0
6,512x512x512w16-32-32,512,512,512,16,32,32,8192,81920,4096,16,32768,32,16384,512,4096,512,32,8192,65536,2,4,32,8,2,3,4,32,8,3,4194304.0,251658240.0,15728640.0,110100480.0,15728640,125829120.0,32,32.0,16.0,16.0,12845056.0,1,4,16-32-32,22074795.0,22074805.0,22074768.0,22074778.0,22074778.0,22074786.0,22074804.0,22074804.0,22078505.0,22074810.0
7,512x512x512w16-32-8,512,512,512,16,32,8,2048,100352,1024,16,14336,32,4096,128,4096,512,8,2048,262144,2,4,8,8,2,3,4,8,8,3,16777216.0,201326592.0,12582912.0,88080384.0,12582912,100663296.0,8,32.0,16.0,64.0,12845056.0,0,300,16-32-8,29764123.0,29764138.0,29764075.0,29764138.0,29764108.0,29764132.0,29764134.0,29764129.0,29767414.0,29764144.0
8,512x512x512w16-64-16,512,512,512,16,64,16,8192,77824,2048,16,36864,64,16384,256,8192,1024,16,8192,65536,2,8,16,8,2,3,8,16,8,3,8388608.0,234881024.0,14680064.0,102760448.0,14680064,117440512.0,16,32.0,8.0,32.0,10747904.0,2,5,16-64-16,22604324.0,22604317.0,22604276.0,22604328.0,22604312.0,22604330.0,22604324.0,22604339.0,22607977.0,22604341.0
9,512x512x512w16-64-8,512,512,512,16,64,8,4096,88064,1024,16,26624,64,8192,128,8192,1024,8,4096,131072,2,8,8,8,2,3,8,8,8,3,16777216.0,201326592.0,12582912.0,88080384.0,12582912,100663296.0,8,32.0,8.0,64.0,10747904.0,1,300,16-64-8,25699269.0,25699230.0,25699279.0,25699300.0,25699294.0,25699309.0,25699312.0,25699295.0,25702785.0,25699317.0
10,512x512x512w16-8-16,512,512,512,16,8,16,1024,106496,2048,16,8192,8,2048,256,1024,128,16,1024,524288,2,1,16,8,2,3,1,16,8,3,8388608.0,234881024.0,14680064.0,102760448.0,14680064,117440512.0,16,32.0,64.0,32.0,25427968.0,0,400,16-8-16,33325362.0,33325363.0,33325363.0,33325368.0,33325364.0,33325361.0,33325371.0,33325358.0,33328575.0,33325375.0
11,512x512x512w16-8-32,512,512,512,16,8,32,2048,100352,4096,16,14336,8,4096,512,1024,128,32,2048,262144,2,1,32,8,2,3,1,32,8,3,4194304.0,251658240.0,15728640.0,110100480.0,15728640,125829120.0,32,32.0,64.0,16.0,25427968.0,0,400,16-8-32,25776654.0,25776658.0,25776633.0,25776657.0,25776648.0,25776643.0,25776651.0,25776659.0,25779996.0,25776663.0
12,512x512x512w16-8-64,512,512,512,16,8,64,4096,88064,8192,16,26624,8,8192,1024,1024,128,64,4096,131072,2,1,64,8,2,3,1,64,8,3,2097152.0,260046848.0,16252928.0,113770496.0,16252928,130023424.0,64,32.0,64.0,8.0,25427968.0,0,400,16-8-64,21844651.0,21844648.0,21844648.0,21844627.0,21844633.0,21844640.0,21844645.0,21844648.0,21848241.0,21844654.0
13,512x512x512w16-8-8,512,512,512,16,8,8,512,109568,1024,16,5120,8,1024,128,1024,128,8,512,1048576,2,1,8,8,2,3,1,8,8,3,16777216.0,201326592.0,12582912.0,88080384.0,12582912,100663296.0,8,32.0,64.0,64.0,25427968.0,0,400,16-8-8,,,,,,,,,,
14,512x512x512w32-16-16,512,512,512,32,16,16,2048,94208,4096,32,20480,16,4096,512,4096,512,16,2048,131072,4,2,16,8,4,5,2,16,8,5,8388608.0,234881024.0,14680064.0,102760448.0,14680064,117440512.0,16,16.0,32.0,32.0,12845056.0,0,300,32-16-16,22445620.0,22445615.0,22445617.0,22445620.0,22445637.0,22445607.0,22445616.0,22445612.0,22449111.0,22445644.0
15,512x512x512w32-16-32,512,512,512,32,16,32,4096,81920,8192,32,32768,16,8192,1024,4096,512,32,4096,65536,4,2,32,8,4,5,2,32,8,5,4194304.0,251658240.0,15728640.0,110100480.0,15728640,125829120.0,32,16.0,32.0,16.0,12845056.0,1,3,32-16-32,20245561.0,20245561.0,20245567.0,20245567.0,20245542.0,20245553.0,20245606.0,20245560.0,20249338.0,20245607.0
16,512x512x512w32-16-8,512,512,512,32,16,8,1024,100352,2048,32,14336,16,2048,256,4096,512,8,1024,262144,4,2,8,8,4,5,2,8,8,5,16777216.0,201326592.0,12582912.0,88080384.0,12582912,100663296.0,8,16.0,32.0,64.0,12845056.0,0,300,32-16-8,27442490.0,27442488.0,27442490.0,27442494.0,27442493.0,27442499.0,27442500.0,27442504.0,27445859.0,27442507.0
17,512x512x512w32-32-16,512,512,512,32,32,16,4096,81920,4096,32,32768,32,8192,512,8192,1024,16,4096,65536,4,4,16,8,4,5,4,16,8,5,8388608.0,234881024.0,14680064.0,102760448.0,14680064,117440512.0,16,16.0,16.0,32.0,8650752.0,2,6,32-32-16,22534431.0,22534418.0,22534455.0,22534466.0,22534464.0,22534482.0,22534474.0,22534462.0,22538166.0,22534490.0
18,512x512x512w32-32-32,512,512,512,32,32,32,8192,65536,8192,32,49152,32,16384,1024,8192,1024,32,8192,32768,4,4,32,8,4,5,4,32,8,5,4194304.0,251658240.0,15728640.0,110100480.0,15728640,125829120.0,32,16.0,16.0,16.0,8650752.0,2,2,32-32-32,20612691.0,20612616.0,20612680.0,20612698.0,20612704.0,20612698.0,20612705.0,20612690.0,20616746.0,20612712.0
19,512x512x512w32-32-8,512,512,512,32,32,8,2048,90112,2048,32,24576,32,4096,256,8192,1024,8,2048,131072,4,4,8,8,4,5,4,8,8,5,16777216.0,201326592.0,12582912.0,88080384.0,12582912,100663296.0,8,16.0,16.0,64.0,8650752.0,0,300,32-32-8,25703711.0,25703735.0,25703741.0,25703758.0,25703750.0,25703743.0,25703758.0,25703702.0,25707277.0,25703764.0
20,512x512x512w32-8-16,512,512,512,32,8,16,1024,100352,4096,32,14336,8,2048,512,2048,256,16,1024,262144,4,1,16,8,4,5,1,16,8,5,8388608.0,234881024.0,14680064.0,102760448.0,14680064,117440512.0,16,16.0,64.0,32.0,21233664.0,0,400,32-8-16,26269572.0,26269566.0,26269578.0,26269578.0,26269567.0,26269580.0,26269565.0,26269580.0,26272976.0,26269588.0
21,512x512x512w32-8-32,512,512,512,32,8,32,2048,90112,8192,32,24576,8,4096,1024,2048,256,32,2048,131072,4,1,32,8,4,5,1,32,8,5,4194304.0,251658240.0,15728640.0,110100480.0,15728640,125829120.0,32,16.0,64.0,16.0,21233664.0,1,400,32-8-32,22143498.0,22143482.0,22143502.0,22143498.0,22143516.0,22143475.0,22143510.0,22143492.0,22147158.0,22143523.0
22,512x512x512w32-8-8,512,512,512,32,8,8,512,105472,2048,32,9216,8,1024,256,2048,256,8,512,524288,4,1,8,8,4,5,1,8,8,5,16777216.0,201326592.0,12582912.0,88080384.0,12582912,100663296.0,8,16.0,64.0,64.0,21233664.0,0,400,32-8-8,34643022.0,34643020.0,34643010.0,34643024.0,34643025.0,34643017.0,34643019.0,34643026.0,34646315.0,34643033.0
23,512x512x512w64-16-16,512,512,512,64,16,16,2048,77824,8192,64,36864,16,4096,1024,8192,1024,16,2048,65536,8,2,16,8,8,9,2,16,8,9,8388608.0,234881024.0,14680064.0,102760448.0,14680064,117440512.0,16,8.0,32.0,32.0,10747904.0,2,7,64-16-16,20678531.0,20678523.0,20678497.0,20678507.0,20678513.0,20678517.0,20678539.0,20678540.0,20682438.0,20678542.0
24,512x512x512w64-16-8,512,512,512,64,16,8,1024,88064,4096,64,26624,16,2048,512,8192,1024,8,1024,131072,8,2,8,8,8,9,2,8,8,9,16777216.0,201326592.0,12582912.0,88080384.0,12582912,100663296.0,8,8.0,32.0,64.0,10747904.0,0,300,64-16-8,23651309.0,23651326.0,23651317.0,23651323.0,23651301.0,23651308.0,23651336.0,23651342.0,23655119.0,23651344.0
25,512x512x512w64-8-16,512,512,512,64,8,16,1024,88064,8192,64,26624,8,2048,1024,4096,512,16,1024,131072,8,1,16,8,8,9,1,16,8,9,8388608.0,234881024.0,14680064.0,102760448.0,14680064,117440512.0,16,8.0,64.0,32.0,19136512.0,0,400,64-8-16,22595536.0,22595534.0,22595537.0,22595541.0,22595543.0,22595557.0,22595565.0,22595562.0,22599350.0,22595566.0
26,512x512x512w64-8-8,512,512,512,64,8,8,512,97280,4096,64,17408,8,1024,512,4096,512,8,512,262144,8,1,8,8,8,9,1,8,8,9,16777216.0,201326592.0,12582912.0,88080384.0,12582912,100663296.0,8,8.0,64.0,64.0,19136512.0,0,400,64-8-8,27164879.0,27164867.0,27164860.0,27164869.0,27164869.0,27164847.0,27164856.0,27164856.0,27168499.0,27164882.0
27,512x512x512w8-128-8,512,512,512,8,128,8,8192,80896,512,8,33792,128,16384,64,8192,1024,8,8192,131072,1,16,8,8,1,2,16,8,8,2,16777216.0,201326592.0,12582912.0,88080384.0,12582912,100663296.0,8,64.0,4.0,64.0,18087936.0,2,300,8-128-8,25936522.0,25936483.0,25936532.0,25936553.0,25936547.0,25936562.0,25936565.0,25936548.0,25940077.0,25936570.0
28,512x512x512w8-16-16,512,512,512,8,16,16,2048,106496,1024,8,8192,16,4096,128,1024,128,16,2048,524288,1,2,16,8,1,2,2,16,8,2,8388608.0,234881024.0,14680064.0,102760448.0,14680064,117440512.0,16,64.0,32.0,32.0,25427968.0,0,400,8-16-16,33546172.0,33546170.0,33546174.0,33546175.0,33546169.0,33546167.0,33546168.0,33546164.0,33549322.0,33546182.0
29,512x512x512w8-16-32,512,512,512,8,16,32,4096,100352,2048,8,14336,16,8192,256,1024,128,32,4096,262144,1,2,32,8,1,2,2,32,8,2,4194304.0,251658240.0,15728640.0,110100480.0,15728640,125829120.0,32,64.0,32.0,16.0,25427968.0,0,400,8-16-32,25922554.0,25922557.0,25922570.0,25922567.0,25922570.0,25922541.0,25922567.0,25922550.0,25925869.0,25922577.0
30,512x512x512w8-16-64,512,512,512,8,16,64,8192,88064,4096,8,26624,16,16384,512,1024,128,64,8192,131072,1,2,64,8,1,2,2,64,8,2,2097152.0,260046848.0,16252928.0,113770496.0,16252928,130023424.0,64,64.0,32.0,8.0,25427968.0,0,400,8-16-64,22030226.0,22030223.0,22030229.0,22030229.0,22030208.0,22030212.0,22030222.0,22030222.0,22033731.0,22030235.0
31,512x512x512w8-16-8,512,512,512,8,16,8,1024,109568,512,8,5120,16,2048,64,1024,128,8,1024,1048576,1,2,8,8,1,2,2,8,8,2,16777216.0,201326592.0,12582912.0,88080384.0,12582912,100663296.0,8,64.0,32.0,64.0,25427968.0,0,400,8-16-8,50458415.0,50458415.0,50458416.0,50458436.0,50458404.0,50458415.0,50458423.0,50458414.0,50461519.0,50458443.0
32,512x512x512w8-32-16,512,512,512,8,32,16,4096,100352,1024,8,14336,32,8192,128,2048,256,16,4096,262144,1,4,16,8,1,2,4,16,8,2,8388608.0,234881024.0,14680064.0,102760448.0,14680064,117440512.0,16,64.0,16.0,32.0,21233664.0,0,400,8-32-16,28798735.0,28798751.0,28798726.0,28798760.0,28798743.0,28798736.0,28798735.0,28798741.0,28801996.0,28798766.0
33,512x512x512w8-32-32,512,512,512,8,32,32,8192,90112,2048,8,24576,32,16384,256,2048,256,32,8192,131072,1,4,32,8,1,2,4,32,8,2,4194304.0,251658240.0,15728640.0,110100480.0,15728640,125829120.0,32,64.0,16.0,16.0,21233664.0,0,400,8-32-32,24005979.0,24005979.0,24005962.0,24005981.0,24005979.0,24005954.0,24005972.0,24005962.0,24009496.0,24005987.0
34,512x512x512w8-32-8,512,512,512,8,32,8,2048,105472,512,8,9216,32,4096,64,2048,256,8,2048,524288,1,4,8,8,1,2,4,8,8,2,16777216.0,201326592.0,12582912.0,88080384.0,12582912,100663296.0,8,64.0,16.0,64.0,21233664.0,0,400,8-32-8,37254448.0,37254426.0,37254448.0,37254433.0,37254433.0,37254434.0,37254442.0,37254442.0,37257594.0,37254453.0
35,512x512x512w8-64-16,512,512,512,8,64,16,8192,88064,1024,8,26624,64,16384,128,4096,512,16,8192,131072,1,8,16,8,1,2,8,16,8,2,8388608.0,234881024.0,14680064.0,102760448.0,14680064,117440512.0,16,64.0,8.0,32.0,19136512.0,1,300,8-64-16,25018883.0,25018883.0,25018885.0,25018918.0,25018901.0,25018926.0,25018926.0,25018918.0,25022358.0,25018934.0
