FakeNN JSON Name,M,N,K,m,n,k,JSON Name,tileA_cc,Reduction Dim,m Dim,Weight Matrix Tile Size,Row Dim,Space Needed in L1,tileA,tileC,tileB_cc,tileC_cc,tileB,Space Remaining,SSR Config Count,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,Regular Loads,Total SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,Little K,m_tiles,n_tiles,k_tiles,L3 Loads,stage
64x128x128w32-32-32,64,128,128,32,32,32,32-32-32,1024,32,32,16384,32,49152,8192,8192,8192,1024,8192,65536,256,4,4,32,8,4,5,4,32,8,5,32768.0,1966080.0,122880.0,860160.0,122880,983040.0,32,2.0,4.0,4.0,73728.0,2
64x128x128w64-16-16,64,128,128,64,16,16,64-16-16,1024,16,64,4096,16,36864,8192,8192,2048,1024,2048,77824,512,8,2,16,8,8,9,2,16,8,9,65536.0,1835008.0,114688.0,802816.0,114688,917504.0,16,1.0,8.0,8.0,90112.0,2
64x128x128w16-16-64,64,128,128,16,16,64,16-16-64,1024,64,16,16384,16,36864,8192,2048,8192,256,8192,77824,512,2,2,64,8,2,3,2,64,8,3,16384.0,2031616.0,126976.0,888832.0,126976,1015808.0,64,4.0,8.0,2.0,139264.0,2
64x128x128w16-64-16,64,128,128,16,64,16,16-64-16,256,16,16,16384,64,36864,2048,8192,8192,1024,8192,77824,512,2,8,16,8,2,3,8,16,8,3,65536.0,1835008.0,114688.0,802816.0,114688,917504.0,16,4.0,2.0,8.0,90112.0,2
64x128x128w8-8-128,64,128,128,8,8,128,8-8-128,1024,128,8,16384,8,33792,8192,512,8192,64,8192,80896,1024,1,1,128,8,1,2,1,128,8,2,8192.0,2064384.0,129024.0,903168.0,129024,1032192.0,128,8.0,16.0,1.0,270336.0,3
64x128x128w8-128-8,64,128,128,8,128,8,8-128-8,64,8,8,16384,128,33792,512,8192,8192,1024,8192,80896,1024,1,16,8,8,1,2,16,8,8,2,131072.0,1572864.0,98304.0,688128.0,98304,786432.0,8,8.0,1.0,16.0,147456.0,0
64x128x128w32-16-32,64,128,128,32,16,32,32-16-32,1024,32,32,8192,16,32768,8192,4096,4096,512,4096,81920,512,4,2,32,8,4,5,2,32,8,5,32768.0,1966080.0,122880.0,860160.0,122880,983040.0,32,2.0,8.0,4.0,106496.0,1
64x128x128w32-32-16,64,128,128,32,32,16,32-32-16,512,16,32,8192,32,32768,4096,8192,4096,1024,4096,81920,512,4,4,16,8,4,5,4,16,8,5,65536.0,1835008.0,114688.0,802816.0,114688,917504.0,16,2.0,4.0,8.0,73728.0,2
64x128x128w16-32-32,64,128,128,16,32,32,16-32-32,512,32,16,16384,32,32768,4096,4096,8192,512,8192,81920,512,2,4,32,8,2,3,4,32,8,3,32768.0,1966080.0,122880.0,860160.0,122880,983040.0,32,4.0,4.0,4.0,106496.0,1
64x128x128w16-8-64,64,128,128,16,8,64,16-8-64,1024,64,16,8192,8,26624,8192,1024,4096,128,4096,88064,1024,2,1,64,8,2,3,1,64,8,3,16384.0,2031616.0,126976.0,888832.0,126976,1015808.0,64,4.0,16.0,2.0,204800.0,1
64x128x128w64-16-8,64,128,128,64,16,8,64-16-8,512,8,64,2048,16,26624,4096,8192,1024,1024,1024,88064,1024,8,2,8,8,8,9,2,8,8,9,131072.0,1572864.0,98304.0,688128.0,98304,786432.0,8,1.0,8.0,16.0,90112.0,0
64x128x128w64-8-16,64,128,128,64,8,16,64-8-16,1024,16,64,2048,8,26624,8192,4096,1024,512,1024,88064,1024,8,1,16,8,8,9,1,16,8,9,65536.0,1835008.0,114688.0,802816.0,114688,917504.0,16,1.0,16.0,8.0,155648.0,0
64x128x128w8-16-64,64,128,128,8,16,64,8-16-64,512,64,8,16384,16,26624,4096,1024,8192,128,8192,88064,1024,1,2,64,8,1,2,2,64,8,2,16384.0,2031616.0,126976.0,888832.0,126976,1015808.0,64,8.0,8.0,2.0,204800.0,1
64x128x128w16-64-8,64,128,128,16,64,8,16-64-8,128,8,16,8192,64,26624,1024,8192,4096,1024,4096,88064,1024,2,8,8,8,2,3,8,8,8,3,131072.0,1572864.0,98304.0,688128.0,98304,786432.0,8,4.0,2.0,16.0,90112.0,1
64x128x128w8-64-16,64,128,128,8,64,16,8-64-16,128,16,8,16384,64,26624,1024,4096,8192,512,8192,88064,1024,1,8,16,8,1,2,8,16,8,2,65536.0,1835008.0,114688.0,802816.0,114688,917504.0,16,8.0,2.0,8.0,155648.0,0
64x128x128w8-32-32,64,128,128,8,32,32,8-32-32,256,32,8,16384,32,24576,2048,2048,8192,256,8192,90112,1024,1,4,32,8,1,2,4,32,8,2,32768.0,1966080.0,122880.0,860160.0,122880,983040.0,32,8.0,4.0,4.0,172032.0,1
64x128x128w32-32-8,64,128,128,32,32,8,32-32-8,256,8,32,4096,32,24576,2048,8192,2048,1024,2048,90112,1024,4,4,8,8,4,5,4,8,8,5,131072.0,1572864.0,98304.0,688128.0,98304,786432.0,8,2.0,4.0,16.0,73728.0,0
64x128x128w32-8-32,64,128,128,32,8,32,32-8-32,1024,32,32,4096,8,24576,8192,2048,2048,256,2048,90112,1024,4,1,32,8,4,5,1,32,8,5,32768.0,1966080.0,122880.0,860160.0,122880,983040.0,32,2.0,16.0,4.0,172032.0,0
64x128x128w32-16-16,64,128,128,32,16,16,32-16-16,512,16,32,4096,16,20480,4096,4096,2048,512,2048,94208,1024,4,2,16,8,4,5,2,16,8,5,65536.0,1835008.0,114688.0,802816.0,114688,917504.0,16,2.0,8.0,8.0,106496.0,0
64x128x128w16-16-32,64,128,128,16,16,32,16-16-32,512,32,16,8192,16,20480,4096,2048,4096,256,4096,94208,1024,2,2,32,8,2,3,2,32,8,3,32768.0,1966080.0,122880.0,860160.0,122880,983040.0,32,4.0,8.0,4.0,139264.0,0
64x128x128w16-32-16,64,128,128,16,32,16,16-32-16,256,16,16,8192,32,20480,2048,4096,4096,512,4096,94208,1024,2,4,16,8,2,3,4,16,8,3,65536.0,1835008.0,114688.0,802816.0,114688,917504.0,16,4.0,4.0,8.0,106496.0,1
64x128x128w8-8-64,64,128,128,8,8,64,8-8-64,512,64,8,8192,8,17408,4096,512,4096,64,4096,97280,2048,1,1,64,8,1,2,1,64,8,2,16384.0,2031616.0,126976.0,888832.0,126976,1015808.0,64,8.0,16.0,2.0,270336.0,0
64x128x128w8-64-8,64,128,128,8,64,8,8-64-8,64,8,8,8192,64,17408,512,4096,4096,512,4096,97280,2048,1,8,8,8,1,2,8,8,8,2,131072.0,1572864.0,98304.0,688128.0,98304,786432.0,8,8.0,2.0,16.0,155648.0,0
64x128x128w64-8-8,64,128,128,64,8,8,64-8-8,512,8,64,1024,8,17408,4096,4096,512,512,512,97280,2048,8,1,8,8,8,9,1,8,8,9,131072.0,1572864.0,98304.0,688128.0,98304,786432.0,8,1.0,16.0,16.0,155648.0,0
64x128x128w8-32-16,64,128,128,8,32,16,8-32-16,128,16,8,8192,32,14336,1024,2048,4096,256,4096,100352,2048,1,4,16,8,1,2,4,16,8,2,65536.0,1835008.0,114688.0,802816.0,114688,917504.0,16,8.0,4.0,8.0,172032.0,0
64x128x128w32-16-8,64,128,128,32,16,8,32-16-8,256,8,32,2048,16,14336,2048,4096,1024,512,1024,100352,2048,4,2,8,8,4,5,2,8,8,5,131072.0,1572864.0,98304.0,688128.0,98304,786432.0,8,2.0,8.0,16.0,106496.0,0
64x128x128w16-32-8,64,128,128,16,32,8,16-32-8,128,8,16,4096,32,14336,1024,4096,2048,512,2048,100352,2048,2,4,8,8,2,3,4,8,8,3,131072.0,1572864.0,98304.0,688128.0,98304,786432.0,8,4.0,4.0,16.0,106496.0,0
64x128x128w8-16-32,64,128,128,8,16,32,8-16-32,256,32,8,8192,16,14336,2048,1024,4096,128,4096,100352,2048,1,2,32,8,1,2,2,32,8,2,32768.0,1966080.0,122880.0,860160.0,122880,983040.0,32,8.0,8.0,4.0,204800.0,0
64x128x128w16-8-32,64,128,128,16,8,32,16-8-32,512,32,16,4096,8,14336,4096,1024,2048,128,2048,100352,2048,2,1,32,8,2,3,1,32,8,3,32768.0,1966080.0,122880.0,860160.0,122880,983040.0,32,4.0,16.0,4.0,204800.0,0
64x128x128w32-8-16,64,128,128,32,8,16,32-8-16,512,16,32,2048,8,14336,4096,2048,1024,256,1024,100352,2048,4,1,16,8,4,5,1,16,8,5,65536.0,1835008.0,114688.0,802816.0,114688,917504.0,16,2.0,16.0,8.0,172032.0,0
64x128x128w16-16-16,64,128,128,16,16,16,16-16-16,256,16,16,4096,16,12288,2048,2048,2048,256,2048,102400,2048,2,2,16,8,2,3,2,16,8,3,65536.0,1835008.0,114688.0,802816.0,114688,917504.0,16,4.0,8.0,8.0,139264.0,0
64x128x128w8-8-32,64,128,128,8,8,32,8-8-32,256,32,8,4096,8,9216,2048,512,2048,64,2048,105472,4096,1,1,32,8,1,2,1,32,8,2,32768.0,1966080.0,122880.0,860160.0,122880,983040.0,32,8.0,16.0,4.0,270336.0,0
64x128x128w8-32-8,64,128,128,8,32,8,8-32-8,64,8,8,4096,32,9216,512,2048,2048,256,2048,105472,4096,1,4,8,8,1,2,4,8,8,2,131072.0,1572864.0,98304.0,688128.0,98304,786432.0,8,8.0,4.0,16.0,172032.0,0
64x128x128w32-8-8,64,128,128,32,8,8,32-8-8,256,8,32,1024,8,9216,2048,2048,512,256,512,105472,4096,4,1,8,8,4,5,1,8,8,5,131072.0,1572864.0,98304.0,688128.0,98304,786432.0,8,2.0,16.0,16.0,172032.0,0
64x128x128w16-16-8,64,128,128,16,16,8,16-16-8,128,8,16,2048,16,8192,1024,2048,1024,256,1024,106496,4096,2,2,8,8,2,3,2,8,8,3,131072.0,1572864.0,98304.0,688128.0,98304,786432.0,8,4.0,8.0,16.0,139264.0,0
64x128x128w16-8-16,64,128,128,16,8,16,16-8-16,256,16,16,2048,8,8192,2048,1024,1024,128,1024,106496,4096,2,1,16,8,2,3,1,16,8,3,65536.0,1835008.0,114688.0,802816.0,114688,917504.0,16,4.0,16.0,8.0,204800.0,0
64x128x128w8-16-16,64,128,128,8,16,16,8-16-16,128,16,8,4096,16,8192,1024,1024,2048,128,2048,106496,4096,1,2,16,8,1,2,2,16,8,2,65536.0,1835008.0,114688.0,802816.0,114688,917504.0,16,8.0,8.0,8.0,204800.0,0
64x128x128w16-8-8,64,128,128,16,8,8,16-8-8,128,8,16,1024,8,5120,1024,1024,512,128,512,109568,8192,2,1,8,8,2,3,1,8,8,3,131072.0,1572864.0,98304.0,688128.0,98304,786432.0,8,4.0,16.0,16.0,204800.0,0
64x128x128w8-8-16,64,128,128,8,8,16,8-8-16,128,16,8,2048,8,5120,1024,512,1024,64,1024,109568,8192,1,1,16,8,1,2,1,16,8,2,65536.0,1835008.0,114688.0,802816.0,114688,917504.0,16,8.0,16.0,8.0,270336.0,0
64x128x128w8-16-8,64,128,128,8,16,8,8-16-8,64,8,8,2048,16,5120,512,1024,1024,128,1024,109568,8192,1,2,8,8,1,2,2,8,8,2,131072.0,1572864.0,98304.0,688128.0,98304,786432.0,8,8.0,8.0,16.0,204800.0,0
64x128x128w8-8-8,64,128,128,8,8,8,8-8-8,64,8,8,1024,8,3072,512,512,512,64,512,111616,16384,1,1,8,8,1,2,1,8,8,2,131072.0,1572864.0,98304.0,688128.0,98304,786432.0,8,8.0,16.0,16.0,270336.0,0
