,FakeNN JSON Name,M,N,K,m,n,k,JSON Name,tileA_cc,Reduction Dim,m Dim,Weight Matrix Tile Size,Row Dim,Space Needed in L1,tileA,tileC,tileB_cc,tileC_cc,tileB,Space Remaining,SSR Config Count,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,Regular Loads,Total SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,Little K,m_tiles,n_tiles,k_tiles,L3 Loads,stage,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time
0,64x128x128w16-16-64,64,128,128,16,16,64,16-16-64,1024,64,16,16384,16,36864,8192,2048,8192,256,8192,77824,512,2,2,64,8,2,3,2,64,8,3,16384.0,2031616.0,126976.0,888832.0,126976,1015808.0,64,4.0,8.0,2.0,139264.0,2,155607,155598,155615,155607,155604,155608,155625,155597,159340,155626
1,64x128x128w16-32-32,64,128,128,16,32,32,16-32-32,512,32,16,16384,32,32768,4096,4096,8192,512,8192,81920,512,2,4,32,8,2,3,4,32,8,3,32768.0,1966080.0,122880.0,860160.0,122880,983040.0,32,4.0,4.0,4.0,106496.0,1,170022,170009,170029,170049,170037,170066,170067,170041,173737,170069
2,64x128x128w16-64-16,64,128,128,16,64,16,16-64-16,256,16,16,16384,64,36864,2048,8192,8192,1024,8192,77824,512,2,8,16,8,2,3,8,16,8,3,65536.0,1835008.0,114688.0,802816.0,114688,917504.0,16,4.0,2.0,8.0,90112.0,2,174889,174928,174950,174976,174966,174996,174969,174983,178653,174997
3,64x128x128w16-8-64,64,128,128,16,8,64,16-8-64,1024,64,16,8192,8,26624,8192,1024,4096,128,4096,88064,1024,2,1,64,8,2,3,1,64,8,3,16384.0,2031616.0,126976.0,888832.0,126976,1015808.0,64,4.0,16.0,2.0,204800.0,1,169917,169921,169936,169924,169922,169946,169923,169940,173555,169947
4,64x128x128w32-16-32,64,128,128,32,16,32,32-16-32,1024,32,32,8192,16,32768,8192,4096,4096,512,4096,81920,512,4,2,32,8,4,5,2,32,8,5,32768.0,1966080.0,122880.0,860160.0,122880,983040.0,32,2.0,8.0,4.0,106496.0,1,158112,158092,158106,158127,158111,158116,158122,158107,161855,158133
5,64x128x128w32-32-16,64,128,128,32,32,16,32-32-16,512,16,32,8192,32,32768,4096,8192,4096,1024,4096,81920,512,4,4,16,8,4,5,4,16,8,5,65536.0,1835008.0,114688.0,802816.0,114688,917504.0,16,2.0,4.0,8.0,73728.0,2,175678,175657,175700,175729,175714,175726,175748,175715,179421,175749
6,64x128x128w32-32-32,64,128,128,32,32,32,32-32-32,1024,32,32,16384,32,49152,8192,8192,8192,1024,8192,65536,256,4,4,32,8,4,5,4,32,8,5,32768.0,1966080.0,122880.0,860160.0,122880,983040.0,32,2.0,4.0,4.0,73728.0,2,161159,161176,161126,161160,161166,161201,161191,161200,165157,161209
7,64x128x128w64-16-16,64,128,128,64,16,16,64-16-16,1024,16,64,4096,16,36864,8192,8192,2048,1024,2048,77824,512,8,2,16,8,8,9,2,16,8,9,65536.0,1835008.0,114688.0,802816.0,114688,917504.0,16,1.0,8.0,8.0,90112.0,2,160712,160709,160709,160731,160715,160703,160729,160720,164650,160737
8,64x128x128w8-128-8,64,128,128,8,128,8,8-128-8,64,8,8,16384,128,33792,512,8192,8192,1024,8192,80896,1024,1,16,8,8,1,2,16,8,8,2,131072.0,1572864.0,98304.0,688128.0,98304,786432.0,8,8.0,1.0,16.0,147456.0,0,202134,202111,202141,202152,202158,202101,202135,202154,205688,202165
9,64x128x128w8-8-128,64,128,128,8,8,128,8-8-128,1024,128,8,16384,8,33792,8192,512,8192,64,8192,80896,1024,1,1,128,8,1,2,1,128,8,2,8192.0,2064384.0,129024.0,903168.0,129024,1032192.0,128,8.0,16.0,1.0,270336.0,3,155943,155949,155950,155957,155939,155962,155947,155952,159357,155963
