FakeNN JSON Name,M,N,K,m,n,k,JSON Name,tileC,Reduction Dim,tileA,tileB,Space Remaining,Row Dim,tileB_cc,Weight Matrix Tile Size,tileC_cc,m Dim,Space Needed in L1,tileA_cc,SSR Config Count,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,Regular Loads,Total SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,Little K,m_tiles,n_tiles,k_tiles,L3 Loads,stage
96x384x384w32-32-32,96,384,384,32,32,32,32-32-32,8192,32,8192,8192,65536,32,8192,16384,1024,32,49152,1024,3456,4,4,32,8,4,5,4,32,8,5,442368.0,26542080.0,1658880.0,11612160.0,1658880,13271040.0,32,3.0,12.0,12.0,921600.0,2
96x384x384w24-32-32,96,384,384,24,32,32,24-32-32,6144,32,6144,8192,73728,32,8192,16384,768,24,40960,768,4608,3,4,32,8,3,4,4,32,8,4,442368.0,26542080.0,1658880.0,11612160.0,1658880,13271040.0,32,4.0,12.0,12.0,1069056.0,2
96x384x384w32-32-24,96,384,384,32,32,24,32-32-24,8192,24,6144,6144,73728,32,6144,12288,1024,32,40960,768,4608,4,4,24,8,4,5,4,24,8,5,589824.0,25952256.0,1622016.0,11354112.0,1622016,12976128.0,24,3.0,12.0,16.0,921600.0,2
96x384x384w32-24-32,96,384,384,32,24,32,32-24-32,6144,32,8192,6144,73728,24,6144,12288,768,32,40960,1024,4608,4,3,32,8,4,5,3,32,8,5,442368.0,26542080.0,1658880.0,11612160.0,1658880,13271040.0,32,3.0,16.0,12.0,1069056.0,2
96x384x384w16-64-16,96,384,384,16,64,16,16-64-16,8192,16,2048,8192,77824,64,8192,16384,1024,16,36864,256,6912,2,8,16,8,2,3,8,16,8,3,884736.0,24772608.0,1548288.0,10838016.0,1548288,12386304.0,16,6.0,6.0,24.0,1142784.0,2
96x384x384w16-16-64,96,384,384,16,16,64,16-16-64,2048,64,8192,8192,77824,16,8192,16384,256,16,36864,1024,6912,2,2,64,8,2,3,2,64,8,3,221184.0,27426816.0,1714176.0,11999232.0,1714176,13713408.0,64,6.0,24.0,6.0,1806336.0,2
96x384x384w32-24-24,96,384,384,32,24,24,32-24-24,6144,24,6144,4608,80896,24,4608,9216,768,32,33792,768,6144,4,3,24,8,4,5,3,24,8,5,589824.0,25952256.0,1622016.0,11354112.0,1622016,12976128.0,24,3.0,16.0,16.0,1069056.0,2
96x384x384w24-24-32,96,384,384,24,24,32,24-24-32,4608,32,6144,6144,80896,24,6144,12288,576,24,33792,768,6144,3,3,32,8,3,4,3,32,8,4,442368.0,26542080.0,1658880.0,11612160.0,1658880,13271040.0,32,4.0,16.0,12.0,1216512.0,2
96x384x384w8-128-8,96,384,384,8,128,8,8-128-8,8192,8,512,8192,80896,128,8192,16384,1024,8,33792,64,13824,1,16,8,8,1,2,16,8,8,2,1769472.0,21233664.0,1327104.0,9289728.0,1327104,10616832.0,8,12.0,3.0,48.0,1916928.0,2
96x384x384w8-8-128,96,384,384,8,8,128,8-8-128,512,128,8192,8192,80896,8,8192,16384,64,8,33792,1024,13824,1,1,128,8,1,2,1,128,8,2,110592.0,27869184.0,1741824.0,12192768.0,1741824,13934592.0,128,12.0,48.0,3.0,3575808.0,3
