FakeNN JSON Name,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time
128x128x32w128-8-8,91114,91116,91113,91085,91085,91102,91134,91110,95342,91135
128x128x32w16-32-32,80586,80578,80596,80564,80562,80574,80575,80603,83942,80604
128x128x32w16-64-16,86101,86108,86110,86143,86143,86160,86110,86110,89817,86161
128x128x32w32-16-32,73742,73752,73744,73733,73731,73739,73741,73738,77174,73753
128x128x32w32-32-16,86015,86067,86078,86075,86081,86112,86067,86059,89764,86113
128x128x32w32-32-32,78138,78135,78126,78162,78110,78183,78122,78124,81832,78184
128x128x32w64-16-16,79083,79081,79085,79081,79102,79083,79097,79114,83034,79117
128x128x32w64-16-8,90701,90701,90717,90711,90728,90744,90709,90711,94526,90745
128x128x32w8-128-8,99282,99241,99250,99282,99280,99276,99242,99238,102829,99288
128x128x32w8-64-16,94915,94907,94923,94933,94923,94944,94906,94897,98377,94952
