FakeNN JSON Name,Kernel Time
256x256x256w16-16-64,2494154
256x256x256w32-16-32,2528681
256x256x256w64-16-16,2579285
256x256x256w32-32-32,2584416
256x256x256w16-8-64,2698418
256x256x256w16-32-32,2727810
256x256x256w8-16-64,2736647
256x256x256w8-8-128,2743490
256x256x256w32-8-32,2754040
256x256x256w16-16-32,2755997
256x256x256w64-8-16,2806262
256x256x256w32-16-16,2813160
256x256x256w16-64-16,2827487
256x256x256w32-32-16,2838731
256x256x256w64-16-8,2955174
256x256x256w128-8-8,2964180
256x256x256w8-32-32,3001504
256x256x256w16-32-16,3087783
256x256x256w8-64-16,3130367
256x256x256w8-8-64,3178850
256x256x256w16-64-8,3204281
256x256x256w32-32-8,3214193
256x256x256w16-8-32,3215940
256x256x256w8-16-32,3223466
256x256x256w8-128-8,3241230
256x256x256w16-16-16,3263626
256x256x256w32-8-16,3279112
256x256x256w64-8-8,3407320
256x256x256w32-16-8,3437637
256x256x256w8-32-16,3578251
256x256x256w8-64-8,3733781
256x256x256w16-32-8,3748807
256x256x256w8-8-32,4116338
256x256x256w8-16-16,4163453
256x256x256w16-8-16,4177721
256x256x256w32-8-8,4325721
256x256x256w16-16-8,4361790
256x256x256w8-32-8,4622788
256x256x256w16-8-8,6036282
256x256x256w8-8-16,6098944
256x256x256w8-16-8,6268226
256x256x256w8-8-8,9812796
