FakeNN JSON Name,Kernel Time
512x512x512w128-8-8,23673126.0
512x512x512w16-16-16,26268131.0
512x512x512w16-16-32,22173465.0
512x512x512w16-16-64,19971022.0
512x512x512w16-16-8,
512x512x512w16-32-16,24867658.0
512x512x512w16-32-32,22074810.0
512x512x512w16-32-8,29764144.0
512x512x512w16-64-16,22604341.0
512x512x512w16-64-8,25699317.0
512x512x512w16-8-16,33325375.0
512x512x512w16-8-32,25776663.0
512x512x512w16-8-64,21844654.0
512x512x512w16-8-8,
512x512x512w32-16-16,22445644.0
512x512x512w32-16-32,20245607.0
512x512x512w32-16-8,27442507.0
512x512x512w32-32-16,22534490.0
512x512x512w32-32-32,20612712.0
512x512x512w32-32-8,25703764.0
512x512x512w32-8-16,26269588.0
512x512x512w32-8-32,22143523.0
512x512x512w32-8-8,34643033.0
512x512x512w64-16-16,20678542.0
512x512x512w64-16-8,23651344.0
512x512x512w64-8-16,22595566.0
512x512x512w64-8-8,27164882.0
512x512x512w8-128-8,25936570.0
512x512x512w8-16-16,33546182.0
512x512x512w8-16-32,25922577.0
512x512x512w8-16-64,22030235.0
512x512x512w8-16-8,50458443.0
512x512x512w8-32-16,28798766.0
512x512x512w8-32-32,24005987.0
512x512x512w8-32-8,37254453.0
512x512x512w8-64-16,25018934.0
512x512x512w8-64-8,29957484.0
512x512x512w8-8-128,21823440.0
512x512x512w8-8-16,
512x512x512w8-8-32,
512x512x512w8-8-64,25455380.0
512x512x512w8-8-8,
