FakeNN JSON Name,Kernel Time
768x384x384w32-24-32,16366260.0
768x384x384w32-24-24,16774117.0
768x384x384w24-24-32,16779947.0
768x384x384w16-16-64,17108410.0
768x384x384w64-16-16,17525524.0
768x384x384w32-32-32,17686304.0
768x384x384w24-32-32,17827299.0
768x384x384w32-32-24,18283788.0
768x384x384w16-32-32,18584618.0
768x384x384w24-32-24,18773890.0
768x384x384w8-8-128,18837400.0
768x384x384w16-64-16,19290993.0
768x384x384w32-32-16,19298945.0
768x384x384w128-8-8,20252126.0
768x384x384w8-128-8,22072423.0
768x384x384w32-16-32,17206591.0
768x384x384w24-24-24,17188902.0
768x384x384w12-64-16,24256195.0
768x384x384w12-16-64,22329740.0
768x384x384w16-64-12,19917480.0
768x384x384w12-32-32,23519877.0
768x384x384w32-16-32,17206591.0
768x384x384w32-32-12,19922718.0
768x384x384w64-16-12,18504234.0
768x384x384w16-16-48,17563182.0
768x384x384w48-16-16,18044594.0
768x384x384w24-32-16,19877023.0
768x384x384w32-24-16,17942364.0
768x384x384w16-24-32,17564207.0
768x384x384w16-32-24,19802085.0
768x384x384w32-16-24,17705122.0
768x384x384w24-16-32,17860899.0
768x384x384w12-64-12,24929168.0
768x384x384w12-48-16,23634415.0
768x384x384w48-16-12,19105311.0
