,JSON Name,FakeNN JSON Name,M,N,K,m,n,k,Reduction Dim,Space Needed in L1,tileC,tileC_cc,tileB_cc,Row Dim,tileA,tileB,Weight Matrix Tile Size,Space Remaining,m Dim,tileA_cc,SSR Config Count,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,Regular Loads,Total SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,Little K,m_tiles,n_tiles,k_tiles,L3 Loads,stage,myrtle,Kernel Time
22,16-16-64,256x256x256w16-16-64,256,256,256,16,16,64,64,36864,2048,256,8192,16,8192,8192,16384,77824,16,1024,8192,2,2,64,8,2,3,2,64,8,3,262144.0,32505856.0,2031616.0,14221312.0,2031616,16252928.0,64,16.0,16.0,4.0,2162688.0,2,1,2494154
33,32-16-32,256x256x256w32-16-32,256,256,256,32,16,32,32,32768,4096,512,4096,16,8192,4096,8192,81920,32,1024,8192,4,2,32,8,4,5,2,32,8,5,524288.0,31457280.0,1966080.0,13762560.0,1966080,15728640.0,32,8.0,16.0,8.0,1638400.0,1,3,2528681
40,64-16-16,256x256x256w64-16-16,256,256,256,64,16,16,16,36864,8192,1024,2048,16,8192,2048,4096,77824,64,1024,8192,8,2,16,8,8,9,2,16,8,9,1048576.0,29360128.0,1835008.0,12845056.0,1835008,14680064.0,16,4.0,16.0,16.0,1376256.0,2,7,2579285
36,32-32-32,256x256x256w32-32-32,256,256,256,32,32,32,32,49152,8192,1024,8192,32,8192,8192,16384,65536,32,1024,4096,4,4,32,8,4,5,4,32,8,5,524288.0,31457280.0,1966080.0,13762560.0,1966080,15728640.0,32,8.0,8.0,8.0,1114112.0,2,2,2584416
18,16-8-64,256x256x256w16-8-64,256,256,256,16,8,64,64,26624,1024,128,4096,8,8192,4096,8192,88064,16,1024,16384,2,1,64,8,2,3,1,64,8,3,262144.0,32505856.0,2031616.0,14221312.0,2031616,16252928.0,64,16.0,32.0,4.0,3211264.0,0,400,2698418
25,16-32-32,256x256x256w16-32-32,256,256,256,16,32,32,32,32768,4096,512,8192,32,4096,8192,16384,81920,16,512,8192,2,4,32,8,2,3,4,32,8,3,524288.0,31457280.0,1966080.0,13762560.0,1966080,15728640.0,32,16.0,8.0,8.0,1638400.0,1,4,2727810
9,8-16-64,256x256x256w8-16-64,256,256,256,8,16,64,64,26624,1024,128,8192,16,4096,8192,16384,88064,8,512,16384,1,2,64,8,1,2,2,64,8,2,262144.0,32505856.0,2031616.0,14221312.0,2031616,16252928.0,64,32.0,16.0,4.0,3211264.0,0,400,2736647
5,8-8-128,256x256x256w8-8-128,256,256,256,8,8,128,128,33792,512,64,8192,8,8192,8192,16384,80896,8,1024,16384,1,1,128,8,1,2,1,128,8,2,131072.0,33030144.0,2064384.0,14450688.0,2064384,16515072.0,128,32.0,32.0,2.0,4259840.0,3,400,2743490
30,32-8-32,256x256x256w32-8-32,256,256,256,32,8,32,32,24576,2048,256,2048,8,8192,2048,4096,90112,32,1024,16384,4,1,32,8,4,5,1,32,8,5,524288.0,31457280.0,1966080.0,13762560.0,1966080,15728640.0,32,8.0,32.0,8.0,2686976.0,1,400,2754040
21,16-16-32,256x256x256w16-16-32,256,256,256,16,16,32,32,20480,2048,256,4096,16,4096,4096,8192,94208,16,512,16384,2,2,32,8,2,3,2,32,8,3,524288.0,31457280.0,1966080.0,13762560.0,1966080,15728640.0,32,16.0,16.0,8.0,2162688.0,1,300,2755997
38,64-8-16,256x256x256w64-8-16,256,256,256,64,8,16,16,26624,4096,512,1024,8,8192,1024,2048,88064,64,1024,16384,8,1,16,8,8,9,1,16,8,9,1048576.0,29360128.0,1835008.0,12845056.0,1835008,14680064.0,16,4.0,32.0,16.0,2424832.0,0,400,2806262
32,32-16-16,256x256x256w32-16-16,256,256,256,32,16,16,16,20480,4096,512,2048,16,4096,2048,4096,94208,32,512,16384,4,2,16,8,4,5,2,16,8,5,1048576.0,29360128.0,1835008.0,12845056.0,1835008,14680064.0,16,8.0,16.0,16.0,1638400.0,0,300,2813160
27,16-64-16,256x256x256w16-64-16,256,256,256,16,64,16,16,36864,8192,1024,8192,64,2048,8192,16384,77824,16,256,8192,2,8,16,8,2,3,8,16,8,3,1048576.0,29360128.0,1835008.0,12845056.0,1835008,14680064.0,16,16.0,4.0,16.0,1376256.0,2,5,2827487
35,32-32-16,256x256x256w32-32-16,256,256,256,32,32,16,16,32768,8192,1024,4096,32,4096,4096,8192,81920,32,512,8192,4,4,16,8,4,5,4,16,8,5,1048576.0,29360128.0,1835008.0,12845056.0,1835008,14680064.0,16,8.0,8.0,16.0,1114112.0,2,6,2838731
39,64-16-8,256x256x256w64-16-8,256,256,256,64,16,8,8,26624,8192,1024,1024,16,4096,1024,2048,88064,64,512,16384,8,2,8,8,8,9,2,8,8,9,2097152.0,25165824.0,1572864.0,11010048.0,1572864,12582912.0,8,4.0,16.0,32.0,1376256.0,0,300,2955174
41,128-8-8,256x256x256w128-8-8,256,256,256,128,8,8,8,33792,8192,1024,512,8,8192,512,1024,80896,128,1024,16384,16,1,8,8,16,17,1,8,8,17,2097152.0,25165824.0,1572864.0,11010048.0,1572864,12582912.0,8,2.0,32.0,32.0,2293760.0,0,300,2964180
12,8-32-32,256x256x256w8-32-32,256,256,256,8,32,32,32,24576,2048,256,8192,32,2048,8192,16384,90112,8,256,16384,1,4,32,8,1,2,4,32,8,2,524288.0,31457280.0,1966080.0,13762560.0,1966080,15728640.0,32,32.0,8.0,8.0,2686976.0,0,400,3001504
24,16-32-16,256x256x256w16-32-16,256,256,256,16,32,16,16,20480,4096,512,4096,32,2048,4096,8192,94208,16,256,16384,2,4,16,8,2,3,4,16,8,3,1048576.0,29360128.0,1835008.0,12845056.0,1835008,14680064.0,16,16.0,8.0,16.0,1638400.0,1,300,3087783
14,8-64-16,256x256x256w8-64-16,256,256,256,8,64,16,16,26624,4096,512,8192,64,1024,8192,16384,88064,8,128,16384,1,8,16,8,1,2,8,16,8,2,1048576.0,29360128.0,1835008.0,12845056.0,1835008,14680064.0,16,32.0,4.0,16.0,2424832.0,1,300,3130367
4,8-8-64,256x256x256w8-8-64,256,256,256,8,8,64,64,17408,512,64,4096,8,4096,4096,8192,97280,8,512,32768,1,1,64,8,1,2,1,64,8,2,262144.0,32505856.0,2031616.0,14221312.0,2031616,16252928.0,64,32.0,32.0,4.0,4259840.0,0,400,3178850
26,16-64-8,256x256x256w16-64-8,256,256,256,16,64,8,8,26624,8192,1024,4096,64,1024,4096,8192,88064,16,128,16384,2,8,8,8,2,3,8,8,8,3,2097152.0,25165824.0,1572864.0,11010048.0,1572864,12582912.0,8,16.0,4.0,32.0,1376256.0,1,300,3204281
34,32-32-8,256x256x256w32-32-8,256,256,256,32,32,8,8,24576,8192,1024,2048,32,2048,2048,4096,90112,32,256,16384,4,4,8,8,4,5,4,8,8,5,2097152.0,25165824.0,1572864.0,11010048.0,1572864,12582912.0,8,8.0,8.0,32.0,1114112.0,0,300,3214193
17,16-8-32,256x256x256w16-8-32,256,256,256,16,8,32,32,14336,1024,128,2048,8,4096,2048,4096,100352,16,512,32768,2,1,32,8,2,3,1,32,8,3,524288.0,31457280.0,1966080.0,13762560.0,1966080,15728640.0,32,16.0,32.0,8.0,3211264.0,0,400,3215940
8,8-16-32,256x256x256w8-16-32,256,256,256,8,16,32,32,14336,1024,128,4096,16,2048,4096,8192,100352,8,256,32768,1,2,32,8,1,2,2,32,8,2,524288.0,31457280.0,1966080.0,13762560.0,1966080,15728640.0,32,32.0,16.0,8.0,3211264.0,0,400,3223466
0,8-128-8,256x256x256w8-128-8,256,256,256,8,128,8,8,33792,8192,1024,8192,128,512,8192,16384,80896,8,64,16384,1,16,8,8,1,2,16,8,8,2,2097152.0,25165824.0,1572864.0,11010048.0,1572864,12582912.0,8,32.0,2.0,32.0,2293760.0,2,300,3241230
20,16-16-16,256x256x256w16-16-16,256,256,256,16,16,16,16,12288,2048,256,2048,16,2048,2048,4096,102400,16,256,32768,2,2,16,8,2,3,2,16,8,3,1048576.0,29360128.0,1835008.0,12845056.0,1835008,14680064.0,16,16.0,16.0,16.0,2162688.0,0,300,3263626
29,32-8-16,256x256x256w32-8-16,256,256,256,32,8,16,16,14336,2048,256,1024,8,4096,1024,2048,100352,32,512,32768,4,1,16,8,4,5,1,16,8,5,1048576.0,29360128.0,1835008.0,12845056.0,1835008,14680064.0,16,8.0,32.0,16.0,2686976.0,0,400,3279112
37,64-8-8,256x256x256w64-8-8,256,256,256,64,8,8,8,17408,4096,512,512,8,4096,512,1024,97280,64,512,32768,8,1,8,8,8,9,1,8,8,9,2097152.0,25165824.0,1572864.0,11010048.0,1572864,12582912.0,8,4.0,32.0,32.0,2424832.0,0,400,3407320
31,32-16-8,256x256x256w32-16-8,256,256,256,32,16,8,8,14336,4096,512,1024,16,2048,1024,2048,100352,32,256,32768,4,2,8,8,4,5,2,8,8,5,2097152.0,25165824.0,1572864.0,11010048.0,1572864,12582912.0,8,8.0,16.0,32.0,1638400.0,0,300,3437637
11,8-32-16,256x256x256w8-32-16,256,256,256,8,32,16,16,14336,2048,256,4096,32,1024,4096,8192,100352,8,128,32768,1,4,16,8,1,2,4,16,8,2,1048576.0,29360128.0,1835008.0,12845056.0,1835008,14680064.0,16,32.0,8.0,16.0,2686976.0,0,400,3578251
13,8-64-8,256x256x256w8-64-8,256,256,256,8,64,8,8,17408,4096,512,4096,64,512,4096,8192,97280,8,64,32768,1,8,8,8,1,2,8,8,8,2,2097152.0,25165824.0,1572864.0,11010048.0,1572864,12582912.0,8,32.0,4.0,32.0,2424832.0,0,300,3733781
