kernels,linalg_xdsl
matmul_transb 1x100x1xf64,437
matmul_transb 1x100x2xf64,454
matmul_transb 1x100x3xf64,450
matmul_transb 1x100x4xf64,462
matmul_transb 1x100x5xf64,560
matmul_transb 1x100x6xf64,667
matmul_transb 1x100x7xf64,766
matmul_transb 1x100x8xf64,885
matmul_transb 1x100x9xf64,1281
matmul_transb 1x105x1xf64,457
matmul_transb 1x105x2xf64,474
matmul_transb 1x105x3xf64,470
matmul_transb 1x105x4xf64,481
matmul_transb 1x105x5xf64,585
matmul_transb 1x105x6xf64,697
matmul_transb 1x105x7xf64,801
matmul_transb 1x105x8xf64,925
matmul_transb 1x105x9xf64,1341
matmul_transb 1x110x1xf64,477
matmul_transb 1x110x2xf64,494
matmul_transb 1x110x3xf64,490
matmul_transb 1x110x4xf64,501
matmul_transb 1x110x5xf64,610
matmul_transb 1x110x6xf64,727
matmul_transb 1x110x7xf64,836
matmul_transb 1x110x8xf64,965
matmul_transb 1x110x9xf64,1401
matmul_transb 1x115x1xf64,497
matmul_transb 1x115x2xf64,514
matmul_transb 1x115x3xf64,510
matmul_transb 1x115x4xf64,521
matmul_transb 1x115x5xf64,635
matmul_transb 1x115x6xf64,757
matmul_transb 1x115x7xf64,871
matmul_transb 1x115x8xf64,1005
matmul_transb 1x115x9xf64,1461
matmul_transb 1x120x1xf64,517
matmul_transb 1x120x2xf64,534
matmul_transb 1x120x3xf64,530
matmul_transb 1x120x4xf64,541
matmul_transb 1x120x5xf64,660
matmul_transb 1x120x6xf64,787
matmul_transb 1x120x7xf64,906
matmul_transb 1x120x8xf64,1045
matmul_transb 1x120x9xf64,1521
matmul_transb 1x125x1xf64,537
matmul_transb 1x125x2xf64,554
matmul_transb 1x125x3xf64,550
matmul_transb 1x125x4xf64,561
matmul_transb 1x125x5xf64,685
matmul_transb 1x125x6xf64,817
matmul_transb 1x125x7xf64,941
matmul_transb 1x125x8xf64,1085
matmul_transb 1x125x9xf64,1581
matmul_transb 1x130x1xf64,557
matmul_transb 1x130x2xf64,574
matmul_transb 1x130x3xf64,590
matmul_transb 1x130x4xf64,581
matmul_transb 1x130x5xf64,706
matmul_transb 1x130x6xf64,847
matmul_transb 1x130x7xf64,976
matmul_transb 1x130x8xf64,1125
matmul_transb 1x130x9xf64,1636
matmul_transb 1x135x1xf64,577
matmul_transb 1x135x2xf64,594
matmul_transb 1x135x3xf64,610
matmul_transb 1x135x4xf64,601
matmul_transb 1x135x5xf64,731
matmul_transb 1x135x6xf64,877
matmul_transb 1x135x7xf64,1011
matmul_transb 1x135x8xf64,1165
matmul_transb 1x135x9xf64,1696
matmul_transb 1x140x1xf64,597
matmul_transb 1x140x2xf64,614
matmul_transb 1x140x3xf64,630
matmul_transb 1x140x4xf64,621
matmul_transb 1x140x5xf64,756
matmul_transb 1x140x6xf64,907
matmul_transb 1x140x7xf64,1046
matmul_transb 1x140x8xf64,1205
matmul_transb 1x140x9xf64,1756
matmul_transb 1x145x1xf64,617
matmul_transb 1x145x2xf64,634
matmul_transb 1x145x3xf64,650
matmul_transb 1x145x4xf64,641
matmul_transb 1x145x5xf64,781
matmul_transb 1x145x6xf64,937
matmul_transb 1x145x7xf64,1081
matmul_transb 1x145x8xf64,1245
matmul_transb 1x145x9xf64,1816
matmul_transb 1x150x1xf64,637
matmul_transb 1x150x2xf64,654
matmul_transb 1x150x3xf64,670
matmul_transb 1x150x4xf64,661
matmul_transb 1x150x5xf64,806
matmul_transb 1x150x6xf64,967
matmul_transb 1x150x7xf64,1116
matmul_transb 1x150x8xf64,1285
matmul_transb 1x150x9xf64,1876
matmul_transb 1x155x1xf64,657
matmul_transb 1x155x2xf64,674
matmul_transb 1x155x3xf64,690
matmul_transb 1x155x4xf64,681
matmul_transb 1x155x5xf64,835
matmul_transb 1x155x6xf64,997
matmul_transb 1x155x7xf64,1151
matmul_transb 1x155x8xf64,1325
matmul_transb 1x155x9xf64,1936
matmul_transb 1x160x1xf64,677
matmul_transb 1x160x2xf64,694
matmul_transb 1x160x3xf64,710
matmul_transb 1x160x4xf64,701
matmul_transb 1x160x5xf64,860
matmul_transb 1x160x6xf64,1027
matmul_transb 1x160x7xf64,1186
matmul_transb 1x160x8xf64,1365
matmul_transb 1x160x9xf64,1996
matmul_transb 1x165x1xf64,697
matmul_transb 1x165x2xf64,714
matmul_transb 1x165x3xf64,730
matmul_transb 1x165x4xf64,721
matmul_transb 1x165x5xf64,885
matmul_transb 1x165x6xf64,1057
matmul_transb 1x165x7xf64,1221
matmul_transb 1x165x8xf64,1405
matmul_transb 1x165x9xf64,2056
matmul_transb 1x170x1xf64,717
matmul_transb 1x170x2xf64,734
matmul_transb 1x170x3xf64,750
matmul_transb 1x170x4xf64,741
matmul_transb 1x170x5xf64,915
matmul_transb 1x170x6xf64,1087
matmul_transb 1x170x7xf64,1256
matmul_transb 1x170x8xf64,1445
matmul_transb 1x170x9xf64,2116
matmul_transb 1x175x1xf64,737
matmul_transb 1x175x2xf64,753
matmul_transb 1x175x3xf64,770
matmul_transb 1x175x4xf64,761
matmul_transb 1x175x5xf64,935
matmul_transb 1x175x6xf64,1117
matmul_transb 1x175x7xf64,1291
matmul_transb 1x175x8xf64,1485
matmul_transb 1x175x9xf64,2176
matmul_transb 1x180x1xf64,757
matmul_transb 1x180x2xf64,773
matmul_transb 1x180x3xf64,790
matmul_transb 1x180x4xf64,781
matmul_transb 1x180x5xf64,960
matmul_transb 1x180x6xf64,1147
matmul_transb 1x180x7xf64,1326
matmul_transb 1x180x8xf64,1525
matmul_transb 1x180x9xf64,2236
matmul_transb 1x185x1xf64,777
matmul_transb 1x185x2xf64,793
matmul_transb 1x185x3xf64,810
matmul_transb 1x185x4xf64,801
matmul_transb 1x185x5xf64,985
matmul_transb 1x185x6xf64,1177
matmul_transb 1x185x7xf64,1361
matmul_transb 1x185x8xf64,1565
matmul_transb 1x185x9xf64,2296
matmul_transb 1x190x1xf64,797
matmul_transb 1x190x2xf64,813
matmul_transb 1x190x3xf64,830
matmul_transb 1x190x4xf64,821
matmul_transb 1x190x5xf64,1010
matmul_transb 1x190x6xf64,1207
matmul_transb 1x190x7xf64,1396
matmul_transb 1x190x8xf64,1605
matmul_transb 1x190x9xf64,2356
matmul_transb 1x195x1xf64,817
matmul_transb 1x195x2xf64,833
matmul_transb 1x195x3xf64,850
matmul_transb 1x195x4xf64,841
matmul_transb 1x195x5xf64,1035
matmul_transb 1x195x6xf64,1237
matmul_transb 1x195x7xf64,1431
matmul_transb 1x195x8xf64,1645
matmul_transb 1x195x9xf64,2416
matmul_transb 1x200x1xf64,837
matmul_transb 1x200x2xf64,853
matmul_transb 1x200x3xf64,870
matmul_transb 1x200x4xf64,861
matmul_transb 1x200x5xf64,1060
matmul_transb 1x200x6xf64,1267
matmul_transb 1x200x7xf64,1466
matmul_transb 1x200x8xf64,1685
matmul_transb 1x200x9xf64,2476
matmul_transb 1x30x1xf64,157
matmul_transb 1x30x2xf64,175
matmul_transb 1x30x3xf64,170
matmul_transb 1x30x4xf64,192
matmul_transb 1x30x5xf64,212
matmul_transb 1x30x6xf64,246
matmul_transb 1x30x7xf64,278
matmul_transb 1x30x8xf64,314
matmul_transb 1x30x9xf64,442
matmul_transb 1x35x1xf64,177
matmul_transb 1x35x2xf64,195
matmul_transb 1x35x3xf64,190
matmul_transb 1x35x4xf64,212
matmul_transb 1x35x5xf64,237
matmul_transb 1x35x6xf64,276
matmul_transb 1x35x7xf64,312
matmul_transb 1x35x8xf64,354
matmul_transb 1x35x9xf64,502
matmul_transb 1x40x1xf64,197
matmul_transb 1x40x2xf64,215
matmul_transb 1x40x3xf64,210
matmul_transb 1x40x4xf64,232
matmul_transb 1x40x5xf64,262
matmul_transb 1x40x6xf64,317
matmul_transb 1x40x7xf64,347
matmul_transb 1x40x8xf64,394
matmul_transb 1x40x9xf64,562
matmul_transb 1x45x1xf64,217
matmul_transb 1x45x2xf64,235
matmul_transb 1x45x3xf64,230
matmul_transb 1x45x4xf64,252
matmul_transb 1x45x5xf64,295
matmul_transb 1x45x6xf64,347
matmul_transb 1x45x7xf64,382
matmul_transb 1x45x8xf64,434
matmul_transb 1x45x9xf64,622
matmul_transb 1x50x1xf64,237
matmul_transb 1x50x2xf64,255
matmul_transb 1x50x3xf64,250
matmul_transb 1x50x4xf64,272
matmul_transb 1x50x5xf64,320
matmul_transb 1x50x6xf64,377
matmul_transb 1x50x7xf64,417
matmul_transb 1x50x8xf64,474
matmul_transb 1x50x9xf64,682
matmul_transb 1x55x1xf64,257
matmul_transb 1x55x2xf64,275
matmul_transb 1x55x3xf64,270
matmul_transb 1x55x4xf64,282
matmul_transb 1x55x5xf64,345
matmul_transb 1x55x6xf64,407
matmul_transb 1x55x7xf64,452
matmul_transb 1x55x8xf64,514
matmul_transb 1x55x9xf64,741
matmul_transb 1x60x1xf64,277
matmul_transb 1x60x2xf64,295
matmul_transb 1x60x3xf64,290
matmul_transb 1x60x4xf64,302
matmul_transb 1x60x5xf64,370
matmul_transb 1x60x6xf64,437
matmul_transb 1x60x7xf64,487
matmul_transb 1x60x8xf64,565
matmul_transb 1x60x9xf64,801
matmul_transb 1x65x1xf64,297
matmul_transb 1x65x2xf64,315
matmul_transb 1x65x3xf64,310
matmul_transb 1x65x4xf64,322
matmul_transb 1x65x5xf64,381
matmul_transb 1x65x6xf64,467
matmul_transb 1x65x7xf64,521
matmul_transb 1x65x8xf64,605
matmul_transb 1x65x9xf64,861
matmul_transb 1x70x1xf64,317
matmul_transb 1x70x2xf64,335
matmul_transb 1x70x3xf64,330
matmul_transb 1x70x4xf64,342
matmul_transb 1x70x5xf64,406
matmul_transb 1x70x6xf64,497
matmul_transb 1x70x7xf64,556
matmul_transb 1x70x8xf64,645
matmul_transb 1x70x9xf64,921
matmul_transb 1x75x1xf64,337
matmul_transb 1x75x2xf64,355
matmul_transb 1x75x3xf64,350
matmul_transb 1x75x4xf64,362
matmul_transb 1x75x5xf64,431
matmul_transb 1x75x6xf64,517
matmul_transb 1x75x7xf64,591
matmul_transb 1x75x8xf64,685
matmul_transb 1x75x9xf64,981
matmul_transb 1x80x1xf64,357
matmul_transb 1x80x2xf64,375
matmul_transb 1x80x3xf64,370
matmul_transb 1x80x4xf64,382
matmul_transb 1x80x5xf64,456
matmul_transb 1x80x6xf64,547
matmul_transb 1x80x7xf64,626
matmul_transb 1x80x8xf64,725
matmul_transb 1x80x9xf64,1041
matmul_transb 1x85x1xf64,377
matmul_transb 1x85x2xf64,395
matmul_transb 1x85x3xf64,390
matmul_transb 1x85x4xf64,402
matmul_transb 1x85x5xf64,481
matmul_transb 1x85x6xf64,577
matmul_transb 1x85x7xf64,661
matmul_transb 1x85x8xf64,765
matmul_transb 1x85x9xf64,1101
matmul_transb 1x90x1xf64,397
matmul_transb 1x90x2xf64,414
matmul_transb 1x90x3xf64,410
matmul_transb 1x90x4xf64,422
matmul_transb 1x90x5xf64,510
matmul_transb 1x90x6xf64,607
matmul_transb 1x90x7xf64,696
matmul_transb 1x90x8xf64,805
matmul_transb 1x90x9xf64,1161
matmul_transb 1x95x1xf64,417
matmul_transb 1x95x2xf64,434
matmul_transb 1x95x3xf64,430
matmul_transb 1x95x4xf64,442
matmul_transb 1x95x5xf64,535
matmul_transb 1x95x6xf64,637
matmul_transb 1x95x7xf64,731
matmul_transb 1x95x8xf64,845
matmul_transb 1x95x9xf64,1221
