FakeNN JSON Name,M,N,K,m,n,k,JSON Name,Kpad,Space Remaining,tileB,m Dim,Weight Matrix Tile Size,Original Name,Npad,tileB_cc,tileA,Space Needed in L1,Row Dim,tileC,tileC_cc,padding,Reduction Dim,tileA_cc,Mpad,SSR Config Count,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,Regular Loads,Total SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,Little K,m_tiles,n_tiles,k_tiles,L3 Loads,Unnamed: 0,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time
128x128x128w128-8-8,128,128,128,128,8,8,128-8-8,0,80896,512,128,1024,128x128x128w128-8-8,0,512,8192,33792,8,8192,1024,0,8,1024,0,2048,16,1,8,8,16,17,1,8,8,17,262144.0,3145728.0,196608.0,1376256.0,196608,1572864.0,8,1.0,16.0,16.0,294912.0,,360741,360739,360740,360741,360744,360741,360732,360738,365066,360750
128x128x128w16-16-16,128,128,128,16,16,16,16-16-16,0,102400,2048,16,4096,128x128x128w16-16-16,0,2048,2048,12288,16,2048,256,0,16,256,0,4096,2,2,16,8,2,3,2,16,8,3,131072.0,3670016.0,229376.0,1605632.0,229376,1835008.0,16,8.0,8.0,8.0,278528.0,,403002,402993,403008,403000,403000,402994,403002,402993,406252,403014
128x128x128w16-16-32,128,128,128,16,16,32,16-16-32,0,94208,4096,16,8192,128x128x128w16-16-32,0,4096,4096,20480,16,2048,256,0,32,512,0,2048,2,2,32,8,2,3,2,32,8,3,65536.0,3932160.0,245760.0,1720320.0,245760,1966080.0,32,8.0,8.0,4.0,278528.0,,343079,343070,343068,343077,343085,343079,343084,343079,346537,343092
128x128x128w16-16-64,128,128,128,16,16,64,16-16-64,0,77824,8192,16,16384,128x128x128w16-16-64,0,8192,8192,36864,16,2048,256,0,64,1024,0,1024,2,2,64,8,2,3,2,64,8,3,32768.0,4063232.0,253952.0,1777664.0,253952,2031616.0,64,8.0,8.0,2.0,278528.0,,310160,310160,310160,310163,310191,310183,310172,310164,313931,310196
128x128x128w16-16-8,128,128,128,16,16,8,16-16-8,0,106496,1024,16,2048,128x128x128w16-16-8,0,1024,1024,8192,16,2048,256,0,8,128,0,8192,2,2,8,8,2,3,2,8,8,3,262144.0,3145728.0,196608.0,1376256.0,196608,1572864.0,8,8.0,8.0,16.0,278528.0,,538573,538573,538580,538560,538560,538573,538579,538572,541766,538586
128x128x128w16-32-16,128,128,128,16,32,16,16-32-16,0,94208,4096,16,8192,128x128x128w16-32-16,0,4096,2048,20480,32,4096,512,0,16,256,0,2048,2,4,16,8,2,3,4,16,8,3,131072.0,3670016.0,229376.0,1605632.0,229376,1835008.0,16,8.0,4.0,8.0,212992.0,,381312,381286,381322,381286,381286,381287,381303,381311,384725,381327
128x128x128w16-32-32,128,128,128,16,32,32,16-32-32,0,81920,8192,16,16384,128x128x128w16-32-32,0,8192,4096,32768,32,4096,512,0,32,512,0,1024,2,4,32,8,2,3,4,32,8,3,65536.0,3932160.0,245760.0,1720320.0,245760,1966080.0,32,8.0,4.0,4.0,212992.0,,340951,340951,340959,340977,340942,340968,340959,340986,344659,340988
128x128x128w16-32-8,128,128,128,16,32,8,16-32-8,0,100352,2048,16,4096,128x128x128w16-32-8,0,2048,1024,14336,32,4096,512,0,8,128,0,4096,2,4,8,8,2,3,4,8,8,3,262144.0,3145728.0,196608.0,1376256.0,196608,1572864.0,8,8.0,4.0,16.0,212992.0,,459562,459563,459559,459529,459550,459529,459559,459546,462849,459567
128x128x128w16-64-16,128,128,128,16,64,16,16-64-16,0,77824,8192,16,16384,128x128x128w16-64-16,0,8192,2048,36864,64,8192,1024,0,16,256,0,1024,2,8,16,8,2,3,8,16,8,3,131072.0,3670016.0,229376.0,1605632.0,229376,1835008.0,16,8.0,2.0,8.0,180224.0,,352253,352232,352256,352249,352222,352267,352265,352283,355943,352285
128x128x128w16-64-8,128,128,128,16,64,8,16-64-8,0,88064,4096,16,8192,128x128x128w16-64-8,0,4096,1024,26624,64,8192,1024,0,8,128,0,2048,2,8,8,8,2,3,8,8,8,3,262144.0,3145728.0,196608.0,1376256.0,196608,1572864.0,8,8.0,2.0,16.0,180224.0,,393904,393891,393906,393934,393917,393867,393892,393883,397405,393940
