FakeNN JSON Name,M,N,K,m,n,k,JSON Name,Space Needed in L1,Row Dim,tileC_cc,tileC,padding,Npad,Original Name,tileA,Mpad,tileB_cc,Kpad,Weight Matrix Tile Size,tileB,m Dim,tileA_cc,Space Remaining,Reduction Dim,SSR Config Count,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,Regular Loads,Total SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,Little K,m_tiles,n_tiles,k_tiles,L3 Loads,Unnamed: 0,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time
128x128x128w128-8-8,128,128,128,128,8,8,128-8-8,33792,8,1024,8192,0,0,128x128x128w128-8-8,8192,0,512,0,1024,512,128,1024,80896,8,2048,16,1,8,8,16,17,1,8,8,17,262144.0,3145728.0,196608.0,1376256.0,196608,1572864.0,8,1.0,16.0,16.0,294912.0,,368363,368344,368345,368333,368356,368345,368339,368344,372658,368367
128x128x128w16-16-16,128,128,128,16,16,16,16-16-16,12288,16,256,2048,0,0,128x128x128w16-16-16,2048,0,2048,0,4096,2048,16,256,102400,16,4096,2,2,16,8,2,3,2,16,8,3,131072.0,3670016.0,229376.0,1605632.0,229376,1835008.0,16,8.0,8.0,8.0,278528.0,,403852,403849,403851,403856,403851,403859,403865,403875,407104,403877
128x128x128w16-16-32,128,128,128,16,16,32,16-16-32,20480,16,256,2048,0,0,128x128x128w16-16-32,4096,0,4096,0,8192,4096,16,512,94208,32,2048,2,2,32,8,2,3,2,32,8,3,65536.0,3932160.0,245760.0,1720320.0,245760,1966080.0,32,8.0,8.0,4.0,278528.0,,343364,343349,343354,343369,343356,343374,343365,343346,346835,343382
128x128x128w16-16-64,128,128,128,16,16,64,16-16-64,36864,16,256,2048,0,0,128x128x128w16-16-64,8192,0,8192,0,16384,8192,16,1024,77824,64,1024,2,2,64,8,2,3,2,64,8,3,32768.0,4063232.0,253952.0,1777664.0,253952,2031616.0,64,8.0,8.0,2.0,278528.0,,311279,311270,311287,311279,311276,311280,311297,311269,315015,311298
128x128x128w16-16-8,128,128,128,16,16,8,16-16-8,8192,16,256,2048,0,0,128x128x128w16-16-8,1024,0,1024,0,2048,1024,16,128,106496,8,8192,2,2,8,8,2,3,2,8,8,3,262144.0,3145728.0,196608.0,1376256.0,196608,1572864.0,8,8.0,8.0,16.0,278528.0,,543417,543416,543422,543401,543405,543414,543427,543413,546607,543429
128x128x128w16-32-16,128,128,128,16,32,16,16-32-16,20480,32,512,4096,0,0,128x128x128w16-32-16,2048,0,4096,0,8192,4096,16,256,94208,16,2048,2,4,16,8,2,3,4,16,8,3,131072.0,3670016.0,229376.0,1605632.0,229376,1835008.0,16,8.0,4.0,8.0,212992.0,,386419,386417,386419,386461,386453,386443,386419,386418,389858,386468
128x128x128w16-32-32,128,128,128,16,32,32,16-32-32,32768,32,512,4096,0,0,128x128x128w16-32-32,4096,0,8192,0,16384,8192,16,512,81920,32,1024,2,4,32,8,2,3,4,32,8,3,65536.0,3932160.0,245760.0,1720320.0,245760,1966080.0,32,8.0,4.0,4.0,212992.0,,340406,340393,340413,340433,340421,340450,340451,340425,344121,340453
128x128x128w16-32-8,128,128,128,16,32,8,16-32-8,14336,32,512,4096,0,0,128x128x128w16-32-8,1024,0,2048,0,4096,2048,16,128,100352,8,4096,2,4,8,8,2,3,4,8,8,3,262144.0,3145728.0,196608.0,1376256.0,196608,1572864.0,8,8.0,4.0,16.0,212992.0,,462064,462059,462067,462051,462036,462086,462069,462067,465362,462087
128x128x128w16-64-16,128,128,128,16,64,16,16-64-16,36864,64,1024,8192,0,0,128x128x128w16-64-16,2048,0,8192,0,16384,8192,16,256,77824,16,1024,2,8,16,8,2,3,8,16,8,3,131072.0,3670016.0,229376.0,1605632.0,229376,1835008.0,16,8.0,2.0,8.0,180224.0,,352442,352418,352439,352477,352466,352501,352468,352484,356142,352502
128x128x128w16-64-8,128,128,128,16,64,8,16-64-8,26624,64,1024,8192,0,0,128x128x128w16-64-8,1024,0,4096,0,8192,4096,16,128,88064,8,2048,2,8,8,8,2,3,8,8,8,3,262144.0,3145728.0,196608.0,1376256.0,196608,1572864.0,8,8.0,2.0,16.0,180224.0,,399494,399466,399437,399489,399467,399508,399508,399502,402971,399510
128x128x128w16-8-16,128,128,128,16,8,16,16-8-16,8192,8,128,1024,0,0,128x128x128w16-8-16,2048,0,1024,0,2048,1024,16,256,106496,16,8192,2,1,16,8,2,3,1,16,8,3,131072.0,3670016.0,229376.0,1605632.0,229376,1835008.0,16,8.0,16.0,8.0,409600.0,,525537,525534,525534,525537,525540,525531,525531,525531,528741,525548
128x128x128w16-8-32,128,128,128,16,8,32,16-8-32,14336,8,128,1024,0,0,128x128x128w16-8-32,4096,0,2048,0,4096,2048,16,512,100352,32,4096,2,1,32,8,2,3,1,32,8,3,65536.0,3932160.0,245760.0,1720320.0,245760,1966080.0,32,8.0,16.0,4.0,409600.0,,399975,399972,399987,399982,399987,399998,399998,399984,403349,400000
128x128x128w16-8-64,128,128,128,16,8,64,16-8-64,26624,8,128,1024,0,0,128x128x128w16-8-64,8192,0,4096,0,8192,4096,16,1024,88064,64,2048,2,1,64,8,2,3,1,64,8,3,32768.0,4063232.0,253952.0,1777664.0,253952,2031616.0,64,8.0,16.0,2.0,409600.0,,339330,339324,339345,339347,339350,339355,339345,339343,342952,339358
128x128x128w16-8-8,128,128,128,16,8,8,16-8-8,5120,8,128,1024,0,0,128x128x128w16-8-8,1024,0,512,0,1024,512,16,128,109568,8,16384,2,1,8,8,2,3,1,8,8,3,262144.0,3145728.0,196608.0,1376256.0,196608,1572864.0,8,8.0,16.0,16.0,409600.0,,759029,759030,759029,759031,759013,759022,759022,759022,762148,759038
128x128x128w32-16-16,128,128,128,32,16,16,32-16-16,20480,16,512,4096,0,0,128x128x128w32-16-16,4096,0,2048,0,4096,2048,32,512,94208,16,2048,4,2,16,8,4,5,2,16,8,5,131072.0,3670016.0,229376.0,1605632.0,229376,1835008.0,16,4.0,8.0,8.0,212992.0,,350870,350857,350853,350860,350861,350887,350885,350857,354375,350888
128x128x128w32-16-32,128,128,128,32,16,32,32-16-32,32768,16,512,4096,0,0,128x128x128w32-16-32,8192,0,4096,0,8192,4096,32,1024,81920,32,1024,4,2,32,8,4,5,2,32,8,5,65536.0,3932160.0,245760.0,1720320.0,245760,1966080.0,32,4.0,8.0,4.0,212992.0,,315112,315110,315138,315130,315128,315110,315127,315124,318872,315143
128x128x128w32-16-8,128,128,128,32,16,8,32-16-8,14336,16,512,4096,0,0,128x128x128w32-16-8,2048,0,1024,0,2048,1024,32,256,100352,8,4096,4,2,8,8,4,5,2,8,8,5,262144.0,3145728.0,196608.0,1376256.0,196608,1572864.0,8,4.0,8.0,16.0,212992.0,,426451,426453,426451,426459,426469,426469,426469,426449,429847,426477
128x128x128w32-32-16,128,128,128,32,32,16,32-32-16,32768,32,1024,8192,0,0,128x128x128w32-32-16,4096,0,4096,0,8192,4096,32,512,81920,16,1024,4,4,16,8,4,5,4,16,8,5,131072.0,3670016.0,229376.0,1605632.0,229376,1835008.0,16,4.0,4.0,8.0,147456.0,,352706,352656,352684,352696,352676,352702,352687,352660,356371,352710
128x128x128w32-32-32,128,128,128,32,32,32,32-32-32,49152,32,1024,8192,0,0,128x128x128w32-32-32,8192,0,8192,0,16384,8192,32,1024,65536,32,512,4,4,32,8,4,5,4,32,8,5,65536.0,3932160.0,245760.0,1720320.0,245760,1966080.0,32,4.0,4.0,4.0,147456.0,,322678,322695,322645,322679,322685,322720,322710,322719,326677,322728
128x128x128w32-32-8,128,128,128,32,32,8,32-32-8,24576,32,1024,8192,0,0,128x128x128w32-32-8,2048,0,2048,0,4096,2048,32,256,90112,8,2048,4,4,8,8,4,5,4,8,8,5,262144.0,3145728.0,196608.0,1376256.0,196608,1572864.0,8,4.0,4.0,16.0,147456.0,,400005,399995,399985,399996,400003,400021,399994,399971,403559,400022
