FakeNN JSON Name,M,N,K,m,n,k,JSON Name,tileC_cc,Weight Matrix Tile Size,tileC,tileA_cc,Space Remaining,tileB,Reduction Dim,Kpad,Mpad,padding,Row Dim,Space Needed in L1,Npad,tileB_cc,tileA,Original Name,m Dim,SSR Config Count,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,Regular Loads,Total SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,Little K,m_tiles,n_tiles,k_tiles,L3 Loads,stage,Unnamed: 0,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time
512x512x512w128-8-8,512,512,512,128,8,8,128-8-8,1024,1024,8192,1024,80896,512,8,0,0,0,8,33792,0,512,8192,512x512x512w128-8-8,128,131072,16,1,8,8,16,17,1,8,8,17,16777216.0,201326592.0,12582912.0,88080384.0,12582912.0,100663296.0,8,4,64,64,18087936,0,,23103333,23103331,23103332,23103333,23103336,23103333,23103332,23103330,23107565,23103343
512x512x512w16-16-64,512,512,512,16,16,64,16-16-64,256,16384,2048,1024,77824,8192,64,0,0,0,16,36864,0,8192,8192,512x512x512w16-16-64,16,65536,2,2,64,8,2,3,2,64,8,3,2097152.0,260046848.0,16252928.0,113770496.0,16252928.0,130023424.0,64,32,32,8,17039360,2,,19917400,19917398,19917421,19917418,19917416,19917397,19917414,19917397,19921156,19917427
512x512x512w16-32-32,512,512,512,16,32,32,16-32-32,512,16384,4096,512,81920,8192,32,0,0,0,32,32768,0,8192,4096,512x512x512w16-32-32,16,65536,2,4,32,8,2,3,4,32,8,3,4194304.0,251658240.0,15728640.0,110100480.0,15728640.0,125829120.0,32,32,16,16,12845056,1,,21851069,21851063,21851070,21851100,21851090,21851085,21851080,21851068,21854793,21851106
512x512x512w16-64-16,512,512,512,16,64,16,16-64-16,1024,16384,8192,256,77824,8192,16,0,0,0,64,36864,0,8192,2048,512x512x512w16-64-16,16,65536,2,8,16,8,2,3,8,16,8,3,8388608.0,234881024.0,14680064.0,102760448.0,14680064.0,117440512.0,16,32,8,32,10747904,2,,22741038,22741014,22741035,22741073,22741062,22741089,22741064,22741080,22744749,22741097
512x512x512w32-16-32,512,512,512,32,16,32,32-16-32,512,8192,4096,1024,81920,4096,32,0,0,0,16,32768,0,4096,8192,512x512x512w32-16-32,32,65536,4,2,32,8,4,5,2,32,8,5,4194304.0,251658240.0,15728640.0,110100480.0,15728640.0,125829120.0,32,16,32,16,12845056,1,,20122853,20122858,20122859,20122847,20122845,20122853,20122872,20122857,20126606,20122873
512x512x512w32-32-16,512,512,512,32,32,16,32-32-16,1024,8192,8192,512,81920,4096,16,0,0,0,32,32768,0,4096,4096,512x512x512w32-32-16,32,65536,4,4,16,8,4,5,4,16,8,5,8388608.0,234881024.0,14680064.0,102760448.0,14680064.0,117440512.0,16,16,16,32,8650752,2,,22489986,22489969,22489974,22490000,22489992,22489955,22489967,22489975,22493689,22490006
512x512x512w32-32-32,512,512,512,32,32,32,32-32-32,1024,16384,8192,1024,65536,8192,32,0,0,0,32,49152,0,8192,8192,512x512x512w32-32-32,32,32768,4,4,32,8,4,5,4,32,8,5,4194304.0,251658240.0,15728640.0,110100480.0,15728640.0,125829120.0,32,16,16,16,8650752,2,0.0,20516264,20516236,20516251,20516285,20516277,20516271,20516271,20516253,20520341,20516291
512x512x512w64-16-16,512,512,512,64,16,16,64-16-16,1024,4096,8192,1024,77824,2048,16,0,0,0,16,36864,0,2048,8192,512x512x512w64-16-16,64,65536,8,2,16,8,8,9,2,16,8,9,8388608.0,234881024.0,14680064.0,102760448.0,14680064.0,117440512.0,16,8,32,32,10747904,2,,20410911,20410908,20410929,20410925,20410936,20410914,20410923,20410934,20414825,20410943
512x512x512w8-128-8,512,512,512,8,128,8,8-128-8,1024,16384,8192,64,80896,8192,8,0,0,0,128,33792,0,8192,512,512x512x512w8-128-8,8,131072,1,16,8,8,1,2,16,8,8,2,16777216.0,201326592.0,12582912.0,88080384.0,12582912.0,100663296.0,8,64,4,64,18087936,2,,25494243,25494205,25494258,25494249,25494258,25494278,25494244,25494288,25497842,25494290
512x512x512w8-8-128,512,512,512,8,8,128,8-8-128,64,16384,512,1024,80896,8192,128,0,0,0,8,33792,0,8192,8192,512x512x512w8-8-128,8,131072,1,1,128,8,1,2,1,128,8,2,1048576.0,264241152.0,16515072.0,115605504.0,16515072.0,132120576.0,128,64,64,4,33816576,3,,21825485,21825480,21825481,21825452,21825467,21825471,21825477,21825480,21829217,21825488
