FakeNN JSON Name,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time
128x128x128w128-8-8,368363,368344,368345,368333,368356,368345,368339,368344,372658,368367
128x128x128w16-16-16,403852,403849,403851,403856,403851,403859,403865,403875,407104,403877
128x128x128w16-16-32,343364,343349,343354,343369,343356,343374,343365,343346,346835,343382
128x128x128w16-16-64,311279,311270,311287,311279,311276,311280,311297,311269,315015,311298
128x128x128w16-16-8,543417,543416,543422,543401,543405,543414,543427,543413,546607,543429
128x128x128w16-32-16,386419,386417,386419,386461,386453,386443,386419,386418,389858,386468
128x128x128w16-32-32,340406,340393,340413,340433,340421,340450,340451,340425,344121,340453
128x128x128w16-32-8,462064,462059,462067,462051,462036,462086,462069,462067,465362,462087
128x128x128w16-64-16,352442,352418,352439,352477,352466,352501,352468,352484,356142,352502
128x128x128w16-64-8,399494,399466,399437,399489,399467,399508,399508,399502,402971,399510
128x128x128w16-8-16,525537,525534,525534,525537,525540,525531,525531,525531,528741,525548
128x128x128w16-8-32,399975,399972,399987,399982,399987,399998,399998,399984,403349,400000
128x128x128w16-8-64,339330,339324,339345,339347,339350,339355,339345,339343,342952,339358
128x128x128w16-8-8,759029,759030,759029,759031,759013,759022,759022,759022,762148,759038
128x128x128w32-16-16,350870,350857,350853,350860,350861,350887,350885,350857,354375,350888
128x128x128w32-16-32,315112,315110,315138,315130,315128,315110,315127,315124,318872,315143
128x128x128w32-16-8,426451,426453,426451,426459,426469,426469,426469,426449,429847,426477
128x128x128w32-32-16,352706,352656,352684,352696,352676,352702,352687,352660,356371,352710
128x128x128w32-32-32,322678,322695,322645,322679,322685,322720,322710,322719,326677,322728
128x128x128w32-32-8,400005,399995,399985,399996,400003,400021,399994,399971,403559,400022
128x128x128w32-8-16,408841,408840,408848,408843,408843,408821,408834,408834,412251,408853
128x128x128w32-8-32,343469,343464,343462,343470,343453,343449,343455,343449,347128,343477
128x128x128w32-8-8,535218,535215,535215,535219,535221,535218,535231,535215,538519,535232
128x128x128w64-16-16,320720,320722,320722,320734,320726,320740,320763,320719,324667,320764
128x128x128w64-16-8,368473,368454,368436,368483,368466,368439,368461,368476,372265,368489
128x128x128w64-8-16,351692,351685,351683,351701,351690,351706,351680,351679,355510,351714
128x128x128w64-8-8,425573,425568,425573,425580,425577,425596,425586,425592,429244,425597
128x128x128w8-128-8,405849,405848,405832,405839,405832,405858,405871,405863,409414,405872
128x128x128w8-16-16,511381,511383,511387,511371,511379,511371,511393,511380,514498,511394
128x128x128w8-16-32,401551,401557,401556,401578,401544,401569,401552,401550,404868,401584
128x128x128w8-16-64,342173,342176,342170,342176,342177,342170,342190,342170,345677,342191
128x128x128w8-16-8,768818,768814,768815,768819,768820,768829,768829,768829,771903,768832
128x128x128w8-32-16,446371,446355,446355,446339,446347,446356,446355,446355,449626,446374
128x128x128w8-32-32,373204,373200,373203,373219,373213,373236,373237,373210,376700,373239
128x128x128w8-32-8,581057,581035,581057,581042,581042,581051,581051,581051,584201,581063
128x128x128w8-64-16,388473,388489,388455,388491,388456,388484,388455,388464,391946,388497
128x128x128w8-64-8,466175,466165,466193,466196,466182,466208,466214,466203,469471,466216
128x128x128w8-8-128,312661,312662,312664,312672,312649,312656,312655,312659,316141,312673
128x128x128w8-8-16,746443,746434,746454,746446,746447,746448,746456,746456,749553,746459
128x128x128w8-8-32,517639,517625,517636,517615,517626,517636,517633,517637,520851,517643
128x128x128w8-8-64,398204,398179,398188,398183,398190,398202,398200,398203,401577,398208
128x128x128w8-8-8,1189447,1189447,1189447,1189448,1189431,1189431,1189439,1189439,1192464,1189454
