FakeNN JSON Name,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time
512x512x512w128-8-8,23103333,23103331,23103332,23103333,23103336,23103333,23103332,23103330,23107565,23103343
512x512x512w16-16-64,19917400,19917398,19917421,19917418,19917416,19917397,19917414,19917397,19921156,19917427
512x512x512w16-32-32,21851069,21851063,21851070,21851100,21851090,21851085,21851080,21851068,21854793,21851106
512x512x512w16-64-16,22741038,22741014,22741035,22741073,22741062,22741089,22741064,22741080,22744749,22741097
512x512x512w32-16-32,20122853,20122858,20122859,20122847,20122845,20122853,20122872,20122857,20126606,20122873
512x512x512w32-32-16,22489986,22489969,22489974,22490000,22489992,22489955,22489967,22489975,22493689,22490006
512x512x512w32-32-32,20516264,20516236,20516251,20516285,20516277,20516271,20516271,20516253,20520341,20516291
512x512x512w64-16-16,20410911,20410908,20410929,20410925,20410936,20410914,20410923,20410934,20414825,20410943
512x512x512w8-128-8,25494243,25494205,25494258,25494249,25494258,25494278,25494244,25494288,25497842,25494290
512x512x512w8-8-128,21825485,21825480,21825481,21825452,21825467,21825471,21825477,21825480,21829217,21825488
