FakeNN JSON Name,Global Sim E2E_cc_0,Core Complex E2E_cc_0,Sum Region Cycles_cc_0,Before Computation_cc_0,After Computation_cc_0,core0,SSR Config Time_cc_0,Overlap Stall Time_cc_0,Raw Compute Time_cc_0,Sum Raw Compute + Overlap Stall_cc_0,Sum Compute+Stall+Pro+Epi_cc_0,Sum Compute + SSR Configs_cc_0,cc_tiles_cc_0,Global Sim E2E_cc_1,Core Complex E2E_cc_1,Sum Region Cycles_cc_1,Before Computation_cc_1,After Computation_cc_1,core1,SSR Config Time_cc_1,Overlap Stall Time_cc_1,Raw Compute Time_cc_1,Sum Raw Compute + Overlap Stall_cc_1,Sum Compute+Stall+Pro+Epi_cc_1,Sum Compute + SSR Configs_cc_1,cc_tiles_cc_1,Global Sim E2E_cc_2,Core Complex E2E_cc_2,Sum Region Cycles_cc_2,Before Computation_cc_2,After Computation_cc_2,core2,SSR Config Time_cc_2,Overlap Stall Time_cc_2,Raw Compute Time_cc_2,Sum Raw Compute + Overlap Stall_cc_2,Sum Compute+Stall+Pro+Epi_cc_2,Sum Compute + SSR Configs_cc_2,cc_tiles_cc_2,Global Sim E2E_cc_3,Core Complex E2E_cc_3,Sum Region Cycles_cc_3,Before Computation_cc_3,After Computation_cc_3,core3,SSR Config Time_cc_3,Overlap Stall Time_cc_3,Raw Compute Time_cc_3,Sum Raw Compute + Overlap Stall_cc_3,Sum Compute+Stall+Pro+Epi_cc_3,Sum Compute + SSR Configs_cc_3,cc_tiles_cc_3,Global Sim E2E_cc_4,Core Complex E2E_cc_4,Sum Region Cycles_cc_4,Before Computation_cc_4,After Computation_cc_4,core4,SSR Config Time_cc_4,Overlap Stall Time_cc_4,Raw Compute Time_cc_4,Sum Raw Compute + Overlap Stall_cc_4,Sum Compute+Stall+Pro+Epi_cc_4,Sum Compute + SSR Configs_cc_4,cc_tiles_cc_4,Global Sim E2E_cc_5,Core Complex E2E_cc_5,Sum Region Cycles_cc_5,Before Computation_cc_5,After Computation_cc_5,core5,SSR Config Time_cc_5,Overlap Stall Time_cc_5,Raw Compute Time_cc_5,Sum Raw Compute + Overlap Stall_cc_5,Sum Compute+Stall+Pro+Epi_cc_5,Sum Compute + SSR Configs_cc_5,cc_tiles_cc_5,Global Sim E2E_cc_6,Core Complex E2E_cc_6,Sum Region Cycles_cc_6,Before Computation_cc_6,After Computation_cc_6,core6,SSR Config Time_cc_6,Overlap Stall Time_cc_6,Raw Compute Time_cc_6,Sum Raw Compute + Overlap Stall_cc_6,Sum Compute+Stall+Pro+Epi_cc_6,Sum Compute + SSR Configs_cc_6,cc_tiles_cc_6,Global Sim E2E_cc_7,Core Complex E2E_cc_7,Sum Region Cycles_cc_7,Before Computation_cc_7,After Computation_cc_7,core7,SSR Config Time_cc_7,Overlap Stall Time_cc_7,Raw Compute Time_cc_7,Sum Raw Compute + Overlap Stall_cc_7,Sum Compute+Stall+Pro+Epi_cc_7,Sum Compute + SSR Configs_cc_7,cc_tiles_cc_7,Kernel Time,dma,Global Sim E2E_dma,dma cycle_q,Total CC Tiles,Overlap Stall Time Total,Raw Compute Time Total,SSR Config Time Total,Sum Compute + SSR Configs Total,Diff from dma E2E_cc_0,Sum Regions - Core Complex E2E_cc_0,Diff from dma E2E_cc_1,Sum Regions - Core Complex E2E_cc_1,Diff from dma E2E_cc_2,Sum Regions - Core Complex E2E_cc_2,Diff from dma E2E_cc_3,Sum Regions - Core Complex E2E_cc_3,Diff from dma E2E_cc_4,Sum Regions - Core Complex E2E_cc_4,Diff from dma E2E_cc_5,Sum Regions - Core Complex E2E_cc_5,Diff from dma E2E_cc_6,Sum Regions - Core Complex E2E_cc_6,Diff from dma E2E_cc_7,Sum Regions - Core Complex E2E_cc_7
120x120x60w26-32-30,157883,157883,157803,3269,369,154243,4181,5572,144412,149984,157803,148593,40,157887,157887,157807,3268,381,154236,4148,5701,144309,150010,157807,148457,40,157886,157886,157806,3267,382,154235,4206,34881,115070,149951,157806,119276,40,157885,157885,157805,3266,379,154238,4193,34570,115397,149967,157805,119590,40,157882,157882,157802,3263,378,154239,4295,34563,115303,149866,157802,119598,40,157881,157881,157801,3262,354,154263,4173,34288,115724,150012,157801,119897,40,157880,157880,157800,3261,355,154262,4257,34547,115380,149927,157800,119637,40,157879,157879,157799,3260,352,154265,4233,34244,115710,149954,157799,119943,40,154265,157876,157876,157895,320,218366,981305,33686,1014991,7,7,11,11,10,10,9,9,6,6,5,5,4,4,3,3
120x120x60w28-32-32,151537,151537,151457,3344,357,147834,4227,6843,136686,143529,151457,140913,40,151534,151534,151454,3343,361,147828,4185,6624,136941,143565,151454,141126,40,151533,151533,151453,3342,356,147833,4212,6585,136958,143543,151453,141170,40,151532,151532,151452,3341,349,147840,4222,5597,137943,143540,151452,142165,40,151529,151529,151449,3338,348,147841,4227,35611,107925,143536,151449,112152,40,151528,151528,151448,3337,337,147852,4247,34983,108544,143527,151448,112791,40,151527,151527,151447,3336,336,147853,4298,35101,108376,143477,151447,112674,40,151526,151526,151446,3335,335,147854,4261,35030,108485,143515,151446,112746,40,147854,151523,151523,151542,320,166374,981858,33879,1015737,14,14,11,11,10,10,9,9,6,6,5,5,4,4,3,3
120x120x60w29-32-30,150857,150857,150777,3283,334,147238,4145,6104,136911,143015,150777,141056,40,150839,150839,150759,3282,312,147243,4129,6455,136581,143036,150759,140710,40,150840,150840,150760,3281,307,147250,4134,6423,136615,143038,150760,140749,40,150838,150838,150758,3280,302,147254,4148,5715,137313,143028,150758,141461,40,150837,150837,150773,3277,9794,137764,3438,4721,129543,134264,150773,132981,32,150837,150837,150773,3276,10560,136999,3463,33432,100042,133474,150773,103505,32,150837,150837,150773,3275,10545,137015,3476,33623,99854,133477,150773,103330,32,150837,150837,150773,3274,10563,136998,3486,33431,100019,133450,150773,103505,32,147254,150835,150835,150854,288,129904,976878,30419,1007297,22,22,4,4,5,5,3,3,2,2,2,2,2,2,2,2
120x120x60w29-32-31,151117,151117,151037,3369,325,147421,4029,6175,137139,143314,151037,141168,40,151114,151114,151034,3368,318,147426,4048,6302,136998,143300,151034,141046,40,151113,151113,151033,3367,320,147424,4124,6175,137047,143222,151033,141171,40,151112,151112,151032,3366,316,147428,4035,5595,137720,143315,151032,141755,40,151109,151109,151045,3363,9968,137776,3389,4599,129726,134325,151045,133115,32,151108,151108,151044,3362,10676,137068,3425,33278,100303,133581,151044,103728,32,151107,151107,151043,3361,10677,137067,3460,33457,100088,133545,151043,103548,32,151106,151106,151042,3360,10673,137071,3451,33303,100255,133558,151042,103706,32,147428,151103,151103,151122,288,128884,979276,29961,1009237,14,14,11,11,10,10,9,9,6,6,5,5,4,4,3,3
120x120x60w29-32-32,150736,150736,150656,3351,334,147049,4072,6148,136751,142899,150656,140823,40,150733,150733,150653,3350,331,147050,4031,6333,136608,142941,150653,140639,40,150732,150732,150652,3349,329,147052,4106,6217,136651,142868,150652,140757,40,150731,150731,150651,3348,328,147053,4030,5503,137442,142945,150651,141472,40,150728,150728,150664,3345,9864,137517,3388,4572,129495,134067,150664,132883,32,150727,150727,150663,3344,10558,136823,3447,33042,100272,133314,150663,103719,32,150726,150726,150662,3343,10559,136822,3477,33190,100093,133283,150662,103570,32,150725,150725,150661,3342,10556,136825,3499,33182,100082,133264,150661,103581,32,147053,150722,150722,150741,288,128187,977394,30050,1007444,14,14,11,11,10,10,9,9,6,6,5,5,4,4,3,3
120x120x60w30-24-32,136165,136165,136084,3213,438,132512,4184,5599,122650,128249,136084,126834,40,136147,136147,136066,3212,440,132493,4203,5743,122468,128211,136066,126671,40,136148,136148,136067,3211,440,132495,4221,5681,122514,128195,136067,126735,40,136146,136146,136065,3210,427,132507,4209,5343,122876,128219,136065,127085,40,136145,136145,136065,3207,425,132511,4215,5351,122867,128218,136065,127082,40,136145,136145,136065,3206,435,132502,4116,4835,123473,128308,136065,127589,40,136145,136145,136065,3205,1152,131786,4197,34125,93386,127511,136065,97583,40,136145,136145,136064,3204,1151,131788,4108,34345,93256,127601,136064,97364,40,132512,136143,136143,136162,320,101022,923490,33453,956943,22,22,4,4,5,5,3,3,2,2,2,2,2,2,2,2
120x120x60w30-24-33,136111,136111,136030,3199,444,132466,4164,5627,122596,128223,136030,126760,40,136101,136101,136020,3198,440,132461,4237,5568,122577,128145,136020,126814,40,136100,136100,136019,3197,433,132468,4227,5657,122505,128162,136019,126732,40,136099,136099,136018,3196,425,132476,4195,5280,122922,128202,136018,127117,40,136096,136096,136015,3193,462,132439,4201,5243,122916,128159,136015,127117,40,136095,136095,136014,3192,432,132469,4087,4694,123609,128303,136014,127696,40,136094,136094,136013,3191,1128,131773,4262,34099,93333,127432,136013,97595,40,136093,136093,136012,3190,1096,131805,4102,34141,93483,127624,136012,97585,40,132476,136090,136090,136109,320,100309,923941,33475,957416,21,21,11,11,10,10,9,9,6,6,5,5,4,4,3,3
120x120x60w30-24-34,135885,135885,135805,3230,454,132199,4173,5433,122515,127948,135805,126688,40,135875,135875,135795,3229,443,132201,4187,5470,122466,127936,135795,126653,40,135874,135874,135794,3228,429,132215,4216,5511,122410,127921,135794,126626,40,135873,135873,135793,3227,438,132206,4209,5244,122675,127919,135793,126884,40,135870,135870,135790,3224,454,132190,4174,5238,122700,127938,135790,126874,40,135869,135869,135789,3223,434,132210,4022,4789,123321,128110,135789,127343,40,135868,135868,135788,3222,1096,131548,4132,34216,93122,127338,135788,97254,40,135867,135867,135787,3221,1072,131572,4082,34254,93158,127412,135787,97240,40,132215,135864,135864,135883,320,100155,922367,33195,955562,21,21,11,11,10,10,9,9,6,6,5,5,4,4,3,3
120x120x60w30-32-30,141045,141045,140981,3262,422,137359,3375,4790,129132,133922,140981,132507,32,141042,141042,140978,3261,454,137325,3395,4991,128877,133868,140978,132272,32,141041,141041,140977,3260,421,137358,3451,4929,128916,133845,140977,132367,32,141040,141040,140976,3259,425,137354,3456,4528,129308,133836,140976,132764,32,141037,141037,140973,3256,423,137356,3418,4605,129271,133876,140973,132689,32,141036,141036,140972,3255,444,137335,3363,3790,130120,133910,140972,133483,32,141035,141035,140971,3254,1194,136585,3356,33993,99174,133167,140971,102530,32,141034,141034,140970,3253,1195,136584,3328,34062,99132,133194,140970,102460,32,137359,141031,141031,141050,256,95688,973930,27142,1001072,14,14,11,11,10,10,9,9,6,6,5,5,4,4,3,3
120x120x60w30-32-31,142442,142442,142377,3252,475,138713,3431,5343,129876,135219,142377,133307,32,142432,142432,142367,3251,474,138705,3430,5781,129431,135212,142367,132861,32,142431,142431,142366,3250,476,138703,3476,5521,129643,135164,142366,133119,32,142430,142430,142365,3249,457,138722,3481,4876,130302,135178,142365,133783,32,142427,142427,142362,3246,490,138689,3459,4983,130184,135167,142362,133643,32,142426,142426,142361,3245,432,138747,3473,4059,131152,135211,142361,134625,32,142425,142425,142360,3244,1210,137969,3502,34110,100294,134404,142360,103796,32,142424,142424,142359,3243,1209,137970,3477,34039,100391,134430,142359,103868,32,138747,142421,142421,142440,256,98712,981273,27729,1009002,21,21,11,11,10,10,9,9,6,6,5,5,4,4,3,3
