FakeNN JSON Name,Global Sim E2E_cc_0,Core Complex E2E_cc_0,Sum Region Cycles_cc_0,Before Computation_cc_0,After Computation_cc_0,core0,SSR Config Time_cc_0,Overlap Stall Time_cc_0,Raw Compute Time_cc_0,Sum Raw Compute + Overlap Stall_cc_0,Sum Compute+Stall+Pro+Epi_cc_0,Sum Compute + SSR Configs_cc_0,cc_tiles_cc_0,Global Sim E2E_cc_1,Core Complex E2E_cc_1,Sum Region Cycles_cc_1,Before Computation_cc_1,After Computation_cc_1,core1,SSR Config Time_cc_1,Overlap Stall Time_cc_1,Raw Compute Time_cc_1,Sum Raw Compute + Overlap Stall_cc_1,Sum Compute+Stall+Pro+Epi_cc_1,Sum Compute + SSR Configs_cc_1,cc_tiles_cc_1,Global Sim E2E_cc_2,Core Complex E2E_cc_2,Sum Region Cycles_cc_2,Before Computation_cc_2,After Computation_cc_2,core2,SSR Config Time_cc_2,Overlap Stall Time_cc_2,Raw Compute Time_cc_2,Sum Raw Compute + Overlap Stall_cc_2,Sum Compute+Stall+Pro+Epi_cc_2,Sum Compute + SSR Configs_cc_2,cc_tiles_cc_2,Global Sim E2E_cc_3,Core Complex E2E_cc_3,Sum Region Cycles_cc_3,Before Computation_cc_3,After Computation_cc_3,core3,SSR Config Time_cc_3,Overlap Stall Time_cc_3,Raw Compute Time_cc_3,Sum Raw Compute + Overlap Stall_cc_3,Sum Compute+Stall+Pro+Epi_cc_3,Sum Compute + SSR Configs_cc_3,cc_tiles_cc_3,Global Sim E2E_cc_4,Core Complex E2E_cc_4,Sum Region Cycles_cc_4,Before Computation_cc_4,After Computation_cc_4,core4,SSR Config Time_cc_4,Overlap Stall Time_cc_4,Raw Compute Time_cc_4,Sum Raw Compute + Overlap Stall_cc_4,Sum Compute+Stall+Pro+Epi_cc_4,Sum Compute + SSR Configs_cc_4,cc_tiles_cc_4,Global Sim E2E_cc_5,Core Complex E2E_cc_5,Sum Region Cycles_cc_5,Before Computation_cc_5,After Computation_cc_5,core5,SSR Config Time_cc_5,Overlap Stall Time_cc_5,Raw Compute Time_cc_5,Sum Raw Compute + Overlap Stall_cc_5,Sum Compute+Stall+Pro+Epi_cc_5,Sum Compute + SSR Configs_cc_5,cc_tiles_cc_5,Global Sim E2E_cc_6,Core Complex E2E_cc_6,Sum Region Cycles_cc_6,Before Computation_cc_6,After Computation_cc_6,core6,SSR Config Time_cc_6,Overlap Stall Time_cc_6,Raw Compute Time_cc_6,Sum Raw Compute + Overlap Stall_cc_6,Sum Compute+Stall+Pro+Epi_cc_6,Sum Compute + SSR Configs_cc_6,cc_tiles_cc_6,Global Sim E2E_cc_7,Core Complex E2E_cc_7,Sum Region Cycles_cc_7,Before Computation_cc_7,After Computation_cc_7,core7,SSR Config Time_cc_7,Overlap Stall Time_cc_7,Raw Compute Time_cc_7,Sum Raw Compute + Overlap Stall_cc_7,Sum Compute+Stall+Pro+Epi_cc_7,Sum Compute + SSR Configs_cc_7,cc_tiles_cc_7,Kernel Time,dma,Global Sim E2E_dma,dma cycle_q,Total CC Tiles,Overlap Stall Time Total,Raw Compute Time Total,SSR Config Time Total,Sum Compute + SSR Configs Total,Diff from dma E2E_cc_0,Sum Regions - Core Complex E2E_cc_0,Diff from dma E2E_cc_1,Sum Regions - Core Complex E2E_cc_1,Diff from dma E2E_cc_2,Sum Regions - Core Complex E2E_cc_2,Diff from dma E2E_cc_3,Sum Regions - Core Complex E2E_cc_3,Diff from dma E2E_cc_4,Sum Regions - Core Complex E2E_cc_4,Diff from dma E2E_cc_5,Sum Regions - Core Complex E2E_cc_5,Diff from dma E2E_cc_6,Sum Regions - Core Complex E2E_cc_6,Diff from dma E2E_cc_7,Sum Regions - Core Complex E2E_cc_7
120x120x30w10-24-30,99938,99938,99818,2874,321,96741,1947,3772,90904,94676,99818,92851,60,99924,99924,99804,2873,322,96727,1947,3811,90851,94662,99804,92798,60,99924,99924,99804,2872,1052,95998,1947,46606,47327,93933,99804,49274,60,99924,99924,99804,2871,1040,96011,1947,46341,47605,93946,99804,49552,60,99922,99922,99802,2868,1044,96008,1947,46496,47447,93943,99802,49394,60,99922,99922,99802,2867,1038,96015,1947,45958,47992,93950,99802,49939,60,99922,99922,99802,2866,1036,96018,1947,45985,47968,93953,99802,49915,60,99914,99914,99794,2865,1030,96017,1947,46017,47935,93952,99794,49882,60,96741,99912,99912,99931,480,284986,468029,15576,483605,26,26,12,12,12,12,12,12,10,10,10,10,10,10,2,2
120x120x30w12-24-30,84760,84760,84660,2910,339,81509,1624,3433,76354,79787,84660,77978,50,84751,84751,84651,2909,329,81511,1624,3579,76210,79789,84651,77834,50,84750,84750,84650,2908,335,81505,1624,3672,76111,79783,84650,77735,50,84749,84749,84649,2907,345,81495,1624,3492,76281,79773,84649,77905,50,84746,84746,84646,2904,1081,80759,1624,39421,39616,79037,84646,41240,50,84745,84745,84645,2903,1068,80772,1624,38989,40061,79050,84645,41685,50,84744,84744,84644,2902,1069,80771,1624,39021,40028,79049,84644,41652,50,84743,84743,84643,2901,1065,80775,1624,38928,40125,79053,84643,41749,50,81511,84740,84740,84759,400,170535,464786,12992,477778,20,20,11,11,10,10,9,9,6,6,5,5,4,4,3,3
120x120x30w12-40-15,93835,93835,93715,2864,378,90591,6087,6473,77913,84386,93715,84000,60,93821,93821,93701,2863,357,90599,5943,6661,77877,84538,93701,83820,60,93821,93821,93701,2862,365,90592,5997,6589,77888,84477,93701,83885,60,93821,93821,93701,2861,374,90584,5870,6415,78181,84596,93701,84051,60,93819,93819,93699,2858,1019,89940,6052,43174,40596,83770,93699,46648,60,93819,93819,93699,2857,1005,89955,6033,43022,40782,83804,93699,46815,60,93819,93819,93699,2856,1000,89961,6244,42834,40765,83599,93699,47009,60,93811,93811,93691,2855,1003,89951,6133,43033,40667,83700,93691,46800,60,90599,93809,93809,93828,480,198201,474669,48359,523028,26,26,12,12,12,12,12,12,10,10,10,10,10,10,2,2
120x120x30w15-24-30,69368,69368,69288,2905,344,66117,1280,3048,61711,64759,69288,62991,40,69350,69350,69270,2904,339,66105,1280,3178,61569,64747,69270,62849,40,69351,69351,69271,2903,342,66104,1280,3283,61463,64746,69271,62743,40,69349,69349,69269,2902,335,66110,1280,3139,61613,64752,69269,62893,40,69348,69348,69268,2900,357,66089,1280,3204,61527,64731,69268,62807,40,69348,69348,69268,2898,349,66099,1280,2836,61905,64741,69268,63185,40,69348,69348,69268,2897,351,66098,1280,2933,61807,64740,69268,63087,40,69348,69348,69268,2896,1084,65366,1280,31662,32346,64008,69268,33626,40,66117,69346,69346,69365,320,53283,463941,10240,474181,22,22,4,4,5,5,3,3,2,2,2,2,2,2,2,2
120x120x30w15-40-15,77079,77079,76983,2902,415,73760,4877,5774,63015,68789,76983,67892,48,77066,77066,76970,2901,389,73774,4886,5709,63085,68794,76970,67971,48,77066,77066,76970,2900,389,73775,4923,5841,62917,68758,76970,67840,48,77066,77066,76970,2899,384,73781,4893,5573,63221,68794,76970,68114,48,77064,77064,76968,2896,388,73778,4910,5700,63074,68774,76968,67984,48,77064,77064,76968,2895,398,73769,4790,5241,63644,68885,76968,68434,48,77064,77064,76968,2894,398,73770,4810,5387,63479,68866,76968,68289,48,77056,77056,76960,2893,1027,73134,4817,35251,32972,68223,76960,37789,48,73781,77054,77054,77073,384,74476,475407,38906,514313,25,25,12,12,12,12,12,12,10,10,10,10,10,10,2,2
120x120x30w20-24-15,86773,86773,86653,2892,403,83476,5980,6791,70587,77378,86653,76567,60,86763,86763,86643,2891,385,83485,5968,6948,70451,77399,86643,76419,60,86762,86762,86642,2890,388,83482,6016,6959,70389,77348,86642,76405,60,86761,86761,86641,2889,380,83490,5888,6945,70539,77484,86641,76427,60,86758,86758,86638,2886,763,83107,6002,28846,48141,76987,86638,54143,60,86757,86757,86637,2885,754,83116,6030,28400,48568,76968,86637,54598,60,86756,86756,86636,2884,755,83115,6170,28458,48369,76827,86636,54539,60,86755,86755,86635,2883,752,83118,6099,28480,48421,76901,86635,54520,60,83490,86752,86752,86771,480,141827,475465,48153,523618,21,21,11,11,10,10,9,9,6,6,5,5,4,4,3,3
120x120x30w20-24-30,74952,74952,74892,3006,384,71560,987,2074,68441,70515,74892,69428,30,74943,74943,74883,3005,372,71564,987,2181,68338,70519,74883,69325,30,74942,74942,74882,3004,373,71563,987,2213,68305,70518,74882,69292,30,74941,74941,74881,3003,364,71572,987,2150,68377,70527,74881,69364,30,74938,74938,74878,3000,1097,70839,987,23256,46538,69794,74878,47525,30,74937,74937,74877,2999,1081,70855,987,22861,46949,69810,74877,47936,30,74936,74936,74876,2998,1082,70854,987,23025,46784,69809,74876,47771,30,74935,74935,74875,2997,1079,70857,987,22958,46854,69812,74875,47841,30,71572,74932,74932,74951,240,100718,460586,7896,468482,20,20,11,11,10,10,9,9,6,6,5,5,4,4,3,3
120x120x30w20-40-10,88289,88289,88181,2924,444,84919,5490,7417,71906,79323,88181,77396,54,88287,88287,88179,2923,440,84922,5402,7321,72093,79414,88179,77495,54,88287,88287,88179,2922,442,84921,5495,7308,72012,79320,88179,77507,54,88281,88281,88173,2921,420,84938,5474,7041,72317,79358,88173,77791,54,88278,88278,88170,2921,866,84489,5553,30013,48817,78830,88170,54370,54,88277,88277,88169,2931,848,84496,5579,29338,49473,78811,88169,55052,54,88276,88276,88168,2920,847,84507,5562,29666,49173,78839,88168,54735,54,88275,88275,88167,2920,884,84469,5515,29827,49021,78848,88167,54536,54,84938,88275,88275,88294,432,147931,484812,44070,528882,14,14,12,12,12,12,6,6,3,3,2,2,1,1,0,0
120x120x30w20-40-15,81189,81189,81117,2986,420,77781,3679,4109,69923,74032,81117,73602,36,81182,81182,81110,2985,412,77783,3664,4204,69845,74049,81110,73509,36,81183,81183,81111,2984,410,77787,3660,4185,69872,74057,81111,73532,36,81181,81181,81109,2983,405,77791,3584,4004,70133,74137,81109,73717,36,81180,81180,81108,2980,1052,77146,3672,25821,47583,73404,81108,51255,36,81180,81180,81108,2979,1029,77170,3674,25547,47879,73426,81108,51553,36,81180,81180,81108,2978,1031,77169,3768,25657,47674,73331,81108,51442,36,81180,81180,81108,2977,1025,77176,3713,25560,47833,73393,81108,51546,36,77791,81170,81170,81189,288,119087,470742,29414,500156,19,19,12,12,13,13,11,11,10,10,10,10,10,10,10,10
120x120x30w24-24-15,73582,73582,73482,2931,412,70237,5083,5942,59114,65056,73482,64197,50,73577,73577,73477,2930,410,70235,5016,5893,59228,65121,73477,64244,50,73576,73576,73476,2929,411,70234,5109,5977,59050,65027,73476,64159,50,73575,73575,73475,2928,426,70219,5076,5570,59475,65045,73475,64551,50,73572,73572,73472,2925,424,70221,5080,5634,59409,65043,73472,64489,50,73571,73571,73471,2924,416,70229,5017,5452,59662,65114,73471,64679,50,73570,73570,73470,2923,415,70230,5119,5545,59468,65013,73470,64587,50,73569,73569,73469,2922,402,70243,5001,5612,59532,65144,73469,64533,50,70243,73566,73566,73585,400,45625,474938,40501,515439,16,16,11,11,10,10,9,9,6,6,5,5,4,4,3,3
