FakeNN JSON Name,Global Sim E2E_cc_0,Core Complex E2E_cc_0,Sum Region Cycles_cc_0,Before Computation_cc_0,After Computation_cc_0,core0,SSR Config Time_cc_0,Overlap Stall Time_cc_0,Raw Compute Time_cc_0,Sum Raw Compute + Overlap Stall_cc_0,Sum Compute+Stall+Pro+Epi_cc_0,Sum Compute + SSR Configs_cc_0,cc_tiles_cc_0,Global Sim E2E_cc_1,Core Complex E2E_cc_1,Sum Region Cycles_cc_1,Before Computation_cc_1,After Computation_cc_1,core1,SSR Config Time_cc_1,Overlap Stall Time_cc_1,Raw Compute Time_cc_1,Sum Raw Compute + Overlap Stall_cc_1,Sum Compute+Stall+Pro+Epi_cc_1,Sum Compute + SSR Configs_cc_1,cc_tiles_cc_1,Global Sim E2E_cc_2,Core Complex E2E_cc_2,Sum Region Cycles_cc_2,Before Computation_cc_2,After Computation_cc_2,core2,SSR Config Time_cc_2,Overlap Stall Time_cc_2,Raw Compute Time_cc_2,Sum Raw Compute + Overlap Stall_cc_2,Sum Compute+Stall+Pro+Epi_cc_2,Sum Compute + SSR Configs_cc_2,cc_tiles_cc_2,Global Sim E2E_cc_3,Core Complex E2E_cc_3,Sum Region Cycles_cc_3,Before Computation_cc_3,After Computation_cc_3,core3,SSR Config Time_cc_3,Overlap Stall Time_cc_3,Raw Compute Time_cc_3,Sum Raw Compute + Overlap Stall_cc_3,Sum Compute+Stall+Pro+Epi_cc_3,Sum Compute + SSR Configs_cc_3,cc_tiles_cc_3,Global Sim E2E_cc_4,Core Complex E2E_cc_4,Sum Region Cycles_cc_4,Before Computation_cc_4,After Computation_cc_4,core4,SSR Config Time_cc_4,Overlap Stall Time_cc_4,Raw Compute Time_cc_4,Sum Raw Compute + Overlap Stall_cc_4,Sum Compute+Stall+Pro+Epi_cc_4,Sum Compute + SSR Configs_cc_4,cc_tiles_cc_4,Global Sim E2E_cc_5,Core Complex E2E_cc_5,Sum Region Cycles_cc_5,Before Computation_cc_5,After Computation_cc_5,core5,SSR Config Time_cc_5,Overlap Stall Time_cc_5,Raw Compute Time_cc_5,Sum Raw Compute + Overlap Stall_cc_5,Sum Compute+Stall+Pro+Epi_cc_5,Sum Compute + SSR Configs_cc_5,cc_tiles_cc_5,Global Sim E2E_cc_6,Core Complex E2E_cc_6,Sum Region Cycles_cc_6,Before Computation_cc_6,After Computation_cc_6,core6,SSR Config Time_cc_6,Overlap Stall Time_cc_6,Raw Compute Time_cc_6,Sum Raw Compute + Overlap Stall_cc_6,Sum Compute+Stall+Pro+Epi_cc_6,Sum Compute + SSR Configs_cc_6,cc_tiles_cc_6,Global Sim E2E_cc_7,Core Complex E2E_cc_7,Sum Region Cycles_cc_7,Before Computation_cc_7,After Computation_cc_7,core7,SSR Config Time_cc_7,Overlap Stall Time_cc_7,Raw Compute Time_cc_7,Sum Raw Compute + Overlap Stall_cc_7,Sum Compute+Stall+Pro+Epi_cc_7,Sum Compute + SSR Configs_cc_7,cc_tiles_cc_7,Kernel Time,dma,Global Sim E2E_dma,dma cycle_q,Total CC Tiles,Overlap Stall Time Total,Raw Compute Time Total,SSR Config Time Total,Sum Compute + SSR Configs Total,Diff from dma E2E_cc_0,Sum Regions - Core Complex E2E_cc_0,Diff from dma E2E_cc_1,Sum Regions - Core Complex E2E_cc_1,Diff from dma E2E_cc_2,Sum Regions - Core Complex E2E_cc_2,Diff from dma E2E_cc_3,Sum Regions - Core Complex E2E_cc_3,Diff from dma E2E_cc_4,Sum Regions - Core Complex E2E_cc_4,Diff from dma E2E_cc_5,Sum Regions - Core Complex E2E_cc_5,Diff from dma E2E_cc_6,Sum Regions - Core Complex E2E_cc_6,Diff from dma E2E_cc_7,Sum Regions - Core Complex E2E_cc_7
256x256x256w24-32-32,2662289,2662289,2660881,3147,403,2658737,70182,122331,2464818,2587149,2660881,2535000,704,2662286,2662286,2660878,3146,392,2658746,69861,110691,2476788,2587479,2660878,2546649,704,2662286,2662286,2660878,3145,407,2658732,70561,111932,2474833,2586765,2660878,2545394,704,2662286,2662286,2660878,3144,407,2658733,71889,96187,2489251,2585438,2660878,2561140,704,2662277,2662277,2660869,3141,402,2658732,71951,92982,2492393,2585375,2660869,2564344,704,2662276,2662276,2660868,3140,400,2658734,69582,82105,2505641,2587746,2660868,2575223,704,2662275,2662275,2660867,3139,381,2658753,69716,84877,2502754,2587631,2660867,2572470,704,2662274,2662274,2660866,3138,398,2658736,69973,97317,2490040,2587357,2660866,2560013,704,2658753,2662274,2662274,2662293,5632,798422,19896518,563715,20460233,15,15,12,12,12,12,12,12,3,3,2,2,1,1,0,0
256x256x256w25-32-32,3194586,3194586,3193178,3224,358,3191002,67464,80788,3041344,3122132,3193178,3108808,704,3194582,3194582,3193174,3223,356,3191001,67511,759378,2362706,3122084,3193174,2430217,704,3194581,3194581,3193173,3222,370,3190987,67678,755688,2366215,3121903,3193173,2433893,704,3194580,3194580,3193172,3221,368,3190989,68024,741656,2379903,3121559,3193172,2447927,704,3194577,3194577,3193169,3218,366,3190991,70905,742787,2375893,3118680,3193169,2446798,704,3194576,3194576,3193168,3217,321,3191036,71407,728727,2389496,3118223,3193168,2460903,704,3194575,3194575,3193295,3216,88739,3102618,62624,729174,2309542,3038716,3193295,2372166,640,3194574,3194574,3193294,3215,88733,3102624,66350,726662,2308334,3034996,3193294,2374684,640,3191036,3194571,3194571,3194590,5504,5264860,19533433,541963,20075396,15,15,11,11,10,10,9,9,6,6,5,5,4,4,3,3
256x256x256w26-32-29,3110025,3110025,3108585,3283,519,3106221,71814,120873,2912096,3032969,3108585,2983910,720,3110021,3110021,3108581,3282,552,3106185,71965,122147,2910635,3032782,3108581,2982600,720,3110020,3110020,3108580,3281,536,3106201,72278,732607,2299878,3032485,3108580,2372156,720,3110019,3110019,3108579,3280,518,3106219,71263,724338,2309180,3033518,3108579,2380443,720,3110016,3110016,3108576,3277,519,3106218,71320,724007,2309453,3033460,3108576,2380773,720,3110015,3110015,3108575,3276,483,3106254,71802,717499,2315515,3033014,3108575,2387317,720,3110014,3110014,3108574,3275,1330,3105407,71550,787956,2244463,3032419,3108574,2316013,720,3110013,3110013,3108573,3274,1339,3105398,71666,787451,2244843,3032294,3108573,2316509,720,3106254,3110010,3110010,3110029,5760,4716878,19546063,573658,20119721,15,15,11,11,10,10,9,9,6,6,5,5,4,4,3,3
256x256x256w26-32-30,3091158,3091158,3089718,3297,528,3087331,71457,119647,2894789,3014436,3089718,2966246,720,3091154,3091154,3089714,3296,499,3087357,71617,127513,2886789,3014302,3089714,2958406,720,3091153,3091153,3089713,3295,498,3087358,71523,736108,2278289,3014397,3089713,2349812,720,3091152,3091152,3089712,3294,479,3087377,71441,723644,2290854,3014498,3089712,2362295,720,3091149,3091149,3089709,3291,480,3087376,72027,726626,2287285,3013911,3089709,2359312,720,3091148,3091148,3089708,3290,491,3087365,71454,719081,2295392,3014473,3089708,2366846,720,3091147,3091147,3089707,3289,1051,3086805,72039,791655,2221673,3013328,3089707,2293712,720,3091146,3091146,3089706,3288,1050,3086806,71494,789402,2224472,3013874,3089706,2295966,720,3087377,3091143,3091143,3091162,5760,4733676,19379543,573052,19952595,15,15,11,11,10,10,9,9,6,6,5,5,4,4,3,3
256x256x256w26-32-31,3110389,3110389,3108949,3326,531,3106530,71214,119637,2914241,3033878,3108949,2985455,720,3110373,3110373,3108933,3325,504,3106542,71568,128643,2904893,3033536,3108933,2976461,720,3110372,3110372,3108932,3324,488,3106558,71487,739204,2294429,3033633,3108932,2365916,720,3110371,3110371,3108931,3323,469,3106577,70737,724112,2310290,3034402,3108931,2381027,720,3110368,3110368,3108928,3320,464,3106582,71543,725116,2308485,3033601,3108928,2380028,720,3110367,3110367,3108927,3319,453,3106593,71910,713393,2319852,3033245,3108927,2391762,720,3110366,3110366,3108926,3318,750,3106296,72095,790492,2242271,3032763,3108926,2314366,720,3110365,3110365,3108925,3317,764,3106282,72304,791866,2240674,3032540,3108925,2312978,720,3106593,3110362,3110362,3110381,5760,4732463,19535135,572858,20107993,27,27,11,11,10,10,9,9,6,6,5,5,4,4,3,3
256x256x256w26-32-32,3067981,3067981,3066701,3242,428,3064309,63955,82572,2916504,2999076,3066701,2980459,640,3067985,3067985,3066705,3241,440,3064302,60651,80605,2921768,3002373,3066705,2982419,640,3067984,3067984,3066704,3240,430,3064312,62786,704022,2296226,3000248,3066704,2359012,640,3067983,3067983,3066703,3239,412,3064330,63339,689041,2310672,2999713,3066703,2374011,640,3067980,3067980,3066700,3236,436,3064306,63877,689441,2309710,2999151,3066700,2373587,640,3067979,3067979,3066699,3235,431,3064311,63317,677503,2322213,2999716,3066699,2385530,640,3067978,3067978,3066698,3234,1531,3063211,63810,749243,2248880,2998123,3066698,2312690,640,3067977,3067977,3066697,3233,1539,3063203,63856,751788,2246281,2998069,3066697,2310137,640,3064330,3067974,3067974,3067993,5120,4424215,19572254,505591,20077845,7,7,11,11,10,10,9,9,6,6,5,5,4,4,3,3
256x256x256w27-32-29,3047415,3047415,3045975,3304,426,3043683,72109,119057,2851079,2970136,3045975,2923188,720,3047411,3047411,3045971,3303,468,3043638,72068,124509,2845623,2970132,3045971,2917691,720,3047410,3047410,3045970,3302,461,3043645,71437,126741,2844029,2970770,3045970,2915466,720,3047409,3047409,3045969,3301,448,3043658,71357,726464,2244399,2970863,3045969,2315756,720,3047406,3047406,3045966,3298,439,3043667,70902,729689,2241638,2971327,3045966,2312540,720,3047405,3047405,3045965,3297,1249,3042857,71637,791139,2178643,2969782,3045965,2250280,720,3047404,3047404,3045964,3296,1243,3042863,71449,793062,2176914,2969976,3045964,2248363,720,3047403,3047403,3045963,3295,1251,3042855,71951,790846,2178620,2969466,3045963,2250571,720,3043683,3047400,3047400,3047419,5760,4201507,19560945,572910,20133855,15,15,11,11,10,10,9,9,6,6,5,5,4,4,3,3
256x256x256w27-32-31,3031684,3031684,3030244,3337,424,3027921,71359,119324,2835800,2955124,3030244,2907159,720,3031681,3031681,3030241,3336,439,3027904,71642,132258,2822566,2954824,3030241,2894208,720,3031680,3031680,3030240,3335,415,3027928,71459,127410,2827621,2955031,3030240,2899080,720,3031679,3031679,3030239,3334,403,3027940,71064,724071,2231367,2955438,3030239,2302431,720,3031676,3031676,3030236,3331,408,3027935,71384,729246,2225867,2955113,3030236,2297251,720,3031675,3031675,3030235,3330,692,3027651,71751,785669,2168793,2954462,3030235,2240544,720,3031674,3031674,3030234,3329,682,3027661,72355,791577,2162291,2953868,3030234,2234646,720,3031673,3031673,3030233,3328,687,3027656,71909,791963,2162346,2954309,3030233,2234255,720,3027940,3031670,3031670,3031689,5760,4201518,19436651,572923,20009574,14,14,11,11,10,10,9,9,6,6,5,5,4,4,3,3
256x256x256w27-32-32,2973166,2973166,2971886,3273,392,2969499,64132,88768,2815321,2904089,2971886,2879453,640,2973163,2973163,2971883,3272,374,2969515,63636,86999,2817602,2904601,2971883,2881238,640,2973162,2973162,2971882,3271,391,2969498,64360,83313,2820547,2903860,2971882,2884907,640,2973161,2973161,2971881,3270,370,2969519,63781,683241,2221219,2904460,2971881,2285000,640,2973158,2973158,2971878,3267,393,2969496,64720,688189,2215309,2903498,2971878,2280029,640,2973157,2973157,2971877,3266,1468,2968421,63912,748029,2155202,2903231,2971877,2219114,640,2973156,2973156,2971876,3265,1467,2968422,64953,747263,2154928,2902191,2971876,2219881,640,2973155,2973155,2971875,3264,1466,2968423,63935,747338,2155872,2903210,2971875,2219807,640,2969519,2973152,2973152,2973171,5120,3873140,19356000,513429,19869429,14,14,11,11,10,10,9,9,6,6,5,5,4,4,3,3
256x256x256w28-32-29,2969615,2969615,2968175,3326,351,2965936,71165,124806,2768527,2893333,2968175,2839692,720,2969612,2969612,2968172,3325,353,2965932,71210,128241,2765043,2893284,2968172,2836253,720,2969611,2969611,2968171,3324,348,2965937,70940,127974,2765585,2893559,2968171,2836525,720,2969610,2969610,2968170,3323,351,2965934,70899,116115,2777482,2893597,2968170,2848381,720,2969607,2969607,2968311,3320,88914,2877371,64459,723997,2087621,2811618,2968311,2152080,648,2969606,2969606,2968310,3319,88911,2877374,64560,717580,2093940,2811520,2968310,2158500,648,2969605,2969605,2968309,3318,88897,2877388,64295,720449,2091350,2811799,2968309,2155645,648,2969604,2969604,2968308,3317,88900,2877385,64411,720631,2091049,2811680,2968308,2155460,648,2965937,2969601,2969601,2969620,5472,3379793,19440597,541939,19982536,14,14,11,11,10,10,9,9,6,6,5,5,4,4,3,3
