FakeNN JSON Name,Global Sim E2E_cc_0,Core Complex E2E_cc_0,Sum Region Cycles_cc_0,Before Computation_cc_0,After Computation_cc_0,core0,SSR Config Time_cc_0,Overlap Stall Time_cc_0,Raw Compute Time_cc_0,Sum Raw Compute + Overlap Stall_cc_0,Sum Compute+Stall+Pro+Epi_cc_0,Sum Compute + SSR Configs_cc_0,cc_tiles_cc_0,Global Sim E2E_cc_1,Core Complex E2E_cc_1,Sum Region Cycles_cc_1,Before Computation_cc_1,After Computation_cc_1,core1,SSR Config Time_cc_1,Overlap Stall Time_cc_1,Raw Compute Time_cc_1,Sum Raw Compute + Overlap Stall_cc_1,Sum Compute+Stall+Pro+Epi_cc_1,Sum Compute + SSR Configs_cc_1,cc_tiles_cc_1,Global Sim E2E_cc_2,Core Complex E2E_cc_2,Sum Region Cycles_cc_2,Before Computation_cc_2,After Computation_cc_2,core2,SSR Config Time_cc_2,Overlap Stall Time_cc_2,Raw Compute Time_cc_2,Sum Raw Compute + Overlap Stall_cc_2,Sum Compute+Stall+Pro+Epi_cc_2,Sum Compute + SSR Configs_cc_2,cc_tiles_cc_2,Global Sim E2E_cc_3,Core Complex E2E_cc_3,Sum Region Cycles_cc_3,Before Computation_cc_3,After Computation_cc_3,core3,SSR Config Time_cc_3,Overlap Stall Time_cc_3,Raw Compute Time_cc_3,Sum Raw Compute + Overlap Stall_cc_3,Sum Compute+Stall+Pro+Epi_cc_3,Sum Compute + SSR Configs_cc_3,cc_tiles_cc_3,Global Sim E2E_cc_4,Core Complex E2E_cc_4,Sum Region Cycles_cc_4,Before Computation_cc_4,After Computation_cc_4,core4,SSR Config Time_cc_4,Overlap Stall Time_cc_4,Raw Compute Time_cc_4,Sum Raw Compute + Overlap Stall_cc_4,Sum Compute+Stall+Pro+Epi_cc_4,Sum Compute + SSR Configs_cc_4,cc_tiles_cc_4,Global Sim E2E_cc_5,Core Complex E2E_cc_5,Sum Region Cycles_cc_5,Before Computation_cc_5,After Computation_cc_5,core5,SSR Config Time_cc_5,Overlap Stall Time_cc_5,Raw Compute Time_cc_5,Sum Raw Compute + Overlap Stall_cc_5,Sum Compute+Stall+Pro+Epi_cc_5,Sum Compute + SSR Configs_cc_5,cc_tiles_cc_5,Global Sim E2E_cc_6,Core Complex E2E_cc_6,Sum Region Cycles_cc_6,Before Computation_cc_6,After Computation_cc_6,core6,SSR Config Time_cc_6,Overlap Stall Time_cc_6,Raw Compute Time_cc_6,Sum Raw Compute + Overlap Stall_cc_6,Sum Compute+Stall+Pro+Epi_cc_6,Sum Compute + SSR Configs_cc_6,cc_tiles_cc_6,Global Sim E2E_cc_7,Core Complex E2E_cc_7,Sum Region Cycles_cc_7,Before Computation_cc_7,After Computation_cc_7,core7,SSR Config Time_cc_7,Overlap Stall Time_cc_7,Raw Compute Time_cc_7,Sum Raw Compute + Overlap Stall_cc_7,Sum Compute+Stall+Pro+Epi_cc_7,Sum Compute + SSR Configs_cc_7,cc_tiles_cc_7,Kernel Time,dma,Global Sim E2E_dma,dma cycle_q,Total CC Tiles,Overlap Stall Time Total,Raw Compute Time Total,SSR Config Time Total,Sum Compute + SSR Configs Total,Diff from dma E2E_cc_0,Sum Regions - Core Complex E2E_cc_0,Diff from dma E2E_cc_1,Sum Regions - Core Complex E2E_cc_1,Diff from dma E2E_cc_2,Sum Regions - Core Complex E2E_cc_2,Diff from dma E2E_cc_3,Sum Regions - Core Complex E2E_cc_3,Diff from dma E2E_cc_4,Sum Regions - Core Complex E2E_cc_4,Diff from dma E2E_cc_5,Sum Regions - Core Complex E2E_cc_5,Diff from dma E2E_cc_6,Sum Regions - Core Complex E2E_cc_6,Diff from dma E2E_cc_7,Sum Regions - Core Complex E2E_cc_7
30x128x125w24-32-32,85950,85950,85886,3302,377,82269,3276,5444,73487,78931,85886,76763,32,85941,85941,85877,3301,372,82266,3233,5452,73519,78971,85877,76752,32,85940,85940,85876,3300,368,82270,3275,5275,73658,78933,85876,76933,32,85939,85939,85875,3299,366,82272,3229,4956,74025,78981,85875,77254,32,85936,85936,85872,3296,359,82279,3323,4968,73926,78894,85872,77249,32,85935,85935,85871,3295,335,82303,3320,4297,74624,78921,85871,77944,32,85934,85934,85902,3294,21947,60691,1844,2308,56509,58817,85902,58353,16,85933,85933,85901,3293,21967,60671,1844,2319,56478,58797,85901,58322,16,82303,85930,85930,85949,224,35019,556226,23344,579570,20,20,11,11,10,10,9,9,6,6,5,5,4,4,3,3
30x128x125w25-32-32,100882,100882,100818,3246,328,97306,3259,4025,89960,93985,100818,93219,32,100872,100872,100808,3245,320,97305,3227,20504,73512,94016,100808,76739,32,100871,100871,100807,3244,337,97288,3373,20500,73353,93853,100807,76726,32,100870,100870,100806,3243,321,97304,3257,20018,73967,93985,100806,77224,32,100867,100867,100803,3240,318,97307,3347,20236,73662,93898,100803,77009,32,100866,100866,100834,3239,22185,75440,1872,16947,56591,73538,100834,58463,16,100865,100865,100833,3238,22184,75441,1870,16959,56582,73541,100833,58452,16,100864,100864,100832,3237,22183,75442,1873,16878,56661,73539,100832,58534,16,97307,100861,100861,100880,208,136067,554288,22078,576366,21,21,11,11,10,10,9,9,6,6,5,5,4,4,3,3
30x128x125w26-32-32,101178,101178,101114,3261,333,97582,3289,4226,90005,94231,101114,93294,32,101168,101168,101104,3260,319,97587,3251,4268,90006,94274,101104,93257,32,101167,101167,101103,3259,318,97588,3301,20907,73318,94225,101103,76619,32,101166,101166,101102,3258,311,97595,3242,20497,73794,94291,101102,77036,32,101163,101163,101131,3255,21933,75973,1858,17579,56506,74085,101131,58364,16,101162,101162,101130,3254,21889,76017,1876,17291,56820,74111,101130,58696,16,101161,101161,101129,3253,21890,76016,1872,17371,56743,74114,101129,58615,16,101160,101160,101128,3252,21912,75994,1876,17321,56767,74088,101128,58643,16,97595,101157,101157,101176,192,119460,553959,20565,574524,21,21,11,11,10,10,9,9,6,6,5,5,4,4,3,3
30x128x125w27-32-25,104389,104389,104309,3197,309,100881,3998,4998,91807,96805,104309,95805,40,104386,104386,104306,3196,301,100887,3981,5278,91550,96828,104306,95531,40,104386,104386,104306,3195,304,100885,3986,5323,91498,96821,104306,95484,40,104386,104386,104346,3194,22696,78494,2226,18193,58037,76230,104346,60263,20,104376,104376,104336,3191,22697,78486,2231,18275,57942,76217,104336,60173,20,104375,104375,104335,3190,22705,78478,2200,18134,58106,76240,104335,60306,20,104374,104374,104334,3189,22679,78504,2242,18226,57998,76224,104334,60240,20,104373,104373,104333,3188,22670,78513,2242,18112,58121,76233,104333,60363,20,100887,104374,104374,104393,220,106539,565059,23106,588165,15,15,12,12,12,12,12,12,2,2,1,1,0,0,1,1
30x128x125w27-32-26,105540,105540,105460,3246,343,101949,3962,5988,91921,97909,105460,95883,40,105522,105522,105442,3245,320,101955,3963,6452,91462,97914,105442,95425,40,105523,105523,105443,3244,324,101953,3966,6448,91461,97909,105443,95427,40,105521,105521,105481,3243,22971,79305,2186,18908,58173,77081,105481,60359,20,105520,105520,105480,3240,22974,79304,2202,18998,58066,77064,105480,60268,20,105520,105520,105480,3239,23005,79274,2203,18808,58225,77033,105480,60428,20,105520,105520,105480,3238,23015,79265,2192,18912,58123,77035,105480,60315,20,105520,105520,105480,3237,22998,79283,2213,18757,58275,77032,105480,60488,20,101955,105518,105518,105537,220,113271,565706,22887,588593,22,22,4,4,5,5,3,3,2,2,2,2,2,2,2,2
30x128x125w27-32-27,104886,104886,104806,3263,350,101271,3949,5927,91317,97244,104806,95266,40,104876,104876,104796,3262,336,101276,3941,6237,91020,97257,104796,94961,40,104875,104875,104795,3261,334,101278,3936,6095,91169,97264,104795,95105,40,104874,104874,104834,3260,22832,78780,2183,18990,57569,76559,104834,59752,20,104871,104871,104831,3257,22840,78772,2204,18959,57571,76530,104831,59775,20,104870,104870,104830,3256,22819,78793,2175,18784,57796,76580,104830,59971,20,104869,104869,104829,3255,22830,78782,2188,18921,57635,76556,104829,59823,20,104868,104868,104828,3254,22831,78781,2172,18795,57776,76571,104828,59948,20,101278,104865,104865,104884,220,112708,561853,22748,584601,21,21,11,11,10,10,9,9,6,6,5,5,4,4,3,3
30x128x125w27-32-28,104373,104373,104293,3273,344,100754,3972,6078,90626,96704,104293,94598,40,104355,104355,104275,3272,320,100761,3988,6295,90400,96695,104275,94388,40,104356,104356,104276,3271,324,100759,3995,6334,90352,96686,104276,94347,40,104354,104354,104314,3270,22707,78375,2207,19237,56893,76130,104314,59100,20,104353,104353,104313,3267,22694,78390,2205,19289,56858,76147,104313,59063,20,104353,104353,104313,3266,22716,78369,2216,19197,56918,76115,104313,59134,20,104353,104353,104313,3265,22698,78388,2205,19199,56946,76145,104313,59151,20,104353,104353,104313,3264,22716,78371,2199,19098,57036,76134,104313,59235,20,100761,104351,104351,104370,220,114727,556029,22987,579016,22,22,4,4,5,5,3,3,2,2,2,2,2,2,2,2
30x128x125w27-32-29,104111,104111,104031,3284,342,100483,3986,6055,90364,96419,104031,94350,40,104093,104093,104013,3283,322,100486,3987,6155,90266,96421,104013,94253,40,104094,104094,104014,3282,322,100488,3998,6183,90229,96412,104014,94227,40,104092,104092,104052,3281,22571,78238,2219,19201,56780,75981,104052,58999,20,104091,104091,104051,3278,22591,78220,2235,19312,56635,75947,104051,58870,20,104091,104091,104051,3277,22640,78172,2222,19093,56819,75912,104051,59041,20,104091,104091,104051,3276,22585,78228,2225,19308,56657,75965,104051,58882,20,104091,104091,104051,3275,22607,78207,2207,19171,56791,75962,104051,58998,20,100488,104089,104089,104108,220,114478,554541,23079,577620,22,22,4,4,5,5,3,3,2,2,2,2,2,2,2,2
30x128x125w27-32-30,103982,103982,103902,3308,320,100352,3985,6092,90197,96289,103902,94182,40,103987,103987,103907,3307,321,100357,4003,6365,89911,96276,103907,93914,40,103985,103985,103905,3306,319,100358,3976,6287,90017,96304,103905,93993,40,103986,103986,103946,3305,22496,78183,2215,19396,56534,75930,103946,58749,20,103981,103981,103941,3302,22497,78180,2213,19539,56390,75929,103941,58603,20,103980,103980,103940,3301,22525,78152,2219,19321,56574,75895,103940,58793,20,103979,103979,103939,3300,22471,78206,2224,19415,56529,75944,103939,58753,20,103978,103978,103938,3299,22464,78213,2210,19416,56549,75965,103938,58759,20,100358,103975,103975,103994,220,115831,552701,23045,575746,7,7,12,12,10,10,11,11,6,6,5,5,4,4,3,3
30x128x125w27-32-32,100884,100884,100820,3334,351,97197,3139,4426,89570,93996,100820,92709,32,100872,100872,100808,3333,338,97199,3197,4161,89779,93940,100808,92976,32,100872,100872,100808,3332,340,97198,3190,4267,89679,93946,100808,92869,32,100872,100872,100840,3331,21901,75638,1836,17318,56454,73772,100840,58290,16,100870,100870,100838,3328,21919,75621,1814,17375,56402,73777,100838,58216,16,100870,100870,100838,3327,21888,75653,1828,17206,56589,73795,100838,58417,16,100870,100870,100838,3326,21898,75644,1835,17237,56542,73779,100838,58377,16,100870,100870,100838,3325,21883,75660,1858,17133,56639,73772,100838,58497,16,97199,100868,100868,100887,176,99123,551654,18697,570351,16,16,4,4,4,4,4,4,2,2,2,2,2,2,2,2
