FakeNN JSON Name,M,N,K,m,n,k,JSON Name,remainderTiles,tileA_cc,Row Dim,tileC_cc,m Dim,Space Remaining,tileC,Space Needed in L1,Reduction Dim,tileA,tileB,tileB_cc,Weight Matrix Tile Size,m_tiles,n_tiles,k_tiles,SSR Config Count,Regular Loads,Total CL Tiles,oldRegPerStream,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,L3 Loads,L3 Stores,A',SSR Loads,HW Loops,FMADDs,MULs,FMADDsMULs,SSR Loads per HW Loop,HW Loops / SSR Loads per HW Loop,A'',B',C'',CC Tile Size,A''/ B',(A''+ B') / C'',m'_sz / k_size,n'_sz / k_size,myRegPerStream,HW Loops / SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,A SSR Loads,Core : A SSR Reuse Loads,Reused / Total SSR Loads,Total SSR Loads,FMADDsPerCore,Avg A'',Avg B',Avg C'',Avg CC Tile Size,Avg (A''+ B') / C'',Avg L3 Loads,Avg L3 Stores,Avg A''/ B',Avg A',Avg m'_sz / k_size,Avg n'_sz / k_size
128x128x128w23-24-22,128,128,128,23,24,22,23-24-22,MNK,352,24,384,23,89312,4416,25376,22,4048,4224,4224,8448,6,6,6,1728,0,216,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,196608,98304,98304,4194304.0,12288.0,1998848,98304.0,2097152.0,589824,36.2020202020202,98304,786432,98304,983040,256.0,17152.0,217.21212121212125,1737.6969696969695,289.61616161616166,289.6161616161616,262144.0,1835008.0,262144.0,2097152.0,2097152.0,2.1189674523007853,756.0,4194304.0,1156.7407407407406,56.888888888888886,455.1111111111111,56.888888888888886,568.8888888888889,9.925925925925926,910.2222222222222,455.1111111111111,0.1481481481481481,455.1111111111111,0.1257014590347923,1.005611672278339
128x128x128w14-48-12,128,128,128,14,48,12,14-48-12,MNK,96,48,384,14,92032,5376,22656,12,1344,4608,4608,9216,10,3,11,2442,0,330,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,212992,180224,49152,4194304.0,22528.0,1916928,180224.0,2097152.0,454656,122.66666666666669,49152,1212416,180224,1441792,102.66666666666666,18738.666666666668,368.0,9077.333333333334,969.8333333333334,981.3333333333334,262144.0,1835008.0,262144.0,2097152.0,2097152.0,3.753472222222222,1068.375,4194304.0,784.982800982801,20.127764127764127,496.4848484848485,73.8018018018018,590.4144144144144,7.673491673491674,645.430303030303,546.1333333333333,0.042042042042042,148.94545454545454,0.1506961506961507,3.7171717171717176
128x128x128w15-24-32,128,128,128,15,24,32,15-24-32,MN0,256,24,192,15,88960,2880,25728,32,3840,6144,6144,12288,9,6,4,1728,0,216,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,245760,65536,98304,4194304.0,8192.0,2031616,65536.0,2097152.0,884736,16.0,98304,1179648,65536,1343488,170.66666666666666,36864.0,96.0,1152.0,128.0,128.0,262144.0,1835008.0,262144.0,2097152.0,2097152.0,2.095238095238096,756.0,4194304.0,1175.7037037037037,56.888888888888886,682.6666666666666,37.92592592592592,777.4814814814815,21.33333333333333,1137.7777777777778,303.4074074074074,0.0987654320987654,455.1111111111111,0.0555555555555555,0.6666666666666666
128x128x128w14-16-49,128,128,128,14,16,49,14-16-49,M0K,392,16,128,14,87584,1792,27104,49,5488,6272,6272,12544,10,8,3,1776,0,240,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,294912,49152,131072,4194304.0,6144.0,2048000,49152.0,2097152.0,1212416,9.491156462585032,131072,1212416,49152,1392640,192.0,52864.0,75.92925170068025,702.3455782312925,75.03945578231293,75.92925170068025,262144.0,1835008.0,262144.0,2097152.0,2097152.0,1.9914480077745385,777.0,4194304.0,1153.1531531531532,73.8018018018018,682.6666666666666,27.67567567567568,784.1441441441441,29.765765765765767,1228.8,204.8,0.1081081081081081,546.1333333333333,0.0427529570386713,0.3954648526077097
128x128x128w15-16-8,128,128,128,15,16,8,15-16-8,M00,64,16,128,15,106880,1920,7808,8,960,1024,1024,2048,9,8,16,9216,0,1152,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,278528,262144,131072,4194304.0,32768.0,1835008,262144.0,2097152.0,1179648,256.0,131072,1179648,262144,1572864,1024.0,49664.0,2048.0,18432.0,2048.0,2048.0,262144.0,1835008.0,262144.0,2097152.0,2097152.0,50.28571428571428,4032.0,4194304.0,199.11111111111111,14.22222222222222,128.0,28.444444444444443,170.66666666666666,5.388888888888889,241.77777777777777,227.55555555555557,0.1111111111111111,113.77777777777776,0.2222222222222222,2.0
128x128x128w19-24-15,128,128,128,19,24,15,19-24-15,MNK,240,24,384,19,97072,3648,17616,15,2280,2880,2880,5760,7,6,9,3024,0,378,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,212992,147456,98304,4194304.0,18432.0,1949696,147456.0,2097152.0,688128,84.26666666666667,98304,917504,147456,1163264,384.0,22357.33333333333,505.6,4718.933333333333,674.1333333333333,674.1333333333333,262144.0,1835008.0,262144.0,2097152.0,2097152.0,6.5206349206349214,1323.0,4194304.0,644.7407407407408,32.507936507936506,303.4074074074074,48.76190476190476,384.6772486772487,7.393298059964726,563.4708994708994,390.0952380952381,0.1269841269841269,260.06349206349205,0.1671957671957671,1.5604938271604938
128x128x128w66-8-8,128,128,128,66,8,8,66-8-8,M00,512,8,512,66,96768,4224,17920,8,4224,512,512,1024,2,16,16,4096,0,512,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,294912,262144,262144,4194304.0,32768.0,1835008,262144.0,2097152.0,524288,256.0,262144,262144,262144,786432,4096.0,8208.253968253968,4096.0,4096.0,2048.0,2048.0,262144.0,1835008.0,262144.0,2097152.0,2097152.0,9.179138321995463,1792.0,4194304.0,448.0,64.0,64.0,64.0,192.0,2.003968253968254,576.0,512.0,1.0,512.0,1.0,1.0
128x128x128w18-16-32,128,128,128,18,16,32,18-16-32,M00,512,16,256,18,92672,2304,22016,32,4608,4096,4096,8192,8,8,4,1856,0,256,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,262144,65536,131072,4194304.0,8192.0,2031616,65536.0,2097152.0,950272,16.0,131072,950272,65536,1146880,256.0,32042.666666666668,128.0,928.0,126.5,128.0,262144.0,1835008.0,262144.0,2097152.0,2097152.0,1.976190476190476,812.0,4194304.0,1094.6206896551723,70.62068965517241,512.0,35.310344827586206,617.9310344827586,17.264367816091955,1024.0,256.0,0.1379310344827586,512.0,0.0689655172413793,0.5
128x128x128w10-16-42,128,128,128,10,16,42,10-16-42,M0K,336,16,128,10,94656,1280,20032,42,3360,5376,5376,10752,13,8,4,3328,0,416,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,344064,65536,131072,4194304.0,8192.0,2031616,65536.0,2097152.0,1703936,73.14285714285714,131072,1703936,65536,1900544,256.0,100864.0,585.1428571428571,7606.857142857142,585.1428571428571,585.1428571428571,262144.0,1835008.0,262144.0,2097152.0,2097152.0,30.04081632653061,1456.0,4194304.0,610.4615384615385,39.38461538461539,512.0,19.692307692307693,571.0769230769231,30.307692307692307,827.0769230769231,157.53846153846155,0.0769230769230769,315.0769230769231,0.1758241758241758,2.2857142857142856
128x128x128w10-8-69,128,128,128,10,8,69,10-8-69,M0K,552,8,64,10,93536,640,21152,69,5520,4416,4416,8832,13,16,2,3328,0,416,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,475136,32768,262144,4194304.0,4096.0,2064384,32768.0,2097152.0,3407872,4.0245639891918445,262144,1703936,32768,1998848,512.0,215040.0,64.39302382706951,418.5546548759519,32.19651191353476,32.19651191353476,262144.0,1835008.0,262144.0,2097152.0,2097152.0,6.611783696529459,1456.0,4194304.0,620.3076923076923,78.76923076923077,512.0,9.846153846153848,600.6153846153846,64.61538461538461,1142.1538461538462,78.76923076923077,0.1538461538461538,630.1538461538462,0.0193488653326531,0.1257676246622451
