FakeNN JSON Name,M,N,K,m,n,k,JSON Name,remainderTiles,tileC_cc,tileA,tileC,Space Remaining,m Dim,Row Dim,Reduction Dim,tileB,Weight Matrix Tile Size,tileA_cc,Space Needed in L1,tileB_cc,SSR Config Count,m_tiles,n_tiles,k_tiles,Regular Loads,Total CL Tiles,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,oldRegPerStream,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,L3 Loads,L3 Stores,A',SSR Loads,HW Loops,FMADDs,MULs,FMADDsMULs,SSR Loads per HW Loop,HW Loops / SSR Loads per HW Loop,A'',B',C'',CC Tile Size,A''/ B',(A''+ B') / C'',m'_sz / k_size,n'_sz / k_size,myRegPerStream,HW Loops / SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,A SSR Loads,Reused / Total SSR Loads,Core : A SSR Reuse Loads,Total SSR Loads,FMADDsPerCore,Avg A'',Avg B',Avg C'',Avg CC Tile Size,Avg (A''+ B') / C'',Avg L3 Loads,Avg L3 Stores,Avg A''/ B',Avg A',Avg m'_sz / k_size,Avg n'_sz / k_size
128x768x768w32-32-32,128,768,768,32,32,32,32-32-32,000,1024,8192,8192,65536,32,32,32,8192,16384,1024,49152,8192,18432,4,24,24,0,2304,4,4,32,8,4,0.25,5,4,32,8,5,4718592,2359296,2359296,150994944.0,294912.0,73138176,2359296.0,75497472.0,9437184,576.0,2359296,18874368,2359296,23592960,2304.0,165888.0,2304.0,18432.0,4608.0,4608.0,9437184.0,66060288.0,9437184.0,75497472.0,75497472.0,8064.0,5.142857142857142,150994944.0,3968.0,128.0,1024.0,128.0,1280.0,9.0,2048.0,1024.0,0.125,1024.0,0.125,1.0
128x768x768w32-32-31,128,768,768,32,32,31,32-32-31,00K,1024,7936,8192,66560,32,32,31,7936,15872,992,48128,7936,19200,4,24,25,0,2400,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,4718592,2457600,2359296,150994944.0,307200.0,73039872,2457600.0,75497472.0,9437184,626.5806451612902,2359296,18874368,2457600,23691264,2400.0,165888.0,2506.322580645161,20050.580645161288,5012.645161290322,5012.645161290322,9437184.0,66060288.0,9437184.0,75497472.0,75497472.0,8400.0,5.594470046082949,150994944.0,3804.16,122.88,983.04,128.0,1233.92,8.64,1966.08,1024.0,0.125,983.04,0.13053763440860214,1.044301075268817
128x768x768w32-32-30,128,768,768,32,32,30,32-32-30,00K,1024,7680,8192,67584,32,32,30,7680,15360,960,47104,7680,19968,4,24,26,0,2496,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,4718592,2555904,2359296,150994944.0,319488.0,72941568,2555904.0,75497472.0,9437184,682.6666666666666,2359296,18874368,2555904,23789568,2496.0,165888.0,2730.6666666666665,21845.333333333332,5461.333333333333,5461.333333333333,9437184.0,66060288.0,9437184.0,75497472.0,75497472.0,8736.0,6.095238095238095,150994944.0,3652.923076923077,118.15384615384616,945.2307692307693,128.0,1191.3846153846155,8.307692307692308,1890.4615384615386,1024.0,0.125,945.2307692307693,0.13675213675213674,1.094017094017094
128x768x768w32-32-29,128,768,768,32,32,29,32-32-29,00K,1024,7424,8192,68608,32,32,29,7424,14848,928,46080,7424,20736,4,24,27,0,2592,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,4718592,2654208,2359296,150994944.0,331776.0,72843264,2654208.0,75497472.0,9437184,743.4088669950739,2359296,18874368,2654208,23887872,2592.0,165888.0,2973.6354679802957,23789.083743842366,5947.2709359605915,5947.2709359605915,9437184.0,66060288.0,9437184.0,75497472.0,75497472.0,9072.0,6.637579169598874,150994944.0,3512.8888888888887,113.77777777777777,910.2222222222222,128.0,1152.0,8.0,1820.4444444444443,1024.0,0.125,910.2222222222222,0.14340448823207444,1.1472359058565955
128x768x768w31-32-32,128,768,768,31,32,32,31-32-32,M00,768,7936,7936,66560,31,32,32,8192,16384,768,48128,8192,20736,5,24,24,0,2880,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,5308416,2359296,2359296,150994944.0,294912.0,73138176,2359296.0,75497472.0,10616832,576.0,2359296,21233664,2359296,25952256,2304.0,248064.0,2304.0,20736.0,4536.0,4608.0,9437184.0,66060288.0,9437184.0,75497472.0,75497472.0,9072.0,7.928571428571428,150994944.0,3527.1111111111113,113.77777777777777,1024.0,113.77777777777777,1251.5555555555557,11.962962962962964,1843.2,819.2,0.1111111111111111,819.2,0.1111111111111111,1.0
128x768x768w32-32-28,128,768,768,32,32,28,32-32-28,00K,1024,7168,8192,69632,32,32,28,7168,14336,896,45056,7168,21504,4,24,28,0,2688,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,4718592,2752512,2359296,150994944.0,344064.0,72744960,2752512.0,75497472.0,9437184,804.5714285714286,2359296,18874368,2752512,23986176,2688.0,165888.0,3218.285714285714,25746.285714285714,6436.571428571428,6436.571428571428,9437184.0,66060288.0,9437184.0,75497472.0,75497472.0,9408.0,7.183673469387754,150994944.0,3382.8571428571427,109.71428571428571,877.7142857142857,128.0,1115.4285714285713,7.714285714285714,1755.4285714285713,1024.0,0.125,877.7142857142857,0.14965986394557823,1.1972789115646258
128x768x768w31-32-31,128,768,768,31,32,31,31-32-31,M0K,768,7688,7936,67568,31,32,31,7936,15872,744,47120,7936,21600,5,24,25,0,3000,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,5308416,2457600,2359296,150994944.0,307200.0,73039872,2457600.0,75497472.0,10616832,626.5806451612904,2359296,21233664,2457600,26050560,2400.0,248064.0,2506.3225806451615,22556.903225806447,4934.322580645161,5012.645161290323,9437184.0,66060288.0,9437184.0,75497472.0,75497472.0,9450.0,8.624807987711211,150994944.0,3381.4755555555557,109.22666666666667,983.04,113.77777777777777,1206.0444444444445,11.484444444444444,1769.472,819.2,0.1111111111111111,786.432,0.11603345280764636,1.044301075268817
128x768x768w32-32-27,128,768,768,32,32,27,32-32-27,00K,1024,6912,8192,70656,32,32,27,6912,13824,864,44032,6912,22272,4,24,29,0,2784,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,4718592,2850816,2359296,150994944.0,356352.0,72646656,2850816.0,75497472.0,9437184,860.4444444444443,2359296,18874368,2850816,24084480,2784.0,165888.0,3441.7777777777774,27534.22222222222,6883.555555555555,6883.555555555555,9437184.0,66060288.0,9437184.0,75497472.0,75497472.0,9744.0,7.682539682539682,150994944.0,3261.793103448276,105.93103448275862,847.448275862069,128.0,1081.3793103448277,7.448275862068965,1694.896551724138,1024.0,0.125,847.448275862069,0.15453384418901658,1.2362707535121327
128x768x768w31-32-30,128,768,768,31,32,30,31-32-30,M0K,768,7440,7936,68576,31,32,30,7680,15360,720,46112,7680,22464,5,24,26,0,3120,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,5308416,2555904,2359296,150994944.0,319488.0,72941568,2555904.0,75497472.0,10616832,682.6666666666669,2359296,21233664,2555904,26148864,2496.0,248064.0,2730.6666666666674,24576.0,5376.000000000001,5461.333333333335,9437184.0,66060288.0,9437184.0,75497472.0,75497472.0,9828.0,9.396825396825397,150994944.0,3247.042735042735,105.02564102564102,945.2307692307693,113.77777777777777,1164.034188034188,11.042735042735043,1701.4153846153847,819.2,0.1111111111111111,756.1846153846154,0.12155745489078826,1.0940170940170941
128x768x768w29-32-32,128,768,768,29,32,32,29-32-32,M00,768,7424,7424,68608,29,32,32,8192,16384,768,46080,8192,23040,5,24,24,0,2880,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,5308416,2359296,2359296,150994944.0,294912.0,73138176,2359296.0,75497472.0,11796480,576.0,2359296,23592960,2359296,28311552,2304.0,299520.0,2304.0,23040.0,4608.0,4608.0,9437184.0,66060288.0,9437184.0,75497472.0,75497472.0,10080.0,9.642857142857142,150994944.0,3174.4,102.4,1024.0,102.4,1228.8,13.0,1843.2,819.2,0.1,819.2,0.1,1.0
