FakeNN JSON Name,M,N,K,m,n,k,JSON Name,remainderTiles,Space Needed in L1,tileB,tileC,Weight Matrix Tile Size,tileA,Row Dim,tileC_cc,Space Remaining,Reduction Dim,tileB_cc,m Dim,tileA_cc,SSR Config Count,m_tiles,n_tiles,k_tiles,Regular Loads,Total CL Tiles,oldRegPerStream,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,L3 Loads,L3 Stores,A',SSR Loads,HW Loops,FMADDs,MULs,FMADDsMULs,SSR Loads per HW Loop,HW Loops / SSR Loads per HW Loop,A'',B',C'',CC Tile Size,A''/ B',(A''+ B') / C'',m'_sz / k_size,n'_sz / k_size,myRegPerStream,HW Loops / SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,A SSR Loads,Core : A SSR Reuse Loads,Reused / Total SSR Loads,Total SSR Loads,FMADDsPerCore,Avg A'',Avg B',Avg C'',Avg CC Tile Size,Avg (A''+ B') / C'',Avg L3 Loads,Avg L3 Stores,Avg A''/ B',Avg A',Avg m'_sz / k_size,Avg n'_sz / k_size
120x120x120w32-32-31,120,120,120,32,32,31,32-32-31,MNK,48128,7936,8192,15872,7936,32,1024,66560,31,7936,32,992,512,4,4,4,0,64,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115200,57600,57600,3456000.0,7200.0,1670400,57600.0,1728000.0,245760,15.053763440860214,57600,460800,57600,576000,65.0,4680.0,64.22939068100358,513.8351254480286,120.43010752688171,120.43010752688171,216000.0,1512000.0,216000.0,1728000.0,1728000.0,0.1794769680074339,224.0,3456000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.1254480286738351,1.003584229390681
120x120x120w31-32-31,120,120,120,31,32,31,31-32-31,MNK,47120,7936,7936,15872,7688,32,768,67568,31,7936,31,744,512,4,4,4,0,64,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115200,57600,57600,3456000.0,7200.0,1670400,57600.0,1728000.0,245760,15.053763440860216,57600,460800,57600,576000,65.0,4680.0,64.22939068100358,513.8351254480286,120.43010752688171,120.43010752688171,216000.0,1512000.0,216000.0,1728000.0,1728000.0,0.1794769680074339,224.0,3456000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.1254480286738351,1.003584229390681
120x120x120w30-32-30,120,120,120,30,32,30,30-32-30,0N0,45120,7680,7680,15360,7200,32,768,69568,30,7680,30,720,512,4,4,4,0,64,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115200,57600,57600,3456000.0,7200.0,1670400,57600.0,1728000.0,245760,15.0,57600,460800,57600,576000,65.0,4680.0,64.0,512.0,120.0,120.0,216000.0,1512000.0,216000.0,1728000.0,1728000.0,0.1788359788359788,224.0,3456000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.125,1.0
120x120x120w31-32-30,120,120,120,31,32,30,31-32-30,MN0,46112,7680,7936,15360,7440,32,768,68576,30,7680,31,720,512,4,4,4,0,64,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115200,57600,57600,3456000.0,7200.0,1670400,57600.0,1728000.0,245760,15.0,57600,460800,57600,576000,65.0,4680.0,64.0,512.0,120.0,120.0,216000.0,1512000.0,216000.0,1728000.0,1728000.0,0.1788359788359788,224.0,3456000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.125,1.0
120x120x120w32-32-30,120,120,120,32,32,30,32-32-30,MN0,47104,7680,8192,15360,7680,32,1024,67584,30,7680,32,960,512,4,4,4,0,64,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115200,57600,57600,3456000.0,7200.0,1670400,57600.0,1728000.0,245760,15.0,57600,460800,57600,576000,65.0,4680.0,64.0,512.0,120.0,120.0,216000.0,1512000.0,216000.0,1728000.0,1728000.0,0.1788359788359788,224.0,3456000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.125,1.0
120x120x120w32-32-32,120,120,120,32,32,32,32-32-32,MNK,49152,8192,8192,16384,8192,32,1024,65536,32,8192,32,1024,512,4,4,4,0,64,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115200,57600,57600,3456000.0,7200.0,1670400,57600.0,1728000.0,245760,15.234375,57600,460800,57600,576000,65.0,4680.0,65.0,520.0,121.875,121.875,216000.0,1512000.0,216000.0,1728000.0,1728000.0,0.181630291005291,224.0,3456000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.126953125,1.015625
120x120x120w30-32-32,120,120,120,30,32,32,30-32-32,0NK,47104,8192,7680,16384,7680,32,768,67584,32,8192,30,768,512,4,4,4,0,64,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115200,57600,57600,3456000.0,7200.0,1670400,57600.0,1728000.0,245760,15.234375,57600,460800,57600,576000,65.0,4680.0,65.0,520.0,121.875,121.875,216000.0,1512000.0,216000.0,1728000.0,1728000.0,0.181630291005291,224.0,3456000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.126953125,1.015625
120x120x120w31-32-32,120,120,120,31,32,32,31-32-32,MNK,48128,8192,7936,16384,7936,32,768,66560,32,8192,31,768,512,4,4,4,0,64,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115200,57600,57600,3456000.0,7200.0,1670400,57600.0,1728000.0,245760,15.234375,57600,460800,57600,576000,65.0,4680.0,65.0,520.0,121.875,121.875,216000.0,1512000.0,216000.0,1728000.0,1728000.0,0.181630291005291,224.0,3456000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.126953125,1.015625
120x120x120w30-32-31,120,120,120,30,32,31,30-32-31,0NK,46112,7936,7680,15872,7440,32,768,68576,31,7936,30,744,512,4,4,4,0,64,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115200,57600,57600,3456000.0,7200.0,1670400,57600.0,1728000.0,245760,15.053763440860218,57600,460800,57600,576000,65.0,4680.0,64.2293906810036,513.8351254480286,120.43010752688174,120.43010752688174,216000.0,1512000.0,216000.0,1728000.0,1728000.0,0.1794769680074339,224.0,3456000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.1254480286738351,1.003584229390681
120x120x120w29-32-31,120,120,120,29,32,31,29-32-31,MNK,45104,7936,7424,15872,7192,32,768,69584,31,7936,29,744,576,5,4,4,0,80,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,129600,57600,57600,3456000.0,7200.0,1670400,57600.0,1728000.0,276480,15.053763440860214,57600,518400,57600,633600,65.00000000000001,6825.0,64.22939068100358,578.0645161290321,118.42293906810036,120.43010752688171,216000.0,1512000.0,216000.0,1728000.0,1728000.0,0.2692154520111509,252.0,3456000.0,2900.0,100.0,900.0,100.0,1100.0,11.848958333333334,1620.0,720.0,0.1128472222222222,720.0,0.1115093588211867,1.0035842293906807
