FakeNN JSON Name,M,N,K,m,n,k,JSON Name,remainderTiles,tileA_cc,Space Remaining,Space Needed in L1,tileB,m Dim,tileC_cc,tileB_cc,Row Dim,tileA,Reduction Dim,Weight Matrix Tile Size,tileC,SSR Config Count,m_tiles,n_tiles,k_tiles,Regular Loads,Total CL Tiles,oldRegPerStream,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,L3 Loads,L3 Stores,A',SSR Loads,HW Loops,FMADDs,MULs,FMADDsMULs,SSR Loads per HW Loop,HW Loops / SSR Loads per HW Loop,A'',B',C'',CC Tile Size,A''/ B',(A''+ B') / C'',m'_sz / k_size,n'_sz / k_size,myRegPerStream,HW Loops / SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,A SSR Loads,Core : A SSR Reuse Loads,Reused / Total SSR Loads,Total SSR Loads,FMADDsPerCore,Avg A'',Avg B',Avg C'',Avg CC Tile Size,Avg (A''+ B') / C'',Avg L3 Loads,Avg L3 Stores,Avg A''/ B',Avg A',Avg m'_sz / k_size,Avg n'_sz / k_size
120x120x30w31-32-30,120,120,30,31,32,30,31-32-30,MN0,720,68576,46112,7680,31,768,7680,32,7440,30,15360,7936,128,4,4,1,0,16,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28800,14400,14400,864000.0,1800.0,417600,14400.0,432000.0,61440,3.75,14400,115200,14400,144000,16.25,1170.0,16.0,128.0,30.0,30.0,54000.0,378000.0,54000.0,432000.0,432000.0,0.0447089947089947,56.0,864000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.125,1.0
120x120x30w32-32-30,120,120,30,32,32,30,32-32-30,MN0,960,67584,47104,7680,32,1024,7680,32,7680,30,15360,8192,128,4,4,1,0,16,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28800,14400,14400,864000.0,1800.0,417600,14400.0,432000.0,61440,3.75,14400,115200,14400,144000,16.25,1170.0,16.0,128.0,30.0,30.0,54000.0,378000.0,54000.0,432000.0,432000.0,0.0447089947089947,56.0,864000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.125,1.0
120x120x30w30-32-30,120,120,30,30,32,30,30-32-30,0N0,720,69568,45120,7680,30,768,7680,32,7200,30,15360,7680,128,4,4,1,0,16,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28800,14400,14400,864000.0,1800.0,417600,14400.0,432000.0,61440,3.75,14400,115200,14400,144000,16.25,1170.0,16.0,128.0,30.0,30.0,54000.0,378000.0,54000.0,432000.0,432000.0,0.0447089947089947,56.0,864000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.125,1.0
120x120x30w29-32-30,120,120,30,29,32,30,29-32-30,MN0,720,70560,44128,7680,29,768,7680,32,6960,30,15360,7424,144,5,4,1,0,20,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32400,14400,14400,864000.0,1800.0,417600,14400.0,432000.0,69120,3.75,14400,129600,14400,158400,16.25,1706.25,16.0,144.0,29.5,30.0,54000.0,378000.0,54000.0,432000.0,432000.0,0.067063492063492,63.0,864000.0,2900.0,100.0,900.0,100.0,1100.0,11.848958333333334,1620.0,720.0,0.1128472222222222,720.0,0.1111111111111111,1.0
120x120x30w28-32-30,120,120,30,28,32,30,28-32-30,MN0,720,71552,43136,7680,28,768,7680,32,6720,30,15360,7168,160,5,4,1,0,20,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32400,14400,14400,864000.0,1800.0,417600,14400.0,432000.0,76800,3.75,14400,144000,14400,172800,16.25,2242.5,16.0,160.0,30.0,30.0,54000.0,378000.0,54000.0,432000.0,432000.0,0.0894179894179894,70.0,864000.0,2610.0,90.0,900.0,90.0,1080.0,14.015625,1620.0,720.0,0.1015625,720.0,0.1,1.0
120x120x30w26-32-30,120,120,30,26,32,30,26-32-30,MN0,720,73536,41152,7680,26,768,7680,32,6240,30,15360,6656,160,5,4,1,0,20,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32400,14400,14400,864000.0,1800.0,417600,14400.0,432000.0,76800,3.75,14400,144000,14400,172800,16.25,1842.5,16.0,160.0,30.0,30.0,54000.0,378000.0,54000.0,432000.0,432000.0,0.0722222222222222,70.0,864000.0,2610.0,90.0,900.0,90.0,1080.0,11.515625,1620.0,720.0,0.1015625,720.0,0.1,1.0
120x120x30w31-24-30,120,120,30,31,24,30,31-24-30,M00,720,76384,38304,5760,31,576,5760,24,7440,30,11520,5952,160,4,5,1,0,20,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32400,14400,18000,864000.0,1800.0,417600,14400.0,432000.0,76800,3.75,18000,115200,14400,147600,25.0,1500.0,20.0,128.0,30.0,30.0,54000.0,378000.0,54000.0,432000.0,432000.0,0.0687830687830688,70.0,864000.0,2610.0,112.5,720.0,90.0,922.5,9.375,1620.0,720.0,0.1562499999999999,900.0,0.125,0.8
120x120x30w32-24-30,120,120,30,32,24,30,32-24-30,M00,960,75520,39168,5760,32,768,5760,24,7680,30,11520,6144,160,4,5,1,0,20,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32400,14400,18000,864000.0,1800.0,417600,14400.0,432000.0,76800,3.75,18000,115200,14400,147600,25.0,1500.0,20.0,128.0,30.0,30.0,54000.0,378000.0,54000.0,432000.0,432000.0,0.0687830687830687,70.0,864000.0,2610.0,112.5,720.0,90.0,922.5,9.375,1620.0,720.0,0.15625,900.0,0.125,0.8
120x120x30w24-32-30,120,120,30,24,32,30,24-32-30,0N0,720,75520,39168,7680,24,768,7680,32,5760,30,15360,6144,160,5,4,1,0,20,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32400,14400,14400,864000.0,1800.0,417600,14400.0,432000.0,76800,3.75,14400,144000,14400,172800,16.25,1762.5,16.0,160.0,30.0,30.0,54000.0,378000.0,54000.0,432000.0,432000.0,0.0687830687830687,70.0,864000.0,2610.0,90.0,900.0,90.0,1080.0,11.015625,1620.0,720.0,0.1015625,720.0,0.1,1.0
120x120x30w33-24-30,120,120,30,33,24,30,33-24-30,M00,960,74656,40032,5760,33,768,5760,24,7920,30,11520,6336,160,4,5,1,0,20,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32400,14400,18000,864000.0,1800.0,417600,14400.0,432000.0,76800,3.75,18000,115200,14400,147600,25.0,1552.5,20.0,128.0,30.0,30.000000000000004,54000.0,378000.0,54000.0,432000.0,432000.0,0.0715608465608465,70.0,864000.0,2610.0,112.5,720.0,90.0,922.5,9.703125,1620.0,720.0,0.1562499999999999,900.0,0.125,0.8
