FakeNN JSON Name,M,N,K,m,n,k,JSON Name,remainderTiles,tileB,tileB_cc,tileC_cc,tileC,Row Dim,Space Needed in L1,tileA,tileA_cc,Space Remaining,Weight Matrix Tile Size,Reduction Dim,m Dim,SSR Config Count,m_tiles,n_tiles,k_tiles,Regular Loads,Total CL Tiles,oldRegPerStream,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,L3 Loads,L3 Stores,A',SSR Loads,HW Loops,FMADDs,MULs,FMADDsMULs,SSR Loads per HW Loop,HW Loops / SSR Loads per HW Loop,A'',B',C'',CC Tile Size,A''/ B',(A''+ B') / C'',m'_sz / k_size,n'_sz / k_size,myRegPerStream,HW Loops / SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,A SSR Loads,Core : A SSR Reuse Loads,Reused / Total SSR Loads,Total SSR Loads,FMADDsPerCore,Avg A'',Avg B',Avg C'',Avg CC Tile Size,Avg (A''+ B') / C'',Avg L3 Loads,Avg L3 Stores,Avg A''/ B',Avg A',Avg m'_sz / k_size,Avg n'_sz / k_size
120x120x60w31-32-31,120,120,60,31,32,31,31-32-31,MNK,7936,7936,768,7936,32,47120,7688,744,67568,15872,31,31,256,4,4,2,0,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57600,28800,28800,1728000.0,3600.0,835200,28800.0,864000.0,122880,7.508342602892101,28800,230400,28800,288000,32.5,2340.0,32.03559510567297,256.28476084538374,60.06674082313681,60.06674082313681,108000.0,756000.0,108000.0,864000.0,864000.0,0.0895174532549393,112.0,1728000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.125139043381535,1.0011123470522802
120x120x60w30-32-32,120,120,60,30,32,32,30-32-32,0NK,8192,8192,768,7680,32,47104,7680,768,67584,16384,32,30,256,4,4,2,0,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57600,28800,28800,1728000.0,3600.0,835200,28800.0,864000.0,122880,7.533482142857143,28800,230400,28800,288000,32.5,2340.0,32.142857142857146,257.1428571428572,60.267857142857146,60.267857142857146,108000.0,756000.0,108000.0,864000.0,864000.0,0.0898171768707483,112.0,1728000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.1255580357142857,1.0044642857142858
120x120x60w31-32-32,120,120,60,31,32,32,31-32-32,MNK,8192,8192,768,7936,32,48128,7936,768,66560,16384,32,31,256,4,4,2,0,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57600,28800,28800,1728000.0,3600.0,835200,28800.0,864000.0,122880,7.533482142857143,28800,230400,28800,288000,32.5,2340.0,32.142857142857146,257.1428571428571,60.267857142857146,60.267857142857146,108000.0,756000.0,108000.0,864000.0,864000.0,0.0898171768707483,112.0,1728000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.1255580357142857,1.0044642857142856
120x120x60w32-32-31,120,120,60,32,32,31,32-32-31,MNK,7936,7936,1024,8192,32,48128,7936,992,66560,15872,31,32,256,4,4,2,0,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57600,28800,28800,1728000.0,3600.0,835200,28800.0,864000.0,122880,7.508342602892101,28800,230400,28800,288000,32.5,2340.0,32.03559510567297,256.28476084538374,60.06674082313681,60.06674082313681,108000.0,756000.0,108000.0,864000.0,864000.0,0.0895174532549393,112.0,1728000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.125139043381535,1.0011123470522802
120x120x60w32-32-30,120,120,60,32,32,30,32-32-30,MN0,7680,7680,1024,8192,32,47104,7680,960,67584,15360,30,32,256,4,4,2,0,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57600,28800,28800,1728000.0,3600.0,835200,28800.0,864000.0,122880,7.5,28800,230400,28800,288000,32.5,2340.0,32.0,256.0,60.0,60.0,108000.0,756000.0,108000.0,864000.0,864000.0,0.0894179894179894,112.0,1728000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.125,1.0
120x120x60w30-32-31,120,120,60,30,32,31,30-32-31,0NK,7936,7936,768,7680,32,46112,7440,744,68576,15872,31,30,256,4,4,2,0,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57600,28800,28800,1728000.0,3600.0,835200,28800.0,864000.0,122880,7.508342602892102,28800,230400,28800,288000,32.5,2340.0,32.035595105672975,256.2847608453838,60.06674082313682,60.06674082313682,108000.0,756000.0,108000.0,864000.0,864000.0,0.0895174532549393,112.0,1728000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.125139043381535,1.0011123470522805
120x120x60w30-32-30,120,120,60,30,32,30,30-32-30,0N0,7680,7680,768,7680,32,45120,7200,720,69568,15360,30,30,256,4,4,2,0,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57600,28800,28800,1728000.0,3600.0,835200,28800.0,864000.0,122880,7.5,28800,230400,28800,288000,32.5,2340.0,32.0,256.0,60.0,60.0,108000.0,756000.0,108000.0,864000.0,864000.0,0.0894179894179894,112.0,1728000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.125,1.0
120x120x60w32-32-32,120,120,60,32,32,32,32-32-32,MNK,8192,8192,1024,8192,32,49152,8192,1024,65536,16384,32,32,256,4,4,2,0,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57600,28800,28800,1728000.0,3600.0,835200,28800.0,864000.0,122880,7.533482142857141,28800,230400,28800,288000,32.5,2340.0,32.14285714285714,257.1428571428571,60.26785714285713,60.26785714285713,108000.0,756000.0,108000.0,864000.0,864000.0,0.0898171768707482,112.0,1728000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.1255580357142857,1.0044642857142856
120x120x60w31-32-30,120,120,60,31,32,30,31-32-30,MN0,7680,7680,768,7936,32,46112,7440,720,68576,15360,30,31,256,4,4,2,0,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57600,28800,28800,1728000.0,3600.0,835200,28800.0,864000.0,122880,7.5,28800,230400,28800,288000,32.5,2340.0,32.0,256.0,60.0,60.0,108000.0,756000.0,108000.0,864000.0,864000.0,0.0894179894179894,112.0,1728000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.125,1.0
120x120x60w29-32-30,120,120,60,29,32,30,29-32-30,MN0,7680,7680,768,7424,32,44128,6960,720,70560,15360,30,29,288,5,4,2,0,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64800,28800,28800,1728000.0,3600.0,835200,28800.0,864000.0,138240,7.5,28800,259200,28800,316800,32.5,3412.5,32.0,288.0,58.99999999999999,60.0,108000.0,756000.0,108000.0,864000.0,864000.0,0.1341269841269841,126.0,1728000.0,2900.0,100.0,900.0,100.0,1100.0,11.848958333333334,1620.0,720.0,0.1128472222222222,720.0,0.1111111111111111,1.0
