FakeNN JSON Name,M,N,K,m,n,k,JSON Name,remainderTiles,Reduction Dim,Weight Matrix Tile Size,Space Remaining,Row Dim,tileB_cc,tileB,tileC_cc,m Dim,tileA,Space Needed in L1,tileC,tileA_cc,SSR Config Count,m_tiles,n_tiles,k_tiles,Regular Loads,Total CL Tiles,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,oldRegPerStream,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,L3 Loads,L3 Stores,A',SSR Loads,HW Loops,FMADDs,MULs,FMADDsMULs,SSR Loads per HW Loop,HW Loops / SSR Loads per HW Loop,A'',B',C'',CC Tile Size,A''/ B',(A''+ B') / C'',m'_sz / k_size,n'_sz / k_size,myRegPerStream,HW Loops / SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,A SSR Loads,Reused / Total SSR Loads,Core : A SSR Reuse Loads,Total SSR Loads,FMADDsPerCore,Avg A'',Avg B',Avg C'',Avg CC Tile Size,Avg (A''+ B') / C'',Avg L3 Loads,Avg L3 Stores,Avg A''/ B',Avg A',Avg m'_sz / k_size,Avg n'_sz / k_size
128x128x64w31-32-32,128,128,64,31,32,32,31-32-32,M00,32,16384,66560,32,8192,8192,768,31,7936,48128,7936,768,288,5,4,2,0,40,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,73728,32768,32768,2097152.0,4096.0,1015808,32768.0,1048576.0,147456,8.0,32768,294912,32768,360448,32.0,3445.333333333333,32.0,288.0,63.0,64.0,131072.0,917504.0,131072.0,1048576.0,1048576.0,126.0,0.1101190476190476,2097152.0,3527.1111111111118,113.77777777777776,1024.0,113.77777777777776,1251.5555555555557,11.962962962962964,1843.2,819.2,0.1111111111111111,819.2,0.1111111111111111,1.0
128x128x64w27-32-32,128,128,64,27,32,32,27-32-32,M00,32,16384,70656,32,8192,8192,768,27,6912,44032,6912,768,320,5,4,2,0,40,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,73728,32768,32768,2097152.0,4096.0,1015808,32768.0,1048576.0,163840,8.0,32768,327680,32768,393216,32.0,3648.0,32.0,320.0,64.0,64.0,131072.0,917504.0,131072.0,1048576.0,1048576.0,140.0,0.1160714285714285,2097152.0,3174.4,102.4,1024.0,102.4,1228.8,11.4,1843.2,819.2,0.1,819.2,0.1,1.0
128x128x64w29-32-32,128,128,64,29,32,32,29-32-32,M00,32,16384,68608,32,8192,8192,768,29,7424,46080,7424,768,320,5,4,2,0,40,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,73728,32768,32768,2097152.0,4096.0,1015808,32768.0,1048576.0,163840,8.0,32768,327680,32768,393216,32.0,4160.0,32.0,320.0,64.0,64.0,131072.0,917504.0,131072.0,1048576.0,1048576.0,140.0,0.1339285714285714,2097152.0,3174.4,102.4,1024.0,102.4,1228.8,13.0,1843.2,819.2,0.1,819.2,0.1,1.0
128x128x64w28-32-32,128,128,64,28,32,32,28-32-32,M00,32,16384,69632,32,8192,8192,768,28,7168,45056,7168,768,320,5,4,2,0,40,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,73728,32768,32768,2097152.0,4096.0,1015808,32768.0,1048576.0,163840,8.0,32768,327680,32768,393216,32.0,3733.333333333333,32.0,320.0,64.0,64.0,131072.0,917504.0,131072.0,1048576.0,1048576.0,140.0,0.119047619047619,2097152.0,3174.4,102.4,1024.0,102.4,1228.8,11.666666666666666,1843.2,819.2,0.1,819.2,0.1,1.0
128x128x64w26-32-32,128,128,64,26,32,32,26-32-32,M00,32,16384,71680,32,8192,8192,768,26,6656,43008,6656,768,320,5,4,2,0,40,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,73728,32768,32768,2097152.0,4096.0,1015808,32768.0,1048576.0,163840,8.0,32768,327680,32768,393216,32.0,3562.6666666666665,32.0,320.0,64.0,64.0,131072.0,917504.0,131072.0,1048576.0,1048576.0,140.0,0.113095238095238,2097152.0,3174.4,102.4,1024.0,102.4,1228.8,11.133333333333333,1843.2,819.2,0.1,819.2,0.1,1.0
128x128x64w30-32-32,128,128,64,30,32,32,30-32-32,M00,32,16384,67584,32,8192,8192,768,30,7680,47104,7680,768,320,5,4,2,0,40,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,73728,32768,32768,2097152.0,4096.0,1015808,32768.0,1048576.0,163840,8.0,32768,327680,32768,393216,32.0,4586.666666666666,32.0,320.0,64.0,64.0,131072.0,917504.0,131072.0,1048576.0,1048576.0,140.0,0.1488095238095238,2097152.0,3174.4,102.4,1024.0,102.4,1228.8,14.333333333333332,1843.2,819.2,0.1,819.2,0.1,1.0
128x128x64w25-32-32,128,128,64,25,32,32,25-32-32,M00,32,16384,72704,32,8192,8192,768,25,6400,41984,6400,768,344,6,4,2,0,48,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,81920,32768,32768,2097152.0,4096.0,1015808,32768.0,1048576.0,176128,8.0,32768,352256,32768,417792,32.0,4418.666666666666,32.0,344.0,63.0625,64.0,131072.0,917504.0,131072.0,1048576.0,1048576.0,150.5,0.1421130952380952,2097152.0,2952.93023255814,95.25581395348836,1024.0,95.25581395348836,1214.5116279069769,12.844961240310075,1706.6666666666667,682.6666666666666,0.0930232558139534,682.6666666666666,0.0930232558139534,1.0
128x128x64w32-32-26,128,128,64,32,32,26,32-32-26,00K,26,13312,71680,32,6656,6656,1024,32,6656,43008,8192,832,384,4,4,3,0,48,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,65536,49152,32768,2097152.0,6144.0,999424,49152.0,1048576.0,131072,20.51282051282051,32768,262144,49152,344064,48.0,2304.0,82.05128205128204,656.4102564102564,164.1025641025641,164.1025641025641,131072.0,917504.0,131072.0,1048576.0,1048576.0,168.0,0.1831501831501831,2097152.0,2602.6666666666665,85.33333333333333,682.6666666666666,128.0,896.0,6.0,1365.3333333333333,1024.0,0.125,682.6666666666666,0.2136752136752136,1.709401709401709
128x128x64w24-32-32,128,128,64,24,32,32,24-32-32,M00,32,16384,73728,32,8192,8192,768,24,6144,40960,6144,768,384,6,4,2,0,48,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,81920,32768,32768,2097152.0,4096.0,1015808,32768.0,1048576.0,196608,8.0,32768,393216,32768,458752,32.0,5845.333333333333,32.0,384.0,64.0,64.0,131072.0,917504.0,131072.0,1048576.0,1048576.0,168.0,0.1904761904761904,2097152.0,2645.333333333333,85.33333333333333,1024.0,85.33333333333333,1194.6666666666667,15.22222222222222,1706.6666666666667,682.6666666666666,0.0833333333333333,682.6666666666666,0.0833333333333333,1.0
128x128x64w23-32-32,128,128,64,23,32,32,23-32-32,M00,32,16384,74752,32,8192,8192,512,23,5888,39936,5888,512,384,6,4,2,0,48,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,81920,32768,32768,2097152.0,4096.0,1015808,32768.0,1048576.0,196608,8.0,32768,393216,32768,458752,32.0,5418.666666666666,32.0,384.0,64.0,64.0,131072.0,917504.0,131072.0,1048576.0,1048576.0,168.0,0.175595238095238,2097152.0,2645.333333333333,85.33333333333333,1024.0,85.33333333333333,1194.6666666666667,14.111111111111107,1706.6666666666667,682.6666666666666,0.0833333333333333,682.6666666666666,0.0833333333333333,1.0
128x128x64w32-32-25,128,128,64,32,32,25,32-32-25,00K,25,12800,72704,32,6400,6400,1024,32,6400,41984,8192,800,384,4,4,3,0,48,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,65536,49152,32768,2097152.0,6144.0,999424,49152.0,1048576.0,131072,19.38285714285714,32768,262144,49152,344064,48.0,2304.0,77.53142857142856,620.2514285714285,155.06285714285713,155.06285714285713,131072.0,917504.0,131072.0,1048576.0,1048576.0,168.0,0.1730612244897959,2097152.0,2602.6666666666665,85.33333333333333,682.6666666666666,128.0,896.0,6.0,1365.3333333333333,1024.0,0.125,682.6666666666666,0.2019047619047619,1.6152380952380951
128x128x64w32-24-32,128,128,64,32,24,32,32-24-32,0N0,32,12288,73728,24,6144,6144,768,32,8192,40960,6144,1024,384,4,6,2,0,48,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,81920,32768,49152,2097152.0,4096.0,1015808,32768.0,1048576.0,196608,8.0,49152,262144,32768,344064,85.33333333333333,3754.666666666667,48.0,256.0,64.0,64.0,131072.0,917504.0,131072.0,1048576.0,1048576.0,168.0,0.1904761904761904,2097152.0,2645.333333333333,128.0,682.6666666666666,85.33333333333333,896.0,9.77777777777778,1706.6666666666667,682.6666666666666,0.2222222222222222,1024.0,0.125,0.6666666666666666
128x128x64w22-32-32,128,128,64,22,32,32,22-32-32,M00,32,16384,75776,32,8192,8192,512,22,5632,38912,5632,512,384,6,4,2,0,48,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,81920,32768,32768,2097152.0,4096.0,1015808,32768.0,1048576.0,196608,8.0,32768,393216,32768,458752,32.0,5162.666666666667,32.0,384.0,64.0,64.0,131072.0,917504.0,131072.0,1048576.0,1048576.0,168.0,0.1666666666666666,2097152.0,2645.333333333333,85.33333333333333,1024.0,85.33333333333333,1194.6666666666667,13.444444444444445,1706.6666666666667,682.6666666666666,0.0833333333333333,682.6666666666666,0.0833333333333333,1.0
128x128x64w32-32-30,128,128,64,32,32,30,32-32-30,00K,30,15360,67584,32,7680,7680,1024,32,7680,47104,8192,960,384,4,4,3,0,48,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,65536,49152,32768,2097152.0,6144.0,999424,49152.0,1048576.0,131072,40.53333333333333,32768,262144,49152,344064,48.0,2304.0,162.13333333333333,1297.0666666666666,324.26666666666665,324.26666666666665,131072.0,917504.0,131072.0,1048576.0,1048576.0,168.0,0.3619047619047619,2097152.0,2602.6666666666665,85.33333333333333,682.6666666666666,128.0,896.0,6.0,1365.3333333333333,1024.0,0.125,682.6666666666666,0.4222222222222222,3.3777777777777778
