FakeNN JSON Name,M,N,K,m,n,k,JSON Name,remainderTiles,m Dim,tileC_cc,Space Needed in L1,tileB_cc,tileC,Space Remaining,tileA,Reduction Dim,Weight Matrix Tile Size,Row Dim,tileA_cc,tileB,SSR Config Count,m_tiles,n_tiles,k_tiles,Regular Loads,Total CL Tiles,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,oldRegPerStream,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,L3 Loads,L3 Stores,A',SSR Loads,HW Loops,FMADDs,MULs,FMADDsMULs,SSR Loads per HW Loop,HW Loops / SSR Loads per HW Loop,A'',B',C'',CC Tile Size,A''/ B',(A''+ B') / C'',m'_sz / k_size,n'_sz / k_size,myRegPerStream,HW Loops / SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,A SSR Loads,Reused / Total SSR Loads,Core : A SSR Reuse Loads,Total SSR Loads,FMADDsPerCore,Avg A'',Avg B',Avg C'',Avg CC Tile Size,Avg (A''+ B') / C'',Avg L3 Loads,Avg L3 Stores,Avg A''/ B',Avg A',Avg m'_sz / k_size,Avg n'_sz / k_size
128x32x128w31-32-32,128,32,128,31,32,32,31-32-32,M00,31,768,48128,8192,7936,66560,7936,32,16384,32,768,8192,144,5,1,4,0,20,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,36864,16384,16384,1048576.0,2048.0,507904,16384.0,524288.0,73728,4.0,16384,147456,16384,180224,16.0,1722.6666666666667,16.0,144.0,31.5,32.0,65536.0,458752.0,65536.0,524288.0,524288.0,63.0,0.0550595238095238,1048576.0,3527.1111111111118,113.77777777777776,1024.0,113.77777777777776,1251.5555555555557,11.962962962962964,1843.2,819.2,0.1111111111111111,819.2,0.1111111111111111,1.0
128x32x128w32-32-29,128,32,128,32,32,29,32-32-29,00K,32,1024,46080,7424,8192,68608,7424,29,14848,32,928,7424,160,4,1,5,0,20,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,32768,20480,16384,1048576.0,2560.0,503808,20480.0,524288.0,65536,7.080459770114942,16384,131072,20480,167936,20.0,1152.0,28.321839080459768,226.5747126436781,56.643678160919535,56.643678160919535,65536.0,458752.0,65536.0,524288.0,524288.0,70.0,0.0632183908045977,1048576.0,3148.8,102.4,819.2,128.0,1049.6,7.2,1638.4,1024.0,0.125,819.2,0.1770114942528735,1.4160919540229884
128x32x128w27-32-32,128,32,128,27,32,32,27-32-32,M00,27,768,44032,8192,6912,70656,6912,32,16384,32,768,8192,160,5,1,4,0,20,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,36864,16384,16384,1048576.0,2048.0,507904,16384.0,524288.0,81920,4.0,16384,163840,16384,196608,16.0,1824.0,16.0,160.0,32.0,32.0,65536.0,458752.0,65536.0,524288.0,524288.0,70.0,0.0580357142857142,1048576.0,3174.4,102.4,1024.0,102.4,1228.8,11.4,1843.2,819.2,0.1,819.2,0.1,1.0
128x32x128w32-32-27,128,32,128,32,32,27,32-32-27,00K,32,1024,44032,6912,8192,70656,6912,27,13824,32,864,6912,160,4,1,5,0,20,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,32768,20480,16384,1048576.0,2560.0,503808,20480.0,524288.0,65536,6.34074074074074,16384,131072,20480,167936,20.0,1152.0,25.36296296296296,202.90370370370368,50.72592592592592,50.72592592592592,65536.0,458752.0,65536.0,524288.0,524288.0,70.0,0.0566137566137566,1048576.0,3148.8,102.4,819.2,128.0,1049.6,7.2,1638.4,1024.0,0.125,819.2,0.1585185185185185,1.268148148148148
128x32x128w32-32-30,128,32,128,32,32,30,32-32-30,00K,32,1024,47104,7680,8192,67584,7680,30,15360,32,960,7680,160,4,1,5,0,20,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,32768,20480,16384,1048576.0,2560.0,503808,20480.0,524288.0,65536,8.266666666666666,16384,131072,20480,167936,20.0,1152.0,33.06666666666666,264.5333333333333,66.13333333333333,66.13333333333333,65536.0,458752.0,65536.0,524288.0,524288.0,70.0,0.0738095238095238,1048576.0,3148.8,102.4,819.2,128.0,1049.6,7.2,1638.4,1024.0,0.125,819.2,0.2066666666666666,1.653333333333333
128x32x128w32-32-26,128,32,128,32,32,26,32-32-26,00K,32,1024,43008,6656,8192,71680,6656,26,13312,32,832,6656,160,4,1,5,0,20,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,32768,20480,16384,1048576.0,2560.0,503808,20480.0,524288.0,65536,6.256410256410256,16384,131072,20480,167936,20.0,1152.0,25.025641025641026,200.2051282051282,50.05128205128205,50.05128205128205,65536.0,458752.0,65536.0,524288.0,524288.0,70.0,0.0558608058608058,1048576.0,3148.8,102.4,819.2,128.0,1049.6,7.2,1638.4,1024.0,0.125,819.2,0.1564102564102564,1.2512820512820513
128x32x128w29-32-32,128,32,128,29,32,32,29-32-32,M00,29,768,46080,8192,7424,68608,7424,32,16384,32,768,8192,160,5,1,4,0,20,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,36864,16384,16384,1048576.0,2048.0,507904,16384.0,524288.0,81920,4.0,16384,163840,16384,196608,16.0,2080.0,16.0,160.0,32.0,32.0,65536.0,458752.0,65536.0,524288.0,524288.0,70.0,0.0669642857142857,1048576.0,3174.4,102.4,1024.0,102.4,1228.8,13.0,1843.2,819.2,0.1,819.2,0.1,1.0
128x32x128w28-32-32,128,32,128,28,32,32,28-32-32,M00,28,768,45056,8192,7168,69632,7168,32,16384,32,768,8192,160,5,1,4,0,20,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,36864,16384,16384,1048576.0,2048.0,507904,16384.0,524288.0,81920,4.0,16384,163840,16384,196608,16.0,1866.6666666666663,16.0,160.0,32.0,32.0,65536.0,458752.0,65536.0,524288.0,524288.0,70.0,0.0595238095238095,1048576.0,3174.4,102.4,1024.0,102.4,1228.8,11.666666666666666,1843.2,819.2,0.1,819.2,0.1,1.0
128x32x128w32-32-31,128,32,128,32,32,31,32-32-31,00K,32,1024,48128,7936,8192,66560,7936,31,15872,32,992,7936,160,4,1,5,0,20,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,32768,20480,16384,1048576.0,2560.0,503808,20480.0,524288.0,65536,12.129032258064516,16384,131072,20480,167936,20.0,1152.0,48.516129032258064,388.1290322580645,97.03225806451611,97.03225806451611,65536.0,458752.0,65536.0,524288.0,524288.0,70.0,0.108294930875576,1048576.0,3148.8,102.4,819.2,128.0,1049.6,7.2,1638.4,1024.0,0.125,819.2,0.3032258064516129,2.425806451612903
128x32x128w26-32-32,128,32,128,26,32,32,26-32-32,M00,26,768,43008,8192,6656,71680,6656,32,16384,32,768,8192,160,5,1,4,0,20,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,36864,16384,16384,1048576.0,2048.0,507904,16384.0,524288.0,81920,4.0,16384,163840,16384,196608,16.0,1781.3333333333333,16.0,160.0,32.0,32.0,65536.0,458752.0,65536.0,524288.0,524288.0,70.0,0.056547619047619,1048576.0,3174.4,102.4,1024.0,102.4,1228.8,11.133333333333333,1843.2,819.2,0.1,819.2,0.1,1.0
128x32x128w30-32-32,128,32,128,30,32,32,30-32-32,M00,30,768,47104,8192,7680,67584,7680,32,16384,32,768,8192,160,5,1,4,0,20,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,36864,16384,16384,1048576.0,2048.0,507904,16384.0,524288.0,81920,4.0,16384,163840,16384,196608,16.0,2293.333333333333,16.0,160.0,32.0,32.0,65536.0,458752.0,65536.0,524288.0,524288.0,70.0,0.0744047619047619,1048576.0,3174.4,102.4,1024.0,102.4,1228.8,14.333333333333332,1843.2,819.2,0.1,819.2,0.1,1.0
128x32x128w32-32-28,128,32,128,32,32,28,32-32-28,00K,32,1024,45056,7168,8192,69632,7168,28,14336,32,896,7168,160,4,1,5,0,20,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,32768,20480,16384,1048576.0,2560.0,503808,20480.0,524288.0,65536,6.571428571428571,16384,131072,20480,167936,20.0,1152.0,26.285714285714285,210.28571428571428,52.57142857142857,52.57142857142857,65536.0,458752.0,65536.0,524288.0,524288.0,70.0,0.0586734693877551,1048576.0,3148.8,102.4,819.2,128.0,1049.6,7.2,1638.4,1024.0,0.125,819.2,0.1642857142857142,1.3142857142857145
128x32x128w25-32-32,128,32,128,25,32,32,25-32-32,M00,25,768,41984,8192,6400,72704,6400,32,16384,32,768,8192,172,6,1,4,0,24,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,40960,16384,16384,1048576.0,2048.0,507904,16384.0,524288.0,88064,4.0,16384,176128,16384,208896,16.0,2209.333333333333,16.0,172.0,31.53125,32.0,65536.0,458752.0,65536.0,524288.0,524288.0,75.25,0.0710565476190476,1048576.0,2952.93023255814,95.25581395348836,1024.0,95.25581395348836,1214.5116279069769,12.844961240310075,1706.6666666666667,682.6666666666666,0.0930232558139534,682.6666666666666,0.0930232558139534,1.0
128x32x128w31-32-27,128,32,128,31,32,27,31-32-27,M0K,31,768,43088,6912,7936,71600,6696,27,13824,32,648,6912,180,5,1,5,0,25,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,36864,20480,16384,1048576.0,2560.0,503808,20480.0,524288.0,73728,6.34074074074074,16384,147456,20480,184320,20.0,1722.6666666666667,25.36296296296296,228.26666666666665,49.93333333333334,50.72592592592592,65536.0,458752.0,65536.0,524288.0,524288.0,78.75,0.0872795414462081,1048576.0,2798.9333333333334,91.02222222222224,819.2,113.77777777777776,1024.0,9.570370370370371,1474.56,819.2,0.1111111111111111,655.36,0.1409053497942386,1.268148148148148
128x32x128w31-32-31,128,32,128,31,32,31,31-32-31,M0K,31,768,47120,7936,7936,67568,7688,31,15872,32,744,7936,180,5,1,5,0,25,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,36864,20480,16384,1048576.0,2560.0,503808,20480.0,524288.0,73728,12.129032258064516,16384,147456,20480,184320,20.0,1722.6666666666663,48.516129032258064,436.64516129032256,95.51612903225806,97.03225806451611,65536.0,458752.0,65536.0,524288.0,524288.0,78.75,0.1669546850998464,1048576.0,2798.9333333333334,91.02222222222224,819.2,113.77777777777776,1024.0,9.57037037037037,1474.56,819.2,0.1111111111111111,655.36,0.2695340501792114,2.425806451612903
128x32x128w31-32-30,128,32,128,31,32,30,31-32-30,M0K,31,768,46112,7680,7936,68576,7440,30,15360,32,720,7680,180,5,1,5,0,25,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,36864,20480,16384,1048576.0,2560.0,503808,20480.0,524288.0,73728,8.266666666666666,16384,147456,20480,184320,20.0,1722.6666666666667,33.06666666666666,297.6,65.1,66.13333333333333,65536.0,458752.0,65536.0,524288.0,524288.0,78.75,0.1137896825396825,1048576.0,2798.9333333333334,91.02222222222224,819.2,113.77777777777776,1024.0,9.570370370370371,1474.56,819.2,0.1111111111111111,655.36,0.1837037037037036,1.653333333333333
128x32x128w31-32-29,128,32,128,31,32,29,31-32-29,M0K,31,768,45104,7424,7936,69584,7192,29,14848,32,696,7424,180,5,1,5,0,25,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,36864,20480,16384,1048576.0,2560.0,503808,20480.0,524288.0,73728,7.080459770114942,16384,147456,20480,184320,20.0,1722.6666666666667,28.321839080459768,254.8965517241379,55.75862068965517,56.643678160919535,65536.0,458752.0,65536.0,524288.0,524288.0,78.75,0.0974616858237547,1048576.0,2798.9333333333334,91.02222222222224,819.2,113.77777777777776,1024.0,9.570370370370371,1474.56,819.2,0.1111111111111111,655.36,0.1573435504469987,1.4160919540229884
128x32x128w31-32-26,128,32,128,31,32,26,31-32-26,M0K,31,768,42080,6656,7936,72608,6448,26,13312,32,624,6656,180,5,1,5,0,25,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,36864,20480,16384,1048576.0,2560.0,503808,20480.0,524288.0,73728,6.256410256410257,16384,147456,20480,184320,20.0,1722.6666666666663,25.02564102564103,225.23076923076923,49.26923076923077,50.05128205128206,65536.0,458752.0,65536.0,524288.0,524288.0,78.75,0.0861187423687423,1048576.0,2798.9333333333334,91.02222222222224,819.2,113.77777777777776,1024.0,9.57037037037037,1474.56,819.2,0.1111111111111111,655.36,0.139031339031339,1.2512820512820515
128x32x128w31-32-28,128,32,128,31,32,28,31-32-28,M0K,31,768,44096,7168,7936,70592,6944,28,14336,32,672,7168,180,5,1,5,0,25,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,36864,20480,16384,1048576.0,2560.0,503808,20480.0,524288.0,73728,6.571428571428572,16384,147456,20480,184320,20.0,1722.6666666666663,26.28571428571429,236.57142857142856,51.75,52.57142857142858,65536.0,458752.0,65536.0,524288.0,524288.0,78.75,0.0904549319727891,1048576.0,2798.9333333333334,91.02222222222224,819.2,113.77777777777776,1024.0,9.57037037037037,1474.56,819.2,0.1111111111111111,655.36,0.146031746031746,1.3142857142857145
