FakeNN JSON Name,M,N,K,m,n,k,JSON Name,remainderTiles,Reduction Dim,tileB,tileC_cc,tileB_cc,Space Needed in L1,Row Dim,tileA,Weight Matrix Tile Size,Space Remaining,tileA_cc,tileC,m Dim,SSR Config Count,m_tiles,n_tiles,k_tiles,Regular Loads,Total CL Tiles,oldRegPerStream,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,L3 Loads,L3 Stores,A',SSR Loads,HW Loops,FMADDs,MULs,FMADDsMULs,SSR Loads per HW Loop,HW Loops / SSR Loads per HW Loop,A'',B',C'',CC Tile Size,A''/ B',(A''+ B') / C'',m'_sz / k_size,n'_sz / k_size,myRegPerStream,HW Loops / SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,A SSR Loads,Core : A SSR Reuse Loads,Reused / Total SSR Loads,Total SSR Loads,FMADDsPerCore,Avg A'',Avg B',Avg C'',Avg CC Tile Size,Avg (A''+ B') / C'',Avg L3 Loads,Avg L3 Stores,Avg A''/ B',Avg A',Avg m'_sz / k_size,Avg n'_sz / k_size
30x120x120w30-32-30,30,120,120,30,32,30,30-32-30,0N0,30,7680,768,7680,45120,32,7200,15360,69568,720,7680,30,128,1,4,4,0,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28800,14400,14400,864000.0,1800.0,417600,14400.0,432000.0,61440,3.75,14400,115200,14400,144000,16.25,1170.0,16.0,128.0,30.0,30.0,54000.0,378000.0,54000.0,432000.0,432000.0,0.0447089947089947,56.0,864000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.125,1.0
30x120x120w30-32-32,30,120,120,30,32,32,30-32-32,0NK,32,8192,768,8192,47104,32,7680,16384,67584,768,7680,30,128,1,4,4,0,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28800,14400,14400,864000.0,1800.0,417600,14400.0,432000.0,61440,3.80859375,14400,115200,14400,144000,16.25,1170.0,16.25,130.0,30.46875,30.46875,54000.0,378000.0,54000.0,432000.0,432000.0,0.0454075727513227,56.0,864000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.126953125,1.015625
30x120x120w30-32-31,30,120,120,30,32,31,30-32-31,0NK,31,7936,768,7936,46112,32,7440,15872,68576,744,7680,30,128,1,4,4,0,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28800,14400,14400,864000.0,1800.0,417600,14400.0,432000.0,61440,3.7634408602150544,14400,115200,14400,144000,16.25,1170.0,16.0573476702509,128.45878136200716,30.107526881720435,30.107526881720435,54000.0,378000.0,54000.0,432000.0,432000.0,0.0448692420018584,56.0,864000.0,3262.5,112.5,900.0,112.5,1125.0,9.140625,1800.0,900.0,0.126953125,900.0,0.1254480286738351,1.003584229390681
30x120x120w29-32-31,30,120,120,29,32,31,29-32-31,MNK,31,7936,768,7936,45104,32,7192,15872,69584,744,7424,29,144,2,4,4,0,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43200,14400,14400,864000.0,1800.0,417600,14400.0,432000.0,69120,3.7634408602150535,14400,129600,14400,158400,16.250000000000004,1706.25,16.057347670250895,144.51612903225802,29.229390681003583,30.10752688172043,54000.0,378000.0,54000.0,432000.0,432000.0,0.0673038630027877,63.0,864000.0,2900.0,100.0,900.0,100.0,1100.0,11.848958333333334,1350.0,450.0,0.1128472222222222,450.0,0.1115093588211867,1.0035842293906807
30x120x120w29-32-32,30,120,120,29,32,32,29-32-32,MNK,32,8192,768,8192,46080,32,7424,16384,68608,768,7424,29,144,2,4,4,0,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43200,14400,14400,864000.0,1800.0,417600,14400.0,432000.0,69120,3.80859375,14400,129600,14400,158400,16.250000000000004,1706.25,16.250000000000004,146.25,29.580078125,30.46875,54000.0,378000.0,54000.0,432000.0,432000.0,0.0681113591269841,63.0,864000.0,2900.0,100.0,900.0,100.0,1100.0,11.848958333333334,1350.0,450.0,0.1128472222222222,450.0,0.1128472222222222,1.015625
30x120x120w29-32-30,30,120,120,29,32,30,29-32-30,MN0,30,7680,768,7680,44128,32,6960,15360,70560,720,7424,29,144,2,4,4,0,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43200,14400,14400,864000.0,1800.0,417600,14400.0,432000.0,69120,3.75,14400,129600,14400,158400,16.25,1706.25,16.0,144.0,29.125,30.0,54000.0,378000.0,54000.0,432000.0,432000.0,0.067063492063492,63.0,864000.0,2900.0,100.0,900.0,100.0,1100.0,11.848958333333334,1350.0,450.0,0.1128472222222222,450.0,0.1111111111111111,1.0
30x120x120w30-24-32,30,120,120,30,24,32,30-24-32,00K,32,6144,576,6144,39168,24,7680,12288,75520,768,5760,30,160,1,5,4,0,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32400,14400,18000,864000.0,1800.0,417600,14400.0,432000.0,76800,3.80859375,18000,115200,14400,147600,25.0,1500.0,20.3125,130.0,30.46875,30.46875,54000.0,378000.0,54000.0,432000.0,432000.0,0.0698578042328042,70.0,864000.0,2610.0,112.5,720.0,90.0,922.5,9.375,1620.0,720.0,0.15625,900.0,0.126953125,0.8125
30x120x120w30-24-33,30,120,120,30,24,33,30-24-33,00K,33,6336,576,6336,40032,24,7920,12672,74656,792,5760,30,160,1,5,4,0,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32400,14400,18000,864000.0,1800.0,417600,14400.0,432000.0,76800,3.896103896103896,18000,115200,14400,147600,25.0,1500.0,20.77922077922078,132.98701298701295,31.16883116883117,31.16883116883117,54000.0,378000.0,54000.0,432000.0,432000.0,0.0714629286057857,70.0,864000.0,2610.0,112.5,720.0,90.0,922.5,9.375,1620.0,720.0,0.15625,900.0,0.1298701298701298,0.8311688311688311
30x120x120w28-32-31,30,120,120,28,32,31,28-32-31,MNK,31,7936,768,7936,44096,32,6944,15872,70592,744,7168,28,160,2,4,4,0,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43200,14400,14400,864000.0,1800.0,417600,14400.0,432000.0,76800,3.763440860215053,14400,144000,14400,172800,16.249999999999996,2242.5,16.05734767025089,160.57347670250897,28.602150537634408,30.107526881720425,54000.0,378000.0,54000.0,432000.0,432000.0,0.0897384840037169,70.0,864000.0,2610.0,90.0,900.0,90.0,1080.0,14.015625,1350.0,450.0,0.1015624999999999,450.0,0.100358422939068,1.0035842293906811
30x120x120w28-32-30,30,120,120,28,32,30,28-32-30,MN0,30,7680,768,7680,43136,32,6720,15360,71552,720,7168,28,160,2,4,4,0,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43200,14400,14400,864000.0,1800.0,417600,14400.0,432000.0,76800,3.75,14400,144000,14400,172800,16.25,2242.5,16.0,160.0,28.5,30.0,54000.0,378000.0,54000.0,432000.0,432000.0,0.0894179894179894,70.0,864000.0,2610.0,90.0,900.0,90.0,1080.0,14.015625,1350.0,450.0,0.1015625,450.0,0.1,1.0
30x120x120w30-32-25,30,120,120,30,32,25,30-32-25,0NK,25,6400,768,6400,40160,32,6000,12800,74528,600,7680,30,160,1,4,5,0,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28800,18000,14400,864000.0,2250.0,414000,18000.0,432000.0,61440,5.90625,14400,115200,18000,147600,20.3125,1170.0,25.2,201.6,47.25,47.25,54000.0,378000.0,54000.0,432000.0,432000.0,0.0704166666666666,70.0,864000.0,2587.5,90.0,720.0,112.5,922.5,7.3125,1440.0,900.0,0.126953125,720.0,0.1575,1.26
30x120x120w28-32-32,30,120,120,28,32,32,28-32-32,MNK,32,8192,768,8192,45056,32,7168,16384,69632,768,7168,28,160,2,4,4,0,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43200,14400,14400,864000.0,1800.0,417600,14400.0,432000.0,76800,3.80859375,14400,144000,14400,172800,16.249999999999996,2242.5,16.249999999999996,162.5,28.9453125,30.46875,54000.0,378000.0,54000.0,432000.0,432000.0,0.0908151455026454,70.0,864000.0,2610.0,90.0,900.0,90.0,1080.0,14.015625,1350.0,450.0,0.1015624999999999,450.0,0.1015624999999999,1.015625
30x120x120w30-32-29,30,120,120,30,32,29,30-32-29,0NK,29,7424,768,7424,44128,32,6960,14848,70560,696,7680,30,160,1,4,5,0,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28800,18000,14400,864000.0,2250.0,414000,18000.0,432000.0,61440,10.910560344827587,14400,115200,18000,147600,20.3125,1170.0,46.55172413793104,372.41379310344826,87.2844827586207,87.2844827586207,54000.0,378000.0,54000.0,432000.0,432000.0,0.1300800492610837,70.0,864000.0,2587.5,90.0,720.0,112.5,922.5,7.3125,1440.0,900.0,0.126953125,720.0,0.290948275862069,2.327586206896552
30x120x120w30-32-24,30,120,120,30,32,24,30-32-24,0N0,24,6144,768,6144,39168,32,5760,12288,75520,576,7680,30,160,1,4,5,0,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28800,18000,14400,864000.0,2250.0,414000,18000.0,432000.0,61440,5.859375,14400,115200,18000,147600,20.3125,1170.0,25.0,200.0,46.875,46.875,54000.0,378000.0,54000.0,432000.0,432000.0,0.0698578042328042,70.0,864000.0,2587.5,90.0,720.0,112.5,922.5,7.3125,1440.0,900.0,0.126953125,720.0,0.15625,1.25
30x120x120w30-32-28,30,120,120,30,32,28,30-32-28,0NK,28,7168,768,7168,43136,32,6720,14336,71552,672,7680,30,160,1,4,5,0,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28800,18000,14400,864000.0,2250.0,414000,18000.0,432000.0,61440,7.533482142857143,14400,115200,18000,147600,20.3125,1170.0,32.14285714285714,257.1428571428571,60.267857142857146,60.267857142857146,54000.0,378000.0,54000.0,432000.0,432000.0,0.0898171768707482,70.0,864000.0,2587.5,90.0,720.0,112.5,922.5,7.3125,1440.0,900.0,0.126953125,720.0,0.2008928571428571,1.607142857142857
30x120x120w30-32-26,30,120,120,30,32,26,30-32-26,0NK,26,6656,768,6656,41152,32,6240,13312,73536,624,7680,30,160,1,4,5,0,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28800,18000,14400,864000.0,2250.0,414000,18000.0,432000.0,61440,6.084735576923077,14400,115200,18000,147600,20.3125,1170.0,25.961538461538463,207.6923076923077,48.67788461538461,48.67788461538461,54000.0,378000.0,54000.0,432000.0,432000.0,0.0725446428571428,70.0,864000.0,2587.5,90.0,720.0,112.5,922.5,7.3125,1440.0,900.0,0.126953125,720.0,0.1622596153846154,1.2980769230769231
30x120x120w30-32-27,30,120,120,30,32,27,30-32-27,0NK,27,6912,768,6912,42144,32,6480,13824,72544,648,7680,30,160,1,4,5,0,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28800,18000,14400,864000.0,2250.0,414000,18000.0,432000.0,61440,6.510416666666667,14400,115200,18000,147600,20.3125,1170.0,27.77777777777778,222.22222222222223,52.083333333333336,52.083333333333336,54000.0,378000.0,54000.0,432000.0,432000.0,0.0776197824808936,70.0,864000.0,2587.5,90.0,720.0,112.5,922.5,7.3125,1440.0,900.0,0.126953125,720.0,0.1736111111111111,1.3888888888888888
30x120x120w30-24-31,30,120,120,30,24,31,30-24-31,00K,31,5952,576,5952,38304,24,7440,11904,76384,744,5760,30,160,1,5,4,0,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32400,14400,18000,864000.0,1800.0,417600,14400.0,432000.0,76800,3.763440860215053,18000,115200,14400,147600,25.0,1500.0,20.07168458781362,128.4587813620072,30.107526881720432,30.107526881720425,54000.0,378000.0,54000.0,432000.0,432000.0,0.0690296030797822,70.0,864000.0,2610.0,112.5,720.0,90.0,922.5,9.375,1620.0,720.0,0.15625,900.0,0.1254480286738351,0.8028673835125449
